Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,ISMA.CA,13.870,14.100,13.750,13.790,648270
2026-01-05,ISMA.CA,13.850,13.900,13.030,13.400,475100
2026-01-06,ISMA.CA,13.580,13.790,13.450,13.630,339610
2026-01-08,ISMA.CA,13.670,13.950,13.350,13.400,659050
2026-01-11,ISMA.CA,13.540,13.600,13.060,13.270,294970
2026-01-12,ISMA.CA,13.360,13.440,13.030,13.120,454880
2026-01-13,ISMA.CA,13.230,13.230,12.760,12.800,430870
2026-01-14,ISMA.CA,12.800,12.970,12.250,12.530,296340
2026-01-15,ISMA.CA,12.640,12.670,12.060,12.220,266980
2026-01-18,ISMA.CA,12.280,12.450,12.260,12.400,205640
2026-01-19,ISMA.CA,12.450,12.840,12.450,12.760,355760
2026-01-20,ISMA.CA,12.840,12.880,12.640,12.650,197390
2026-01-21,ISMA.CA,12.650,12.700,12.560,12.600,133090
2026-01-22,ISMA.CA,12.660,12.770,12.580,12.600,327610
2026-01-25,ISMA.CA,12.680,12.940,12.490,12.660,649330
2026-01-26,ISMA.CA,12.790,12.810,12.450,12.450,560540
2026-01-27,ISMA.CA,12.500,12.700,12.420,12.450,354000
2026-01-28,ISMA.CA,12.460,12.490,12.050,12.050,305080
2026-02-01,ISMA.CA,12.300,12.500,12.100,12.500,282380
2026-02-02,ISMA.CA,12.500,12.650,12.290,12.600,197620
2026-02-03,ISMA.CA,12.630,13.330,12.630,13.330,1910000
2026-02-04,ISMA.CA,13.370,13.740,13.120,13.430,2490000
2026-02-05,ISMA.CA,13.570,14.160,13.400,13.800,4980000
2026-02-08,ISMA.CA,13.970,14.330,13.900,14.000,2040000
2026-02-09,ISMA.CA,14.010,14.300,13.740,13.810,1410000
2026-02-10,ISMA.CA,13.850,14.000,13.610,13.610,511030
2026-02-11,ISMA.CA,13.610,14.070,13.550,13.630,902560
2026-02-12,ISMA.CA,13.700,15.000,13.550,14.990,2410000
2026-02-15,ISMA.CA,15.220,16.450,14.500,15.690,6280000
2026-02-16,ISMA.CA,15.680,15.890,14.700,14.700,2370000
2026-02-17,ISMA.CA,14.760,14.950,14.030,14.400,1540000
2026-02-18,ISMA.CA,14.550,15.500,14.360,15.500,2340000
2026-02-19,ISMA.CA,15.470,15.470,14.510,14.850,1020000
2026-02-22,ISMA.CA,14.780,14.900,13.800,13.950,1550000
2026-02-23,ISMA.CA,14.100,14.700,14.000,14.540,517640
2026-02-24,ISMA.CA,14.590,14.700,14.100,14.100,561770
2026-02-25,ISMA.CA,14.160,14.280,13.500,13.500,633700
2026-02-26,ISMA.CA,13.500,14.180,13.410,13.770,553160
2026-03-01,ISMA.CA,12.520,13.200,12.220,13.050,709230
2026-03-02,ISMA.CA,13.050,13.190,12.800,12.830,388710
2026-03-03,ISMA.CA,12.850,12.970,12.650,12.740,314670
2026-03-04,ISMA.CA,12.850,13.240,12.680,13.070,571490
2026-03-05,ISMA.CA,13.100,13.290,13.020,13.100,323730
2026-03-08,ISMA.CA,13.100,13.800,13.000,13.660,826230
2026-03-09,ISMA.CA,13.660,13.740,13.410,13.640,383050
2026-03-10,ISMA.CA,13.730,14.000,13.650,13.710,538230
2026-03-11,ISMA.CA,13.750,13.950,13.550,13.650,317710
2026-03-12,ISMA.CA,13.830,13.830,13.470,13.490,202270
2026-03-15,ISMA.CA,13.520,13.580,13.080,13.120,210190
2026-03-16,ISMA.CA,13.270,13.370,12.750,12.790,422360
2026-03-17,ISMA.CA,12.940,13.100,12.680,12.930,313680
2026-03-18,ISMA.CA,12.930,13.090,12.870,12.960,144100
