Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,ISMQ.CA,7.170,7.340,7.120,7.190,8270000
2026-01-05,ISMQ.CA,7.190,7.200,7.000,7.110,4490000
2026-01-06,ISMQ.CA,7.110,7.410,7.100,7.400,7580000
2026-01-08,ISMQ.CA,7.440,7.550,7.320,7.510,10420000
2026-01-11,ISMQ.CA,7.560,7.600,7.160,7.210,14980000
2026-01-12,ISMQ.CA,7.220,7.270,7.080,7.210,3220000
2026-01-13,ISMQ.CA,7.220,7.490,6.960,7.280,18050000
2026-01-14,ISMQ.CA,7.300,7.340,6.960,7.040,5860000
2026-01-15,ISMQ.CA,7.070,7.150,6.620,6.900,4740000
2026-01-18,ISMQ.CA,6.950,7.100,6.890,7.100,2710000
2026-01-19,ISMQ.CA,7.120,7.180,7.040,7.120,5650000
2026-01-20,ISMQ.CA,7.120,7.210,7.080,7.080,6750000
2026-01-21,ISMQ.CA,7.100,7.170,7.030,7.070,3910000
2026-01-22,ISMQ.CA,7.120,7.260,7.080,7.120,5690000
2026-01-25,ISMQ.CA,7.140,7.180,6.970,7.000,5410000
2026-01-26,ISMQ.CA,7.010,7.140,6.940,7.120,7900000
2026-01-27,ISMQ.CA,7.140,7.200,7.040,7.090,5750000
2026-01-28,ISMQ.CA,7.090,7.110,6.810,6.850,7780000
2026-02-01,ISMQ.CA,6.860,7.230,6.860,7.160,9520000
2026-02-02,ISMQ.CA,7.160,7.240,7.090,7.180,7520000
2026-02-03,ISMQ.CA,7.190,7.310,7.170,7.300,6180000
2026-02-04,ISMQ.CA,7.330,7.550,7.300,7.500,16890000
2026-02-05,ISMQ.CA,7.530,7.550,7.300,7.400,5610000
2026-02-08,ISMQ.CA,7.520,7.900,7.450,7.730,18990000
2026-02-09,ISMQ.CA,7.780,8.100,7.750,7.760,20370000
2026-02-10,ISMQ.CA,7.800,7.830,7.730,7.730,6990000
2026-02-11,ISMQ.CA,7.730,7.780,7.450,7.600,7970000
2026-02-12,ISMQ.CA,7.610,7.730,7.530,7.580,5450000
2026-02-15,ISMQ.CA,7.660,7.780,7.550,7.780,8590000
2026-02-16,ISMQ.CA,7.780,7.910,7.580,7.780,19160000
2026-02-17,ISMQ.CA,7.790,7.890,7.670,7.720,3260000
2026-02-18,ISMQ.CA,7.700,7.750,7.660,7.730,3700000
