Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,ISPH.CA,11.720,11.770,11.350,11.350,1140000
2026-01-05,ISPH.CA,11.380,11.510,10.810,10.930,5490000
2026-01-06,ISPH.CA,10.930,11.070,10.870,11.000,1200000
2026-01-08,ISPH.CA,11.020,11.180,10.850,10.900,2320000
2026-01-11,ISPH.CA,11.000,11.390,10.910,11.200,2680000
2026-01-12,ISPH.CA,11.240,11.290,10.850,11.000,2340000
2026-01-13,ISPH.CA,11.000,11.050,10.650,10.770,4670000
2026-01-14,ISPH.CA,10.800,10.850,10.250,10.390,4310000
2026-01-15,ISPH.CA,10.470,10.640,10.000,10.250,3990000
2026-01-18,ISPH.CA,10.310,10.860,10.310,10.850,3270000
2026-01-19,ISPH.CA,10.790,10.900,10.630,10.750,5740000
2026-01-20,ISPH.CA,10.770,10.990,10.680,10.980,5170000
2026-01-21,ISPH.CA,10.970,11.270,10.800,11.160,7050000
2026-01-22,ISPH.CA,11.170,11.490,11.110,11.400,9260000
2026-01-25,ISPH.CA,11.500,12.100,11.380,11.400,11590000
2026-01-26,ISPH.CA,11.440,11.510,11.080,11.300,3810000
2026-01-27,ISPH.CA,11.300,11.500,11.210,11.230,4320000
2026-01-28,ISPH.CA,11.220,11.340,10.870,10.900,6340000
2026-02-01,ISPH.CA,11.060,11.150,10.950,11.070,3540000
2026-02-02,ISPH.CA,11.100,11.160,10.800,10.950,3870000
2026-02-03,ISPH.CA,10.980,11.160,10.930,11.000,5670000
2026-02-04,ISPH.CA,11.100,11.800,11.030,11.790,19540000
2026-02-05,ISPH.CA,11.770,13.720,11.770,12.750,28370000
2026-02-08,ISPH.CA,12.990,13.500,12.350,12.630,19930000
2026-02-09,ISPH.CA,12.760,12.800,12.450,12.600,6060000
2026-02-10,ISPH.CA,12.610,12.730,12.000,12.350,6870000
2026-02-11,ISPH.CA,12.410,12.880,12.380,12.630,9400000
2026-02-12,ISPH.CA,12.640,12.950,12.420,12.740,6290000
2026-02-15,ISPH.CA,12.850,12.890,12.230,12.470,5940000
2026-02-16,ISPH.CA,12.590,12.690,12.350,12.510,10870000
2026-02-17,ISPH.CA,12.510,12.900,12.380,12.520,16270000
2026-02-18,ISPH.CA,12.570,12.710,12.420,12.450,3560000
2026-02-19,ISPH.CA,12.500,12.560,11.700,11.780,5360000
2026-02-22,ISPH.CA,11.960,11.980,11.250,11.370,3850000
2026-02-23,ISPH.CA,11.450,11.970,11.400,11.900,3600000
2026-02-24,ISPH.CA,11.900,12.300,11.800,11.900,6080000
2026-02-25,ISPH.CA,11.800,12.060,11.530,11.680,3050000
2026-02-26,ISPH.CA,11.700,11.800,11.550,11.790,906210
2026-03-01,ISPH.CA,11.200,11.590,10.900,11.210,8450000
2026-03-02,ISPH.CA,11.300,11.580,11.220,11.580,3540000
2026-03-03,ISPH.CA,11.600,11.600,11.010,11.310,4500000
2026-03-04,ISPH.CA,11.450,11.460,11.000,11.200,8940000
2026-03-05,ISPH.CA,11.200,11.350,11.110,11.210,6820000
2026-03-08,ISPH.CA,11.220,11.390,10.800,10.820,16510000
2026-03-09,ISPH.CA,10.820,10.890,10.300,10.300,12680000
2026-03-10,ISPH.CA,10.450,10.850,10.410,10.650,17670000
2026-03-11,ISPH.CA,10.800,10.830,10.550,10.670,12390000
2026-03-12,ISPH.CA,10.700,10.720,10.500,10.500,10390000
2026-03-15,ISPH.CA,10.590,10.600,10.400,10.460,3490000
2026-03-16,ISPH.CA,10.460,10.480,10.130,10.230,4780000
2026-03-17,ISPH.CA,10.300,10.400,10.250,10.340,9780000
2026-03-18,ISPH.CA,10.370,10.430,10.300,10.400,6690000
2026-03-24,ISPH.CA,10.430,10.470,10.320,10.330,4900000
2026-03-25,ISPH.CA,10.390,10.750,10.350,10.700,10100000
2026-03-26,ISPH.CA,10.750,10.770,10.450,10.500,4740000
2026-03-29,ISPH.CA,10.490,10.490,10.200,10.230,6150000
2026-03-30,ISPH.CA,10.280,10.300,9.630,9.900,16830000
2026-03-31,ISPH.CA,9.900,9.900,9.640,9.700,8510000
2026-04-01,ISPH.CA,9.730,10.160,9.730,10.160,11410000
2026-04-02,ISPH.CA,10.130,10.140,9.910,10.050,6980000
2026-04-05,ISPH.CA,10.060,10.140,10.020,10.060,5350000
2026-04-06,ISPH.CA,10.090,10.170,10.050,10.160,5400000
2026-04-07,ISPH.CA,10.150,10.240,9.990,10.040,5950000
2026-04-08,ISPH.CA,10.250,10.450,10.250,10.400,10020000
2026-04-09,ISPH.CA,10.400,10.520,10.300,10.440,6380000
2026-04-12,ISPH.CA,10.400,10.440,10.440,10.440,6380000
2026-04-14,ISPH.CA,10.420,10.420,10.290,10.360,6220000
2026-04-15,ISPH.CA,10.400,10.590,10.390,10.530,5820000
2026-04-16,ISPH.CA,10.540,10.710,10.450,10.600,13830000
2026-04-19,ISPH.CA,10.670,10.760,10.650,10.760,11970000
2026-04-20,ISPH.CA,10.750,11.250,10.700,11.160,47630000
2026-04-21,ISPH.CA,11.260,11.370,11.050,11.090,16340000
2026-04-22,ISPH.CA,11.120,11.260,11.030,11.080,8580000
2026-04-23,ISPH.CA,11.100,11.160,11.030,11.060,4810000
2026-04-26,ISPH.CA,11.120,11.240,11.000,11.070,5070000
2026-04-27,ISPH.CA,11.070,11.250,11.010,11.170,5610000
2026-04-28,ISPH.CA,11.170,11.230,11.010,11.090,4490000
2026-04-29,ISPH.CA,11.010,11.050,10.910,11.000,6620000
2026-04-30,ISPH.CA,11.010,11.090,10.600,10.750,13390000
2026-05-03,ISPH.CA,10.800,11.030,10.750,11.020,5430000
