Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,KRDI.CA,0.635,0.648,0.631,0.640,59500000
2026-01-05,KRDI.CA,0.645,0.647,0.631,0.632,30740000
2026-01-06,KRDI.CA,0.633,0.639,0.629,0.631,13360000
2026-01-08,KRDI.CA,0.644,0.680,0.641,0.669,237340000
2026-01-11,KRDI.CA,0.685,0.695,0.672,0.673,242730000
2026-01-12,KRDI.CA,0.675,0.682,0.649,0.666,72460000
2026-01-13,KRDI.CA,0.664,0.666,0.642,0.643,37680000
2026-01-14,KRDI.CA,0.646,0.648,0.625,0.629,59750000
2026-01-15,KRDI.CA,0.633,0.634,0.610,0.620,71210000
2026-01-18,KRDI.CA,0.627,0.647,0.622,0.641,57580000
2026-01-19,KRDI.CA,0.647,0.647,0.630,0.640,35490000
2026-01-20,KRDI.CA,0.640,0.644,0.631,0.634,26080000
2026-01-21,KRDI.CA,0.635,0.635,0.625,0.631,48000000
2026-01-22,KRDI.CA,0.630,0.637,0.627,0.627,45980000
2026-01-25,KRDI.CA,0.630,0.633,0.621,0.621,41330000
2026-01-26,KRDI.CA,0.622,0.623,0.598,0.600,47520000
2026-01-27,KRDI.CA,0.597,0.607,0.596,0.600,26620000
2026-01-28,KRDI.CA,0.600,0.605,0.575,0.577,31000000
2026-02-01,KRDI.CA,0.575,0.625,0.575,0.610,53390000
2026-02-02,KRDI.CA,0.611,0.617,0.603,0.608,17690000
2026-02-03,KRDI.CA,0.610,0.623,0.604,0.623,24180000
2026-02-04,KRDI.CA,0.622,0.644,0.620,0.628,62690000
2026-02-05,KRDI.CA,0.633,0.635,0.621,0.622,26890000
2026-02-08,KRDI.CA,0.626,0.635,0.624,0.626,18430000
2026-02-09,KRDI.CA,0.641,0.645,0.627,0.629,71620000
2026-02-10,KRDI.CA,0.638,0.660,0.631,0.653,138090000
2026-02-11,KRDI.CA,0.659,0.660,0.644,0.653,54710000
2026-02-12,KRDI.CA,0.653,0.655,0.644,0.652,35690000
2026-02-15,KRDI.CA,0.653,0.684,0.649,0.667,106750000
2026-02-16,KRDI.CA,0.672,0.675,0.645,0.657,52300000
2026-02-17,KRDI.CA,0.650,0.663,0.641,0.659,43440000
2026-02-18,KRDI.CA,0.660,0.667,0.653,0.663,31080000
