Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,KZPC.CA,5.09,5.12,5.04,5.12,630720
2024-01-03,KZPC.CA,5.14,5.31,5.14,5.25,3350000
2024-01-04,KZPC.CA,5.29,5.39,5.25,5.29,2450000
2024-01-08,KZPC.CA,5.35,5.69,5.34,5.62,5150000
2024-01-09,KZPC.CA,5.66,5.71,5.47,5.51,2370000
2024-01-10,KZPC.CA,5.54,5.60,5.46,5.50,1380000
2024-01-11,KZPC.CA,5.53,5.62,5.44,5.50,1500000
2024-01-14,KZPC.CA,5.56,5.64,5.54,5.57,1370000
2024-01-15,KZPC.CA,5.59,5.62,5.50,5.51,1090000
2024-01-16,KZPC.CA,5.59,5.73,5.52,5.69,1920000
2024-01-17,KZPC.CA,5.75,5.78,5.57,5.62,1910000
2024-01-18,KZPC.CA,5.62,5.66,5.44,5.52,1230000
2024-01-21,KZPC.CA,5.62,6.22,5.56,6.06,6040000
2024-01-22,KZPC.CA,6.17,6.31,5.97,6.11,5220000
2024-01-23,KZPC.CA,6.12,6.19,5.87,5.94,2360000
2024-01-24,KZPC.CA,5.97,6.00,5.84,5.85,1910000
2024-01-28,KZPC.CA,5.91,6.17,5.91,6.03,2140000
2024-01-29,KZPC.CA,6.12,6.19,5.92,6.04,1370000
2024-01-30,KZPC.CA,6.15,6.15,5.94,6.06,727810
2024-01-31,KZPC.CA,6.09,6.17,5.56,5.67,2310000
2024-02-01,KZPC.CA,5.67,5.87,5.31,5.86,948900
2024-02-04,KZPC.CA,5.86,5.94,5.76,5.80,545440
2024-02-05,KZPC.CA,5.80,5.95,5.79,5.83,938160
2024-02-06,KZPC.CA,5.83,5.94,5.73,5.75,533490
2024-02-07,KZPC.CA,5.75,5.81,5.64,5.69,429760
2024-02-08,KZPC.CA,5.69,5.81,5.69,5.74,341110
2024-02-11,KZPC.CA,5.74,5.99,5.72,5.81,868020
2024-02-12,KZPC.CA,5.81,5.78,5.54,5.68,976840
2024-02-13,KZPC.CA,5.68,5.74,5.64,5.67,608700
2024-02-14,KZPC.CA,5.67,5.79,5.68,5.78,492700
2024-02-15,KZPC.CA,5.78,5.84,5.73,5.79,708760
2024-02-18,KZPC.CA,5.79,5.92,5.82,5.87,1100000
2024-02-19,KZPC.CA,5.87,5.92,5.81,5.86,1130000
