Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,LCSW.CA,18.250,19.104,18.250,18.710,2880000
2024-01-03,LCSW.CA,19.008,19.008,18.422,18.509,781430
2024-01-04,LCSW.CA,18.662,18.768,18.125,18.221,441430
2024-01-08,LCSW.CA,18.595,18.624,18.115,18.144,288520
2024-01-09,LCSW.CA,18.240,18.518,17.760,18.240,553060
2024-01-10,LCSW.CA,18.403,19.478,17.866,18.854,1750000
2024-01-11,LCSW.CA,19.690,19.770,18.830,18.850,1170000
2024-01-14,LCSW.CA,18.950,19.240,18.740,18.850,720680
2024-01-15,LCSW.CA,18.940,19.350,18.710,18.800,994270
2024-01-16,LCSW.CA,18.910,18.990,18.660,18.920,777840
2024-01-17,LCSW.CA,19.100,19.660,18.810,18.880,1750000
2024-01-18,LCSW.CA,18.930,19.170,18.750,18.850,472960
2024-01-21,LCSW.CA,18.990,19.290,18.860,19.060,765230
2024-01-22,LCSW.CA,19.240,19.400,18.970,19.060,495780
2024-01-23,LCSW.CA,19.190,19.480,18.830,18.850,573730
2024-01-24,LCSW.CA,18.910,19.200,18.800,18.880,297860
2024-01-28,LCSW.CA,19.040,19.180,18.850,19.090,406930
2024-01-29,LCSW.CA,19.010,19.950,18.960,19.250,1290000
2024-01-30,LCSW.CA,19.500,21.450,19.500,21.000,2540000
2024-01-31,LCSW.CA,21.500,23.250,18.010,19.950,3720000
2024-02-01,LCSW.CA,19.950,23.240,18.110,23.240,2610000
2024-02-04,LCSW.CA,23.240,26.400,21.660,25.500,3910000
2024-02-05,LCSW.CA,25.500,26.300,24.200,24.860,2030000
2024-02-06,LCSW.CA,24.860,27.460,24.700,26.000,3320000
2024-02-07,LCSW.CA,26.000,28.750,26.050,28.640,2110000
2024-02-08,LCSW.CA,28.640,29.680,27.700,29.170,1400000
2024-02-11,LCSW.CA,29.170,29.950,28.120,28.740,563560
2024-02-12,LCSW.CA,28.740,30.300,27.500,30.050,1530000
2024-02-13,LCSW.CA,30.050,31.000,29.500,29.510,1160000
2024-02-14,LCSW.CA,29.510,29.760,28.700,28.930,417970
2024-02-15,LCSW.CA,28.930,29.300,28.110,28.140,875490
2024-02-18,LCSW.CA,28.140,28.740,28.040,28.110,242570
2024-02-19,LCSW.CA,28.110,28.630,27.700,27.760,244310
2024-02-20,LCSW.CA,27.760,29.300,27.000,28.130,492000
2024-02-21,LCSW.CA,28.130,30.900,28.250,30.760,1190000
2024-02-22,LCSW.CA,30.760,32.500,30.000,30.010,1100000
2024-02-25,LCSW.CA,30.010,29.990,25.150,25.600,605920
2024-02-26,LCSW.CA,25.600,27.400,25.650,26.430,628030
2024-02-27,LCSW.CA,26.430,27.260,24.520,25.030,534010
2024-02-28,LCSW.CA,25.030,26.000,24.000,24.010,787660
2024-02-29,LCSW.CA,24.010,25.490,23.920,25.120,349740
2024-03-03,LCSW.CA,25.120,27.240,24.510,26.040,716710
2024-03-04,LCSW.CA,26.040,28.600,26.600,27.760,589220
2024-03-05,LCSW.CA,27.760,28.240,27.000,27.260,290550
2024-03-06,LCSW.CA,27.260,27.860,25.010,25.570,212090
2024-03-07,LCSW.CA,25.570,26.900,24.790,25.030,242070
2024-03-10,LCSW.CA,25.030,25.970,24.300,24.750,269380
2024-03-11,LCSW.CA,24.750,25.350,23.070,23.230,178420
2024-03-12,LCSW.CA,23.230,25.480,23.250,23.820,447160
2024-03-13,LCSW.CA,23.820,24.990,21.710,24.650,251980
2024-03-14,LCSW.CA,24.650,24.640,22.810,23.000,583210
2024-03-17,LCSW.CA,23.000,23.490,21.610,22.950,239780
2024-03-18,LCSW.CA,22.950,22.900,19.020,19.670,291200
2024-03-19,LCSW.CA,19.670,19.800,16.320,18.810,778640
2024-03-20,LCSW.CA,18.810,20.250,18.280,18.710,328230
2024-03-21,LCSW.CA,18.710,19.690,18.860,19.000,442440
2024-03-24,LCSW.CA,19.000,19.500,18.760,19.040,360140
2024-03-25,LCSW.CA,19.040,20.900,19.070,20.370,1070000
2024-03-26,LCSW.CA,20.370,20.920,19.500,19.680,417190
2024-03-27,LCSW.CA,19.680,19.700,18.830,18.960,587520
2024-03-28,LCSW.CA,18.960,19.280,18.590,18.910,174120
2024-03-31,LCSW.CA,18.910,18.990,17.650,17.790,236050
2024-04-01,LCSW.CA,17.790,18.500,17.600,18.380,192330
2024-04-02,LCSW.CA,18.380,18.970,18.200,18.430,197330
2024-04-03,LCSW.CA,18.430,18.440,17.300,18.070,121880
2024-04-04,LCSW.CA,18.070,20.290,18.200,19.690,760940
2024-04-07,LCSW.CA,19.690,20.800,19.940,20.140,511470
2024-04-08,LCSW.CA,20.140,21.800,20.020,21.320,1220000
2024-04-15,LCSW.CA,21.320,22.000,21.200,21.620,706220
2024-04-16,LCSW.CA,21.620,22.070,21.430,21.680,869260
2024-04-17,LCSW.CA,21.680,21.900,21.380,21.510,461460
2024-04-18,LCSW.CA,21.510,21.800,19.550,20.000,618820
2024-04-21,LCSW.CA,20.000,20.850,20.000,20.710,354080
2024-04-22,LCSW.CA,20.710,21.290,19.500,20.160,274180
2024-04-23,LCSW.CA,20.160,20.480,18.520,18.900,307800
2024-04-24,LCSW.CA,18.900,19.000,17.700,18.370,151120
2024-04-28,LCSW.CA,18.400,18.630,16.350,16.520,175700
2024-04-29,LCSW.CA,16.150,17.240,16.150,17.050,199310
2024-04-30,LCSW.CA,17.150,17.650,16.350,16.670,411740
2024-05-01,LCSW.CA,16.950,17.190,16.400,17.000,241790
2024-05-02,LCSW.CA,17.450,17.800,17.000,17.260,284830
2024-05-07,LCSW.CA,17.310,17.430,16.530,17.230,179620
2024-05-08,LCSW.CA,17.400,18.000,16.500,16.630,224820
2024-05-09,LCSW.CA,16.600,17.400,16.500,17.290,330290
2024-05-12,LCSW.CA,17.480,17.700,16.000,16.020,405320
2024-05-13,LCSW.CA,16.010,16.200,15.000,15.060,238470
2024-05-14,LCSW.CA,15.500,15.800,15.110,15.500,330810
2024-05-15,LCSW.CA,15.610,15.800,15.000,15.300,243740
2024-05-16,LCSW.CA,15.350,16.100,15.320,15.790,226810
2024-05-19,LCSW.CA,15.950,16.760,15.900,16.690,606610
2024-05-20,LCSW.CA,16.690,17.200,16.300,16.390,382680
2024-05-21,LCSW.CA,16.580,17.150,16.370,16.420,255150
2024-05-22,LCSW.CA,16.900,16.900,16.030,16.270,121570
2024-05-23,LCSW.CA,16.620,16.620,16.000,16.190,156400
2024-05-26,LCSW.CA,18.450,19.420,16.860,19.420,935920
2024-05-27,LCSW.CA,22.500,23.300,21.500,22.260,2090000
2024-05-28,LCSW.CA,22.000,23.200,21.520,22.300,636330
