Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,LUTS.CA,0.257,0.257,0.248,0.248,850940
2024-01-03,LUTS.CA,0.245,0.256,0.245,0.248,268470
2024-01-04,LUTS.CA,0.256,0.265,0.253,0.260,1480000
2024-01-08,LUTS.CA,0.260,0.285,0.259,0.285,3660000
2024-01-09,LUTS.CA,0.295,0.314,0.295,0.314,7370000
2024-01-10,LUTS.CA,0.320,0.345,0.320,0.345,8490000
2024-01-11,LUTS.CA,0.378,0.378,0.344,0.349,8460000
2024-01-14,LUTS.CA,0.353,0.355,0.315,0.346,9790000
2024-01-15,LUTS.CA,0.346,0.346,0.321,0.341,5860000
2024-01-16,LUTS.CA,0.345,0.345,0.328,0.332,2850000
2024-01-17,LUTS.CA,0.341,0.341,0.322,0.328,3630000
2024-01-18,LUTS.CA,0.323,0.339,0.317,0.325,2680000
2024-01-21,LUTS.CA,0.328,0.336,0.325,0.328,2160000
2024-01-22,LUTS.CA,0.331,0.332,0.323,0.325,1770000
2024-01-23,LUTS.CA,0.328,0.331,0.321,0.324,2560000
2024-01-24,LUTS.CA,0.326,0.330,0.316,0.318,2100000
2024-01-28,LUTS.CA,0.328,0.328,0.309,0.317,1800000
2024-01-29,LUTS.CA,0.312,0.315,0.304,0.307,2220000
2024-01-30,LUTS.CA,0.309,0.312,0.304,0.310,1900000
2024-01-31,LUTS.CA,0.307,0.312,0.282,0.290,2340000
2024-02-01,LUTS.CA,0.290,0.318,0.282,0.299,1140000
2024-02-04,LUTS.CA,0.299,0.307,0.286,0.297,1480000
2024-02-05,LUTS.CA,0.297,0.311,0.295,0.310,1570000
2024-02-06,LUTS.CA,0.310,0.312,0.303,0.304,1710000
2024-02-07,LUTS.CA,0.304,0.310,0.303,0.304,314510
2024-02-08,LUTS.CA,0.304,0.309,0.299,0.308,733150
2024-02-11,LUTS.CA,0.308,0.324,0.304,0.313,827000
2024-02-12,LUTS.CA,0.313,0.312,0.284,0.295,1190000
2024-02-13,LUTS.CA,0.295,0.315,0.295,0.311,1090000
2024-02-14,LUTS.CA,0.311,0.312,0.304,0.311,275210
2024-02-15,LUTS.CA,0.311,0.322,0.309,0.317,1300000
2024-02-18,LUTS.CA,0.317,0.324,0.316,0.317,1420000
2024-02-19,LUTS.CA,0.317,0.336,0.320,0.325,3770000
2024-02-20,LUTS.CA,0.325,0.328,0.321,0.324,1080000
2024-02-21,LUTS.CA,0.324,0.328,0.312,0.314,1930000
2024-02-22,LUTS.CA,0.314,0.326,0.314,0.314,962020
2024-02-25,LUTS.CA,0.314,0.316,0.308,0.309,692040
2024-02-26,LUTS.CA,0.309,0.308,0.295,0.309,487820
2024-02-27,LUTS.CA,0.309,0.309,0.298,0.300,826950
2024-02-28,LUTS.CA,0.300,0.307,0.296,0.298,801370
2024-02-29,LUTS.CA,0.298,0.299,0.287,0.294,716970
2024-03-03,LUTS.CA,0.294,0.305,0.292,0.294,249970
2024-03-04,LUTS.CA,0.294,0.311,0.295,0.309,915770
2024-03-05,LUTS.CA,0.309,0.310,0.299,0.309,198460
2024-03-06,LUTS.CA,0.309,0.313,0.295,0.303,544640
2024-03-07,LUTS.CA,0.303,0.312,0.288,0.311,978470
2024-03-10,LUTS.CA,0.311,0.312,0.299,0.311,1230000
2024-03-11,LUTS.CA,0.311,0.312,0.300,0.311,319370
2024-03-12,LUTS.CA,0.311,0.312,0.299,0.311,261630
2024-03-13,LUTS.CA,0.311,0.307,0.281,0.288,811550
2024-03-14,LUTS.CA,0.288,0.317,0.296,0.317,3250000
2024-03-17,LUTS.CA,0.317,0.348,0.347,0.348,4370000
2024-03-18,LUTS.CA,0.348,0.383,0.314,0.333,5230000
2024-03-19,LUTS.CA,0.333,0.332,0.302,0.303,1280000
2024-03-20,LUTS.CA,0.303,0.332,0.303,0.323,1420000
2024-03-21,LUTS.CA,0.323,0.354,0.312,0.340,1230000
2024-03-24,LUTS.CA,0.340,0.337,0.308,0.321,989630
2024-03-25,LUTS.CA,0.321,0.328,0.289,0.305,1510000
2024-03-26,LUTS.CA,0.305,0.323,0.295,0.311,818050
2024-03-27,LUTS.CA,0.311,0.314,0.303,0.309,1630000
