Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,MASR.CA,4.07,4.07,3.98,4.02,4370000
2026-01-05,MASR.CA,4.03,4.04,3.97,3.98,3750000
2026-01-06,MASR.CA,4.00,4.01,3.98,3.99,3520000
2026-01-08,MASR.CA,4.01,4.03,3.98,3.99,2110000
2026-01-11,MASR.CA,4.01,4.16,3.99,4.16,9130000
2026-01-12,MASR.CA,4.17,4.18,4.11,4.15,9170000
2026-01-13,MASR.CA,4.16,4.19,4.08,4.17,6780000
2026-01-14,MASR.CA,4.18,4.18,4.10,4.14,9440000
2026-01-15,MASR.CA,4.13,4.16,4.12,4.14,6920000
2026-01-18,MASR.CA,4.18,4.19,4.11,4.15,3220000
2026-01-19,MASR.CA,4.18,4.35,4.17,4.35,21910000
2026-01-20,MASR.CA,4.37,4.63,4.33,4.56,25860000
2026-01-21,MASR.CA,4.59,4.71,4.44,4.66,16670000
2026-01-22,MASR.CA,4.68,4.76,4.61,4.66,11880000
2026-01-25,MASR.CA,4.61,4.68,4.56,4.58,4890000
2026-01-26,MASR.CA,4.60,4.74,4.59,4.67,10280000
2026-01-27,MASR.CA,4.71,4.73,4.54,4.54,7080000
2026-01-28,MASR.CA,4.54,4.71,4.46,4.63,10040000
2026-02-01,MASR.CA,4.68,4.69,4.49,4.50,5050000
2026-02-02,MASR.CA,4.54,4.90,4.51,4.85,18200000
2026-02-03,MASR.CA,4.89,4.98,4.85,4.97,18460000
2026-02-04,MASR.CA,4.91,5.02,4.83,4.84,5460000
2026-02-05,MASR.CA,4.88,4.99,4.76,4.96,10070000
2026-02-08,MASR.CA,4.98,5.20,4.92,5.11,12090000
2026-02-09,MASR.CA,5.14,5.16,4.98,5.06,15710000
2026-02-10,MASR.CA,5.06,5.28,5.04,5.21,22880000
2026-02-11,MASR.CA,5.18,5.29,5.12,5.26,18020000
2026-02-12,MASR.CA,5.28,5.40,5.16,5.40,14210000
2026-02-15,MASR.CA,5.40,5.47,5.33,5.41,8180000
2026-02-16,MASR.CA,5.42,5.48,5.36,5.38,14220000
2026-02-17,MASR.CA,5.38,5.58,5.31,5.57,11640000
2026-02-18,MASR.CA,5.58,5.63,5.53,5.56,6850000
2026-02-19,MASR.CA,5.57,5.59,5.22,5.31,7750000
2026-02-22,MASR.CA,5.28,5.33,5.04,5.12,7800000
2026-02-23,MASR.CA,5.11,5.43,5.04,5.41,5450000
2026-02-24,MASR.CA,5.38,5.52,5.33,5.38,5330000
2026-02-25,MASR.CA,5.38,5.40,5.00,5.12,7140000
2026-02-26,MASR.CA,5.12,5.38,5.00,5.38,5230000
2026-03-01,MASR.CA,5.01,5.26,4.92,5.23,4870000
2026-03-02,MASR.CA,5.22,5.40,5.15,5.20,4030000
2026-03-03,MASR.CA,5.18,5.23,5.06,5.08,4490000
2026-03-04,MASR.CA,5.31,5.37,5.20,5.30,2980000
2026-03-05,MASR.CA,5.30,5.42,5.29,5.32,1830000
2026-03-08,MASR.CA,5.35,5.54,5.31,5.42,2960000
2026-03-09,MASR.CA,5.45,5.70,5.42,5.50,7730000
2026-03-10,MASR.CA,5.53,5.75,5.53,5.60,13020000
2026-03-11,MASR.CA,5.62,5.75,5.60,5.68,5180000
2026-03-12,MASR.CA,5.70,5.75,5.53,5.58,9870000
2026-03-15,MASR.CA,5.52,5.70,5.42,5.42,5580000
2026-03-16,MASR.CA,5.43,5.47,5.28,5.31,3740000
2026-03-17,MASR.CA,5.36,5.44,5.31,5.41,1660000
2026-03-18,MASR.CA,5.42,5.53,5.41,5.41,3150000
2026-03-24,MASR.CA,5.42,5.59,5.33,5.37,7220000
2026-03-25,MASR.CA,5.38,5.43,5.33,5.34,4500000
2026-03-26,MASR.CA,5.35,5.46,5.33,5.37,7020000
2026-03-29,MASR.CA,5.38,5.42,5.18,5.18,5090000
2026-03-30,MASR.CA,5.20,5.23,5.01,5.16,5400000
2026-03-31,MASR.CA,5.19,5.20,5.08,5.17,5540000
2026-04-01,MASR.CA,5.25,5.32,5.21,5.25,5210000
2026-04-02,MASR.CA,5.29,5.67,5.26,5.66,29040000
2026-04-05,MASR.CA,5.64,5.96,5.60,5.95,27430000
2026-04-06,MASR.CA,5.91,6.00,5.81,5.91,22780000
2026-04-07,MASR.CA,5.93,5.95,5.83,5.85,5790000
2026-04-08,MASR.CA,5.95,6.04,5.89,6.04,15790000
2026-04-09,MASR.CA,6.05,6.16,5.97,6.10,19340000
2026-04-12,MASR.CA,6.04,6.10,6.10,6.10,19340000
2026-04-14,MASR.CA,6.10,6.17,6.03,6.07,9030000
2026-04-15,MASR.CA,6.08,6.16,6.04,6.12,6450000
2026-04-16,MASR.CA,6.13,6.14,6.06,6.06,4620000
2026-04-19,MASR.CA,6.14,6.14,6.06,6.07,5110000
2026-04-20,MASR.CA,6.10,6.10,5.94,5.97,4950000
2026-04-21,MASR.CA,5.99,6.04,5.91,6.04,4200000
2026-04-22,MASR.CA,6.05,6.25,6.02,6.15,18110000
2026-04-23,MASR.CA,6.19,6.21,6.06,6.09,4740000
2026-04-26,MASR.CA,6.10,6.17,6.05,6.07,3960000
2026-04-27,MASR.CA,6.08,6.15,6.02,6.15,5320000
2026-04-28,MASR.CA,6.17,6.19,6.09,6.13,5700000
2026-04-29,MASR.CA,6.14,6.25,6.10,6.19,9790000
2026-04-30,MASR.CA,6.22,6.23,6.08,6.11,9990000
2026-05-03,MASR.CA,6.13,6.41,6.11,6.39,19460000
2026-05-04,MASR.CA,6.42,6.56,6.31,6.40,17460000
2026-05-05,MASR.CA,6.40,6.45,6.31,6.34,5510000
2026-05-06,MASR.CA,6.40,6.57,6.40,6.55,10850000
2026-05-10,MASR.CA,6.62,7.03,6.60,6.96,21660000
2026-05-11,MASR.CA,6.95,7.31,6.90,7.29,24270000
2026-05-12,MASR.CA,7.30,7.40,7.15,7.40,7880000
2026-05-13,MASR.CA,7.41,7.48,7.28,7.37,10250000
2026-05-14,MASR.CA,7.40,7.50,7.23,7.40,16600000
2026-05-17,MASR.CA,7.40,7.43,7.12,7.15,9750000
2026-05-18,MASR.CA,7.12,7.15,6.89,7.04,7620000
2026-05-19,MASR.CA,7.04,7.20,7.04,7.05,10300000
2026-05-20,MASR.CA,6.99,7.00,6.71,6.82,7620000
2026-05-21,MASR.CA,6.83,6.91,6.63,6.75,4790000
2026-05-24,MASR.CA,6.86,7.02,6.80,6.90,4980000
2026-05-25,MASR.CA,6.95,7.00,6.88,6.90,3930000
2026-06-01,MASR.CA,6.95,7.13,6.92,7.13,3540000
2026-06-02,MASR.CA,7.15,7.20,7.03,7.14,4450000
2026-06-03,MASR.CA,7.16,7.16,6.97,7.01,3940000
2026-06-04,MASR.CA,7.01,7.06,6.93,6.95,3340000
2026-06-07,MASR.CA,6.96,6.98,6.74,6.78,3750000
2026-06-08,MASR.CA,6.77,6.94,6.70,6.90,3080000
2026-06-09,MASR.CA,6.93,6.99,6.86,6.95,3980000
2026-06-10,MASR.CA,6.94,7.33,6.85,6.85,29050000
2026-06-11,MASR.CA,6.83,6.88,6.54,6.62,10760000
2026-06-14,MASR.CA,6.96,6.96,6.76,6.96,8230000
2026-06-15,MASR.CA,7.00,7.25,7.00,7.13,13140000
2026-06-16,MASR.CA,7.11,7.40,7.05,7.30,10550000
2026-06-17,MASR.CA,7.14,7.65,7.14,7.45,20130000
2026-06-21,MASR.CA,7.55,7.69,7.39,7.40,14160000
2026-06-22,MASR.CA,7.44,7.49,7.18,7.24,9400000
2026-06-23,MASR.CA,7.29,7.36,7.06,7.10,8590000
2026-06-24,MASR.CA,7.10,7.16,6.96,7.10,7340000
