Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,MBEG.CA,4.080,4.090,3.760,3.880,1400000
2026-01-05,MBEG.CA,4.090,4.560,4.000,4.260,8160000
2026-01-06,MBEG.CA,4.400,4.990,4.400,4.560,3660000
2026-01-08,MBEG.CA,4.600,4.730,4.330,4.370,2380000
2026-01-11,MBEG.CA,4.550,4.600,4.310,4.310,2440000
2026-01-12,MBEG.CA,4.360,4.540,4.110,4.200,2490000
2026-01-13,MBEG.CA,4.220,4.290,3.840,3.860,3440000
2026-01-14,MBEG.CA,3.850,4.000,3.630,3.650,3380000
2026-01-15,MBEG.CA,3.750,4.170,3.690,4.100,7520000
2026-01-18,MBEG.CA,4.200,4.550,4.120,4.250,3060000
2026-01-19,MBEG.CA,4.270,4.380,4.070,4.350,4530000
2026-01-20,MBEG.CA,4.380,4.420,4.210,4.250,2730000
2026-01-21,MBEG.CA,4.290,4.300,4.170,4.190,1280000
2026-01-22,MBEG.CA,4.200,4.280,4.120,4.140,741820
2026-01-25,MBEG.CA,4.190,4.190,3.700,4.110,1120000
2026-01-26,MBEG.CA,4.130,4.410,4.060,4.160,4180000
2026-01-27,MBEG.CA,4.230,4.230,4.010,4.050,1380000
2026-01-28,MBEG.CA,4.110,4.130,3.860,3.920,892840
2026-02-01,MBEG.CA,3.980,4.090,3.890,3.940,593150
2026-02-02,MBEG.CA,3.950,4.000,3.860,3.900,571300
2026-02-03,MBEG.CA,3.930,4.300,3.900,4.150,3830000
2026-02-04,MBEG.CA,4.150,4.170,4.060,4.080,846870
2026-02-05,MBEG.CA,4.090,4.850,4.070,4.360,18400000
2026-02-08,MBEG.CA,4.430,4.830,4.270,4.630,9110000
2026-02-09,MBEG.CA,4.700,4.800,4.540,4.550,2710000
2026-02-10,MBEG.CA,4.570,4.770,4.540,4.550,3200000
2026-02-11,MBEG.CA,4.620,4.640,4.340,4.400,1760000
2026-02-12,MBEG.CA,4.450,4.460,4.300,4.370,865650
2026-02-15,MBEG.CA,4.380,4.440,4.230,4.300,1330000
2026-02-16,MBEG.CA,4.350,4.520,4.250,4.270,2730000
2026-02-17,MBEG.CA,4.300,4.340,4.100,4.150,1010000
2026-02-18,MBEG.CA,4.170,4.270,4.130,4.140,881990
2026-02-19,MBEG.CA,4.130,4.230,3.920,3.970,817030
2026-02-22,MBEG.CA,4.000,4.250,3.990,4.050,1390000
2026-02-23,MBEG.CA,4.100,4.330,4.030,4.160,2100000
2026-02-24,MBEG.CA,4.190,4.230,4.100,4.110,1220000
2026-02-25,MBEG.CA,4.180,4.180,4.000,4.010,840430
2026-02-26,MBEG.CA,4.040,4.370,4.040,4.140,2630000
2026-03-01,MBEG.CA,3.750,4.100,3.750,4.080,1280000
2026-03-02,MBEG.CA,4.070,4.290,4.020,4.040,1390000
2026-03-03,MBEG.CA,4.060,4.180,4.020,4.120,635150
2026-03-04,MBEG.CA,4.130,4.250,4.080,4.150,777260
2026-03-05,MBEG.CA,4.180,4.210,4.110,4.150,246030
2026-03-08,MBEG.CA,4.200,4.200,4.070,4.090,773850
