Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,MENA.CA,1.13,1.16,1.13,1.15,1620000
2024-01-03,MENA.CA,1.17,1.19,1.16,1.18,2330000
2024-01-04,MENA.CA,1.19,1.19,1.17,1.17,2110000
2024-01-08,MENA.CA,1.17,1.41,1.17,1.41,25170000
2024-01-09,MENA.CA,1.40,1.40,1.28,1.31,15940000
2024-01-10,MENA.CA,1.32,1.42,1.31,1.36,18770000
2024-01-11,MENA.CA,1.39,1.40,1.34,1.35,11260000
2024-01-14,MENA.CA,1.37,1.62,1.35,1.61,35070000
2024-01-15,MENA.CA,1.61,1.61,1.53,1.59,23710000
2024-01-16,MENA.CA,1.60,1.86,1.58,1.71,33770000
2024-01-17,MENA.CA,1.74,1.83,1.71,1.74,8550000
2024-01-18,MENA.CA,1.75,1.82,1.71,1.76,5600000
2024-01-21,MENA.CA,1.79,1.80,1.68,1.70,5710000
2024-01-22,MENA.CA,1.75,1.80,1.72,1.74,6320000
2024-01-23,MENA.CA,1.76,1.78,1.67,1.70,3720000
2024-01-24,MENA.CA,1.71,1.76,1.69,1.70,2860000
2024-01-28,MENA.CA,1.75,1.76,1.71,1.75,3060000
2024-01-29,MENA.CA,1.76,1.79,1.71,1.73,2410000
2024-01-30,MENA.CA,1.73,1.76,1.68,1.73,2600000
2024-01-31,MENA.CA,1.73,1.85,1.40,1.59,9180000
2024-02-01,MENA.CA,1.59,1.64,1.46,1.62,4310000
2024-02-04,MENA.CA,1.62,1.71,1.63,1.65,6030000
2024-02-05,MENA.CA,1.65,1.74,1.64,1.71,5760000
2024-02-06,MENA.CA,1.71,1.86,1.73,1.81,19130000
2024-02-07,MENA.CA,1.81,2.11,1.84,2.05,37110000
2024-02-08,MENA.CA,2.05,2.15,2.03,2.06,21670000
2024-02-11,MENA.CA,2.06,2.32,1.95,2.25,32450000
2024-02-12,MENA.CA,2.25,2.47,2.15,2.35,28650000
2024-02-13,MENA.CA,2.35,2.56,2.34,2.44,23770000
2024-02-14,MENA.CA,2.44,2.48,2.33,2.36,11190000
2024-02-15,MENA.CA,2.36,2.47,2.27,2.30,11450000
2024-02-18,MENA.CA,2.30,2.35,2.19,2.22,7060000
2024-02-19,MENA.CA,2.22,2.37,2.21,2.29,8800000
2024-02-20,MENA.CA,2.29,2.42,2.17,2.20,11240000
2024-02-21,MENA.CA,2.20,2.30,2.10,2.10,12180000
