Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,MFPC.CA,30.50,30.56,29.81,29.82,696410
2026-01-05,MFPC.CA,30.00,30.00,29.05,29.16,843940
2026-01-06,MFPC.CA,29.28,30.08,29.23,30.00,589580
2026-01-08,MFPC.CA,30.00,30.97,30.00,30.22,912580
2026-01-11,MFPC.CA,30.25,30.50,30.06,30.15,774500
2026-01-12,MFPC.CA,30.25,31.35,30.03,30.90,3210000
2026-01-13,MFPC.CA,30.80,31.00,29.51,29.51,1220000
2026-01-14,MFPC.CA,29.52,29.84,28.71,29.04,760540
2026-01-15,MFPC.CA,29.15,29.60,29.00,29.27,737940
2026-01-18,MFPC.CA,29.50,29.79,29.25,29.49,667810
2026-01-19,MFPC.CA,29.49,29.90,29.40,29.86,854490
2026-01-20,MFPC.CA,29.90,30.17,29.33,29.54,1600000
2026-01-21,MFPC.CA,29.50,30.38,29.25,30.30,2070000
2026-01-22,MFPC.CA,30.52,31.47,30.52,31.33,3620000
2026-01-25,MFPC.CA,31.95,33.39,31.95,32.54,5510000
2026-01-26,MFPC.CA,32.60,33.20,32.13,32.15,2410000
2026-01-27,MFPC.CA,32.16,33.25,31.61,33.00,4470000
2026-01-28,MFPC.CA,33.50,34.40,32.70,33.40,6240000
2026-02-01,MFPC.CA,33.66,33.73,32.60,33.00,2140000
2026-02-02,MFPC.CA,33.10,33.20,32.46,32.71,1830000
2026-02-03,MFPC.CA,32.83,33.50,32.75,32.98,2870000
2026-02-04,MFPC.CA,33.00,33.24,32.11,32.39,1740000
2026-02-05,MFPC.CA,32.45,32.62,31.90,32.01,1420000
2026-02-08,MFPC.CA,32.24,33.00,32.00,33.00,1870000
2026-02-09,MFPC.CA,33.25,33.48,32.62,32.70,991690
2026-02-10,MFPC.CA,32.70,33.00,32.51,32.59,832870
2026-02-11,MFPC.CA,32.59,33.00,32.08,32.20,1080000
2026-02-12,MFPC.CA,32.18,32.59,32.01,32.40,893980
2026-02-15,MFPC.CA,32.59,33.65,32.44,33.65,2080000
2026-02-16,MFPC.CA,33.80,35.37,33.80,35.02,6150000
2026-02-17,MFPC.CA,35.18,38.25,34.82,37.57,9790000
2026-02-18,MFPC.CA,38.00,38.28,36.25,37.01,3500000
2026-02-19,MFPC.CA,37.10,37.30,35.52,35.66,1320000
2026-02-22,MFPC.CA,35.68,36.07,34.85,35.25,1320000
2026-02-23,MFPC.CA,35.25,37.25,35.25,37.20,2790000
2026-02-24,MFPC.CA,37.25,37.83,36.04,36.21,1290000
2026-02-25,MFPC.CA,36.35,36.59,35.30,35.50,1140000
2026-02-26,MFPC.CA,35.50,36.80,35.16,36.51,2120000
2026-03-01,MFPC.CA,35.00,36.20,34.75,36.00,2610000
2026-03-02,MFPC.CA,35.99,36.51,35.61,36.01,1610000
2026-03-03,MFPC.CA,36.10,39.00,35.63,38.50,6270000
2026-03-04,MFPC.CA,39.39,42.00,39.11,40.53,8390000
2026-03-05,MFPC.CA,40.52,40.55,39.60,39.65,3150000
2026-03-08,MFPC.CA,42.00,45.00,42.00,43.56,7070000
2026-03-09,MFPC.CA,44.67,45.45,42.20,43.30,3860000
2026-03-10,MFPC.CA,42.50,42.51,40.76,41.90,2440000
2026-03-11,MFPC.CA,42.05,43.97,42.05,43.51,2450000
2026-03-12,MFPC.CA,44.36,45.40,43.63,44.50,5130000
2026-03-15,MFPC.CA,44.54,46.03,44.00,44.63,4490000
2026-03-16,MFPC.CA,44.65,45.08,42.84,43.20,2340000
2026-03-17,MFPC.CA,43.30,43.69,42.84,42.88,2900000
2026-03-18,MFPC.CA,43.00,43.62,42.80,43.19,1610000
2026-03-24,MFPC.CA,43.50,45.52,43.25,45.52,3940000
2026-03-25,MFPC.CA,45.99,45.99,43.50,43.79,2540000
2026-03-26,MFPC.CA,44.04,44.46,41.90,41.98,4120000
2026-03-29,MFPC.CA,42.49,42.69,40.32,40.35,8150000
2026-03-30,MFPC.CA,40.57,40.80,38.80,39.90,7370000
2026-03-31,MFPC.CA,39.98,40.86,39.02,40.75,2910000
2026-04-01,MFPC.CA,40.84,41.35,40.00,40.44,3610000
2026-04-02,MFPC.CA,40.60,41.08,40.45,40.60,1500000
2026-04-05,MFPC.CA,40.61,41.79,40.61,41.50,1740000
2026-04-06,MFPC.CA,41.60,42.58,41.42,42.14,2420000
2026-04-07,MFPC.CA,42.50,44.60,42.50,44.00,9950000
2026-04-08,MFPC.CA,43.51,43.62,40.60,42.80,5000000
2026-04-09,MFPC.CA,42.82,43.93,42.60,43.50,4430000
2026-04-12,MFPC.CA,42.80,43.50,43.50,43.50,4430000
2026-04-14,MFPC.CA,44.01,45.25,44.01,44.80,5070000
2026-04-15,MFPC.CA,45.04,45.05,44.06,44.32,2050000
2026-04-16,MFPC.CA,44.30,45.22,43.02,44.00,5400000
2026-04-19,MFPC.CA,44.00,44.23,43.30,43.95,6210000
2026-04-20,MFPC.CA,44.90,45.00,43.80,43.80,4190000
2026-04-21,MFPC.CA,43.98,44.70,43.55,43.83,4570000
2026-04-22,MFPC.CA,44.25,46.50,44.03,46.50,12170000
2026-04-23,MFPC.CA,47.00,48.66,46.50,46.50,10550000
2026-04-26,MFPC.CA,47.47,48.00,46.41,47.10,3560000
2026-04-27,MFPC.CA,47.40,47.50,46.96,47.50,2980000
2026-04-28,MFPC.CA,47.67,48.25,47.52,47.52,5320000
2026-04-29,MFPC.CA,47.69,48.12,47.55,47.80,2590000
2026-04-30,MFPC.CA,48.10,50.50,48.05,50.49,7670000
2026-05-03,MFPC.CA,51.30,52.00,50.42,50.50,3430000
2026-05-04,MFPC.CA,46.99,47.77,45.40,45.40,4570000
2026-05-05,MFPC.CA,45.85,45.85,43.70,44.25,5510000
2026-05-06,MFPC.CA,44.48,44.75,43.00,43.50,3310000
2026-05-10,MFPC.CA,43.61,44.16,43.44,43.77,2200000
2026-05-11,MFPC.CA,44.20,45.30,44.20,45.15,2930000
2026-05-12,MFPC.CA,45.78,46.60,45.41,45.70,2500000
2026-05-13,MFPC.CA,45.90,45.95,44.72,44.74,1770000
2026-05-14,MFPC.CA,44.80,45.39,44.21,44.46,1130000
2026-05-17,MFPC.CA,44.70,46.09,44.70,46.00,3850000
2026-05-18,MFPC.CA,46.50,46.60,45.26,45.26,3830000
2026-05-19,MFPC.CA,45.31,45.78,44.50,44.51,1980000
2026-05-20,MFPC.CA,44.60,44.88,43.50,43.50,1460000
2026-05-21,MFPC.CA,43.54,43.90,43.10,43.22,1370000
2026-05-24,MFPC.CA,43.55,45.10,43.27,44.44,1910000
2026-05-25,MFPC.CA,44.70,44.74,43.14,44.00,1880000
2026-06-01,MFPC.CA,43.84,43.84,43.20,43.52,1630000
2026-06-02,MFPC.CA,43.60,43.84,42.55,42.80,1810000
2026-06-03,MFPC.CA,43.00,43.30,42.63,42.89,1030000
2026-06-04,MFPC.CA,42.90,43.20,42.85,42.99,1030000
2026-06-07,MFPC.CA,42.98,43.10,42.30,42.39,807370
2026-06-08,MFPC.CA,42.57,43.33,42.42,42.56,1570000
2026-06-09,MFPC.CA,42.84,42.84,42.01,42.15,927480
2026-06-10,MFPC.CA,42.20,42.48,41.05,41.20,1250000
2026-06-11,MFPC.CA,41.20,41.45,39.47,39.98,3110000
2026-06-14,MFPC.CA,40.65,40.70,38.15,38.42,4720000
2026-06-15,MFPC.CA,38.50,38.99,36.90,37.40,4050000
2026-06-16,MFPC.CA,37.61,37.70,37.02,37.17,2290000
2026-06-17,MFPC.CA,37.25,37.38,36.50,36.70,3310000
2026-06-21,MFPC.CA,36.97,37.70,36.76,37.22,4280000
2026-06-22,MFPC.CA,37.35,37.56,35.01,35.20,6990000
2026-06-23,MFPC.CA,35.29,35.77,35.15,35.66,2700000
2026-06-24,MFPC.CA,35.85,36.24,35.46,36.15,2770000
