Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,MFSC.CA,30.45,30.45,29.81,31.94,580
2024-01-03,MFSC.CA,29.91,30.40,29.89,31.94,1510
2024-01-04,MFSC.CA,30.59,30.98,30.59,31.94,640
2024-01-08,MFSC.CA,30.00,31.00,29.80,31.94,4240
2024-01-09,MFSC.CA,29.85,31.30,29.85,31.94,40
2024-01-10,MFSC.CA,30.40,31.14,29.86,31.94,1340
2024-01-11,MFSC.CA,29.90,30.50,29.68,31.94,1500
2024-01-14,MFSC.CA,29.86,31.14,29.68,31.94,6350
2024-01-15,MFSC.CA,30.95,30.95,29.80,31.94,2320
2024-01-16,MFSC.CA,29.91,30.65,29.70,30.00,15950
2024-01-17,MFSC.CA,30.00,30.49,29.51,30.00,35520
2024-01-18,MFSC.CA,30.01,30.55,29.78,30.00,1450
2024-01-21,MFSC.CA,30.59,30.97,30.01,30.00,8600
2024-01-22,MFSC.CA,30.96,31.13,30.50,30.99,13140
2024-01-23,MFSC.CA,31.14,31.83,30.03,30.99,2570
2024-01-24,MFSC.CA,31.79,31.99,30.03,30.99,2550
2024-01-28,MFSC.CA,31.25,31.95,29.71,30.99,4330
2024-01-29,MFSC.CA,31.11,31.11,30.20,30.99,1820
2024-01-30,MFSC.CA,31.00,31.49,30.25,30.99,1240
2024-01-31,MFSC.CA,30.23,31.48,30.13,30.99,7940
2024-02-01,MFSC.CA,30.99,31.00,30.00,30.99,7700
2024-02-04,MFSC.CA,30.99,30.96,30.00,30.99,810
2024-02-05,MFSC.CA,30.99,30.96,30.01,30.99,250
2024-02-06,MFSC.CA,30.99,30.96,30.00,30.99,1330
2024-02-07,MFSC.CA,30.99,30.96,30.00,30.99,1230
2024-02-08,MFSC.CA,30.99,30.80,29.80,30.99,8790
2024-02-11,MFSC.CA,30.99,30.90,29.82,30.99,3200
2024-02-12,MFSC.CA,30.99,31.22,30.87,31.20,18730
2024-02-13,MFSC.CA,31.20,31.49,31.20,31.20,1100
2024-02-14,MFSC.CA,31.20,31.48,30.01,31.20,430
2024-02-15,MFSC.CA,31.20,31.48,30.08,31.20,670
2024-02-18,MFSC.CA,31.20,31.44,30.20,31.20,1550
2024-02-19,MFSC.CA,31.20,31.39,30.85,31.20,80
2024-02-20,MFSC.CA,31.20,30.85,30.85,31.20,1970
2024-02-21,MFSC.CA,31.20,31.35,30.35,31.20,470
2024-02-22,MFSC.CA,31.20,31.15,30.37,31.20,150
2024-02-25,MFSC.CA,31.20,30.49,29.80,31.20,710
2024-02-26,MFSC.CA,31.20,29.81,29.80,31.20,150
2024-02-27,MFSC.CA,31.20,30.90,30.00,31.20,1220
2024-02-28,MFSC.CA,31.20,31.00,30.00,31.20,2060
2024-02-29,MFSC.CA,31.20,31.20,29.80,31.20,440
2024-03-03,MFSC.CA,31.20,31.25,29.75,31.20,1430
2024-03-04,MFSC.CA,31.20,30.97,29.62,31.20,1400
2024-03-05,MFSC.CA,31.20,31.21,29.62,31.20,950
2024-03-06,MFSC.CA,31.20,30.19,29.50,31.20,9140
2024-03-07,MFSC.CA,31.20,30.89,29.50,31.20,3260
2024-03-10,MFSC.CA,31.20,31.00,30.00,31.20,170
2024-03-11,MFSC.CA,31.20,31.00,29.50,31.20,400
2024-03-12,MFSC.CA,31.20,37.44,30.99,31.20,8170
2024-03-13,MFSC.CA,31.20,32.59,30.05,31.20,1670
2024-03-14,MFSC.CA,31.20,32.50,26.00,31.20,4140
2024-03-17,MFSC.CA,31.20,30.99,30.00,31.20,180
2024-03-18,MFSC.CA,31.20,32.00,26.00,31.20,1860
2024-03-19,MFSC.CA,31.20,31.95,26.50,31.20,460
2024-03-20,MFSC.CA,31.20,31.50,28.10,31.20,300
2024-03-21,MFSC.CA,31.20,31.00,28.85,31.20,10
2024-03-24,MFSC.CA,31.20,31.15,29.00,31.20,80
2024-03-25,MFSC.CA,31.20,31.00,29.00,31.20,5520
2024-03-26,MFSC.CA,31.20,31.00,28.01,31.20,4410
2024-03-27,MFSC.CA,31.20,30.74,26.32,31.20,5380
2024-03-28,MFSC.CA,31.20,31.20,31.20,31.20,0
2024-03-31,MFSC.CA,31.20,31.00,29.53,31.20,280
2024-04-01,MFSC.CA,31.20,30.33,29.02,31.20,360
2024-04-02,MFSC.CA,31.20,31.00,29.16,31.20,570
2024-04-03,MFSC.CA,31.20,31.00,29.33,31.20,70
2024-04-04,MFSC.CA,31.20,30.90,29.57,31.20,1870
2024-04-07,MFSC.CA,31.20,31.20,31.20,31.20,0
2024-04-08,MFSC.CA,31.20,30.90,29.81,31.20,20
2024-04-15,MFSC.CA,31.20,30.90,29.60,31.20,930
2024-04-16,MFSC.CA,31.20,29.81,29.61,31.20,920
2024-04-17,MFSC.CA,31.20,30.90,29.81,31.20,440
2024-04-18,MFSC.CA,31.20,30.80,29.80,31.20,960
2024-04-21,MFSC.CA,31.20,31.20,29.80,31.20,130
2024-04-22,MFSC.CA,31.20,30.90,30.00,31.20,910
2024-04-23,MFSC.CA,31.20,30.70,29.00,31.20,250
2024-04-24,MFSC.CA,31.20,29.50,29.00,31.20,1220
2024-04-28,MFSC.CA,29.00,29.50,28.01,31.20,1770
2024-04-29,MFSC.CA,31.20,31.20,31.20,31.20,0
2024-04-30,MFSC.CA,27.45,30.00,27.45,31.20,20
2024-05-01,MFSC.CA,26.01,30.00,26.01,31.20,170
2024-05-02,MFSC.CA,26.82,30.00,25.01,25.82,17720
2024-05-07,MFSC.CA,30.25,30.25,26.05,28.69,15480
2024-05-08,MFSC.CA,28.00,28.01,28.00,28.69,410
2024-05-09,MFSC.CA,29.99,33.00,28.52,28.69,3310
2024-05-12,MFSC.CA,30.37,30.37,26.26,28.69,3030
2024-05-13,MFSC.CA,28.00,28.00,26.14,28.69,300
2024-05-14,MFSC.CA,25.19,27.90,25.19,28.69,90
2024-05-15,MFSC.CA,28.69,28.69,28.69,28.69,0
2024-05-16,MFSC.CA,27.95,28.65,27.95,28.69,250
2024-05-19,MFSC.CA,28.65,28.65,28.65,28.69,200
2024-05-20,MFSC.CA,25.33,28.50,25.33,28.69,540
2024-05-21,MFSC.CA,26.71,28.28,25.73,28.69,2620
2024-05-22,MFSC.CA,27.50,28.00,27.50,28.69,340
2024-05-23,MFSC.CA,27.50,28.64,27.50,28.69,230
2024-05-26,MFSC.CA,25.65,28.65,25.65,28.69,450
2024-05-27,MFSC.CA,26.30,28.00,26.30,28.69,20
2024-05-28,MFSC.CA,27.23,28.64,27.23,28.69,170
2024-05-29,MFSC.CA,28.69,28.69,28.69,28.69,0
2024-05-30,MFSC.CA,27.51,27.51,27.46,28.69,160
2024-06-02,MFSC.CA,27.50,28.63,27.50,28.69,1770
2024-06-03,MFSC.CA,27.57,27.58,27.57,28.69,2700
2024-06-04,MFSC.CA,27.58,27.58,27.57,28.69,40
2024-06-05,MFSC.CA,28.69,28.69,28.69,28.69,0
2024-06-06,MFSC.CA,27.58,28.50,27.58,28.69,220
2024-06-09,MFSC.CA,28.50,28.50,26.00,28.69,20
2024-06-10,MFSC.CA,28.63,28.63,25.02,28.69,590
2024-06-11,MFSC.CA,28.49,28.49,27.05,28.69,340
2024-06-12,MFSC.CA,27.05,28.40,27.05,28.69,680
2024-06-13,MFSC.CA,28.60,28.60,27.20,28.69,80
2024-06-23,MFSC.CA,28.69,29.00,24.05,28.69,770
2024-06-24,MFSC.CA,28.78,28.78,28.70,28.69,40
2024-06-25,MFSC.CA,27.55,29.00,27.55,28.69,60
2024-06-26,MFSC.CA,28.00,28.88,27.62,28.69,610
2024-06-27,MFSC.CA,28.20,28.95,26.01,28.69,280
2024-07-01,MFSC.CA,29.79,29.79,26.10,28.69,1710
2024-07-02,MFSC.CA,28.69,28.69,27.06,28.69,1550
2024-07-03,MFSC.CA,28.69,28.69,28.69,28.69,0
2024-07-04,MFSC.CA,28.55,28.55,27.15,28.69,60
2024-07-07,MFSC.CA,27.55,28.45,27.50,28.69,580
2024-07-08,MFSC.CA,27.65,28.45,27.56,28.69,1260
2024-07-09,MFSC.CA,27.71,28.38,27.71,28.69,220
2024-07-10,MFSC.CA,28.38,28.38,27.74,28.69,460
2024-07-14,MFSC.CA,28.69,28.69,28.69,28.69,0
2024-07-15,MFSC.CA,28.00,28.42,28.00,28.69,5450
2024-07-16,MFSC.CA,28.50,28.50,28.50,28.69,570
2024-07-17,MFSC.CA,28.45,28.69,28.45,28.69,430
2024-07-18,MFSC.CA,28.50,28.99,28.50,28.69,520
2024-07-21,MFSC.CA,28.61,28.93,28.60,28.69,7190
2024-07-22,MFSC.CA,28.61,28.65,28.61,28.69,900
2024-07-23,MFSC.CA,28.50,28.65,28.06,28.69,130
2024-07-24,MFSC.CA,27.85,28.40,23.01,25.49,19270
2024-07-28,MFSC.CA,25.50,27.72,25.02,25.49,1420
2024-07-29,MFSC.CA,27.39,27.39,25.64,25.49,470
2024-07-30,MFSC.CA,26.99,26.99,26.00,25.49,580
2024-07-31,MFSC.CA,26.88,26.99,26.35,25.49,3560
2024-08-01,MFSC.CA,26.20,27.00,26.20,25.49,2880
2024-08-04,MFSC.CA,26.30,26.99,25.80,25.49,250
2024-08-05,MFSC.CA,25.80,26.10,25.50,25.49,1740
2024-08-06,MFSC.CA,25.65,26.89,25.50,25.49,5240
2024-08-07,MFSC.CA,26.98,29.98,25.51,25.49,4690
2024-08-08,MFSC.CA,27.49,29.97,26.48,25.49,480
2024-08-11,MFSC.CA,27.50,29.98,26.75,25.49,1360
2024-08-12,MFSC.CA,28.00,29.00,27.01,25.49,1400
2024-08-13,MFSC.CA,27.03,28.24,27.02,25.49,730
2024-08-14,MFSC.CA,27.99,28.00,27.05,25.49,230
2024-08-15,MFSC.CA,27.89,27.89,27.09,25.49,100
2024-08-18,MFSC.CA,27.79,27.79,27.20,25.49,1120
2024-08-19,MFSC.CA,27.71,28.22,27.12,25.49,4130
2024-08-20,MFSC.CA,27.15,27.96,27.15,25.49,1720
2024-08-21,MFSC.CA,28.00,28.00,27.43,25.49,3690
2024-08-22,MFSC.CA,28.00,28.00,27.43,25.49,3400
2024-08-25,MFSC.CA,27.43,27.98,27.43,25.49,300
2024-08-26,MFSC.CA,27.99,27.99,27.99,25.49,420
2024-08-27,MFSC.CA,28.00,30.58,27.81,29.76,26240
2024-08-28,MFSC.CA,30.00,32.00,29.00,30.15,21350
2024-08-29,MFSC.CA,29.64,31.40,29.17,30.15,2980
2024-09-01,MFSC.CA,30.00,31.99,27.50,28.38,39120
2024-09-02,MFSC.CA,29.96,29.96,28.00,28.38,9080
2024-09-03,MFSC.CA,27.85,28.79,27.85,28.38,3970
2024-09-04,MFSC.CA,28.13,28.68,28.11,28.38,470
2024-09-05,MFSC.CA,28.71,28.81,28.50,28.38,1650
2024-09-08,MFSC.CA,30.00,30.00,28.28,28.38,650
2024-09-09,MFSC.CA,29.30,29.30,28.50,28.38,1150
2024-09-10,MFSC.CA,28.75,28.95,27.80,28.38,3120
2024-09-11,MFSC.CA,28.38,28.38,27.86,28.38,580
2024-09-12,MFSC.CA,28.32,28.90,27.87,28.38,7400
2024-09-16,MFSC.CA,28.86,28.92,27.76,28.38,10250
2024-09-17,MFSC.CA,27.95,28.49,27.86,28.38,690
2024-09-18,MFSC.CA,28.89,29.89,28.60,28.38,3130
2024-09-19,MFSC.CA,29.89,29.90,29.10,29.13,14650
2024-09-22,MFSC.CA,29.89,29.89,28.90,29.13,6440
2024-09-23,MFSC.CA,29.47,29.95,29.03,29.13,7400
2024-09-24,MFSC.CA,29.94,34.50,29.94,32.77,126710
2024-09-25,MFSC.CA,32.84,39.32,32.60,35.46,217160
2024-09-26,MFSC.CA,36.80,36.80,33.04,33.29,54450
2024-09-29,MFSC.CA,33.50,34.38,33.00,33.50,11730
2024-09-30,MFSC.CA,33.51,33.99,32.50,33.47,27890
2024-10-01,MFSC.CA,33.25,33.80,33.01,33.47,7800
2024-10-02,MFSC.CA,33.47,33.69,31.14,32.17,12380
2024-10-03,MFSC.CA,32.00,33.45,32.00,32.17,3830
2024-10-07,MFSC.CA,33.14,33.57,32.27,32.17,7440
2024-10-08,MFSC.CA,34.00,34.00,32.02,32.17,3380
2024-10-09,MFSC.CA,32.90,33.03,31.30,32.17,7390
2024-10-10,MFSC.CA,33.90,33.90,32.38,32.79,14490
2024-10-13,MFSC.CA,33.00,33.59,32.50,32.79,6760
2024-10-14,MFSC.CA,33.00,33.20,32.23,32.99,32380
2024-10-15,MFSC.CA,30.49,30.49,28.00,29.48,19080
2024-10-16,MFSC.CA,30.00,30.13,28.08,29.37,25080
2024-10-17,MFSC.CA,29.75,29.75,28.30,29.10,20920
2024-10-20,MFSC.CA,29.10,29.25,28.45,28.72,19010
2024-10-21,MFSC.CA,28.75,28.97,28.40,28.52,10780
2024-10-22,MFSC.CA,29.20,32.00,28.10,29.05,49960
2024-10-23,MFSC.CA,30.00,30.00,28.65,29.03,18390
2024-10-24,MFSC.CA,29.00,29.75,28.65,28.98,44420
2024-10-27,MFSC.CA,28.90,29.49,28.65,29.10,24000
2024-10-28,MFSC.CA,29.10,30.00,29.00,29.10,4080
2024-10-29,MFSC.CA,29.00,29.87,29.00,29.10,1040
2024-10-30,MFSC.CA,29.00,29.60,28.80,29.10,1220
2024-10-31,MFSC.CA,29.10,29.10,28.75,29.10,1950
2024-11-03,MFSC.CA,29.06,29.94,28.71,29.15,18060
2024-11-04,MFSC.CA,29.87,29.87,28.90,29.15,1190
2024-11-05,MFSC.CA,29.65,29.65,29.07,29.15,30
2024-11-06,MFSC.CA,29.00,29.65,28.76,29.15,8840
2024-11-07,MFSC.CA,29.65,30.00,29.00,29.15,1710
2024-11-10,MFSC.CA,29.00,30.00,29.00,29.15,270
2024-11-11,MFSC.CA,29.00,29.90,29.00,29.15,2150
2024-11-12,MFSC.CA,29.89,29.89,28.80,29.15,7090
2024-11-13,MFSC.CA,29.00,29.87,28.76,29.15,1130
2024-11-14,MFSC.CA,29.15,29.97,29.15,29.15,9660
2024-11-17,MFSC.CA,29.98,29.98,29.01,29.15,1320
2024-11-18,MFSC.CA,29.21,29.30,29.00,29.15,5370
2024-11-19,MFSC.CA,28.77,29.70,28.50,29.15,1530
2024-11-20,MFSC.CA,29.80,29.80,28.50,29.15,630
2024-11-21,MFSC.CA,28.52,29.70,28.52,29.15,570
2024-11-24,MFSC.CA,29.57,29.64,28.50,29.15,2280
2024-11-25,MFSC.CA,29.70,29.70,28.50,29.15,600
2024-11-26,MFSC.CA,29.15,29.15,28.20,29.15,1030
2024-11-27,MFSC.CA,28.35,28.72,28.35,29.15,20
2024-11-28,MFSC.CA,28.82,29.60,28.20,29.15,2400
2024-12-01,MFSC.CA,29.60,30.00,28.99,29.15,1200
2024-12-02,MFSC.CA,28.30,30.00,28.10,29.15,690
2024-12-03,MFSC.CA,28.30,29.94,28.20,29.15,2560
2024-12-04,MFSC.CA,28.55,29.89,28.22,29.15,1470
2024-12-05,MFSC.CA,28.46,29.88,28.46,29.15,310
2024-12-08,MFSC.CA,29.90,29.90,28.46,29.15,2220
2024-12-09,MFSC.CA,28.51,29.95,28.51,29.15,2510
2024-12-10,MFSC.CA,28.55,29.50,28.55,29.15,6650
2024-12-11,MFSC.CA,28.50,29.49,28.10,29.15,6610
2024-12-12,MFSC.CA,28.99,29.45,28.55,29.15,9490
2024-12-15,MFSC.CA,28.30,28.50,28.28,29.15,570
2024-12-16,MFSC.CA,28.28,29.15,28.10,29.15,6200
2024-12-17,MFSC.CA,28.75,28.99,28.00,29.15,2740
