Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,MIPH.CA,348.01,364.00,348.00,349.13,1810
2026-01-05,MIPH.CA,348.01,360.00,347.00,351.25,1050
2026-01-06,MIPH.CA,347.01,356.00,347.01,351.25,280
2026-01-08,MIPH.CA,354.50,354.50,348.00,348.31,5250
2026-01-11,MIPH.CA,354.00,360.00,349.01,357.70,1490
2026-01-12,MIPH.CA,355.00,359.97,348.00,359.09,4440
2026-01-13,MIPH.CA,350.02,359.96,335.00,344.54,2460
2026-01-14,MIPH.CA,350.00,350.00,345.00,344.54,120
2026-01-15,MIPH.CA,350.00,350.00,337.21,344.54,100
2026-01-18,MIPH.CA,352.40,352.40,345.00,344.54,50
2026-01-19,MIPH.CA,350.00,350.00,347.00,344.54,160
2026-01-20,MIPH.CA,350.00,350.00,338.00,344.54,470
2026-01-21,MIPH.CA,340.00,349.90,338.01,340.00,2520
2026-01-22,MIPH.CA,349.00,349.88,337.75,338.63,6040
2026-01-25,MIPH.CA,340.00,348.50,337.50,337.50,9060
2026-01-26,MIPH.CA,337.50,348.49,330.23,337.50,270
2026-01-27,MIPH.CA,331.00,338.99,320.23,337.50,400
2026-01-28,MIPH.CA,333.50,347.88,320.25,331.12,1270
2026-02-01,MIPH.CA,331.00,344.96,321.02,331.12,630
2026-02-02,MIPH.CA,330.01,339.98,330.00,331.12,180
2026-02-03,MIPH.CA,338.90,344.96,330.01,339.17,1350
2026-02-04,MIPH.CA,344.00,347.00,331.11,344.18,2340
2026-02-05,MIPH.CA,346.00,346.50,333.50,341.17,1000
2026-02-08,MIPH.CA,345.00,358.00,340.25,352.04,7140
2026-02-09,MIPH.CA,357.97,359.40,345.00,350.03,4130
2026-02-10,MIPH.CA,345.10,358.90,345.10,350.23,5050
2026-02-11,MIPH.CA,350.25,361.00,350.25,360.99,2930
2026-02-12,MIPH.CA,360.98,398.00,352.15,395.37,17740
2026-02-15,MIPH.CA,385.05,399.99,385.00,396.99,3030
2026-02-16,MIPH.CA,397.00,404.99,390.00,402.51,4510
2026-02-17,MIPH.CA,400.00,420.00,400.00,414.06,5800
2026-02-18,MIPH.CA,419.80,432.87,410.31,430.74,2010
2026-02-19,MIPH.CA,433.00,474.00,428.00,460.82,28240
2026-02-22,MIPH.CA,452.50,485.00,452.23,484.55,10330
2026-02-23,MIPH.CA,484.55,488.00,453.00,475.02,11620
2026-02-24,MIPH.CA,475.00,478.70,456.21,459.97,2080
2026-02-25,MIPH.CA,460.00,474.89,441.01,449.26,1590
2026-02-26,MIPH.CA,450.00,458.50,420.14,450.43,3170
2026-03-01,MIPH.CA,450.00,489.99,395.00,456.40,7700
2026-03-02,MIPH.CA,462.95,474.97,450.02,455.30,1590
2026-03-03,MIPH.CA,466.00,470.99,430.02,444.79,1770
2026-03-04,MIPH.CA,444.79,471.00,435.01,464.95,1720
2026-03-05,MIPH.CA,470.00,470.20,446.01,470.20,9820
2026-03-08,MIPH.CA,475.00,485.00,450.50,462.51,13690
2026-03-09,MIPH.CA,460.01,470.00,453.00,460.30,2750
2026-03-10,MIPH.CA,460.00,475.00,455.00,474.39,6910
2026-03-11,MIPH.CA,461.01,479.00,461.00,464.06,2630
2026-03-12,MIPH.CA,465.00,474.99,461.00,465.18,1090
2026-03-15,MIPH.CA,473.97,473.98,460.00,465.18,550
2026-03-16,MIPH.CA,461.00,467.00,422.50,450.00,3300
2026-03-17,MIPH.CA,451.00,480.00,451.00,476.28,2780
2026-03-18,MIPH.CA,479.00,485.00,461.12,477.46,1290
2026-03-24,MIPH.CA,478.99,479.00,468.00,468.01,11480
2026-03-25,MIPH.CA,467.80,478.20,464.03,468.01,380
2026-03-26,MIPH.CA,464.85,478.20,460.00,460.01,13070
2026-03-29,MIPH.CA,460.10,466.49,460.10,460.01,480
2026-03-30,MIPH.CA,466.87,466.87,460.00,460.01,520
2026-03-31,MIPH.CA,461.00,465.93,460.00,460.01,580
2026-04-01,MIPH.CA,460.12,464.99,460.01,460.01,320
2026-04-02,MIPH.CA,460.12,477.99,460.12,475.41,5210
2026-04-05,MIPH.CA,474.99,474.99,462.10,466.09,1080
2026-04-06,MIPH.CA,465.00,478.00,463.20,471.34,840
2026-04-07,MIPH.CA,473.99,475.99,464.33,474.69,1100
2026-04-08,MIPH.CA,467.00,485.00,465.01,478.48,630
2026-04-09,MIPH.CA,484.95,574.17,470.00,574.16,34120
2026-04-12,MIPH.CA,478.48,574.16,574.16,574.16,34120
2026-04-14,MIPH.CA,600.10,659.00,550.00,554.19,58470
2026-04-15,MIPH.CA,560.00,577.75,554.00,555.01,4690
2026-04-16,MIPH.CA,560.00,560.00,523.00,559.86,13710
2026-04-19,MIPH.CA,560.00,566.50,545.25,561.43,6490
2026-04-20,MIPH.CA,560.00,597.97,550.30,554.40,15400
2026-04-21,MIPH.CA,557.00,577.70,550.00,552.03,6710
2026-04-22,MIPH.CA,552.05,569.90,550.55,562.67,5650
2026-04-23,MIPH.CA,561.00,600.00,551.01,600.00,8560
2026-04-26,MIPH.CA,596.00,599.00,580.00,587.76,1870
2026-04-27,MIPH.CA,589.77,600.00,584.00,599.79,1840
2026-04-28,MIPH.CA,593.00,605.00,586.33,595.86,1660
2026-04-29,MIPH.CA,590.00,650.00,590.00,649.50,17900
2026-04-30,MIPH.CA,655.50,700.00,630.10,667.96,10400
2026-05-03,MIPH.CA,669.97,772.00,649.00,728.70,23030
2026-05-04,MIPH.CA,732.50,757.00,685.00,721.88,18150
2026-05-05,MIPH.CA,725.00,740.00,694.03,699.19,20050
2026-05-06,MIPH.CA,700.00,700.00,685.00,692.47,4710
2026-05-10,MIPH.CA,693.00,695.50,685.02,685.22,6870
2026-05-11,MIPH.CA,693.90,694.00,685.53,687.72,2850
2026-05-12,MIPH.CA,686.00,691.90,685.00,685.30,4130
2026-05-13,MIPH.CA,688.70,729.00,685.39,686.08,19150
2026-05-14,MIPH.CA,698.00,717.99,686.20,698.44,4210
2026-05-17,MIPH.CA,690.11,700.00,686.89,700.00,4190
2026-05-18,MIPH.CA,700.00,700.34,685.00,693.80,4010
2026-05-19,MIPH.CA,697.50,697.50,685.00,685.64,3110
2026-05-20,MIPH.CA,689.99,690.00,640.00,648.32,8670
2026-05-21,MIPH.CA,648.00,659.00,647.00,650.49,1260
2026-05-24,MIPH.CA,660.00,687.77,647.30,649.68,6920
2026-05-25,MIPH.CA,667.00,667.00,648.25,651.80,2110
2026-06-01,MIPH.CA,665.00,665.00,651.80,652.59,1160
2026-06-02,MIPH.CA,655.00,664.80,652.01,660.74,1600
2026-06-03,MIPH.CA,660.95,663.99,651.80,653.68,980
2026-06-04,MIPH.CA,658.99,688.99,655.00,669.42,5090
2026-06-07,MIPH.CA,670.00,690.00,651.00,651.60,9190
2026-06-08,MIPH.CA,673.99,684.50,655.00,669.69,2210
2026-06-09,MIPH.CA,679.00,679.60,652.60,660.66,1820
2026-06-10,MIPH.CA,660.00,670.00,654.10,658.09,3760
2026-06-11,MIPH.CA,655.50,663.90,652.00,654.02,1340
2026-06-14,MIPH.CA,658.11,670.00,655.00,658.46,1270
2026-06-15,MIPH.CA,664.00,664.00,658.00,662.15,1430
2026-06-16,MIPH.CA,658.67,670.00,654.00,664.14,2710
2026-06-17,MIPH.CA,669.98,701.00,660.00,700.01,9100
2026-06-21,MIPH.CA,701.00,710.00,670.03,694.00,3870
2026-06-22,MIPH.CA,699.99,699.99,677.00,688.30,1110
2026-06-23,MIPH.CA,696.00,696.00,659.00,660.66,4530
2026-06-24,MIPH.CA,667.79,673.98,661.00,663.03,2340
