Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,MMAT.CA,2.260,2.260,2.260,2.160,18530
2024-01-03,MMAT.CA,2.260,2.260,2.260,2.160,22350
2024-01-04,MMAT.CA,2.260,2.260,2.260,2.160,7660
2024-01-08,MMAT.CA,2.260,2.260,2.260,2.160,500
2024-01-09,MMAT.CA,2.260,2.260,2.260,2.160,4000
2024-01-10,MMAT.CA,2.260,2.260,2.260,2.160,43530
2024-01-11,MMAT.CA,2.260,2.260,2.260,2.260,163680
2024-01-14,MMAT.CA,2.370,2.370,2.370,2.260,41300
2024-01-15,MMAT.CA,2.370,2.370,2.370,2.260,4280
2024-01-16,MMAT.CA,2.370,2.370,2.370,2.260,16100
2024-01-17,MMAT.CA,2.370,2.370,2.370,2.260,109000
2024-01-18,MMAT.CA,2.370,2.370,2.370,2.260,13370
2024-01-21,MMAT.CA,2.370,2.370,2.370,2.370,127050
2024-01-22,MMAT.CA,2.480,2.480,2.480,2.480,127700
2024-01-23,MMAT.CA,2.600,2.600,2.600,2.480,13500
2024-01-24,MMAT.CA,2.600,2.600,2.600,2.600,116500
2024-01-28,MMAT.CA,2.730,2.730,2.730,2.600,44840
2024-01-29,MMAT.CA,2.730,2.730,2.600,2.730,319060
2024-01-30,MMAT.CA,2.790,2.850,2.610,2.730,56480
2024-01-31,MMAT.CA,2.720,2.720,2.600,2.730,71980
2024-02-01,MMAT.CA,2.730,2.750,2.600,2.730,44850
2024-02-04,MMAT.CA,2.730,2.720,2.600,2.730,12080
2024-02-05,MMAT.CA,2.730,2.680,2.600,2.730,6870
2024-02-06,MMAT.CA,2.730,2.650,2.650,2.730,190
2024-02-07,MMAT.CA,2.730,2.600,2.600,2.730,50400
2024-02-08,MMAT.CA,2.730,2.690,2.650,2.730,6000
2024-02-11,MMAT.CA,2.730,2.660,2.600,2.730,52100
2024-02-12,MMAT.CA,2.730,2.680,2.600,2.730,6280
2024-02-13,MMAT.CA,2.730,2.730,2.600,2.730,279810
2024-02-14,MMAT.CA,2.730,2.830,2.600,2.730,7640
2024-02-15,MMAT.CA,2.730,2.840,2.600,2.600,544890
2024-02-18,MMAT.CA,2.600,2.680,2.650,2.600,3760
2024-02-19,MMAT.CA,2.600,2.510,2.510,2.600,500
2024-02-20,MMAT.CA,2.600,2.600,2.470,2.600,3840
2024-02-21,MMAT.CA,2.600,2.730,2.470,2.600,43650
2024-02-22,MMAT.CA,2.600,2.720,2.470,2.470,132780
2024-02-25,MMAT.CA,2.470,2.500,2.350,2.470,3670
2024-02-26,MMAT.CA,2.470,2.500,2.350,2.470,7670
2024-02-27,MMAT.CA,2.470,2.370,2.370,2.470,2610
2024-02-28,MMAT.CA,2.470,2.450,2.350,2.470,44670
2024-02-29,MMAT.CA,2.470,2.490,2.350,2.470,4110
2024-03-03,MMAT.CA,2.470,2.420,2.350,2.470,17230
2024-03-04,MMAT.CA,2.470,2.470,2.350,2.470,92420
2024-03-05,MMAT.CA,2.470,2.350,2.350,2.470,37990
2024-03-06,MMAT.CA,2.470,2.360,2.350,2.470,12090
2024-03-07,MMAT.CA,2.470,2.350,2.350,2.470,15500
2024-03-10,MMAT.CA,2.470,2.490,2.350,2.470,71820
2024-03-11,MMAT.CA,2.470,2.590,2.490,2.540,144780
2024-03-12,MMAT.CA,2.470,2.540,2.540,2.540,0
2024-03-13,MMAT.CA,2.540,2.660,2.490,2.540,22480
2024-03-14,MMAT.CA,2.540,2.540,2.540,2.540,0
2024-03-17,MMAT.CA,2.540,2.420,2.420,2.540,500
2024-03-18,MMAT.CA,2.540,2.540,2.540,2.540,0
2024-03-19,MMAT.CA,2.540,2.420,2.420,2.540,39100
2024-03-20,MMAT.CA,2.540,2.420,2.420,2.540,61230
2024-03-21,MMAT.CA,2.540,2.540,2.540,2.540,0
2024-03-24,MMAT.CA,2.540,2.420,2.420,2.540,30
2024-03-25,MMAT.CA,2.540,2.540,2.540,2.540,0
2024-03-26,MMAT.CA,2.540,2.540,2.540,2.540,0
2024-03-27,MMAT.CA,2.540,2.430,2.430,2.540,130
2024-03-28,MMAT.CA,2.540,2.540,2.540,2.540,0
2024-03-31,MMAT.CA,2.540,2.550,2.550,2.540,20
