Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,MOSC.CA,49.00,51.99,45.66,48.00,540
2024-01-03,MOSC.CA,51.72,51.95,48.01,48.00,1740
2024-01-04,MOSC.CA,51.00,51.01,47.01,48.00,1340
2024-01-08,MOSC.CA,48.00,48.00,47.00,48.00,5200
2024-01-09,MOSC.CA,47.00,50.39,44.00,48.00,1840
2024-01-10,MOSC.CA,48.00,49.40,45.30,48.00,2030
2024-01-11,MOSC.CA,48.00,48.99,46.13,48.00,750
2024-01-14,MOSC.CA,50.00,57.60,44.00,48.00,1660
2024-01-15,MOSC.CA,50.49,50.50,48.01,48.00,420
2024-01-16,MOSC.CA,48.21,50.00,48.00,48.00,790
2024-01-17,MOSC.CA,48.01,49.50,47.60,48.00,4380
2024-01-18,MOSC.CA,48.00,48.00,48.00,48.00,690
2024-01-21,MOSC.CA,49.00,50.00,48.00,48.00,650
2024-01-22,MOSC.CA,48.00,51.00,48.00,48.00,1880
2024-01-23,MOSC.CA,50.00,52.00,48.20,48.00,1160
2024-01-24,MOSC.CA,48.30,48.30,48.30,48.00,1000
2024-01-28,MOSC.CA,51.25,51.25,48.11,48.00,380
2024-01-29,MOSC.CA,48.30,52.00,48.30,48.00,1480
2024-01-30,MOSC.CA,53.44,57.59,48.50,48.00,2450
2024-01-31,MOSC.CA,48.01,53.00,46.79,48.00,2120
2024-02-01,MOSC.CA,48.00,52.97,40.00,48.00,3460
2024-02-04,MOSC.CA,48.00,52.97,40.10,48.00,1780
2024-02-05,MOSC.CA,48.00,52.75,42.12,48.00,1260
2024-02-06,MOSC.CA,48.00,49.00,48.00,48.00,2700
2024-02-07,MOSC.CA,48.00,49.00,41.30,48.00,710
2024-02-08,MOSC.CA,48.00,48.99,46.60,48.00,500
2024-02-11,MOSC.CA,48.00,49.00,46.50,48.00,570
2024-02-12,MOSC.CA,48.00,52.61,42.12,48.00,910
2024-02-13,MOSC.CA,48.00,50.00,45.12,48.00,1310
2024-02-14,MOSC.CA,48.00,49.45,47.00,48.00,520
2024-02-15,MOSC.CA,48.00,48.25,47.21,48.00,140
2024-02-18,MOSC.CA,48.00,57.60,48.00,56.78,10640
2024-02-19,MOSC.CA,56.78,68.10,56.43,58.35,5170
2024-02-20,MOSC.CA,58.35,67.99,55.01,61.52,11040
2024-02-21,MOSC.CA,61.52,65.98,57.05,60.69,4950
2024-02-22,MOSC.CA,60.69,66.00,48.56,61.11,15240
2024-02-25,MOSC.CA,61.11,59.95,53.00,61.11,2150
