Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,MPCI.CA,21.36,21.80,20.81,20.90,20100
2024-01-03,MPCI.CA,20.91,21.36,20.61,20.90,13970
2024-01-04,MPCI.CA,21.07,21.22,20.57,20.75,27860
2024-01-08,MPCI.CA,21.07,21.07,20.45,20.66,19010
2024-01-09,MPCI.CA,20.91,21.11,20.47,20.55,18440
2024-01-10,MPCI.CA,20.74,21.04,20.51,20.69,18460
2024-01-11,MPCI.CA,20.91,20.97,20.48,20.61,21560
2024-01-14,MPCI.CA,20.91,20.94,20.51,20.58,28830
2024-01-15,MPCI.CA,20.74,20.81,20.21,20.33,28350
2024-01-16,MPCI.CA,20.67,20.67,19.91,20.22,35080
2024-01-17,MPCI.CA,20.21,20.57,20.18,20.25,45930
2024-01-18,MPCI.CA,20.56,20.57,19.91,20.17,68230
2024-01-21,MPCI.CA,21.23,24.20,21.12,24.20,383100
2024-01-22,MPCI.CA,27.48,27.79,24.89,26.32,240060
2024-01-23,MPCI.CA,27.23,27.87,26.28,26.55,148980
2024-01-24,MPCI.CA,26.55,27.05,25.89,26.33,36380
2024-01-28,MPCI.CA,26.74,26.87,25.89,26.54,37900
2024-01-29,MPCI.CA,26.55,29.03,25.92,27.13,184710
2024-01-30,MPCI.CA,27.54,31.52,27.54,30.39,205470
2024-01-31,MPCI.CA,30.86,32.18,29.20,31.14,259630
2024-02-01,MPCI.CA,31.14,36.83,29.29,32.79,91880
2024-02-04,MPCI.CA,32.79,34.84,31.20,33.34,60540
2024-02-05,MPCI.CA,33.34,37.33,31.24,35.80,70310
2024-02-06,MPCI.CA,35.80,39.49,35.89,36.70,76950
2024-02-07,MPCI.CA,36.70,37.83,33.85,36.19,31920
2024-02-08,MPCI.CA,36.19,36.50,34.22,35.08,20540
2024-02-11,MPCI.CA,35.08,37.76,33.52,34.53,21580
2024-02-12,MPCI.CA,34.53,35.51,33.85,34.42,20810
2024-02-13,MPCI.CA,34.42,35.34,30.42,32.46,101810
2024-02-14,MPCI.CA,32.46,33.85,32.02,33.20,40380
2024-02-15,MPCI.CA,33.20,35.51,32.36,34.63,59660
2024-02-18,MPCI.CA,34.63,37.17,35.18,36.00,36200
2024-02-19,MPCI.CA,36.00,36.50,33.52,34.94,22230
2024-02-20,MPCI.CA,34.94,36.47,34.18,35.47,22970
2024-02-21,MPCI.CA,35.47,36.17,33.52,34.49,24730
2024-02-22,MPCI.CA,34.49,36.14,34.51,35.17,19530
2024-02-25,MPCI.CA,35.17,36.00,33.18,34.03,45470
2024-02-26,MPCI.CA,34.03,36.33,32.37,36.22,66370
2024-02-27,MPCI.CA,36.22,43.47,36.17,42.20,243820
2024-02-28,MPCI.CA,42.20,45.79,37.50,41.16,54750
2024-02-29,MPCI.CA,41.16,43.80,41.15,43.12,60560
2024-03-03,MPCI.CA,43.12,46.45,41.48,43.10,69740
2024-03-04,MPCI.CA,43.10,43.47,41.82,42.35,13500
2024-03-05,MPCI.CA,42.35,43.10,39.56,40.54,78350
2024-03-06,MPCI.CA,40.54,41.48,36.90,38.50,29010
2024-03-07,MPCI.CA,38.50,40.48,36.51,38.06,26920
2024-03-10,MPCI.CA,38.06,39.82,35.56,37.65,36210
2024-03-11,MPCI.CA,37.65,39.16,37.00,37.65,7240
2024-03-12,MPCI.CA,37.65,37.83,36.50,37.65,7810
2024-03-13,MPCI.CA,37.65,37.65,33.18,33.29,24110
2024-03-14,MPCI.CA,33.29,36.17,33.18,34.18,27440
2024-03-17,MPCI.CA,34.18,36.47,34.38,35.23,16250
2024-03-18,MPCI.CA,35.23,35.67,31.91,32.99,18270
2024-03-19,MPCI.CA,32.99,33.17,30.30,31.54,13310
2024-03-20,MPCI.CA,31.54,36.50,30.90,33.58,29980
2024-03-21,MPCI.CA,33.58,35.51,33.35,33.60,27030
2024-03-24,MPCI.CA,33.60,35.17,32.86,33.42,12700
2024-03-25,MPCI.CA,33.42,34.18,32.85,33.09,16530
2024-03-26,MPCI.CA,33.09,34.11,32.86,33.15,19520
2024-03-27,MPCI.CA,33.15,34.08,32.20,33.15,8920
2024-03-28,MPCI.CA,33.15,35.49,32.52,33.49,14400
2024-03-31,MPCI.CA,33.49,33.95,31.86,32.61,12670
2024-04-01,MPCI.CA,32.61,33.18,30.93,31.57,100300
2024-04-02,MPCI.CA,31.57,32.27,30.38,30.68,133020
2024-04-03,MPCI.CA,30.68,31.11,28.38,30.53,78770
