Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,MPCO.CA,0.474,0.496,0.474,0.491,41400000
2024-01-03,MPCO.CA,0.501,0.503,0.483,0.483,22480000
2024-01-04,MPCO.CA,0.483,0.494,0.481,0.486,9690000
2024-01-08,MPCO.CA,0.491,0.494,0.482,0.482,16500000
2024-01-09,MPCO.CA,0.485,0.489,0.482,0.485,7500000
2024-01-10,MPCO.CA,0.486,0.491,0.484,0.485,5750000
2024-01-11,MPCO.CA,0.485,0.529,0.485,0.519,69660000
2024-01-14,MPCO.CA,0.522,0.563,0.522,0.544,72240000
2024-01-15,MPCO.CA,0.558,0.581,0.548,0.553,38890000
2024-01-16,MPCO.CA,0.558,0.565,0.540,0.540,24210000
2024-01-17,MPCO.CA,0.542,0.550,0.524,0.529,12410000
2024-01-18,MPCO.CA,0.532,0.549,0.532,0.537,12400000
2024-01-21,MPCO.CA,0.539,0.570,0.539,0.553,26060000
2024-01-22,MPCO.CA,0.562,0.563,0.539,0.540,12790000
2024-01-23,MPCO.CA,0.543,0.554,0.537,0.538,18490000
2024-01-24,MPCO.CA,0.540,0.572,0.540,0.560,28920000
2024-01-28,MPCO.CA,0.571,0.580,0.554,0.555,16120000
2024-01-29,MPCO.CA,0.558,0.564,0.542,0.545,15430000
2024-01-30,MPCO.CA,0.552,0.595,0.546,0.593,68610000
2024-01-31,MPCO.CA,0.634,0.644,0.532,0.546,102740000
2024-02-01,MPCO.CA,0.546,0.578,0.537,0.570,27030000
2024-02-04,MPCO.CA,0.570,0.611,0.568,0.588,47240000
2024-02-05,MPCO.CA,0.588,0.627,0.589,0.595,35050000
2024-02-06,MPCO.CA,0.595,0.616,0.586,0.589,30860000
2024-02-07,MPCO.CA,0.589,0.622,0.590,0.609,41380000
2024-02-08,MPCO.CA,0.609,0.645,0.600,0.600,51020000
2024-02-11,MPCO.CA,0.600,0.619,0.589,0.591,34700000
2024-02-12,MPCO.CA,0.591,0.596,0.553,0.579,11150000
2024-02-13,MPCO.CA,0.579,0.588,0.573,0.576,10570000
2024-02-14,MPCO.CA,0.576,0.593,0.577,0.583,12940000
2024-02-15,MPCO.CA,0.583,0.603,0.585,0.592,15010000
2024-02-18,MPCO.CA,0.592,0.607,0.593,0.604,20760000
2024-02-19,MPCO.CA,0.604,0.619,0.573,0.604,38720000
2024-02-20,MPCO.CA,0.604,0.616,0.606,0.611,18670000
2024-02-21,MPCO.CA,0.611,0.655,0.604,0.655,51530000
2024-02-22,MPCO.CA,0.655,0.703,0.656,0.665,84360000
2024-02-25,MPCO.CA,0.665,0.654,0.604,0.612,38270000
2024-02-26,MPCO.CA,0.612,0.617,0.594,0.599,21570000
2024-02-27,MPCO.CA,0.599,0.619,0.599,0.601,25850000
2024-02-28,MPCO.CA,0.601,0.609,0.579,0.584,12860000
2024-02-29,MPCO.CA,0.584,0.588,0.563,0.571,9770000
2024-03-03,MPCO.CA,0.571,0.583,0.567,0.568,7570000
2024-03-04,MPCO.CA,0.568,0.591,0.570,0.576,10010000
2024-03-05,MPCO.CA,0.576,0.598,0.579,0.584,10860000
2024-03-06,MPCO.CA,0.584,0.586,0.545,0.550,18470000
2024-03-07,MPCO.CA,0.550,0.561,0.540,0.553,7170000
2024-03-10,MPCO.CA,0.553,0.582,0.560,0.571,7180000
2024-03-11,MPCO.CA,0.571,0.599,0.573,0.580,9600000
2024-03-12,MPCO.CA,0.580,0.639,0.571,0.594,32030000
2024-03-13,MPCO.CA,0.594,0.609,0.572,0.584,21010000
2024-03-14,MPCO.CA,0.584,0.610,0.578,0.601,15070000
2024-03-17,MPCO.CA,0.601,0.619,0.586,0.589,16370000
2024-03-18,MPCO.CA,0.589,0.589,0.535,0.537,13090000
2024-03-19,MPCO.CA,0.537,0.537,0.510,0.516,6950000
2024-03-20,MPCO.CA,0.516,0.609,0.538,0.586,29670000
2024-03-21,MPCO.CA,0.586,0.606,0.580,0.593,14990000
2024-03-24,MPCO.CA,0.593,0.619,0.589,0.600,18330000
2024-03-25,MPCO.CA,0.600,0.609,0.591,0.593,10110000
2024-03-26,MPCO.CA,0.593,0.599,0.573,0.578,7800000
2024-03-27,MPCO.CA,0.578,0.583,0.532,0.563,6630000
2024-03-28,MPCO.CA,0.563,0.573,0.548,0.563,2410000
2024-03-31,MPCO.CA,0.563,0.573,0.521,0.525,3370000
2024-04-01,MPCO.CA,0.525,0.558,0.538,0.550,2350000
2024-04-02,MPCO.CA,0.550,0.570,0.554,0.561,2460000
2024-04-03,MPCO.CA,0.561,0.563,0.547,0.557,1900000
2024-04-04,MPCO.CA,0.557,0.573,0.557,0.558,4050000
