Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,MTIE.CA,6.05,6.07,5.91,5.92,4590000
2026-01-05,MTIE.CA,5.96,6.00,5.87,5.95,4880000
2026-01-06,MTIE.CA,5.96,6.06,5.95,6.04,4280000
2026-01-08,MTIE.CA,6.06,6.09,6.02,6.03,3060000
2026-01-11,MTIE.CA,6.03,6.12,6.02,6.10,3770000
2026-01-12,MTIE.CA,6.10,6.20,6.07,6.16,3740000
2026-01-13,MTIE.CA,6.16,6.22,6.09,6.14,2850000
2026-01-14,MTIE.CA,6.14,6.17,5.83,5.98,2360000
2026-01-15,MTIE.CA,5.98,6.16,5.92,5.98,1550000
2026-01-18,MTIE.CA,6.02,6.07,5.88,5.97,834980
2026-01-19,MTIE.CA,6.01,6.03,5.97,6.01,2250000
2026-01-20,MTIE.CA,6.03,6.04,5.92,6.04,3920000
2026-01-21,MTIE.CA,6.04,6.19,6.00,6.07,3850000
2026-01-22,MTIE.CA,6.08,6.21,6.05,6.18,3460000
2026-01-25,MTIE.CA,6.23,6.33,6.14,6.22,5160000
2026-01-26,MTIE.CA,6.22,6.27,6.06,6.15,4410000
2026-01-27,MTIE.CA,6.17,6.20,6.04,6.12,1860000
2026-01-28,MTIE.CA,6.12,6.15,5.94,6.06,2180000
2026-02-01,MTIE.CA,6.06,6.08,5.97,6.04,1920000
2026-02-02,MTIE.CA,6.08,6.08,6.00,6.04,1390000
2026-02-03,MTIE.CA,6.06,6.33,6.02,6.28,6070000
2026-02-04,MTIE.CA,6.31,6.46,6.29,6.40,4000000
2026-02-05,MTIE.CA,6.42,6.58,6.34,6.47,9670000
2026-02-08,MTIE.CA,6.57,6.57,6.42,6.47,1500000
2026-02-09,MTIE.CA,6.47,6.53,6.30,6.49,1750000
2026-02-10,MTIE.CA,6.50,6.56,6.37,6.47,762520
2026-02-11,MTIE.CA,6.42,7.02,6.37,6.97,19890000
2026-02-12,MTIE.CA,6.98,7.20,6.84,6.92,6890000
2026-02-15,MTIE.CA,6.93,7.17,6.71,7.14,3960000
2026-02-16,MTIE.CA,7.12,7.16,6.26,6.87,2520000
2026-02-17,MTIE.CA,6.92,7.03,6.83,6.97,2690000
2026-02-18,MTIE.CA,7.00,7.62,6.88,7.44,6890000
2026-02-19,MTIE.CA,7.45,7.50,6.87,7.00,1310000
2026-02-22,MTIE.CA,7.05,7.07,6.67,6.73,852360
2026-02-23,MTIE.CA,6.74,6.96,6.72,6.92,501420
2026-02-24,MTIE.CA,6.92,7.62,6.79,7.37,4590000
2026-02-25,MTIE.CA,7.33,7.58,7.05,7.17,2850000
2026-02-26,MTIE.CA,7.36,7.36,6.87,7.06,904380
2026-03-01,MTIE.CA,6.54,6.81,6.54,6.68,2230000
2026-03-02,MTIE.CA,6.69,6.87,6.49,6.55,2310000
2026-03-03,MTIE.CA,6.64,6.71,6.43,6.52,2310000
2026-03-04,MTIE.CA,6.58,6.62,6.27,6.33,2990000
2026-03-05,MTIE.CA,6.35,6.61,6.35,6.42,2570000
2026-03-08,MTIE.CA,6.42,6.49,6.30,6.32,2440000
2026-03-09,MTIE.CA,6.36,6.58,6.29,6.50,4230000
2026-03-10,MTIE.CA,6.58,6.67,6.55,6.59,2650000
2026-03-11,MTIE.CA,6.62,6.62,6.42,6.62,2320000
2026-03-12,MTIE.CA,6.62,6.63,6.42,6.50,3310000
2026-03-15,MTIE.CA,6.53,6.57,6.34,6.35,2180000
2026-03-16,MTIE.CA,6.42,6.42,6.27,6.28,2400000
2026-03-17,MTIE.CA,6.28,6.38,6.28,6.32,2610000
2026-03-18,MTIE.CA,6.46,6.47,6.35,6.43,1060000
2026-03-24,MTIE.CA,6.46,6.47,6.33,6.39,2570000
2026-03-25,MTIE.CA,6.42,6.43,6.36,6.38,755550
2026-03-26,MTIE.CA,6.39,6.62,6.30,6.32,12340000
2026-03-29,MTIE.CA,6.32,6.43,6.21,6.22,5520000
2026-03-30,MTIE.CA,6.22,6.26,6.06,6.06,9460000
2026-03-31,MTIE.CA,6.08,6.12,5.87,5.92,10930000
2026-04-01,MTIE.CA,6.00,6.07,5.94,5.98,8450000
2026-04-02,MTIE.CA,5.98,6.12,5.97,6.10,8900000
2026-04-05,MTIE.CA,6.10,6.18,6.04,6.10,4360000
2026-04-06,MTIE.CA,6.12,6.21,6.07,6.08,2990000
2026-04-07,MTIE.CA,6.08,6.12,6.04,6.06,1830000
2026-04-08,MTIE.CA,6.14,6.33,6.13,6.32,4770000
2026-04-09,MTIE.CA,6.32,6.37,6.24,6.32,2090000
2026-04-12,MTIE.CA,7.58,7.58,7.58,7.58,1740000
2026-04-14,MTIE.CA,6.32,6.41,6.29,6.34,1210000
2026-04-15,MTIE.CA,6.35,6.38,6.27,6.29,1600000
2026-04-16,MTIE.CA,6.31,6.50,6.30,6.42,2650000
2026-04-19,MTIE.CA,6.46,6.53,6.41,6.41,1540000
2026-04-20,MTIE.CA,6.43,6.48,6.35,6.37,863000
2026-04-21,MTIE.CA,6.37,6.43,6.37,6.38,616900
2026-04-22,MTIE.CA,6.42,6.62,6.30,6.62,3030000
2026-04-23,MTIE.CA,6.62,6.70,6.57,6.62,3470000
2026-04-26,MTIE.CA,6.62,6.96,6.62,6.88,8220000
2026-04-27,MTIE.CA,6.96,7.04,6.88,6.98,2460000
2026-04-28,MTIE.CA,7.00,7.06,6.90,6.93,2050000
2026-04-29,MTIE.CA,6.97,7.04,6.90,7.02,3420000
2026-04-30,MTIE.CA,7.04,7.27,7.03,7.25,3730000
2026-05-03,MTIE.CA,7.32,8.31,7.31,8.21,14330000
