Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,NAHO.CA,4.16,4.32,4.14,4.27,189160
2024-01-03,NAHO.CA,4.20,4.28,4.20,4.27,3070
2024-01-04,NAHO.CA,4.17,4.25,4.13,4.15,76160
2024-01-08,NAHO.CA,4.12,4.15,4.10,4.15,31560
2024-01-09,NAHO.CA,4.11,4.15,4.07,4.11,123880
2024-01-10,NAHO.CA,4.06,4.11,4.06,4.11,37780
2024-01-11,NAHO.CA,4.10,4.10,4.04,4.11,35590
2024-01-14,NAHO.CA,4.10,4.11,4.04,4.07,180870
2024-01-15,NAHO.CA,4.12,4.12,4.05,4.07,283230
2024-01-16,NAHO.CA,4.08,4.17,4.08,4.13,147410
2024-01-17,NAHO.CA,4.15,4.15,4.04,4.06,171310
2024-01-18,NAHO.CA,4.03,4.04,3.99,4.01,83460
2024-01-21,NAHO.CA,3.99,4.23,3.89,4.15,607140
2024-01-22,NAHO.CA,4.23,4.30,4.10,4.12,207340
2024-01-23,NAHO.CA,4.10,4.14,4.06,4.09,98170
2024-01-24,NAHO.CA,4.14,4.16,4.04,4.15,156760
2024-01-28,NAHO.CA,4.15,4.31,4.14,4.23,163500
2024-01-29,NAHO.CA,4.27,4.27,3.94,4.23,30370
2024-01-30,NAHO.CA,4.06,4.41,4.06,4.34,3070000
2024-01-31,NAHO.CA,4.44,4.45,4.10,4.17,369470
2024-02-01,NAHO.CA,4.17,4.27,3.56,4.04,78150
2024-02-04,NAHO.CA,4.04,4.28,3.90,4.04,138560
2024-02-05,NAHO.CA,4.04,4.26,3.90,4.17,90420
2024-02-06,NAHO.CA,4.17,4.22,4.06,4.17,67170
2024-02-07,NAHO.CA,4.17,4.15,4.03,4.17,25350
2024-02-08,NAHO.CA,4.17,4.08,4.00,4.17,56320
2024-02-11,NAHO.CA,4.17,4.23,3.94,4.02,194400
2024-02-12,NAHO.CA,4.02,4.03,3.98,3.98,83940
2024-02-13,NAHO.CA,3.98,4.23,4.06,4.14,81810
2024-02-14,NAHO.CA,4.14,4.19,4.07,4.10,232850
2024-02-15,NAHO.CA,4.10,4.18,4.07,4.17,95050
2024-02-18,NAHO.CA,4.17,4.32,4.07,4.30,436760
2024-02-19,NAHO.CA,4.30,4.41,4.23,4.26,299720
2024-02-20,NAHO.CA,4.26,4.55,4.19,4.49,1250000
2024-02-21,NAHO.CA,4.49,4.52,4.36,4.41,344000
2024-02-22,NAHO.CA,4.41,4.48,4.34,4.42,238310
2024-02-25,NAHO.CA,4.42,4.40,3.98,4.28,181170
2024-02-26,NAHO.CA,4.28,4.58,4.15,4.55,316490
2024-02-27,NAHO.CA,4.55,4.58,4.36,4.49,69500
2024-02-28,NAHO.CA,4.49,4.58,4.28,4.36,113950
2024-02-29,NAHO.CA,4.36,4.30,4.23,4.36,24360
2024-03-03,NAHO.CA,4.36,4.36,4.24,4.36,49910
2024-03-04,NAHO.CA,4.36,4.71,4.41,4.48,553370
2024-03-05,NAHO.CA,4.48,4.67,4.43,4.49,152590
2024-03-06,NAHO.CA,4.49,4.56,4.28,4.36,118640
2024-03-07,NAHO.CA,4.36,4.32,4.20,4.36,37260
2024-03-10,NAHO.CA,4.36,4.49,4.44,4.36,13080
2024-03-11,NAHO.CA,4.36,4.67,4.25,4.36,45260
2024-03-12,NAHO.CA,4.36,4.32,4.32,4.36,0
2024-03-13,NAHO.CA,4.36,4.23,4.06,4.36,20150
2024-03-14,NAHO.CA,4.36,4.32,4.04,4.36,8610
2024-03-17,NAHO.CA,4.36,4.39,4.02,4.36,18310
2024-03-18,NAHO.CA,4.36,4.12,3.98,4.36,73070
2024-03-19,NAHO.CA,4.36,4.10,3.78,4.36,6050
2024-03-20,NAHO.CA,4.36,3.79,3.78,4.36,3340
2024-03-21,NAHO.CA,4.36,4.30,3.98,4.36,9260
2024-03-24,NAHO.CA,4.36,4.40,4.00,4.36,17380
2024-03-25,NAHO.CA,4.36,4.15,4.15,4.36,2310
2024-03-26,NAHO.CA,4.36,4.13,4.06,4.36,39340
2024-03-27,NAHO.CA,4.36,4.08,3.93,4.36,6940
2024-03-28,NAHO.CA,4.36,4.26,3.89,4.36,260
2024-03-31,NAHO.CA,4.36,3.99,3.98,4.36,5090
2024-04-01,NAHO.CA,4.36,4.15,3.80,4.36,890
2024-04-02,NAHO.CA,4.36,4.02,3.98,4.36,11800
2024-04-03,NAHO.CA,4.36,4.09,3.99,4.36,16670
2024-04-04,NAHO.CA,4.36,4.13,3.99,4.36,6620
