Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,NAPR.CA,21.50,21.99,21.42,21.45,70350
2026-01-05,NAPR.CA,21.41,21.55,20.95,20.99,56800
2026-01-06,NAPR.CA,21.00,21.29,21.00,21.03,41470
2026-01-08,NAPR.CA,21.03,21.46,20.60,21.15,16650
2026-01-11,NAPR.CA,21.05,21.32,21.00,21.10,42760
2026-01-12,NAPR.CA,21.01,21.12,20.10,20.95,70720
2026-01-13,NAPR.CA,20.85,21.00,20.30,20.44,119050
2026-01-14,NAPR.CA,20.50,20.66,20.05,20.28,32730
2026-01-15,NAPR.CA,20.10,20.49,19.85,20.18,101130
2026-01-18,NAPR.CA,19.95,20.20,19.90,20.18,9340
2026-01-19,NAPR.CA,20.35,20.80,20.00,20.53,18710
2026-01-20,NAPR.CA,20.53,20.81,20.09,20.46,121440
2026-01-21,NAPR.CA,20.40,20.79,20.20,20.42,22770
2026-01-22,NAPR.CA,20.21,20.74,20.21,20.46,59200
2026-01-25,NAPR.CA,20.38,20.70,20.27,20.29,91770
2026-01-26,NAPR.CA,20.27,20.50,20.00,20.00,57850
2026-01-27,NAPR.CA,20.50,20.75,20.00,20.03,31560
2026-01-28,NAPR.CA,20.03,20.20,19.50,20.07,154630
2026-02-01,NAPR.CA,19.95,20.21,19.95,20.07,11520
2026-02-02,NAPR.CA,19.96,21.12,19.96,20.50,154220
2026-02-03,NAPR.CA,20.65,20.80,20.40,20.50,14630
2026-02-04,NAPR.CA,20.50,20.70,20.18,20.43,48280
2026-02-05,NAPR.CA,20.50,20.50,20.10,20.43,9880
2026-02-08,NAPR.CA,20.19,21.19,20.06,20.81,100850
2026-02-09,NAPR.CA,20.45,20.81,20.45,20.81,8960
2026-02-10,NAPR.CA,20.48,20.78,20.43,20.81,1680
2026-02-11,NAPR.CA,20.75,20.75,20.21,20.26,32770
2026-02-12,NAPR.CA,20.22,20.62,20.22,20.26,10440
2026-02-15,NAPR.CA,20.59,20.60,20.15,20.29,33110
2026-02-16,NAPR.CA,20.57,20.57,20.06,20.24,29620
2026-02-17,NAPR.CA,20.11,20.70,20.11,20.27,30320
2026-02-18,NAPR.CA,20.16,20.60,20.08,20.25,39410
2026-02-19,NAPR.CA,20.26,20.40,20.03,20.11,19590
2026-02-22,NAPR.CA,20.36,20.36,19.90,19.95,18620
2026-02-23,NAPR.CA,19.91,20.04,19.90,19.99,15800
2026-02-24,NAPR.CA,20.00,20.20,19.90,19.98,18170
2026-02-25,NAPR.CA,20.20,20.20,19.90,19.98,4080
2026-02-26,NAPR.CA,20.17,20.36,19.60,19.86,39620
2026-03-01,NAPR.CA,19.00,19.48,18.00,19.02,38820
2026-03-02,NAPR.CA,19.46,20.56,18.80,20.38,236250
2026-03-03,NAPR.CA,20.11,20.60,19.43,20.38,67120
2026-03-04,NAPR.CA,20.67,20.67,20.00,20.05,24080
2026-03-05,NAPR.CA,20.26,20.30,19.82,20.01,15720
2026-03-08,NAPR.CA,20.45,20.45,19.65,19.88,23310
2026-03-09,NAPR.CA,20.00,20.40,19.81,19.88,10940
2026-03-10,NAPR.CA,19.85,20.55,19.81,20.12,48990
2026-03-11,NAPR.CA,20.01,20.39,19.90,20.00,31080
2026-03-12,NAPR.CA,20.20,21.49,19.95,21.07,250240
2026-03-15,NAPR.CA,20.99,21.18,20.51,20.67,110790
2026-03-16,NAPR.CA,21.10,21.79,20.76,20.99,235030
2026-03-17,NAPR.CA,21.01,21.40,20.67,21.00,76580
2026-03-18,NAPR.CA,20.50,20.97,20.34,20.52,43490
2026-03-24,NAPR.CA,20.75,20.99,20.40,20.44,23320
2026-03-25,NAPR.CA,20.47,21.00,20.47,20.63,61920
2026-03-26,NAPR.CA,20.93,20.93,20.00,20.18,61320
2026-03-29,NAPR.CA,20.74,20.74,19.50,19.99,75380
2026-03-30,NAPR.CA,19.80,20.25,19.62,19.80,51890
2026-03-31,NAPR.CA,20.15,20.49,19.88,20.17,100230
2026-04-01,NAPR.CA,20.47,20.70,19.91,20.32,40560
2026-04-02,NAPR.CA,20.20,20.50,20.03,20.30,16500
2026-04-05,NAPR.CA,20.21,20.50,20.10,20.30,28190
2026-04-06,NAPR.CA,20.18,21.15,20.17,20.80,290980
2026-04-07,NAPR.CA,20.90,20.95,20.20,20.41,41110
2026-04-08,NAPR.CA,20.55,21.50,20.42,21.00,1360000
2026-04-09,NAPR.CA,21.00,21.25,20.70,21.05,28380
2026-04-12,NAPR.CA,21.00,21.05,21.05,21.05,28380
2026-04-14,NAPR.CA,21.25,21.25,20.70,21.04,29640
2026-04-15,NAPR.CA,21.00,21.60,21.00,21.50,48000
2026-04-16,NAPR.CA,21.00,21.59,21.00,21.26,35630
2026-04-19,NAPR.CA,21.32,21.60,21.10,21.26,26080
2026-04-20,NAPR.CA,21.15,21.57,20.74,21.47,20730
2026-04-21,NAPR.CA,21.58,21.60,21.15,21.22,34760
2026-04-22,NAPR.CA,21.46,22.70,21.04,22.63,348640
2026-04-23,NAPR.CA,22.54,23.35,22.10,23.00,274080
2026-04-26,NAPR.CA,23.00,23.00,22.12,22.37,72310
2026-04-27,NAPR.CA,22.94,22.94,22.16,22.48,19280
2026-04-28,NAPR.CA,22.13,23.20,22.13,22.95,270230
2026-04-29,NAPR.CA,22.95,23.30,22.62,23.01,266940
2026-04-30,NAPR.CA,23.10,23.19,22.70,23.13,32450
2026-05-03,NAPR.CA,23.20,23.20,22.50,23.13,7490
2026-05-04,NAPR.CA,22.93,23.30,22.70,23.00,215790
2026-05-05,NAPR.CA,22.99,23.75,22.62,23.72,244050
