Date,Ticker,Open,High,Low,Close,Volume
2026-01-05,NBKE.CA,30.90,30.90,13.32,28.90,5360
2026-01-12,NBKE.CA,25.00,29.00,25.00,29.00,1550
2026-01-14,NBKE.CA,25.60,25.60,25.60,25.60,60
2026-01-19,NBKE.CA,26.00,30.00,26.00,30.00,5640
2026-01-21,NBKE.CA,28.00,31.20,27.96,30.02,3050
2026-01-26,NBKE.CA,30.02,30.50,26.00,26.01,5580
2026-01-28,NBKE.CA,26.02,26.02,26.02,26.02,0
2026-02-02,NBKE.CA,26.10,26.10,26.02,26.10,50
2026-02-04,NBKE.CA,28.47,28.47,26.16,28.00,1620
2026-02-09,NBKE.CA,28.00,28.00,26.61,28.00,1190
2026-02-11,NBKE.CA,26.72,28.00,26.72,28.00,950
2026-02-16,NBKE.CA,26.72,28.45,26.72,28.00,610
2026-02-18,NBKE.CA,28.00,45.00,28.00,33.00,4510
2026-02-23,NBKE.CA,33.00,33.00,30.00,30.00,210
2026-02-25,NBKE.CA,32.99,32.99,30.00,32.98,230
2026-03-02,NBKE.CA,32.98,32.98,31.00,31.00,160
2026-03-04,NBKE.CA,32.00,32.00,25.01,25.01,1030
2026-03-11,NBKE.CA,26.20,27.00,26.20,27.00,1010
2026-03-16,NBKE.CA,27.00,27.00,27.00,27.00,240
2026-03-18,NBKE.CA,29.70,30.10,29.70,30.10,1830
2026-03-25,NBKE.CA,33.70,33.70,30.00,30.00,190
2026-03-30,NBKE.CA,31.00,31.30,30.00,30.00,3420
2026-04-01,NBKE.CA,30.00,30.00,25.52,27.10,300
2026-04-06,NBKE.CA,31.00,31.00,27.18,30.73,920
2026-04-08,NBKE.CA,30.99,30.99,29.00,30.72,6100
2026-04-15,NBKE.CA,30.72,30.72,25.41,30.72,680
2026-04-20,NBKE.CA,30.72,30.72,29.00,29.10,4040
2026-04-22,NBKE.CA,30.72,30.72,29.01,29.11,1530
2026-04-27,NBKE.CA,30.72,29.11,29.11,29.11,0
2026-04-29,NBKE.CA,29.52,30.01,29.52,30.01,180
2026-05-04,NBKE.CA,30.01,35.19,29.03,30.04,2110
2026-05-06,NBKE.CA,30.04,30.04,29.00,29.00,670
2026-05-11,NBKE.CA,30.01,35.19,30.01,35.19,520
2026-05-13,NBKE.CA,35.19,35.19,34.79,34.80,110
2026-05-18,NBKE.CA,34.70,34.70,30.00,34.50,1570
2026-05-20,NBKE.CA,33.95,33.95,30.30,33.43,1170
2026-05-25,NBKE.CA,34.50,34.50,30.50,30.50,260
2026-06-01,NBKE.CA,34.25,34.25,33.00,33.00,0
2026-06-03,NBKE.CA,34.25,34.25,30.65,30.77,780
2026-06-08,NBKE.CA,34.25,34.25,30.77,30.81,360
2026-06-10,NBKE.CA,33.60,33.60,33.60,33.60,100
2026-06-15,NBKE.CA,33.60,33.60,30.77,31.00,590
2026-06-17,NBKE.CA,32.00,33.00,30.00,33.00,1310
2026-06-22,NBKE.CA,33.00,33.00,30.00,31.00,3390
2026-06-24,NBKE.CA,31.00,31.00,30.10,31.00,1540
