Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,NEDA.CA,2.590,2.680,2.330,2.570,4160000
2024-01-03,NEDA.CA,2.600,3.060,2.590,2.920,6720000
2024-01-04,NEDA.CA,2.920,2.970,2.770,2.890,3690000
2024-01-08,NEDA.CA,2.870,2.870,2.780,2.810,1800000
2024-01-09,NEDA.CA,2.840,3.020,2.790,3.000,6080000
2024-01-11,NEDA.CA,3.000,3.170,2.950,3.000,2800000
2024-01-14,NEDA.CA,3.040,3.060,2.910,2.920,2840000
2024-01-15,NEDA.CA,2.930,2.980,2.890,2.950,2720000
2024-01-16,NEDA.CA,2.980,3.070,2.840,2.860,5070000
2024-01-17,NEDA.CA,2.880,2.910,2.750,2.760,2720000
2024-01-18,NEDA.CA,2.790,2.920,2.750,2.900,2330000
2024-01-21,NEDA.CA,2.920,2.960,2.800,2.840,2780000
2024-01-22,NEDA.CA,2.900,2.940,2.800,2.820,1320000
2024-01-23,NEDA.CA,2.860,2.860,2.800,2.800,924440
2024-01-24,NEDA.CA,2.820,2.830,2.780,2.800,684790
2024-01-28,NEDA.CA,2.830,3.120,2.830,3.090,6760000
2024-01-29,NEDA.CA,3.130,3.320,3.090,3.180,10110000
2024-01-30,NEDA.CA,3.200,3.200,3.000,3.130,4030000
2024-01-31,NEDA.CA,3.140,3.140,2.800,2.810,3900000
2024-02-01,NEDA.CA,2.810,2.860,2.530,2.820,2230000
2024-02-04,NEDA.CA,2.820,3.020,2.800,2.950,2610000
2024-02-05,NEDA.CA,2.950,2.970,2.880,2.910,972600
2024-02-06,NEDA.CA,2.910,3.200,2.960,3.050,7100000
2024-02-07,NEDA.CA,3.050,3.410,3.220,3.330,12260000
2024-02-08,NEDA.CA,3.330,3.450,3.100,3.130,7340000
2024-02-11,NEDA.CA,3.130,3.140,2.740,2.840,11790000
2024-02-12,NEDA.CA,2.840,2.880,2.700,2.760,8410000
2024-02-13,NEDA.CA,2.760,2.810,2.720,2.780,4750000
2024-02-14,NEDA.CA,2.780,2.960,2.780,2.930,6130000
2024-02-15,NEDA.CA,2.930,2.960,2.840,2.870,2590000
2024-02-18,NEDA.CA,2.870,2.920,2.860,2.880,1860000
2024-02-19,NEDA.CA,2.880,2.910,2.810,2.870,2210000
2024-02-20,NEDA.CA,2.870,2.890,2.800,2.840,3490000
2024-02-21,NEDA.CA,2.840,2.880,2.810,2.840,1720000
2024-02-22,NEDA.CA,2.840,2.860,2.810,2.830,1980000
2024-02-25,NEDA.CA,2.830,2.800,2.280,2.560,2350000
2024-02-26,NEDA.CA,2.560,2.530,2.290,2.330,7220000
2024-02-27,NEDA.CA,2.330,2.390,2.310,2.330,2130000
2024-02-28,NEDA.CA,2.330,2.450,2.210,2.260,1780000
2024-02-29,NEDA.CA,2.260,2.260,2.020,2.190,1670000
2024-03-03,NEDA.CA,2.190,2.240,2.160,2.180,1100000
2024-03-04,NEDA.CA,2.180,2.280,2.180,2.270,1080000
2024-03-05,NEDA.CA,2.270,2.310,2.220,2.240,823620
2024-03-06,NEDA.CA,2.240,2.260,2.100,2.150,823020
2024-03-07,NEDA.CA,2.150,2.200,2.090,2.130,707930
2024-03-10,NEDA.CA,2.130,2.280,2.150,2.240,1590000
2024-03-11,NEDA.CA,2.240,2.300,2.150,2.180,416410
2024-03-12,NEDA.CA,2.180,2.200,2.100,2.110,360570
2024-03-13,NEDA.CA,2.110,2.140,1.910,1.970,815490
2024-03-14,NEDA.CA,1.970,2.060,1.930,2.030,604560
2024-03-17,NEDA.CA,2.030,2.300,2.070,2.100,654580
2024-03-18,NEDA.CA,2.100,2.140,1.950,1.980,818970
2024-03-19,NEDA.CA,1.980,1.980,1.810,1.900,431940
2024-03-20,NEDA.CA,1.900,2.000,1.900,1.940,323450
2024-03-21,NEDA.CA,1.940,1.990,1.930,1.970,307830
2024-03-24,NEDA.CA,1.970,2.030,1.950,1.975,367430
2024-03-25,NEDA.CA,1.975,1.999,1.950,1.973,509890
2024-03-26,NEDA.CA,1.973,2.019,1.975,1.983,465580
2024-03-27,NEDA.CA,1.983,2.000,1.910,1.963,454680
2024-03-28,NEDA.CA,1.963,1.970,1.910,1.944,399890
2024-03-31,NEDA.CA,1.944,1.962,1.851,1.905,254540
2024-04-01,NEDA.CA,1.905,1.932,1.850,1.905,106810
2024-04-02,NEDA.CA,1.905,1.987,1.923,1.955,256100
2024-04-03,NEDA.CA,1.955,1.979,1.921,1.933,230590
2024-04-04,NEDA.CA,1.933,1.978,1.933,1.933,223560
2024-04-07,NEDA.CA,1.933,2.059,1.951,1.975,966740
2024-04-08,NEDA.CA,1.975,2.000,1.950,1.969,248190
2024-04-15,NEDA.CA,1.969,2.000,1.960,1.979,320400
2024-04-16,NEDA.CA,1.979,2.067,1.981,2.058,858490
2024-04-17,NEDA.CA,2.058,2.088,2.040,2.048,783630
2024-04-18,NEDA.CA,2.048,2.080,1.952,1.980,803220
2024-04-21,NEDA.CA,1.980,2.029,1.952,1.973,361560
2024-04-22,NEDA.CA,1.973,2.000,1.950,1.954,831820
2024-04-23,NEDA.CA,1.954,1.970,1.860,1.892,663330
2024-04-24,NEDA.CA,1.892,1.910,1.715,1.820,448320
2024-04-28,NEDA.CA,1.860,1.860,1.510,1.637,572550
2024-04-29,NEDA.CA,1.695,1.695,1.550,1.649,440750
2024-04-30,NEDA.CA,1.682,1.682,1.590,1.605,411690
2024-05-01,NEDA.CA,1.590,1.636,1.561,1.601,352450
2024-05-02,NEDA.CA,1.635,1.645,1.600,1.624,270840
2024-05-07,NEDA.CA,1.640,1.910,1.611,1.823,1690000
2024-05-08,NEDA.CA,1.830,1.845,1.750,1.758,475650
2024-05-09,NEDA.CA,1.830,1.830,1.740,1.758,165670
2024-05-12,NEDA.CA,1.770,1.801,1.700,1.713,656980
2024-05-13,NEDA.CA,1.710,1.710,1.570,1.636,393290
2024-05-14,NEDA.CA,1.683,1.684,1.600,1.638,354160
2024-05-15,NEDA.CA,1.638,1.662,1.620,1.650,223700
2024-05-16,NEDA.CA,1.659,1.700,1.659,1.690,372700
2024-05-19,NEDA.CA,1.710,1.765,1.695,1.731,296460
2024-05-20,NEDA.CA,1.762,1.777,1.736,1.756,610900
2024-05-21,NEDA.CA,1.731,1.771,1.707,1.745,419710
2024-05-22,NEDA.CA,1.720,1.758,1.710,1.750,466170
2024-05-23,NEDA.CA,1.750,1.820,1.716,1.782,298970
2024-05-26,NEDA.CA,1.780,1.780,1.753,1.782,84400
2024-05-27,NEDA.CA,1.763,1.797,1.740,1.760,201710
2024-05-28,NEDA.CA,1.740,1.760,1.710,1.760,80990
2024-05-29,NEDA.CA,1.748,1.768,1.725,1.744,205810
2024-05-30,NEDA.CA,1.710,1.720,1.693,1.701,304030
2024-06-02,NEDA.CA,1.700,1.740,1.681,1.701,125570
2024-06-03,NEDA.CA,1.701,1.729,1.670,1.701,147360
2024-06-04,NEDA.CA,1.729,1.770,1.700,1.701,63170
2024-06-05,NEDA.CA,1.683,1.725,1.636,1.659,203630
2024-06-06,NEDA.CA,1.690,1.706,1.635,1.659,66830
2024-06-09,NEDA.CA,1.671,1.671,1.335,1.527,330810
2024-06-10,NEDA.CA,1.580,1.625,1.541,1.527,171470
2024-06-11,NEDA.CA,1.613,1.613,1.555,1.527,82330
2024-06-12,NEDA.CA,1.580,1.613,1.580,1.604,232050
2024-06-13,NEDA.CA,1.610,1.680,1.584,1.664,242910
2024-06-23,NEDA.CA,1.678,1.990,1.610,1.819,835730
2024-06-24,NEDA.CA,1.840,1.888,1.800,1.813,442090
2024-06-25,NEDA.CA,1.810,1.810,1.762,1.780,446540
2024-06-26,NEDA.CA,1.810,1.810,1.781,1.789,343180
2024-06-27,NEDA.CA,1.790,1.820,1.785,1.804,462400
2024-07-01,NEDA.CA,1.804,1.847,1.804,1.827,513250
2024-07-02,NEDA.CA,1.835,1.843,1.720,1.812,476910
2024-07-03,NEDA.CA,1.783,1.830,1.783,1.818,256200
2024-07-04,NEDA.CA,1.818,1.819,1.796,1.803,318780
2024-07-07,NEDA.CA,1.803,1.830,1.790,1.801,247340
2024-07-08,NEDA.CA,1.800,1.838,1.800,1.811,469640
2024-07-09,NEDA.CA,1.810,1.940,1.810,1.856,1230000
2024-07-10,NEDA.CA,1.880,1.935,1.877,1.896,1380000
2024-07-14,NEDA.CA,1.920,1.930,1.850,1.851,443110
2024-07-15,NEDA.CA,1.860,1.899,1.840,1.867,323050
2024-07-16,NEDA.CA,1.850,1.899,1.836,1.867,86540
2024-07-17,NEDA.CA,1.850,1.903,1.840,1.889,276160
2024-07-18,NEDA.CA,1.930,2.190,1.930,2.073,6370000
2024-07-21,NEDA.CA,2.110,2.110,2.050,2.070,1900000
2024-07-22,NEDA.CA,2.080,2.160,2.040,2.070,1480000
2024-07-23,NEDA.CA,2.080,2.270,2.050,2.190,4120000
2024-07-24,NEDA.CA,2.240,2.250,2.180,2.210,2160000
2024-07-28,NEDA.CA,2.210,2.320,2.150,2.260,2170000
2024-07-29,NEDA.CA,2.280,2.290,2.220,2.240,765730
2024-07-30,NEDA.CA,2.260,2.280,2.210,2.250,844320
2024-07-31,NEDA.CA,2.230,2.230,2.190,2.230,2350000
2024-08-01,NEDA.CA,2.200,2.210,2.140,2.150,2130000
2024-08-04,NEDA.CA,2.100,2.100,1.910,2.000,1680000
2024-08-05,NEDA.CA,2.000,2.000,1.740,1.880,1360000
2024-08-06,NEDA.CA,1.800,1.970,1.770,1.910,390240
2024-08-07,NEDA.CA,1.940,1.970,1.910,1.950,615110
2024-08-08,NEDA.CA,1.970,1.980,1.920,1.950,552950
2024-08-11,NEDA.CA,1.950,2.040,1.950,2.000,295290
2024-08-12,NEDA.CA,2.020,2.050,1.930,1.960,506000
2024-08-13,NEDA.CA,1.980,2.020,1.930,1.970,388920
2024-08-14,NEDA.CA,1.950,2.020,1.940,1.960,296340
2024-08-15,NEDA.CA,1.990,2.000,1.880,1.900,1680000
2024-08-18,NEDA.CA,1.940,2.050,1.900,2.000,1790000
2024-08-19,NEDA.CA,2.030,2.150,2.030,2.050,1980000
2024-08-20,NEDA.CA,2.060,2.090,2.030,2.040,598350
2024-08-21,NEDA.CA,2.050,2.070,1.970,1.990,950000
2024-08-22,NEDA.CA,2.010,2.050,1.980,2.000,1650000
2024-08-25,NEDA.CA,2.020,2.030,2.000,2.020,611740
2024-08-26,NEDA.CA,2.040,2.070,1.990,2.050,1510000
2024-08-27,NEDA.CA,2.070,2.090,1.990,2.000,2110000
2024-08-28,NEDA.CA,2.020,2.030,2.000,2.010,809440
2024-08-29,NEDA.CA,2.020,2.060,2.000,2.040,1120000
2024-09-01,NEDA.CA,2.070,2.110,2.040,2.080,1740000
2024-09-02,NEDA.CA,2.100,2.130,2.040,2.050,778530
2024-09-03,NEDA.CA,2.060,2.100,2.030,2.060,1700000
2024-09-04,NEDA.CA,2.070,2.220,2.000,2.140,6450000
2024-09-05,NEDA.CA,2.180,2.210,2.120,2.130,2560000
2024-09-08,NEDA.CA,2.140,2.180,2.110,2.120,1290000
2024-09-09,NEDA.CA,2.140,2.150,2.110,2.130,552450
2024-09-10,NEDA.CA,2.130,2.240,2.070,2.180,2980000
2024-09-11,NEDA.CA,2.190,2.260,2.160,2.240,1840000
2024-09-12,NEDA.CA,2.250,2.360,2.250,2.270,5490000
2024-09-16,NEDA.CA,2.270,2.300,2.130,2.160,2060000
2024-09-17,NEDA.CA,2.160,2.160,2.090,2.110,701190
2024-09-18,NEDA.CA,2.100,2.140,2.050,2.120,1190000
2024-09-19,NEDA.CA,2.130,2.180,2.130,2.140,638170
2024-09-22,NEDA.CA,2.150,2.230,2.140,2.190,646380
2024-09-23,NEDA.CA,2.200,2.270,2.180,2.190,709020
2024-09-24,NEDA.CA,2.190,2.220,2.150,2.160,472530
2024-09-25,NEDA.CA,2.150,2.190,2.120,2.170,656770
2024-09-26,NEDA.CA,2.160,2.210,2.140,2.150,1090000
2024-09-29,NEDA.CA,2.150,2.180,2.120,2.140,567080
2024-09-30,NEDA.CA,2.160,2.160,1.910,2.090,4360000
2024-10-01,NEDA.CA,2.110,2.160,2.080,2.120,790380
2024-10-02,NEDA.CA,2.110,2.130,2.000,2.020,1740000
2024-10-03,NEDA.CA,2.050,2.060,2.010,2.020,601050
2024-10-07,NEDA.CA,2.030,2.060,1.980,2.000,649310
2024-10-08,NEDA.CA,2.000,2.040,1.920,1.930,502080
2024-10-09,NEDA.CA,2.000,2.150,1.980,2.020,1500000
2024-10-10,NEDA.CA,2.050,2.080,2.020,2.030,735330
2024-10-13,NEDA.CA,2.040,2.060,1.960,2.040,1120000
2024-10-14,NEDA.CA,2.060,2.060,2.000,2.020,1410000
2024-10-15,NEDA.CA,2.020,2.100,2.000,2.080,616730
2024-10-16,NEDA.CA,2.100,2.150,2.090,2.130,1860000
2024-10-17,NEDA.CA,2.150,2.180,1.800,2.100,1770000
2024-10-20,NEDA.CA,2.100,2.120,2.000,2.010,568400
2024-10-21,NEDA.CA,2.020,2.040,1.960,2.020,644550
2024-10-22,NEDA.CA,2.060,2.060,2.020,2.040,393590
2024-10-23,NEDA.CA,2.120,2.120,2.040,2.040,318050
2024-10-24,NEDA.CA,2.020,2.080,2.010,2.060,283420
2024-10-27,NEDA.CA,2.070,2.090,2.050,2.090,336130
2024-10-28,NEDA.CA,2.080,2.130,2.070,2.090,512500
2024-10-29,NEDA.CA,2.110,2.140,2.090,2.100,347130
2024-10-30,NEDA.CA,2.100,2.110,2.050,2.090,369480
2024-10-31,NEDA.CA,2.100,2.100,2.060,2.070,209360
2024-11-03,NEDA.CA,2.070,2.130,2.070,2.100,472050
2024-11-04,NEDA.CA,2.110,2.200,2.110,2.180,2130000
2024-11-05,NEDA.CA,2.210,2.220,2.140,2.160,1050000
2024-11-06,NEDA.CA,2.160,2.200,2.150,2.170,430110
