Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,NIPH.CA,32.23,32.42,31.07,33.06,4630
2024-01-03,NIPH.CA,32.22,32.82,31.35,33.06,8690
2024-01-04,NIPH.CA,31.43,32.22,31.39,33.06,4860
2024-01-08,NIPH.CA,31.82,32.06,31.43,33.06,4840
2024-01-09,NIPH.CA,31.94,31.94,31.03,33.06,9070
2024-01-10,NIPH.CA,31.82,31.82,31.13,33.06,4270
2024-01-11,NIPH.CA,31.23,31.79,31.23,33.06,2940
2024-01-14,NIPH.CA,31.23,31.79,31.03,31.22,17930
2024-01-15,NIPH.CA,31.71,31.71,30.87,31.17,15660
2024-01-16,NIPH.CA,31.43,31.43,30.91,31.17,3440
2024-01-17,NIPH.CA,30.64,31.59,30.63,31.29,15210
2024-01-18,NIPH.CA,31.27,31.81,30.97,31.29,6010
2024-01-21,NIPH.CA,31.31,35.81,31.21,33.78,36360
2024-01-22,NIPH.CA,34.21,34.96,32.23,33.84,9460
2024-01-23,NIPH.CA,33.42,34.41,33.22,33.84,3080
2024-01-24,NIPH.CA,33.34,33.81,33.22,33.84,5840
2024-01-28,NIPH.CA,33.58,33.84,33.22,33.84,2050
2024-01-29,NIPH.CA,33.82,34.33,33.59,33.84,5900
2024-01-30,NIPH.CA,33.81,34.21,33.02,33.84,7530
2024-01-31,NIPH.CA,34.17,34.17,32.25,33.84,7430
2024-02-01,NIPH.CA,33.84,36.99,30.63,34.50,25000
2024-02-04,NIPH.CA,34.50,35.93,33.23,34.50,6220
2024-02-05,NIPH.CA,34.50,35.81,33.44,34.50,6130
2024-02-06,NIPH.CA,34.50,37.79,35.81,36.96,11360
2024-02-07,NIPH.CA,36.96,39.38,34.71,37.85,9960
2024-02-08,NIPH.CA,37.85,38.51,36.20,37.85,970
2024-02-11,NIPH.CA,37.85,38.59,35.21,37.85,800
2024-02-12,NIPH.CA,37.85,38.58,35.89,37.85,700
2024-02-13,NIPH.CA,37.85,41.37,36.20,39.16,12410
2024-02-14,NIPH.CA,39.16,39.78,36.60,39.16,4270
2024-02-15,NIPH.CA,39.16,40.18,37.40,38.83,8040
2024-02-18,NIPH.CA,38.83,39.98,38.19,38.39,12100
2024-02-19,NIPH.CA,38.39,39.70,38.39,38.39,3290
2024-02-20,NIPH.CA,38.39,38.98,37.86,38.39,4230
2024-02-21,NIPH.CA,38.39,38.87,36.60,38.39,5200
2024-02-22,NIPH.CA,38.39,39.07,35.85,37.43,9180
2024-02-25,NIPH.CA,37.43,37.47,35.05,36.20,12640
2024-02-26,NIPH.CA,36.20,36.98,34.21,36.20,3150
2024-02-27,NIPH.CA,36.20,37.00,34.21,36.08,28560
2024-02-28,NIPH.CA,36.08,36.96,34.41,35.03,12860
2024-02-29,NIPH.CA,35.03,35.79,33.08,35.03,3170
2024-03-03,NIPH.CA,35.03,35.77,34.23,35.09,27980
2024-03-04,NIPH.CA,35.09,35.81,34.61,35.31,11660
2024-03-05,NIPH.CA,35.31,36.56,34.82,35.93,19510
2024-03-06,NIPH.CA,35.93,36.30,35.04,35.11,9530
2024-03-07,NIPH.CA,35.11,36.00,34.61,35.11,5170
2024-03-10,NIPH.CA,35.11,35.92,34.65,35.11,2980
2024-03-11,NIPH.CA,35.11,35.35,34.26,35.11,3050
2024-03-12,NIPH.CA,35.11,35.01,33.82,35.11,2860
2024-03-13,NIPH.CA,35.11,35.45,32.23,35.11,5210
2024-03-14,NIPH.CA,35.11,34.61,32.23,35.11,2440
2024-03-17,NIPH.CA,35.11,34.97,32.64,35.11,1030
2024-03-18,NIPH.CA,35.11,34.35,29.44,30.64,18150
2024-03-19,NIPH.CA,30.64,33.32,30.83,30.64,810
2024-03-20,NIPH.CA,30.64,33.02,32.42,32.56,18090
2024-03-21,NIPH.CA,32.56,35.01,31.04,32.56,6230
2024-03-24,NIPH.CA,32.56,34.80,31.92,32.56,5420
2024-03-25,NIPH.CA,32.56,33.81,31.87,32.56,2960
2024-03-26,NIPH.CA,32.56,33.81,32.23,32.56,6640
2024-03-27,NIPH.CA,32.56,33.77,32.23,32.56,4840
2024-03-28,NIPH.CA,32.56,32.23,31.83,32.56,7380
2024-03-31,NIPH.CA,32.56,32.23,30.87,32.56,2030
2024-04-01,NIPH.CA,32.56,31.43,31.43,32.56,250
2024-04-02,NIPH.CA,32.56,32.55,31.63,32.56,190
2024-04-03,NIPH.CA,32.56,32.56,31.83,32.56,1410
2024-04-04,NIPH.CA,32.56,32.62,31.88,32.56,760
2024-04-07,NIPH.CA,32.56,32.56,31.70,32.56,420
2024-04-08,NIPH.CA,32.56,32.55,31.87,32.56,1240
2024-04-15,NIPH.CA,32.56,32.82,32.11,32.56,4640
2024-04-16,NIPH.CA,32.56,33.41,31.70,32.07,12120
2024-04-17,NIPH.CA,32.07,33.42,31.73,31.91,41120
2024-04-18,NIPH.CA,31.91,33.42,31.83,31.89,96640
2024-04-21,NIPH.CA,31.89,32.62,31.83,31.83,21750
2024-04-22,NIPH.CA,31.83,32.03,31.83,31.83,5070
2024-04-23,NIPH.CA,31.83,32.74,28.76,29.01,30940
2024-04-24,NIPH.CA,29.01,31.78,28.77,29.01,1790
2024-04-28,NIPH.CA,31.41,31.41,29.44,29.01,1300
2024-04-29,NIPH.CA,29.46,30.86,29.46,29.01,3320
2024-04-30,NIPH.CA,29.85,30.69,29.01,29.01,7840
2024-05-01,NIPH.CA,28.70,29.04,28.58,29.01,9130
2024-05-02,NIPH.CA,28.84,30.62,28.64,29.11,21530
2024-05-07,NIPH.CA,29.91,29.91,29.60,29.11,690
2024-05-08,NIPH.CA,29.62,29.62,28.84,28.88,28570
2024-05-09,NIPH.CA,29.04,29.04,28.19,28.88,6120
2024-05-12,NIPH.CA,28.88,28.88,27.07,27.35,22020
