Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,OBRI.CA,10.50,10.80,10.47,10.65,116390
2024-01-03,OBRI.CA,10.67,10.76,10.55,10.58,163880
2024-01-04,OBRI.CA,10.63,11.73,10.58,11.19,1340000
2024-01-08,OBRI.CA,11.22,11.69,11.22,11.39,489350
2024-01-09,OBRI.CA,11.56,12.18,11.38,11.72,752540
2024-01-10,OBRI.CA,11.69,11.87,11.52,11.52,400520
2024-01-11,OBRI.CA,11.47,11.68,11.34,11.34,221030
2024-01-14,OBRI.CA,11.52,11.62,11.34,11.41,196470
2024-01-15,OBRI.CA,11.35,11.52,11.16,11.29,258870
2024-01-16,OBRI.CA,11.30,11.87,11.25,11.44,368900
2024-01-17,OBRI.CA,11.59,11.59,10.90,10.95,313400
2024-01-18,OBRI.CA,10.97,11.11,10.76,10.90,124070
2024-01-21,OBRI.CA,10.96,11.18,10.76,10.88,319550
2024-01-22,OBRI.CA,10.94,11.16,10.82,10.89,168860
2024-01-23,OBRI.CA,11.09,11.96,11.00,11.67,1530000
2024-01-24,OBRI.CA,11.98,12.80,11.96,11.98,1160000
2024-01-28,OBRI.CA,12.05,12.12,11.65,11.83,608830
2024-01-29,OBRI.CA,12.24,12.80,11.96,12.01,1000000
2024-01-30,OBRI.CA,12.18,12.58,11.97,12.09,511380
2024-01-31,OBRI.CA,12.22,12.39,9.74,10.66,210720
2024-02-01,OBRI.CA,10.66,11.25,9.66,10.74,716480
2024-02-04,OBRI.CA,10.74,11.24,10.55,10.72,202660
2024-02-05,OBRI.CA,10.72,11.16,10.79,11.03,212070
2024-02-06,OBRI.CA,11.03,11.47,10.73,10.81,265970
2024-02-07,OBRI.CA,10.81,11.16,10.76,10.81,229470
2024-02-08,OBRI.CA,10.81,11.12,10.66,10.85,186410
2024-02-11,OBRI.CA,10.85,11.10,10.63,10.66,240720
2024-02-12,OBRI.CA,10.66,10.90,10.64,10.74,170920
2024-02-13,OBRI.CA,10.74,10.82,10.66,10.74,172630
2024-02-14,OBRI.CA,10.74,11.41,10.65,10.79,1210000
2024-02-15,OBRI.CA,10.79,10.90,10.69,10.83,398480
2024-02-18,OBRI.CA,10.83,10.90,10.67,10.71,433390
2024-02-19,OBRI.CA,10.71,10.91,10.64,10.69,399120
2024-02-20,OBRI.CA,10.69,11.33,10.69,11.03,982510
2024-02-21,OBRI.CA,11.03,11.39,10.97,11.06,1050000
2024-02-22,OBRI.CA,11.06,11.29,10.82,10.83,544560
2024-02-25,OBRI.CA,10.83,10.83,9.97,10.05,451170
2024-02-26,OBRI.CA,10.05,10.51,9.66,9.83,493330
2024-02-27,OBRI.CA,11.10,8.25,7.65,7.93,324550
2024-02-28,OBRI.CA,7.93,7.98,7.56,7.68,126710
2024-02-29,OBRI.CA,7.68,7.60,7.28,7.34,156600
2024-03-03,OBRI.CA,7.34,7.48,7.00,7.15,235870
2024-03-04,OBRI.CA,7.15,7.43,7.00,7.19,138890
2024-03-05,OBRI.CA,7.19,7.38,7.06,7.12,222690
2024-03-06,OBRI.CA,7.12,7.30,6.52,6.93,275860
2024-03-07,OBRI.CA,6.93,7.04,6.65,6.76,99780
2024-03-10,OBRI.CA,6.76,6.90,6.60,6.65,176130
2024-03-11,OBRI.CA,6.65,6.88,6.50,6.50,235520
2024-03-12,OBRI.CA,6.50,6.50,6.28,6.33,211440
2024-03-13,OBRI.CA,6.33,6.49,5.70,5.86,225700
2024-03-14,OBRI.CA,5.86,6.18,5.91,6.12,58010
2024-03-17,OBRI.CA,6.12,6.37,6.10,6.23,75630
2024-03-18,OBRI.CA,6.23,6.35,5.85,6.03,164540
2024-03-19,OBRI.CA,6.03,6.02,5.76,5.91,62740
