Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,OCDI.CA,22.65,23.20,22.60,23.01,153600
2024-01-03,OCDI.CA,23.06,23.70,22.81,23.40,167760
2024-01-04,OCDI.CA,23.40,24.50,23.12,23.45,312390
2024-01-08,OCDI.CA,23.60,24.01,23.40,23.43,171770
2024-01-09,OCDI.CA,23.60,23.98,23.41,23.50,80120
2024-01-10,OCDI.CA,23.50,23.94,23.40,23.47,77030
2024-01-11,OCDI.CA,23.79,23.79,23.20,23.35,45100
2024-01-14,OCDI.CA,23.73,23.83,23.40,23.53,191670
2024-01-15,OCDI.CA,23.80,23.89,23.55,23.56,168370
2024-01-16,OCDI.CA,23.79,24.90,23.44,24.56,607800
2024-01-17,OCDI.CA,25.27,25.75,24.00,24.39,631080
2024-01-18,OCDI.CA,24.30,24.92,24.18,24.84,185400
2024-01-21,OCDI.CA,24.70,25.25,24.65,24.76,176740
2024-01-22,OCDI.CA,24.91,25.25,24.27,24.49,187600
2024-01-23,OCDI.CA,24.51,24.94,23.60,23.64,359130
2024-01-24,OCDI.CA,23.97,24.10,23.53,23.73,208940
2024-01-28,OCDI.CA,24.00,25.99,23.71,24.57,212650
2024-01-29,OCDI.CA,24.41,24.81,23.90,23.99,93440
2024-01-30,OCDI.CA,24.02,24.40,23.72,24.16,110800
2024-01-31,OCDI.CA,24.49,24.80,22.60,22.80,118110
2024-02-01,OCDI.CA,22.80,23.70,22.00,22.95,82250
2024-02-04,OCDI.CA,22.95,24.00,23.00,23.32,140750
2024-02-05,OCDI.CA,23.32,24.35,23.32,23.88,218560
2024-02-06,OCDI.CA,23.88,25.30,23.80,24.50,726480
2024-02-07,OCDI.CA,24.50,25.40,24.60,24.95,674790
2024-02-08,OCDI.CA,24.95,28.50,25.25,26.79,3830000
2024-02-11,OCDI.CA,26.79,28.00,26.82,26.90,1370000
2024-02-12,OCDI.CA,26.90,29.01,26.05,28.76,1830000
2024-02-13,OCDI.CA,28.76,32.45,28.81,30.22,2600000
2024-02-14,OCDI.CA,30.22,31.60,29.40,31.50,940860
2024-02-15,OCDI.CA,31.50,33.89,30.76,32.99,1740000
2024-02-18,OCDI.CA,32.99,39.58,34.62,39.58,2350000
2024-02-19,OCDI.CA,39.58,47.00,40.11,42.02,2730000
2024-02-20,OCDI.CA,42.02,50.42,43.01,50.42,2540000
2024-02-21,OCDI.CA,50.42,60.50,53.01,57.50,3740000
2024-02-22,OCDI.CA,57.50,57.40,51.25,52.70,1800000
2024-02-25,OCDI.CA,52.70,62.00,50.30,61.00,3180000
2024-02-26,OCDI.CA,61.00,66.00,55.00,57.00,1860000
2024-02-27,OCDI.CA,57.00,62.70,54.75,55.03,1410000
2024-02-28,OCDI.CA,55.03,58.50,48.50,49.09,1190000
2024-02-29,OCDI.CA,49.09,55.00,47.00,55.00,894690
2024-03-03,OCDI.CA,55.00,62.80,55.10,60.08,1480000
2024-03-04,OCDI.CA,60.08,64.98,61.00,63.05,1200000
2024-03-05,OCDI.CA,63.05,65.00,58.50,59.50,1160000
2024-03-06,OCDI.CA,59.50,60.00,51.50,51.55,927770
2024-03-07,OCDI.CA,51.55,54.49,50.06,52.31,907350
2024-03-10,OCDI.CA,52.31,54.50,52.02,52.11,733210
2024-03-11,OCDI.CA,52.11,53.88,48.50,48.61,352830
2024-03-12,OCDI.CA,48.61,49.00,43.81,45.01,454520
2024-03-13,OCDI.CA,45.01,47.00,43.00,45.89,412950
2024-03-14,OCDI.CA,45.89,46.00,43.02,43.90,193770
2024-03-17,OCDI.CA,43.90,49.99,44.01,45.00,446800
2024-03-18,OCDI.CA,45.00,45.70,37.11,37.92,847130
2024-03-19,OCDI.CA,37.92,44.00,37.00,44.00,404510
2024-03-20,OCDI.CA,44.00,44.98,40.00,41.49,419150
2024-03-21,OCDI.CA,41.49,42.50,40.03,40.15,324910
2024-03-24,OCDI.CA,40.15,42.50,39.01,41.50,275860
2024-03-25,OCDI.CA,41.50,47.50,40.70,46.38,1010000
2024-03-26,OCDI.CA,46.38,49.00,45.22,46.30,452900
2024-03-27,OCDI.CA,46.30,47.20,44.00,45.75,246910
2024-03-28,OCDI.CA,45.75,46.80,44.00,44.56,615800
2024-03-31,OCDI.CA,44.56,45.49,41.04,41.60,197460
