Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,OCPH.CA,102.46,103.70,100.03,100.74,5910
2026-01-05,OCPH.CA,100.75,102.33,100.14,100.74,1110
2026-01-06,OCPH.CA,100.50,101.92,100.38,100.61,6880
2026-01-08,OCPH.CA,100.50,102.88,100.50,101.68,7140
2026-01-11,OCPH.CA,100.75,102.40,100.00,100.36,6730
2026-01-12,OCPH.CA,101.90,102.10,99.07,99.97,5280
2026-01-13,OCPH.CA,99.97,100.00,99.11,99.97,1770
2026-01-14,OCPH.CA,99.31,99.95,94.10,94.94,10520
2026-01-15,OCPH.CA,95.00,98.47,93.03,95.50,6700
2026-01-18,OCPH.CA,95.15,97.99,93.55,95.50,2130
2026-01-19,OCPH.CA,95.17,96.72,95.17,95.50,1340
2026-01-20,OCPH.CA,97.50,97.50,95.75,95.50,2380
2026-01-21,OCPH.CA,96.50,98.00,95.07,95.93,7660
2026-01-22,OCPH.CA,97.00,97.00,95.93,95.93,2380
2026-01-25,OCPH.CA,96.75,97.45,95.05,95.93,1140
2026-01-26,OCPH.CA,96.64,96.64,93.00,93.89,3220
2026-01-27,OCPH.CA,96.10,96.10,93.05,93.89,1810
2026-01-28,OCPH.CA,93.50,93.50,90.26,93.89,2480
2026-02-01,OCPH.CA,91.13,95.80,91.13,95.00,15390
2026-02-02,OCPH.CA,95.00,95.80,93.46,95.00,2970
2026-02-03,OCPH.CA,95.69,96.95,94.00,95.19,6790
2026-02-04,OCPH.CA,95.95,101.00,95.50,97.35,46180
2026-02-05,OCPH.CA,99.45,99.45,96.00,96.07,7490
2026-02-08,OCPH.CA,97.45,98.00,96.07,97.14,5170
2026-02-09,OCPH.CA,96.68,97.95,95.03,95.88,5700
2026-02-10,OCPH.CA,96.69,96.69,95.31,95.88,2290
2026-02-11,OCPH.CA,96.50,96.50,94.25,95.88,1680
2026-02-12,OCPH.CA,95.95,97.00,94.50,96.39,14420
2026-02-15,OCPH.CA,97.00,97.85,95.00,96.00,10830
2026-02-16,OCPH.CA,95.51,95.75,94.03,94.76,8910
2026-02-17,OCPH.CA,94.03,95.50,94.03,94.65,4990
2026-02-18,OCPH.CA,94.14,95.35,94.04,94.60,3650
2026-02-19,OCPH.CA,95.00,99.00,94.36,95.31,25980
2026-02-22,OCPH.CA,96.40,96.40,93.00,93.74,4380
2026-02-23,OCPH.CA,93.50,96.43,93.28,93.74,1510
2026-02-24,OCPH.CA,95.00,95.75,93.75,93.74,1740
2026-02-25,OCPH.CA,93.75,94.00,91.05,92.03,5430
2026-02-26,OCPH.CA,92.75,92.90,87.50,88.50,6790
2026-03-01,OCPH.CA,88.00,89.95,82.50,87.17,7120
2026-03-02,OCPH.CA,86.32,89.57,86.32,87.17,2840
2026-03-03,OCPH.CA,88.45,88.45,86.57,87.17,190
2026-03-04,OCPH.CA,89.50,89.50,87.22,87.17,1340
2026-03-05,OCPH.CA,87.97,88.00,86.57,87.17,3460
2026-03-08,OCPH.CA,87.50,94.44,87.50,90.11,17240
2026-03-09,OCPH.CA,90.75,97.44,90.75,94.24,15680
2026-03-10,OCPH.CA,95.05,96.50,93.50,94.10,10510
2026-03-11,OCPH.CA,94.00,96.43,93.68,95.85,5800
2026-03-12,OCPH.CA,95.53,96.45,95.03,95.85,2810
2026-03-15,OCPH.CA,96.44,96.44,95.07,95.85,2770
2026-03-16,OCPH.CA,95.13,95.93,95.13,95.85,1190
2026-03-17,OCPH.CA,95.25,95.69,95.00,95.85,2420
2026-03-18,OCPH.CA,95.06,96.00,95.06,95.85,2860
2026-03-24,OCPH.CA,92.58,98.00,92.57,96.50,8400
2026-03-25,OCPH.CA,95.60,96.50,95.28,96.50,2200
2026-03-26,OCPH.CA,95.50,96.25,94.71,96.50,1150
2026-03-29,OCPH.CA,95.69,96.43,94.86,95.11,3720
2026-03-30,OCPH.CA,95.75,95.94,93.55,94.19,5500
2026-03-31,OCPH.CA,94.40,94.72,93.16,94.19,600
2026-04-01,OCPH.CA,94.75,99.00,94.05,97.56,30780
2026-04-02,OCPH.CA,96.16,117.07,96.15,117.07,164400
2026-04-05,OCPH.CA,127.49,140.48,123.11,140.48,387730
2026-04-06,OCPH.CA,151.00,167.45,145.50,146.74,354410
2026-04-07,OCPH.CA,146.50,149.35,136.55,137.47,133000
2026-04-08,OCPH.CA,137.80,160.50,137.80,146.59,182690
2026-04-09,OCPH.CA,147.75,162.00,142.50,153.55,305130
2026-04-12,OCPH.CA,293.17,307.10,307.10,307.10,152560
2026-04-14,OCPH.CA,155.00,159.00,150.10,153.50,163490
2026-04-15,OCPH.CA,154.90,157.49,151.25,151.90,141440
2026-04-16,OCPH.CA,154.40,154.40,148.05,148.77,65880
2026-04-19,OCPH.CA,149.00,150.99,141.04,147.12,55530
2026-04-20,OCPH.CA,147.12,154.09,145.06,148.74,299490
2026-04-21,OCPH.CA,153.00,154.00,148.07,150.00,141420
2026-04-22,OCPH.CA,151.00,151.45,147.50,148.84,39820
2026-04-23,OCPH.CA,148.84,150.57,147.57,147.74,37320
2026-04-26,OCPH.CA,148.51,148.85,146.00,146.83,30040
2026-04-27,OCPH.CA,146.83,147.90,146.00,146.42,17500
2026-04-28,OCPH.CA,151.00,174.50,147.00,155.02,214220
2026-04-29,OCPH.CA,157.40,182.49,151.80,171.50,662300
2026-04-30,OCPH.CA,171.50,181.99,167.11,172.12,291650
2026-05-03,OCPH.CA,175.50,189.38,171.56,188.62,371820
2026-05-04,OCPH.CA,189.50,202.22,186.50,199.07,267290
2026-05-05,OCPH.CA,202.50,208.25,191.05,192.40,196800
2026-05-06,OCPH.CA,193.01,202.00,191.01,195.79,117750
2026-05-10,OCPH.CA,196.00,203.95,194.01,195.79,103920
2026-05-11,OCPH.CA,196.10,198.90,193.01,193.57,51800
2026-05-12,OCPH.CA,196.20,198.00,193.57,197.00,71040
2026-05-13,OCPH.CA,197.68,204.50,195.50,197.87,122180
2026-05-14,OCPH.CA,198.00,202.40,193.41,195.37,74800
2026-05-17,OCPH.CA,195.38,197.25,192.51,192.65,37180
2026-05-18,OCPH.CA,194.94,194.95,175.15,183.54,43140
2026-05-19,OCPH.CA,185.00,189.75,180.50,181.00,39050
2026-05-20,OCPH.CA,181.50,182.55,177.50,178.26,39450
2026-05-21,OCPH.CA,183.00,187.50,175.51,179.71,26650
2026-05-24,OCPH.CA,186.75,186.75,180.00,180.01,16440
2026-05-25,OCPH.CA,180.51,183.48,177.50,179.90,23290
2026-06-01,OCPH.CA,182.50,184.75,179.00,180.01,30230
2026-06-02,OCPH.CA,179.00,182.45,175.00,178.26,52020
2026-06-03,OCPH.CA,179.50,182.50,177.65,177.84,16450
2026-06-04,OCPH.CA,177.84,181.97,176.63,177.50,32940
2026-06-07,OCPH.CA,178.50,188.50,178.04,179.98,53690
2026-06-08,OCPH.CA,180.15,181.95,177.50,178.85,14470
2026-06-09,OCPH.CA,181.00,187.49,178.90,180.51,39930
2026-06-10,OCPH.CA,180.50,184.25,173.01,175.33,26590
2026-06-11,OCPH.CA,175.00,177.45,168.50,172.65,35990
2026-06-14,OCPH.CA,173.01,177.49,170.00,172.95,14140
2026-06-15,OCPH.CA,173.50,176.50,170.15,172.29,12400
2026-06-16,OCPH.CA,172.51,174.49,171.35,172.00,13200
2026-06-17,OCPH.CA,173.45,173.48,170.00,170.00,55790
2026-06-21,OCPH.CA,170.26,172.49,168.50,169.31,36550
2026-06-22,OCPH.CA,169.50,174.49,167.63,173.29,40460
2026-06-23,OCPH.CA,174.50,187.00,173.29,175.31,143500
2026-06-24,OCPH.CA,176.00,178.00,170.55,171.14,26670
