Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,OLFI.CA,25.00,25.10,24.63,24.99,110190
2026-01-05,OLFI.CA,24.95,25.09,23.93,24.05,265620
2026-01-06,OLFI.CA,24.10,24.50,23.84,24.50,359920
2026-01-08,OLFI.CA,24.72,24.73,23.90,24.03,329090
2026-01-11,OLFI.CA,24.23,25.00,24.05,24.39,304130
2026-01-12,OLFI.CA,24.40,24.80,23.95,24.15,210270
2026-01-13,OLFI.CA,24.17,24.50,23.80,23.95,141360
2026-01-14,OLFI.CA,23.88,24.47,23.00,24.47,348800
2026-01-15,OLFI.CA,24.03,24.64,23.63,24.64,350550
2026-01-18,OLFI.CA,24.64,25.50,24.64,25.49,1020000
2026-01-19,OLFI.CA,25.50,26.50,25.21,26.50,476390
2026-01-20,OLFI.CA,26.44,26.50,25.58,26.50,549390
2026-01-21,OLFI.CA,26.49,26.50,25.63,26.50,389190
2026-01-22,OLFI.CA,26.40,26.40,25.62,25.62,368520
2026-01-25,OLFI.CA,25.69,26.10,25.63,25.80,172200
2026-01-26,OLFI.CA,25.80,25.89,24.53,24.98,941530
2026-01-27,OLFI.CA,24.89,24.89,24.00,24.12,496940
2026-01-28,OLFI.CA,24.12,24.25,23.05,23.13,502470
2026-02-01,OLFI.CA,23.13,23.79,23.10,23.72,187280
2026-02-02,OLFI.CA,23.81,23.99,23.15,23.50,480390
2026-02-03,OLFI.CA,23.50,23.94,23.45,23.70,296860
2026-02-04,OLFI.CA,23.70,23.90,23.40,23.49,475260
2026-02-05,OLFI.CA,23.60,23.60,23.30,23.45,385230
2026-02-08,OLFI.CA,23.46,23.85,23.45,23.80,544380
2026-02-09,OLFI.CA,23.99,24.20,23.45,23.50,1500000
2026-02-10,OLFI.CA,23.67,23.76,23.35,23.37,581840
2026-02-11,OLFI.CA,23.38,23.50,23.01,23.02,556720
2026-02-12,OLFI.CA,23.19,23.30,22.85,22.90,950690
2026-02-15,OLFI.CA,22.92,23.10,22.90,22.96,349910
2026-02-16,OLFI.CA,23.00,23.06,22.85,22.91,403800
2026-02-17,OLFI.CA,22.97,23.00,22.70,23.00,330130
2026-02-18,OLFI.CA,23.05,23.39,23.00,23.21,710790
2026-02-19,OLFI.CA,23.25,23.30,22.80,22.95,386170
2026-02-22,OLFI.CA,22.95,23.00,22.51,22.59,254450
2026-02-23,OLFI.CA,22.55,22.79,22.41,22.57,179130
