Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,ORAS.CA,182.00,182.90,180.15,181.86,34710
2024-01-03,ORAS.CA,182.01,185.40,182.01,183.00,62370
2024-01-04,ORAS.CA,183.50,184.99,181.21,183.00,32000
2024-01-08,ORAS.CA,182.55,183.50,180.65,180.86,97860
2024-01-09,ORAS.CA,181.01,182.40,180.80,181.11,81930
2024-01-10,ORAS.CA,181.79,183.75,181.22,181.44,69670
2024-01-11,ORAS.CA,183.00,185.80,182.00,184.35,126990
2024-01-14,ORAS.CA,185.50,188.49,185.16,186.00,104990
2024-01-15,ORAS.CA,187.50,188.48,186.00,186.00,81740
2024-01-16,ORAS.CA,187.00,189.74,185.78,186.60,160990
2024-01-17,ORAS.CA,188.90,193.00,186.50,192.00,351360
2024-01-18,ORAS.CA,192.02,193.88,190.51,190.51,92180
2024-01-21,ORAS.CA,192.00,195.00,190.70,192.09,87410
2024-01-22,ORAS.CA,192.91,197.75,192.91,194.06,356230
2024-01-23,ORAS.CA,195.00,196.99,191.60,193.13,173140
2024-01-24,ORAS.CA,193.99,195.00,192.15,194.41,120330
2024-01-28,ORAS.CA,195.00,205.50,193.81,203.10,351480
2024-01-29,ORAS.CA,206.99,218.95,206.00,214.50,491300
2024-01-30,ORAS.CA,216.01,217.75,210.50,211.00,220840
2024-01-31,ORAS.CA,212.05,215.48,190.01,192.00,283890
2024-02-01,ORAS.CA,192.00,201.00,181.00,200.00,213220
2024-02-04,ORAS.CA,200.00,201.00,190.50,195.00,190350
2024-02-05,ORAS.CA,195.00,199.48,193.15,193.58,129400
2024-02-06,ORAS.CA,193.58,199.79,192.01,193.50,151160
2024-02-07,ORAS.CA,193.50,197.20,194.00,196.28,103030
2024-02-08,ORAS.CA,196.28,200.00,196.51,199.29,74990
2024-02-11,ORAS.CA,199.29,201.98,195.03,195.48,77550
2024-02-12,ORAS.CA,195.48,197.00,192.51,193.25,95560
2024-02-13,ORAS.CA,193.25,198.80,193.40,196.45,56340
2024-02-14,ORAS.CA,196.45,198.00,196.02,197.01,55070
2024-02-15,ORAS.CA,197.01,201.40,196.30,198.99,183950
2024-02-18,ORAS.CA,198.99,197.25,194.00,196.94,139570
2024-02-19,ORAS.CA,196.94,201.95,193.51,200.99,131420
2024-02-20,ORAS.CA,200.99,209.00,200.00,204.02,358450
2024-02-21,ORAS.CA,204.02,207.50,200.62,201.07,117900
2024-02-22,ORAS.CA,201.07,203.89,198.02,198.06,69120
2024-02-25,ORAS.CA,198.06,237.67,200.10,237.67,718270
2024-02-26,ORAS.CA,237.67,280.00,240.00,260.00,1570000
2024-02-27,ORAS.CA,260.00,312.00,255.51,293.25,1550000
2024-02-28,ORAS.CA,293.25,340.00,293.50,297.00,1130000
2024-02-29,ORAS.CA,297.00,307.00,281.05,289.00,637890
2024-03-03,ORAS.CA,289.00,332.00,282.00,319.99,1400000
2024-03-04,ORAS.CA,319.99,327.00,307.00,310.20,599160
2024-03-05,ORAS.CA,310.20,321.80,302.00,310.00,896890
2024-03-06,ORAS.CA,310.00,333.00,300.00,310.00,716320
2024-03-07,ORAS.CA,310.00,330.00,291.01,320.20,1020000
2024-03-10,ORAS.CA,320.20,337.77,315.91,319.00,1120000
2024-03-11,ORAS.CA,319.00,328.15,300.00,303.00,583580
2024-03-12,ORAS.CA,303.00,308.00,295.00,298.00,333130
2024-03-13,ORAS.CA,298.00,303.00,281.10,283.47,428080
2024-03-14,ORAS.CA,283.47,289.00,281.00,282.50,372620
2024-03-17,ORAS.CA,282.50,290.00,280.50,282.03,198820
2024-03-18,ORAS.CA,282.03,282.00,252.15,252.15,272090
2024-03-19,ORAS.CA,252.15,258.00,243.12,252.50,249870
2024-03-20,ORAS.CA,252.50,271.99,254.70,265.01,431650
2024-03-21,ORAS.CA,265.01,279.99,260.01,275.00,494210
2024-03-24,ORAS.CA,275.00,278.99,266.00,268.00,62530
2024-03-25,ORAS.CA,268.00,273.95,266.10,270.16,206570
2024-03-26,ORAS.CA,270.16,274.86,264.00,265.50,143670
2024-03-27,ORAS.CA,265.50,272.97,260.20,268.15,135040
2024-03-28,ORAS.CA,268.15,271.00,259.00,269.10,140080
2024-03-31,ORAS.CA,269.10,275.00,263.02,267.00,95320
2024-04-01,ORAS.CA,267.00,274.98,267.01,273.00,96380
2024-04-02,ORAS.CA,273.00,282.00,275.00,276.73,198870
2024-04-03,ORAS.CA,276.73,282.00,270.00,280.00,75990
2024-04-04,ORAS.CA,280.00,294.99,284.00,284.60,438490
