Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,ORHD.CA,11.22,11.42,11.05,11.42,3970000
2024-01-03,ORHD.CA,11.47,11.69,11.32,11.60,2890000
2024-01-04,ORHD.CA,11.73,11.91,11.45,11.49,3890000
2024-01-08,ORHD.CA,11.64,11.64,11.26,11.49,1880000
2024-01-09,ORHD.CA,11.50,11.93,11.46,11.70,7840000
2024-01-10,ORHD.CA,11.78,11.85,11.50,11.65,2680000
2024-01-11,ORHD.CA,11.75,11.80,11.58,11.74,2490000
2024-01-14,ORHD.CA,11.85,11.97,11.75,11.85,2660000
2024-01-15,ORHD.CA,11.90,12.27,11.90,12.15,4090000
2024-01-16,ORHD.CA,12.29,12.47,12.15,12.44,7150000
2024-01-17,ORHD.CA,12.60,12.65,12.20,12.20,5430000
2024-01-18,ORHD.CA,12.38,12.46,12.26,12.29,1500000
2024-01-21,ORHD.CA,12.30,13.39,12.30,13.18,8920000
2024-01-22,ORHD.CA,13.30,13.66,13.10,13.15,3690000
2024-01-23,ORHD.CA,13.23,13.29,12.41,12.43,4410000
2024-01-24,ORHD.CA,12.49,12.70,12.34,12.60,3170000
2024-01-28,ORHD.CA,12.72,12.95,12.59,12.60,2080000
2024-01-29,ORHD.CA,12.67,13.09,12.33,12.44,3570000
2024-01-30,ORHD.CA,12.50,13.80,12.42,13.60,8520000
2024-01-31,ORHD.CA,13.57,13.75,12.21,12.40,11530000
2024-02-01,ORHD.CA,12.40,12.95,11.55,12.90,3760000
2024-02-04,ORHD.CA,12.90,12.89,12.01,12.70,2260000
2024-02-05,ORHD.CA,12.70,13.91,12.51,13.60,6600000
2024-02-06,ORHD.CA,13.60,13.75,12.82,13.20,5560000
2024-02-07,ORHD.CA,13.20,13.66,13.00,13.41,6150000
2024-02-08,ORHD.CA,13.41,13.81,13.30,13.80,3500000
2024-02-11,ORHD.CA,13.80,14.18,13.32,13.39,6590000
2024-02-12,ORHD.CA,13.39,13.62,13.12,13.20,2360000
2024-02-13,ORHD.CA,13.20,13.44,12.98,13.02,2150000
2024-02-14,ORHD.CA,13.02,13.50,13.07,13.22,3100000
2024-02-15,ORHD.CA,13.22,13.80,13.33,13.62,3840000
2024-02-18,ORHD.CA,13.62,13.93,13.55,13.56,1980000
2024-02-19,ORHD.CA,13.56,14.70,13.60,14.61,12100000
2024-02-20,ORHD.CA,14.61,14.95,14.40,14.90,5140000
2024-02-21,ORHD.CA,14.90,14.95,14.50,14.61,2290000
2024-02-22,ORHD.CA,14.61,14.79,14.18,14.20,1400000
2024-02-25,ORHD.CA,14.20,15.97,13.70,15.00,8540000
2024-02-26,ORHD.CA,15.00,15.60,14.81,15.05,5540000
2024-02-27,ORHD.CA,15.05,17.00,15.05,16.09,9600000
2024-02-28,ORHD.CA,16.09,16.50,14.80,14.81,4150000
2024-02-29,ORHD.CA,14.81,15.25,14.24,14.43,4480000
2024-03-03,ORHD.CA,14.43,14.93,13.96,14.19,3150000
2024-03-04,ORHD.CA,14.19,15.59,14.29,15.00,4790000
2024-03-05,ORHD.CA,15.00,15.44,14.44,14.64,1120000
2024-03-06,ORHD.CA,14.64,15.25,13.76,13.85,3880000
2024-03-07,ORHD.CA,13.85,14.18,13.22,13.54,2500000
2024-03-10,ORHD.CA,13.54,15.15,13.60,15.00,3650000
2024-03-11,ORHD.CA,15.00,16.97,14.82,15.05,6650000
2024-03-12,ORHD.CA,15.05,15.48,14.39,14.62,1640000
2024-03-13,ORHD.CA,14.62,14.99,13.81,14.00,1080000
2024-03-14,ORHD.CA,14.00,14.70,13.06,14.23,2310000
2024-03-17,ORHD.CA,14.23,14.90,13.76,13.79,929940
2024-03-18,ORHD.CA,13.79,14.00,12.05,12.05,3600000
2024-03-19,ORHD.CA,12.05,12.88,12.05,12.80,2140000
2024-03-20,ORHD.CA,12.80,13.20,12.06,12.30,2400000
2024-03-21,ORHD.CA,12.30,12.63,12.10,12.47,2120000
2024-03-24,ORHD.CA,12.47,12.75,12.10,12.20,1130000
2024-03-25,ORHD.CA,12.20,12.91,12.10,12.71,2970000
2024-03-26,ORHD.CA,12.71,12.89,12.20,12.30,2620000
2024-03-27,ORHD.CA,12.30,12.52,11.50,11.80,2320000
2024-03-28,ORHD.CA,11.80,11.98,11.00,11.03,6100000
2024-03-31,ORHD.CA,11.03,11.23,10.05,10.58,3750000
2024-04-01,ORHD.CA,10.58,11.49,10.58,11.47,2700000
2024-04-02,ORHD.CA,11.47,11.61,10.87,10.92,3840000
2024-04-03,ORHD.CA,10.92,11.34,10.82,11.32,1330000
2024-04-04,ORHD.CA,11.32,11.55,11.11,11.32,1650000
2024-04-07,ORHD.CA,11.32,11.47,11.11,11.13,1350000
2024-04-08,ORHD.CA,11.13,11.28,11.01,11.14,818290
2024-04-15,ORHD.CA,11.14,12.11,11.18,11.90,5260000
2024-04-16,ORHD.CA,11.90,12.05,11.70,11.73,3100000
2024-04-17,ORHD.CA,11.73,12.55,11.72,12.40,3640000
2024-04-18,ORHD.CA,12.40,12.73,11.33,11.90,2660000
2024-04-21,ORHD.CA,11.90,12.90,11.90,11.94,1640000
2024-04-22,ORHD.CA,11.94,12.46,11.82,11.97,1650000
2024-04-23,ORHD.CA,11.97,11.99,10.60,10.94,3450000
2024-04-24,ORHD.CA,10.94,11.15,10.19,10.38,3400000
2024-04-28,ORHD.CA,10.50,10.74,9.85,9.89,1480000
2024-04-29,ORHD.CA,9.90,10.75,9.90,10.48,1500000
2024-04-30,ORHD.CA,10.56,10.89,9.80,9.80,2970000
2024-05-01,ORHD.CA,9.85,10.20,9.60,10.18,2110000
2024-05-02,ORHD.CA,10.20,10.50,10.00,10.36,2040000
2024-05-07,ORHD.CA,10.36,10.54,10.08,10.21,2960000
2024-05-08,ORHD.CA,10.39,10.51,10.10,10.11,2060000
2024-05-09,ORHD.CA,10.11,10.19,9.83,9.98,2440000
2024-05-12,ORHD.CA,10.04,10.05,9.30,9.31,2310000
2024-05-13,ORHD.CA,9.46,9.58,8.72,9.57,3120000
2024-05-14,ORHD.CA,9.57,9.60,9.32,9.57,1370000
2024-05-15,ORHD.CA,9.52,9.83,9.31,9.80,1840000
2024-05-16,ORHD.CA,9.80,10.38,9.71,10.34,2210000
2024-05-19,ORHD.CA,10.34,10.91,10.22,10.90,1990000
2024-05-20,ORHD.CA,10.85,10.94,10.42,10.48,1060000
2024-05-21,ORHD.CA,10.50,10.74,10.32,10.70,1550000
2024-05-22,ORHD.CA,10.70,11.46,10.67,11.40,6140000
2024-05-23,ORHD.CA,11.40,11.65,11.10,11.13,2530000
2024-05-26,ORHD.CA,11.20,11.60,11.20,11.38,1170000
2024-05-27,ORHD.CA,11.42,11.45,11.00,11.25,1210000
2024-05-28,ORHD.CA,11.13,11.30,10.58,11.11,735510
2024-05-29,ORHD.CA,11.11,11.30,11.00,11.25,713680
2024-05-30,ORHD.CA,11.25,11.25,10.92,10.99,730680
2024-06-02,ORHD.CA,11.10,11.17,10.55,10.83,1130000
2024-06-03,ORHD.CA,10.80,11.54,10.80,11.41,3360000
2024-06-04,ORHD.CA,11.44,11.55,11.24,11.32,627360
2024-06-05,ORHD.CA,11.40,11.40,10.70,10.91,1440000
2024-06-06,ORHD.CA,10.94,11.05,10.87,10.90,623510
2024-06-09,ORHD.CA,10.80,10.90,10.10,10.10,1330000
2024-06-10,ORHD.CA,10.00,10.30,9.63,10.10,927200
2024-06-11,ORHD.CA,10.15,10.42,10.06,10.23,767370
2024-06-12,ORHD.CA,10.26,10.58,10.25,10.49,1010000
2024-06-13,ORHD.CA,10.55,10.60,10.35,10.50,776420
2024-06-23,ORHD.CA,10.60,10.99,10.60,10.98,1230000
2024-06-24,ORHD.CA,10.99,11.15,10.80,10.84,1700000
2024-06-25,ORHD.CA,10.84,11.47,10.63,11.45,3700000
2024-06-26,ORHD.CA,11.47,12.04,11.47,11.88,6400000
2024-06-27,ORHD.CA,11.92,11.95,11.53,11.63,3210000
2024-07-01,ORHD.CA,11.70,11.87,11.59,11.62,1380000
2024-07-02,ORHD.CA,12.13,12.44,11.69,11.80,10510000
2024-07-03,ORHD.CA,11.91,12.80,11.81,12.52,10210000
2024-07-04,ORHD.CA,12.70,12.79,12.45,12.65,4930000
2024-07-07,ORHD.CA,12.73,12.98,12.50,12.50,6360000
2024-07-08,ORHD.CA,12.54,12.90,12.47,12.61,4090000
2024-07-09,ORHD.CA,12.62,13.08,12.51,12.90,7430000
2024-07-10,ORHD.CA,13.00,13.12,12.59,12.66,5600000
2024-07-14,ORHD.CA,12.67,12.77,12.52,12.60,1660000
2024-07-15,ORHD.CA,12.70,12.96,12.20,12.36,1700000
2024-07-16,ORHD.CA,12.40,12.70,12.30,12.70,1120000
2024-07-17,ORHD.CA,12.75,13.20,12.60,13.13,7930000
2024-07-18,ORHD.CA,13.28,13.70,13.15,13.70,12580000
2024-07-21,ORHD.CA,13.68,13.68,13.28,13.32,3410000
2024-07-22,ORHD.CA,13.42,13.60,12.86,12.86,9100000
2024-07-23,ORHD.CA,12.89,13.65,12.89,13.59,8980000
