Date,Ticker,Open,High,Low,Close,Volume
2026-01-05,PACH.CA,71.70,71.70,71.70,71.70,0
2026-01-12,PACH.CA,71.70,74.02,71.60,72.00,210
2026-01-14,PACH.CA,71.00,71.00,70.00,70.00,10
2026-01-19,PACH.CA,70.10,73.98,70.00,70.00,280
2026-01-21,PACH.CA,73.90,73.90,73.90,73.90,10
2026-01-26,PACH.CA,73.85,73.90,70.00,70.05,250
2026-01-28,PACH.CA,70.05,72.99,70.00,70.00,560
2026-02-02,PACH.CA,70.00,71.00,70.00,71.00,110
2026-02-04,PACH.CA,71.00,71.50,71.00,71.50,520
2026-02-09,PACH.CA,73.00,73.00,70.00,70.00,3780
2026-02-11,PACH.CA,70.01,70.01,70.00,70.00,590
2026-02-16,PACH.CA,70.01,70.00,70.00,70.00,0
2026-02-18,PACH.CA,70.00,71.75,70.00,71.75,30
2026-02-23,PACH.CA,71.75,72.00,70.00,70.00,230
2026-03-02,PACH.CA,72.00,72.00,70.00,70.00,60
2026-03-04,PACH.CA,70.00,72.00,70.00,70.00,300
2026-03-09,PACH.CA,70.00,72.00,70.00,72.00,20
2026-03-11,PACH.CA,72.00,72.00,70.00,70.00,20
2026-03-16,PACH.CA,70.01,70.01,70.01,70.01,10
2026-03-25,PACH.CA,70.01,70.01,70.01,70.01,0
2026-03-30,PACH.CA,70.01,70.01,70.01,70.01,0
2026-04-01,PACH.CA,70.01,70.01,70.01,70.01,0
2026-04-06,PACH.CA,70.01,70.01,70.01,70.01,0
2026-04-08,PACH.CA,70.01,70.01,70.01,70.01,10
2026-04-15,PACH.CA,71.00,71.00,70.05,70.05,60
2026-04-20,PACH.CA,70.05,71.99,70.05,70.07,110
2026-04-22,PACH.CA,71.40,71.40,71.30,71.30,10
2026-04-27,PACH.CA,71.30,72.00,71.30,72.00,480
2026-04-29,PACH.CA,72.00,72.00,71.30,71.30,60
2026-05-04,PACH.CA,71.30,71.50,70.05,70.05,990
2026-05-06,PACH.CA,70.50,70.50,70.50,70.50,10
2026-05-11,PACH.CA,71.00,71.00,70.50,70.50,380
2026-05-13,PACH.CA,71.00,71.50,70.05,71.50,510
2026-05-18,PACH.CA,71.50,80.00,71.50,80.00,580
2026-05-20,PACH.CA,80.00,85.00,80.00,85.00,480
2026-05-25,PACH.CA,84.50,84.50,70.05,70.25,90
2026-06-01,PACH.CA,84.50,84.50,80.00,83.99,0
2026-06-03,PACH.CA,83.99,83.99,80.00,80.00,10
2026-06-08,PACH.CA,81.00,81.00,71.02,71.02,0
2026-06-10,PACH.CA,81.00,71.02,71.02,71.02,0
2026-06-15,PACH.CA,80.00,80.00,73.01,73.01,10
2026-06-17,PACH.CA,79.80,83.00,79.80,80.00,2060
2026-06-22,PACH.CA,82.00,82.00,71.00,80.00,140
2026-06-24,PACH.CA,80.00,85.00,80.00,85.00,150
