Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,PHAR.CA,78.10,79.75,77.50,77.90,82550
2026-01-05,PHAR.CA,78.00,80.00,77.20,78.04,439150
2026-01-06,PHAR.CA,78.37,79.01,78.04,78.98,493980
2026-01-08,PHAR.CA,79.20,81.20,79.20,80.00,729450
2026-01-11,PHAR.CA,80.98,82.00,80.50,80.97,435190
2026-01-12,PHAR.CA,81.31,81.73,78.55,79.00,621000
2026-01-13,PHAR.CA,79.10,79.89,76.90,77.61,187730
2026-01-14,PHAR.CA,77.61,78.41,75.45,77.08,149150
2026-01-15,PHAR.CA,76.80,77.94,75.91,76.37,80930
2026-01-18,PHAR.CA,76.73,77.90,76.73,77.19,28830
2026-01-19,PHAR.CA,77.65,79.00,76.73,78.89,415140
2026-01-20,PHAR.CA,79.00,79.49,78.07,78.90,347040
2026-01-21,PHAR.CA,78.90,79.99,77.50,79.99,126050
2026-01-22,PHAR.CA,79.00,79.99,78.14,78.25,193190
2026-01-25,PHAR.CA,78.50,78.50,77.00,77.50,381310
2026-01-26,PHAR.CA,77.70,79.45,77.05,79.45,399860
2026-01-27,PHAR.CA,80.02,80.94,78.02,78.50,228480
2026-01-28,PHAR.CA,78.60,79.44,76.60,77.41,149720
2026-02-01,PHAR.CA,77.42,79.99,77.10,79.48,407210
2026-02-02,PHAR.CA,79.11,79.96,78.31,78.50,268450
2026-02-03,PHAR.CA,79.01,81.76,79.01,81.10,664900
2026-02-04,PHAR.CA,81.15,84.84,81.02,83.00,1240000
2026-02-05,PHAR.CA,83.48,84.25,83.00,83.73,447300
2026-02-08,PHAR.CA,84.01,87.12,84.01,85.50,526540
2026-02-09,PHAR.CA,86.19,86.75,82.75,83.40,1060000
2026-02-10,PHAR.CA,83.50,83.89,82.01,83.28,439780
2026-02-11,PHAR.CA,83.60,84.39,82.10,83.89,232390
2026-02-12,PHAR.CA,83.71,84.80,83.01,83.08,229680
2026-02-15,PHAR.CA,83.70,84.50,82.50,82.76,244050
2026-02-16,PHAR.CA,83.70,84.00,82.70,82.75,982020
2026-02-17,PHAR.CA,83.10,85.95,82.51,85.50,823810
2026-02-18,PHAR.CA,85.95,86.42,84.82,85.89,457710
2026-02-19,PHAR.CA,85.90,86.00,82.90,82.99,253130
2026-02-22,PHAR.CA,83.51,84.95,81.00,81.05,145190
