Date,Ticker,Open,High,Low,Close,Volume
2024-01-14,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-01-15,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-01-16,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-01-17,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-01-18,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-01-21,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-01-22,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-01-23,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-01-24,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-01-28,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-01-29,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-01-30,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-01-31,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-01,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-04,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-05,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-06,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-07,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-08,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-11,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-12,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-13,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-14,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-15,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-18,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-19,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-20,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-21,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-22,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-25,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-26,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-27,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-28,PHGC.CA,0.079,0.079,0.079,0.079,0
2024-02-29,PHGC.CA,0.134,0.134,0.134,0.134,0
2024-03-03,PHGC.CA,0.134,0.134,0.134,0.134,0
2024-03-04,PHGC.CA,0.134,0.134,0.134,0.134,0
2024-03-05,PHGC.CA,0.134,0.134,0.134,0.134,0
2024-03-06,PHGC.CA,0.134,0.134,0.134,0.134,0
2024-03-07,PHGC.CA,0.134,0.134,0.134,0.134,0
2024-03-10,PHGC.CA,0.134,0.134,0.134,0.134,0
2024-03-11,PHGC.CA,0.134,0.134,0.134,0.134,0
2024-03-12,PHGC.CA,0.134,0.644,0.605,0.644,59270000
2024-03-13,PHGC.CA,0.644,0.708,0.708,0.708,381960
2024-03-14,PHGC.CA,0.708,0.779,0.779,0.779,1400000
2024-03-17,PHGC.CA,0.779,0.857,0.857,0.857,1680000
2024-03-18,PHGC.CA,0.857,0.943,0.864,0.943,22670000
2024-03-19,PHGC.CA,0.943,1.037,0.986,1.037,11430000
2024-03-20,PHGC.CA,1.037,1.140,1.139,1.140,1680000
2024-03-21,PHGC.CA,1.140,1.254,1.254,1.254,1250000
2024-03-24,PHGC.CA,1.254,1.379,1.254,1.296,22520000
2024-03-25,PHGC.CA,1.296,1.426,1.257,1.320,9660000
2024-03-26,PHGC.CA,1.320,1.335,1.188,1.335,71270000
2024-03-27,PHGC.CA,1.335,1.331,1.233,1.237,4220000
2024-03-28,PHGC.CA,1.237,1.304,1.217,1.290,5350000
2024-03-31,PHGC.CA,1.290,1.419,1.288,1.419,33870000
2024-04-01,PHGC.CA,1.419,1.561,1.446,1.559,7700000
2024-04-02,PHGC.CA,1.559,1.715,1.500,1.715,4560000
2024-04-03,PHGC.CA,1.990,2.183,2.183,2.183,0
2024-04-04,PHGC.CA,1.990,2.183,2.183,2.183,0
2024-04-07,PHGC.CA,1.990,2.180,2.180,2.180,0
2024-04-08,PHGC.CA,1.990,2.180,2.180,2.180,0
2024-04-15,PHGC.CA,1.990,2.180,2.180,2.180,0
2024-04-16,PHGC.CA,1.712,1.712,1.712,1.712,752570
