Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,POUL.CA,26.00,26.39,25.57,25.65,348290
2026-01-05,POUL.CA,25.70,26.00,24.41,24.60,889040
2026-01-06,POUL.CA,24.65,25.42,24.65,25.20,903930
2026-01-08,POUL.CA,25.46,26.25,25.12,25.70,2340000
2026-01-11,POUL.CA,25.76,26.09,25.60,25.61,191720
2026-01-12,POUL.CA,25.63,25.96,25.63,25.71,251260
2026-01-13,POUL.CA,25.71,25.92,24.80,25.03,382220
2026-01-14,POUL.CA,25.03,25.15,24.61,24.99,392410
2026-01-15,POUL.CA,24.98,25.50,24.26,24.70,353600
2026-01-18,POUL.CA,24.83,25.48,24.70,25.20,174860
2026-01-19,POUL.CA,25.30,26.00,25.20,25.88,1190000
2026-01-20,POUL.CA,25.95,26.50,25.90,26.00,466140
2026-01-21,POUL.CA,25.93,26.14,25.72,25.81,262210
2026-01-22,POUL.CA,25.92,26.00,25.37,25.69,524970
2026-01-25,POUL.CA,25.69,25.80,25.36,25.37,430680
2026-01-26,POUL.CA,25.40,26.50,25.20,26.04,1330000
2026-01-27,POUL.CA,26.39,26.94,26.25,26.38,851250
2026-01-28,POUL.CA,26.38,26.68,25.43,26.03,741940
2026-02-01,POUL.CA,26.10,26.36,25.88,26.06,247680
2026-02-02,POUL.CA,26.16,26.30,25.80,26.20,225870
2026-02-03,POUL.CA,26.20,27.25,26.20,27.10,1240000
2026-02-04,POUL.CA,27.20,28.24,27.20,28.00,2080000
2026-02-05,POUL.CA,28.22,31.24,28.22,28.88,5320000
2026-02-08,POUL.CA,29.15,29.23,28.50,29.00,1220000
2026-02-09,POUL.CA,29.00,30.30,28.61,28.61,1680000
2026-02-10,POUL.CA,28.76,28.80,27.30,27.30,1880000
2026-02-11,POUL.CA,27.32,30.05,27.32,29.80,5490000
2026-02-12,POUL.CA,30.00,30.70,29.86,30.43,4590000
2026-02-15,POUL.CA,30.41,30.69,29.14,29.37,1540000
2026-02-16,POUL.CA,29.40,30.00,29.37,29.70,1380000
2026-02-17,POUL.CA,29.51,30.05,29.39,29.76,415670
2026-02-18,POUL.CA,29.76,31.14,29.72,31.01,1990000
2026-02-19,POUL.CA,31.20,31.49,27.80,27.83,790490
2026-02-22,POUL.CA,29.50,30.40,28.30,29.12,1000000
2026-02-23,POUL.CA,29.39,31.33,29.12,31.33,1430000
2026-02-24,POUL.CA,30.97,31.20,30.00,30.40,906950
2026-02-25,POUL.CA,30.64,31.00,30.00,30.47,2670000
2026-02-26,POUL.CA,30.71,32.50,30.31,30.31,2760000
2026-03-01,POUL.CA,28.50,30.10,28.00,29.90,1280000
2026-03-02,POUL.CA,29.51,30.98,29.17,29.20,358130
2026-03-03,POUL.CA,29.15,29.50,28.01,29.50,634230
2026-03-04,POUL.CA,29.76,31.98,29.53,31.50,2150000
2026-03-05,POUL.CA,31.50,31.50,30.00,30.15,565300
2026-03-08,POUL.CA,30.49,34.00,30.30,32.99,2150000
2026-03-09,POUL.CA,32.75,33.20,31.55,31.71,433660
2026-03-10,POUL.CA,31.99,34.23,31.72,32.60,632090
2026-03-11,POUL.CA,32.71,33.44,30.95,31.83,1830000
2026-03-12,POUL.CA,31.98,32.50,31.33,32.00,585210
2026-03-15,POUL.CA,31.99,32.70,31.72,31.72,426500
2026-03-16,POUL.CA,31.74,32.00,30.13,30.44,631680
2026-03-17,POUL.CA,30.59,31.77,30.40,31.52,313800
2026-03-18,POUL.CA,31.75,32.00,31.02,31.60,807940
2026-03-24,POUL.CA,31.90,34.58,31.90,32.50,2360000
2026-03-25,POUL.CA,32.50,33.34,32.11,32.11,884600
2026-03-26,POUL.CA,32.39,32.60,31.70,31.79,307260
2026-03-29,POUL.CA,31.95,32.29,31.52,31.53,236030
2026-03-30,POUL.CA,31.63,31.99,31.00,31.50,276610
2026-03-31,POUL.CA,31.06,32.30,30.90,31.36,549670
2026-04-01,POUL.CA,31.55,32.50,31.55,31.83,421710
2026-04-02,POUL.CA,31.83,32.19,31.31,31.83,415460
2026-04-05,POUL.CA,31.98,32.90,31.80,32.50,424050
2026-04-06,POUL.CA,32.71,33.69,32.60,33.50,638650
2026-04-07,POUL.CA,33.58,34.17,33.50,33.71,1710000
2026-04-08,POUL.CA,33.85,35.00,32.69,32.71,1750000
2026-04-09,POUL.CA,32.75,33.70,32.75,33.06,466770
2026-04-12,POUL.CA,32.71,33.06,33.06,33.06,466770
2026-04-14,POUL.CA,33.06,33.96,32.01,32.21,798970
2026-04-15,POUL.CA,32.51,34.14,32.24,33.70,1080000
2026-04-16,POUL.CA,34.00,35.48,33.70,34.89,1520000
2026-04-19,POUL.CA,34.90,35.15,33.71,33.85,811150
2026-04-20,POUL.CA,34.00,34.30,33.33,34.24,488490
2026-04-21,POUL.CA,34.24,34.99,34.10,34.49,405900
2026-04-22,POUL.CA,34.97,35.20,33.71,33.90,1500000
2026-04-23,POUL.CA,34.05,34.69,34.00,34.60,2710000
2026-04-26,POUL.CA,34.69,34.99,34.20,34.91,671050
2026-04-27,POUL.CA,34.80,35.95,34.60,35.35,2560000
2026-04-28,POUL.CA,35.51,36.40,35.00,35.50,1960000
2026-04-29,POUL.CA,35.50,36.15,35.40,35.75,1170000
2026-04-30,POUL.CA,35.81,37.50,35.50,36.74,2160000
2026-05-03,POUL.CA,36.80,36.90,35.20,35.75,2010000
2026-05-04,POUL.CA,35.76,35.89,34.34,34.34,1410000
2026-05-05,POUL.CA,34.42,34.88,33.80,34.55,841630
2026-05-06,POUL.CA,34.56,35.34,34.56,34.83,949300
2026-05-10,POUL.CA,34.83,35.15,34.57,35.01,853660
2026-05-11,POUL.CA,35.20,35.47,34.06,34.80,2040000
2026-05-12,POUL.CA,35.00,37.37,34.84,37.00,5540000
2026-05-13,POUL.CA,37.33,38.50,36.75,36.78,1420000
2026-05-14,POUL.CA,36.92,39.17,36.92,37.00,2140000
2026-05-17,POUL.CA,36.99,37.32,35.00,35.65,659130
2026-05-18,POUL.CA,36.47,36.47,34.90,35.03,1620000
2026-05-19,POUL.CA,35.49,36.49,34.80,36.49,1630000
2026-05-20,POUL.CA,36.99,37.00,35.05,35.18,813390
2026-05-21,POUL.CA,35.87,35.95,35.00,35.95,1420000
2026-05-24,POUL.CA,36.80,37.10,36.10,37.00,1250000
2026-05-25,POUL.CA,37.30,38.13,36.22,38.08,1950000
2026-06-01,POUL.CA,38.24,38.50,37.40,38.40,1110000
2026-06-02,POUL.CA,38.50,38.59,37.62,37.70,688910
2026-06-03,POUL.CA,38.40,38.40,37.07,37.18,458430
2026-06-04,POUL.CA,37.10,37.75,37.00,37.73,521280
2026-06-07,POUL.CA,37.98,37.99,37.37,37.45,271740
2026-06-08,POUL.CA,37.89,37.89,36.83,36.88,337550
2026-06-09,POUL.CA,37.50,37.58,36.90,37.45,335950
2026-06-10,POUL.CA,37.89,37.89,36.00,36.00,505260
2026-06-11,POUL.CA,36.48,36.60,35.10,35.50,535190
2026-06-14,POUL.CA,36.98,36.98,34.99,35.00,935070
2026-06-15,POUL.CA,35.50,36.80,35.30,36.60,1730000
2026-06-16,POUL.CA,36.90,37.25,36.01,36.01,817370
2026-06-17,POUL.CA,36.30,36.30,35.40,35.45,1590000
2026-06-21,POUL.CA,35.96,36.00,35.28,35.94,790130
2026-06-22,POUL.CA,36.18,37.89,35.70,37.55,1310000
2026-06-23,POUL.CA,37.69,39.50,37.60,39.50,2600000
2026-06-24,POUL.CA,39.50,41.00,38.50,39.68,2680000
