Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,PRCL.CA,12.300,12.770,12.300,12.450,1250000
2024-01-03,PRCL.CA,12.610,12.640,12.250,12.310,591710
2024-01-04,PRCL.CA,12.350,12.440,12.200,12.310,476230
2024-01-08,PRCL.CA,12.410,12.570,12.210,12.240,398820
2024-01-09,PRCL.CA,12.320,12.400,11.820,12.140,736160
2024-01-10,PRCL.CA,12.250,14.200,12.150,14.080,5350000
2024-01-11,PRCL.CA,14.000,14.070,13.350,13.460,2940000
2024-01-14,PRCL.CA,13.670,14.090,13.450,13.520,2100000
2024-01-15,PRCL.CA,13.740,13.800,13.310,13.460,923060
2024-01-16,PRCL.CA,13.600,13.690,13.290,13.510,858080
2024-01-17,PRCL.CA,13.690,14.690,13.560,13.740,4150000
2024-01-18,PRCL.CA,13.820,14.080,13.500,13.640,979620
2024-01-21,PRCL.CA,13.750,14.450,13.620,13.750,2420000
2024-01-22,PRCL.CA,14.030,14.250,13.510,13.550,1850000
2024-01-23,PRCL.CA,13.770,14.200,13.630,13.630,1740000
2024-01-24,PRCL.CA,13.760,13.850,13.500,13.530,684070
2024-01-28,PRCL.CA,13.750,13.800,13.410,13.500,999520
2024-01-29,PRCL.CA,13.560,13.900,13.300,13.430,1150000
2024-01-30,PRCL.CA,13.600,13.880,13.440,13.630,1110000
2024-01-31,PRCL.CA,14.500,14.500,11.300,11.910,772040
2024-02-01,PRCL.CA,11.910,12.910,11.310,12.850,869320
2024-02-04,PRCL.CA,12.850,13.650,12.080,13.340,931480
2024-02-05,PRCL.CA,13.340,13.790,13.370,13.590,852420
2024-02-06,PRCL.CA,13.590,14.090,13.310,13.340,1400000
2024-02-07,PRCL.CA,13.340,13.660,13.050,13.130,618930
2024-02-08,PRCL.CA,13.130,13.400,13.020,13.020,468640
2024-02-11,PRCL.CA,13.020,13.340,12.710,12.800,549270
2024-02-12,PRCL.CA,12.800,13.030,12.220,12.740,342170
2024-02-13,PRCL.CA,12.740,12.880,12.550,12.740,447710
2024-02-14,PRCL.CA,12.740,13.300,12.620,13.180,729830
2024-02-15,PRCL.CA,13.180,13.820,13.250,13.310,1390000
2024-02-18,PRCL.CA,13.310,13.500,12.920,13.010,611110
2024-02-19,PRCL.CA,13.010,13.260,12.900,13.000,504830
2024-02-20,PRCL.CA,13.000,13.300,12.940,13.000,575230
2024-02-21,PRCL.CA,13.000,14.970,13.020,14.780,5980000
2024-02-22,PRCL.CA,14.780,16.940,15.010,15.090,5140000
2024-02-25,PRCL.CA,15.090,14.770,13.170,13.200,2080000
2024-02-26,PRCL.CA,13.200,14.200,13.000,13.430,1510000
2024-02-27,PRCL.CA,13.430,13.950,13.050,13.110,1040000
2024-02-28,PRCL.CA,13.110,13.650,12.560,12.740,1090000
2024-02-29,PRCL.CA,12.740,12.980,12.120,12.260,469570
2024-03-03,PRCL.CA,12.260,12.300,11.500,11.920,773230
2024-03-04,PRCL.CA,11.920,12.350,11.970,12.300,801590
2024-03-05,PRCL.CA,12.300,12.830,11.990,12.030,1620000
2024-03-06,PRCL.CA,12.030,12.060,11.360,11.420,733710
2024-03-07,PRCL.CA,11.420,11.640,10.880,11.300,401640
2024-03-10,PRCL.CA,11.300,12.000,11.310,12.000,556810
2024-03-11,PRCL.CA,12.000,12.130,11.510,11.550,380400
2024-03-12,PRCL.CA,11.550,11.800,10.600,10.960,492960
2024-03-13,PRCL.CA,10.960,11.200,10.200,10.460,363170
2024-03-14,PRCL.CA,10.460,10.890,10.310,10.540,272680
2024-03-17,PRCL.CA,10.540,10.850,10.000,10.050,271340
2024-03-18,PRCL.CA,10.050,10.080,8.630,8.850,313660
2024-03-19,PRCL.CA,8.850,9.090,8.300,9.010,385770
2024-03-20,PRCL.CA,9.010,9.710,9.110,9.510,394280
2024-03-21,PRCL.CA,9.510,10.500,9.520,10.150,426560
2024-03-24,PRCL.CA,10.150,10.400,9.620,10.120,234320
2024-03-25,PRCL.CA,10.120,10.500,10.030,10.200,302980
2024-03-26,PRCL.CA,10.200,10.400,9.830,9.910,191730
2024-03-27,PRCL.CA,9.910,10.000,9.470,9.530,182180
2024-03-28,PRCL.CA,9.530,9.600,9.250,9.410,118520
2024-03-31,PRCL.CA,9.410,9.650,8.700,9.160,119200
2024-04-01,PRCL.CA,9.160,9.500,9.030,9.300,133510
2024-04-02,PRCL.CA,9.300,9.570,9.080,9.180,191650
2024-04-03,PRCL.CA,9.180,9.250,9.000,9.160,142180
2024-04-04,PRCL.CA,9.160,9.800,9.120,9.450,374950
2024-04-07,PRCL.CA,9.450,10.120,9.540,9.730,362440
2024-04-08,PRCL.CA,9.730,10.200,9.560,10.040,416390
2024-04-15,PRCL.CA,10.040,10.250,9.930,10.200,475080
2024-04-16,PRCL.CA,10.200,10.690,10.190,10.360,622000
2024-04-17,PRCL.CA,10.360,10.500,10.020,10.120,379220
2024-04-18,PRCL.CA,10.120,10.350,9.260,9.310,452840
2024-04-21,PRCL.CA,9.310,9.620,9.290,9.410,339780
2024-04-22,PRCL.CA,9.410,9.700,9.140,9.150,185920
2024-04-23,PRCL.CA,9.150,9.160,8.100,8.390,278540
2024-04-24,PRCL.CA,8.390,8.590,7.900,8.160,204340
2024-04-28,PRCL.CA,8.190,8.300,7.870,7.910,248560
2024-04-29,PRCL.CA,7.970,8.220,7.880,8.190,180040
2024-04-30,PRCL.CA,8.110,8.130,7.700,7.860,176180
2024-05-01,PRCL.CA,7.790,8.100,7.740,7.860,20790
2024-05-02,PRCL.CA,8.000,8.150,7.570,8.020,135570
2024-05-07,PRCL.CA,8.090,8.160,7.950,8.000,109930
2024-05-08,PRCL.CA,8.010,8.120,7.400,7.540,220810
2024-05-09,PRCL.CA,7.660,8.440,7.510,8.310,1270000
2024-05-12,PRCL.CA,8.430,9.080,8.350,8.450,1580000
2024-05-13,PRCL.CA,8.450,8.840,8.030,8.660,657730
2024-05-14,PRCL.CA,8.700,8.850,8.330,8.380,364630
2024-05-15,PRCL.CA,8.460,8.570,8.230,8.390,663900
2024-05-16,PRCL.CA,8.340,8.700,8.340,8.580,512650
2024-05-19,PRCL.CA,8.640,8.990,8.600,8.920,740980
2024-05-20,PRCL.CA,8.990,9.380,8.820,8.930,822730
2024-05-21,PRCL.CA,8.930,9.230,8.700,8.820,291900
2024-05-22,PRCL.CA,8.910,8.950,8.580,8.620,196690
2024-05-23,PRCL.CA,8.700,8.840,8.610,8.650,94970
2024-05-26,PRCL.CA,8.790,9.450,8.790,9.170,1400000
2024-05-27,PRCL.CA,9.330,9.360,8.890,9.030,843560
2024-05-28,PRCL.CA,8.950,9.000,8.660,8.780,337040
2024-05-29,PRCL.CA,8.820,9.430,8.760,9.150,1680000
2024-05-30,PRCL.CA,9.250,9.250,8.720,8.770,439040
2024-06-02,PRCL.CA,8.970,8.970,8.650,8.680,323390
2024-06-03,PRCL.CA,8.700,8.870,8.310,8.360,218630
2024-06-04,PRCL.CA,8.420,8.680,8.370,8.420,179180
2024-06-05,PRCL.CA,8.450,8.570,8.000,8.160,182640
2024-06-06,PRCL.CA,8.220,8.590,8.100,8.140,273980
2024-06-09,PRCL.CA,8.260,8.490,8.070,8.180,328260
2024-06-10,PRCL.CA,8.180,8.580,8.150,8.550,363460
2024-06-11,PRCL.CA,8.610,8.650,8.340,8.370,235120
2024-06-12,PRCL.CA,8.390,8.990,8.360,8.600,442680
2024-06-13,PRCL.CA,8.800,8.800,8.510,8.540,95860
2024-06-23,PRCL.CA,8.540,8.900,8.540,8.830,105190
2024-06-24,PRCL.CA,8.830,9.100,8.740,8.810,306360
2024-06-25,PRCL.CA,8.890,9.420,8.890,9.140,1190000
2024-06-26,PRCL.CA,9.250,9.260,8.920,8.990,468430
2024-06-27,PRCL.CA,9.170,9.200,8.940,8.980,341430
2024-07-01,PRCL.CA,9.010,9.200,9.000,9.010,170380
2024-07-02,PRCL.CA,9.040,9.440,9.030,9.150,709680
2024-07-03,PRCL.CA,9.260,9.690,9.220,9.380,1260000
2024-07-04,PRCL.CA,9.510,9.750,9.320,9.390,686790
2024-07-07,PRCL.CA,9.490,9.630,9.310,9.440,427730
2024-07-08,PRCL.CA,9.500,9.680,9.380,9.400,387480
2024-07-09,PRCL.CA,9.450,10.290,9.450,10.280,2150000
2024-07-10,PRCL.CA,10.290,10.380,9.780,9.830,967270
2024-07-14,PRCL.CA,9.990,10.000,9.460,9.520,452130
2024-07-15,PRCL.CA,9.800,9.900,9.580,9.700,796810
2024-07-16,PRCL.CA,9.840,9.870,9.570,9.590,394600
2024-07-17,PRCL.CA,9.630,9.800,9.630,9.710,298280
2024-07-18,PRCL.CA,10.000,10.400,9.850,10.200,1070000
2024-07-21,PRCL.CA,10.370,10.590,10.140,10.350,929270
2024-07-22,PRCL.CA,10.470,10.990,10.390,10.630,1200000
2024-07-23,PRCL.CA,10.680,10.800,10.470,10.540,327010
2024-07-24,PRCL.CA,10.650,10.700,10.230,10.260,404370
2024-07-28,PRCL.CA,10.220,10.360,10.040,10.170,596500
2024-07-29,PRCL.CA,10.320,10.450,10.270,10.290,771320
2024-07-30,PRCL.CA,10.320,10.780,10.170,10.590,770520
2024-07-31,PRCL.CA,10.660,10.740,10.410,10.430,469530
2024-08-01,PRCL.CA,10.550,10.930,10.550,10.650,812560
2024-08-04,PRCL.CA,10.500,10.500,10.010,10.040,492830
2024-08-05,PRCL.CA,9.990,10.000,8.040,9.350,347240
2024-08-06,PRCL.CA,9.400,9.640,9.360,9.440,379580
2024-08-07,PRCL.CA,9.600,11.320,9.500,11.310,3430000
2024-08-08,PRCL.CA,11.370,13.500,10.940,12.510,4130000
2024-08-11,PRCL.CA,12.620,12.930,12.070,12.250,2310000
2024-08-12,PRCL.CA,12.380,13.400,12.130,12.680,3020000
2024-08-13,PRCL.CA,12.880,13.200,12.320,12.380,1030000
2024-08-14,PRCL.CA,12.650,12.920,12.260,12.420,1320000
2024-08-15,PRCL.CA,12.700,12.780,12.330,12.410,779410
2024-08-18,PRCL.CA,12.970,13.190,12.570,12.750,1430000
2024-08-19,PRCL.CA,12.870,14.100,12.600,13.730,5090000
2024-08-20,PRCL.CA,13.970,13.970,13.180,13.230,5400000
2024-08-21,PRCL.CA,13.300,13.520,12.900,12.900,2810000
2024-08-22,PRCL.CA,12.980,13.090,12.300,12.330,2300000
2024-08-25,PRCL.CA,12.450,12.560,11.810,11.900,1600000
2024-08-26,PRCL.CA,11.970,12.100,11.420,11.630,999510
2024-08-27,PRCL.CA,11.700,12.480,11.650,11.880,2180000
2024-08-28,PRCL.CA,12.000,12.080,11.700,11.750,649970
2024-08-29,PRCL.CA,11.970,12.190,11.750,11.800,1460000
2024-09-01,PRCL.CA,11.930,11.990,11.720,11.790,667020
2024-09-02,PRCL.CA,11.800,11.880,11.370,11.460,645890
2024-09-03,PRCL.CA,11.650,12.190,11.410,11.900,1790000
2024-09-04,PRCL.CA,11.960,12.380,11.800,11.930,2390000
2024-09-05,PRCL.CA,12.100,12.470,11.960,12.100,2190000
2024-09-08,PRCL.CA,12.150,12.660,12.100,12.420,3590000
2024-09-09,PRCL.CA,12.590,12.800,12.280,12.320,2850000
