Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,PRDC.CA,4.39,4.42,4.22,4.27,1290000
2026-01-05,PRDC.CA,4.27,4.29,4.13,4.15,1260000
2026-01-06,PRDC.CA,4.20,4.20,4.09,4.10,3610000
2026-01-08,PRDC.CA,4.11,4.15,4.05,4.06,1210000
2026-01-11,PRDC.CA,4.08,4.18,4.07,4.10,1110000
2026-01-12,PRDC.CA,4.12,4.18,4.06,4.07,1050000
2026-01-13,PRDC.CA,4.09,4.11,3.97,4.04,1250000
2026-01-14,PRDC.CA,4.01,4.06,3.85,3.94,1260000
2026-01-15,PRDC.CA,3.97,3.97,3.84,3.87,977190
2026-01-18,PRDC.CA,3.89,3.99,3.85,3.93,572470
2026-01-19,PRDC.CA,3.95,4.00,3.93,4.00,1360000
2026-01-20,PRDC.CA,4.00,4.05,3.98,3.98,883670
2026-01-21,PRDC.CA,4.00,4.09,3.95,4.07,1710000
2026-01-22,PRDC.CA,4.08,4.13,4.04,4.06,1020000
2026-01-25,PRDC.CA,4.07,4.08,3.98,4.00,883550
2026-01-26,PRDC.CA,4.00,4.03,3.93,3.95,886330
2026-01-27,PRDC.CA,3.99,4.00,3.85,3.88,1740000
2026-01-28,PRDC.CA,3.95,3.95,3.72,3.75,2670000
2026-02-01,PRDC.CA,3.77,3.85,3.72,3.80,4390000
2026-02-02,PRDC.CA,3.81,3.85,3.70,3.74,4440000
2026-02-03,PRDC.CA,3.76,3.85,3.74,3.80,1470000
2026-02-04,PRDC.CA,3.85,3.90,3.80,3.83,1950000
2026-02-05,PRDC.CA,3.85,3.89,3.77,3.80,2570000
2026-02-08,PRDC.CA,3.80,3.93,3.80,3.91,2520000
2026-02-09,PRDC.CA,3.95,4.26,3.93,4.21,10260000
2026-02-10,PRDC.CA,4.23,4.41,4.10,4.27,6760000
2026-02-11,PRDC.CA,4.28,4.35,4.19,4.20,1920000
2026-02-12,PRDC.CA,4.25,4.25,4.14,4.16,1510000
2026-02-15,PRDC.CA,4.20,4.26,4.10,4.20,3150000
2026-02-16,PRDC.CA,4.25,4.27,4.14,4.14,1770000
2026-02-17,PRDC.CA,4.20,4.24,4.15,4.20,1140000
2026-02-18,PRDC.CA,4.22,4.26,4.15,4.20,1450000
2026-02-19,PRDC.CA,4.24,4.24,4.10,4.10,566480
2026-02-22,PRDC.CA,4.06,4.19,3.93,3.95,1140000
2026-02-23,PRDC.CA,3.98,4.09,3.94,4.04,481970
2026-02-24,PRDC.CA,4.00,4.18,4.00,4.13,1200000
2026-02-25,PRDC.CA,4.05,4.16,3.94,4.00,1390000
2026-02-26,PRDC.CA,4.00,4.15,3.96,4.04,2300000
2026-03-01,PRDC.CA,3.85,3.97,3.81,3.96,822820
2026-03-02,PRDC.CA,3.91,4.00,3.90,3.96,928680
2026-03-03,PRDC.CA,3.96,4.00,3.87,3.98,1540000
2026-03-04,PRDC.CA,3.98,4.19,3.89,4.11,1730000
2026-03-05,PRDC.CA,4.11,4.23,4.11,4.15,919260
2026-03-08,PRDC.CA,4.17,4.21,4.10,4.14,1530000
2026-03-09,PRDC.CA,4.11,4.19,4.05,4.10,1370000
2026-03-10,PRDC.CA,4.15,4.18,4.10,4.18,1260000
2026-03-11,PRDC.CA,4.20,4.20,4.13,4.15,960990
2026-03-12,PRDC.CA,4.13,4.20,4.13,4.14,265450
2026-03-15,PRDC.CA,4.19,4.19,4.08,4.11,683370
2026-03-16,PRDC.CA,4.17,4.17,4.05,4.07,631320
2026-03-17,PRDC.CA,4.08,4.14,4.07,4.11,158200
2026-03-18,PRDC.CA,4.13,4.15,4.09,4.12,186420
2026-03-24,PRDC.CA,4.13,4.19,4.09,4.14,574600
2026-03-25,PRDC.CA,4.18,4.22,4.15,4.18,1660000
2026-03-26,PRDC.CA,4.20,4.20,4.10,4.13,943280
2026-03-29,PRDC.CA,4.13,4.13,4.03,4.08,308940
2026-03-30,PRDC.CA,4.03,4.10,4.03,4.07,280270
2026-03-31,PRDC.CA,4.07,4.10,4.00,4.08,373940
2026-04-01,PRDC.CA,4.08,4.15,4.08,4.12,413620
2026-04-02,PRDC.CA,4.15,4.15,4.08,4.15,816130
2026-04-05,PRDC.CA,4.20,4.32,4.20,4.27,3550000
2026-04-06,PRDC.CA,4.30,4.45,4.25,4.44,2850000
2026-04-07,PRDC.CA,4.44,4.53,4.36,4.45,2680000
2026-04-08,PRDC.CA,4.50,4.53,4.40,4.50,1800000
2026-04-09,PRDC.CA,4.43,4.52,4.41,4.50,1080000
2026-04-12,PRDC.CA,4.50,4.50,4.50,4.50,1080000
2026-04-14,PRDC.CA,4.50,4.69,4.44,4.69,3370000
2026-04-15,PRDC.CA,4.68,4.87,4.60,4.76,4430000
2026-04-16,PRDC.CA,4.78,4.85,4.70,4.83,3130000
2026-04-19,PRDC.CA,4.81,4.89,4.80,4.85,2260000
2026-04-20,PRDC.CA,4.80,4.85,4.75,4.84,1330000
2026-04-21,PRDC.CA,4.80,4.84,4.75,4.82,709950
2026-04-22,PRDC.CA,4.82,4.84,4.75,4.84,979720
2026-04-23,PRDC.CA,4.84,5.10,4.83,5.00,7810000
2026-04-26,PRDC.CA,5.00,5.01,4.90,4.99,1650000
2026-04-27,PRDC.CA,4.99,5.15,4.92,5.13,2180000
2026-04-28,PRDC.CA,5.13,5.22,5.03,5.15,2520000
2026-04-29,PRDC.CA,5.17,5.18,5.09,5.15,1090000
2026-04-30,PRDC.CA,5.13,5.16,4.96,5.04,1980000
2026-05-03,PRDC.CA,5.07,5.19,5.01,5.17,3600000
2026-05-04,PRDC.CA,5.18,5.27,5.13,5.24,3800000
2026-05-05,PRDC.CA,5.23,5.24,5.08,5.23,1750000
2026-05-06,PRDC.CA,5.22,5.26,5.09,5.25,2540000
2026-05-10,PRDC.CA,5.24,5.90,5.20,5.77,8630000
2026-05-11,PRDC.CA,5.61,5.95,5.61,5.90,3570000
