Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,PRMH.CA,1.5900,1.5900,1.4900,1.5200,29370000
2026-01-05,PRMH.CA,1.5400,1.6600,1.5100,1.5700,38170000
2026-01-06,PRMH.CA,1.6000,1.6700,1.5600,1.6600,22200000
2026-01-08,PRMH.CA,1.7100,1.8800,1.6800,1.8000,55160000
2026-01-11,PRMH.CA,1.7800,1.8700,1.7400,1.7900,15710000
2026-01-12,PRMH.CA,1.8000,1.8100,1.6800,1.7000,14010000
2026-01-13,PRMH.CA,1.7100,1.8100,1.6500,1.7600,17410000
2026-01-14,PRMH.CA,1.7600,1.8400,1.6500,1.6900,16610000
2026-01-15,PRMH.CA,1.6900,1.7300,1.5900,1.5900,9420000
2026-01-18,PRMH.CA,1.6100,1.7000,1.6000,1.6900,5060000
2026-01-19,PRMH.CA,1.7200,1.8500,1.6900,1.8400,15240000
2026-01-20,PRMH.CA,1.8500,1.9800,1.8300,1.9100,30230000
2026-01-21,PRMH.CA,1.9100,1.9500,1.8500,1.8900,13210000
2026-01-22,PRMH.CA,1.9100,2.1600,1.9000,2.1000,20800000
2026-01-25,PRMH.CA,2.1100,2.4500,2.0600,2.2600,51490000
2026-01-26,PRMH.CA,2.2100,2.2600,2.1100,2.1100,15360000
2026-01-27,PRMH.CA,2.1500,2.3700,2.1300,2.2800,33780000
2026-01-28,PRMH.CA,2.3300,2.3900,2.1400,2.1500,18330000
2026-02-01,PRMH.CA,2.1800,2.2600,2.1300,2.1500,13080000
2026-02-02,PRMH.CA,2.1800,2.2000,2.0700,2.0900,6590000
2026-02-03,PRMH.CA,2.1300,2.1700,2.0900,2.1100,11270000
2026-02-04,PRMH.CA,2.1300,2.2100,2.1100,2.1800,11250000
2026-02-05,PRMH.CA,2.1700,2.1900,2.0800,2.0900,10540000
2026-02-08,PRMH.CA,2.1100,2.1200,1.9000,1.9200,31450000
2026-02-09,PRMH.CA,1.9300,1.9500,1.8500,1.9100,17740000
2026-02-10,PRMH.CA,1.9300,1.9300,1.8800,1.8800,6410000
2026-02-11,PRMH.CA,1.8900,1.8900,1.8200,1.8900,11400000
2026-02-12,PRMH.CA,1.9100,2.0800,1.9100,2.0500,30030000
2026-02-15,PRMH.CA,2.0700,2.1500,2.0700,2.0900,12400000
2026-02-16,PRMH.CA,2.0900,2.1100,2.0000,2.0500,7560000
2026-02-17,PRMH.CA,2.0500,2.0900,2.0200,2.0200,8210000
2026-02-18,PRMH.CA,2.0600,2.1100,2.0200,2.0200,12120000
2026-02-19,PRMH.CA,2.0400,2.0500,1.9300,1.9500,6620000
2026-02-22,PRMH.CA,1.9500,1.9800,1.8600,1.8800,4390000
2026-02-23,PRMH.CA,1.8700,1.9100,1.8700,1.9000,4270000
2026-02-24,PRMH.CA,1.9400,1.9400,1.8000,1.8400,8470000
2026-02-25,PRMH.CA,1.8600,1.8600,1.7300,1.7500,5530000
