Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,RAYA.CA,1.41,1.47,1.41,1.41,3890000
2024-01-03,RAYA.CA,1.43,1.45,1.41,1.45,4030000
2024-01-04,RAYA.CA,1.45,1.51,1.45,1.47,9190000
2024-01-08,RAYA.CA,1.50,1.75,1.50,1.75,49840000
2024-01-09,RAYA.CA,1.78,1.87,1.70,1.82,30040000
2024-01-10,RAYA.CA,1.84,1.90,1.74,1.74,24800000
2024-01-11,RAYA.CA,1.75,1.83,1.71,1.74,15090000
2024-01-14,RAYA.CA,1.75,2.08,1.75,2.07,51490000
2024-01-15,RAYA.CA,2.06,2.08,1.96,2.02,21980000
2024-01-16,RAYA.CA,2.05,2.21,2.00,2.11,33550000
2024-01-17,RAYA.CA,2.13,2.13,1.99,2.01,8790000
2024-01-18,RAYA.CA,2.04,2.18,2.00,2.06,34230000
2024-01-21,RAYA.CA,2.08,2.10,2.01,2.02,11100000
2024-01-22,RAYA.CA,2.06,2.13,1.99,2.00,17120000
2024-01-23,RAYA.CA,2.02,2.15,1.95,2.08,16690000
2024-01-24,RAYA.CA,2.13,2.32,2.09,2.30,36020000
2024-01-28,RAYA.CA,2.42,2.58,2.35,2.38,22850000
2024-01-29,RAYA.CA,2.41,2.69,2.38,2.57,44910000
2024-01-30,RAYA.CA,2.63,2.67,2.46,2.53,28770000
2024-01-31,RAYA.CA,2.58,2.60,2.10,2.25,13440000
2024-02-01,RAYA.CA,2.25,2.33,2.06,2.29,9120000
2024-02-04,RAYA.CA,2.29,2.30,2.20,2.22,12560000
2024-02-05,RAYA.CA,2.22,2.44,2.22,2.35,15410000
2024-02-06,RAYA.CA,2.35,2.48,2.20,2.21,9260000
2024-02-07,RAYA.CA,2.21,2.30,2.17,2.17,7890000
2024-02-08,RAYA.CA,2.17,2.24,2.14,2.22,7440000
2024-02-11,RAYA.CA,2.22,2.33,2.15,2.22,10810000
2024-02-12,RAYA.CA,2.22,2.28,2.14,2.20,8040000
2024-02-13,RAYA.CA,2.20,2.38,2.20,2.35,16270000
2024-02-14,RAYA.CA,2.35,2.51,2.36,2.38,17560000
2024-02-15,RAYA.CA,2.38,2.44,2.38,2.42,11000000
2024-02-18,RAYA.CA,2.42,2.54,2.36,2.43,15010000
2024-02-19,RAYA.CA,2.43,2.46,2.37,2.37,10160000
2024-02-20,RAYA.CA,2.37,2.39,2.28,2.32,10630000
2024-02-21,RAYA.CA,2.32,2.35,2.28,2.30,5640000
2024-02-22,RAYA.CA,2.30,2.34,2.28,2.30,5040000
2024-02-25,RAYA.CA,2.30,2.22,2.08,2.09,7030000
2024-02-26,RAYA.CA,2.09,2.20,2.08,2.17,8210000
2024-02-27,RAYA.CA,2.17,2.49,2.24,2.49,32450000
2024-02-28,RAYA.CA,2.49,2.73,2.33,2.37,54700000
2024-02-29,RAYA.CA,2.37,2.43,2.29,2.39,10240000
2024-03-03,RAYA.CA,2.39,2.54,2.36,2.54,11140000
2024-03-04,RAYA.CA,2.54,2.63,2.41,2.50,15950000
2024-03-05,RAYA.CA,2.50,2.71,2.48,2.61,19080000
2024-03-06,RAYA.CA,2.61,2.83,2.40,2.51,24420000
2024-03-07,RAYA.CA,2.51,2.59,2.28,2.45,7890000
2024-03-10,RAYA.CA,2.45,2.69,2.46,2.53,15410000
2024-03-11,RAYA.CA,2.53,2.58,2.40,2.41,5910000
2024-03-12,RAYA.CA,2.41,2.40,2.22,2.25,5730000
2024-03-13,RAYA.CA,2.25,2.31,2.11,2.24,3460000
2024-03-14,RAYA.CA,2.24,2.35,2.19,2.35,3820000
2024-03-17,RAYA.CA,2.35,2.38,2.25,2.25,3620000
2024-03-18,RAYA.CA,2.25,2.24,2.05,2.09,4450000
2024-03-19,RAYA.CA,2.09,2.09,1.93,2.02,3480000
2024-03-20,RAYA.CA,2.02,2.16,2.00,2.10,8230000
2024-03-21,RAYA.CA,2.10,2.29,2.07,2.27,5840000
2024-03-24,RAYA.CA,2.27,2.36,2.15,2.26,9460000
2024-03-25,RAYA.CA,2.26,2.34,2.25,2.26,2070000
2024-03-26,RAYA.CA,2.26,2.57,2.29,2.47,25370000
2024-03-27,RAYA.CA,2.47,2.53,2.35,2.35,9860000
2024-03-28,RAYA.CA,2.35,2.40,2.31,2.33,2620000
2024-03-31,RAYA.CA,2.33,2.35,2.09,2.12,3480000
2024-04-01,RAYA.CA,2.12,2.34,2.10,2.32,3750000
2024-04-02,RAYA.CA,2.32,2.32,2.20,2.22,5140000
2024-04-03,RAYA.CA,2.22,2.32,2.20,2.32,2890000
2024-04-04,RAYA.CA,2.32,2.35,2.28,2.30,3120000
2024-04-07,RAYA.CA,2.30,2.35,2.22,2.26,4080000
2024-04-08,RAYA.CA,2.26,2.31,2.25,2.27,1930000
2024-04-15,RAYA.CA,2.27,2.33,2.23,2.29,3150000
2024-04-16,RAYA.CA,2.29,2.34,2.25,2.26,3710000
2024-04-17,RAYA.CA,2.26,2.40,2.26,2.30,5150000
2024-04-18,RAYA.CA,2.30,2.35,2.13,2.15,5140000
2024-04-21,RAYA.CA,2.15,2.22,2.12,2.15,4040000
2024-04-22,RAYA.CA,2.15,2.21,2.10,2.11,1700000
2024-04-23,RAYA.CA,2.11,2.14,1.98,1.98,4450000
2024-04-24,RAYA.CA,1.98,2.03,1.72,1.93,3290000
2024-04-28,RAYA.CA,1.95,1.97,1.76,1.79,1850000
2024-04-29,RAYA.CA,1.75,1.85,1.75,1.84,2340000
2024-04-30,RAYA.CA,1.80,1.86,1.65,1.68,2490000
2024-05-01,RAYA.CA,1.68,1.72,1.63,1.70,2060000
2024-05-02,RAYA.CA,1.71,1.84,1.67,1.78,2590000
2024-05-07,RAYA.CA,1.79,1.80,1.73,1.76,1280000
2024-05-08,RAYA.CA,1.76,1.79,1.73,1.74,1220000
2024-05-09,RAYA.CA,1.76,1.77,1.67,1.76,1750000
2024-05-12,RAYA.CA,1.76,1.77,1.63,1.64,1740000
2024-05-13,RAYA.CA,1.64,1.65,1.56,1.60,1500000
2024-05-14,RAYA.CA,1.60,1.61,1.47,1.53,2150000
2024-05-15,RAYA.CA,1.54,1.57,1.50,1.51,980890
2024-05-16,RAYA.CA,1.55,1.63,1.53,1.63,1550000
2024-05-19,RAYA.CA,1.64,1.72,1.63,1.67,4450000
2024-05-20,RAYA.CA,1.68,1.99,1.64,1.92,20530000
2024-05-21,RAYA.CA,1.95,1.95,1.82,1.85,7130000
2024-05-22,RAYA.CA,1.87,1.87,1.77,1.78,2700000
2024-05-23,RAYA.CA,1.78,1.84,1.77,1.78,1950000
2024-05-26,RAYA.CA,1.81,1.84,1.79,1.80,1440000
2024-05-27,RAYA.CA,1.82,1.86,1.75,1.77,2750000
2024-05-28,RAYA.CA,1.78,1.87,1.73,1.85,6610000
2024-05-29,RAYA.CA,1.85,1.89,1.83,1.84,2730000
2024-05-30,RAYA.CA,1.84,1.84,1.75,1.78,1780000
2024-06-02,RAYA.CA,1.78,1.82,1.73,1.77,2470000
2024-06-03,RAYA.CA,1.79,1.83,1.73,1.77,1640000
2024-06-04,RAYA.CA,1.82,1.82,1.76,1.78,571820
2024-06-05,RAYA.CA,1.79,1.81,1.73,1.75,680670
2024-06-06,RAYA.CA,1.75,1.77,1.72,1.74,1030000
2024-06-09,RAYA.CA,1.71,1.75,1.63,1.65,1900000
2024-06-10,RAYA.CA,1.65,1.73,1.61,1.70,1530000
2024-06-11,RAYA.CA,1.70,1.83,1.70,1.75,2640000
2024-06-12,RAYA.CA,1.76,2.04,1.76,1.90,9090000
2024-06-13,RAYA.CA,1.92,1.95,1.88,1.90,2660000
2024-06-23,RAYA.CA,1.92,1.99,1.90,1.96,3020000
2024-06-24,RAYA.CA,1.98,2.11,1.96,2.08,39150000
2024-06-25,RAYA.CA,2.09,2.14,2.02,2.03,4930000
2024-06-26,RAYA.CA,2.05,2.12,2.04,2.06,5440000
2024-06-27,RAYA.CA,2.07,2.13,2.00,2.08,7950000
2024-07-01,RAYA.CA,2.22,2.29,2.10,2.10,2770000
2024-07-02,RAYA.CA,2.10,2.15,1.92,2.00,10340000
2024-07-03,RAYA.CA,2.02,2.05,1.97,1.98,4780000
2024-07-04,RAYA.CA,2.00,2.02,1.97,1.97,1740000
2024-07-07,RAYA.CA,2.04,2.04,1.98,1.99,3450000
2024-07-08,RAYA.CA,2.00,2.12,1.99,2.03,7440000
2024-07-09,RAYA.CA,2.04,2.11,2.01,2.05,5770000
2024-07-10,RAYA.CA,2.05,2.07,2.01,2.01,3560000
2024-07-14,RAYA.CA,2.03,2.03,1.97,1.98,1940000
2024-07-15,RAYA.CA,2.00,2.04,1.97,1.98,4060000
2024-07-16,RAYA.CA,2.00,2.01,1.99,2.00,1830000
2024-07-17,RAYA.CA,2.01,2.16,2.01,2.13,11160000
2024-07-18,RAYA.CA,2.12,2.18,2.10,2.12,2790000
2024-07-21,RAYA.CA,2.16,2.20,2.07,2.11,5330000
2024-07-22,RAYA.CA,2.12,2.14,2.08,2.08,3080000
2024-07-23,RAYA.CA,2.08,2.10,2.04,2.08,3520000
2024-07-24,RAYA.CA,2.09,2.12,2.06,2.07,3450000
2024-07-28,RAYA.CA,2.07,2.13,2.06,2.12,1750000
2024-07-29,RAYA.CA,2.16,2.37,2.16,2.37,27610000
2024-07-30,RAYA.CA,2.35,2.37,2.25,2.31,9370000
2024-07-31,RAYA.CA,2.32,2.37,2.24,2.26,8090000
2024-08-01,RAYA.CA,2.28,2.42,2.26,2.31,8070000
2024-08-04,RAYA.CA,2.24,2.30,2.17,2.21,4620000
2024-08-05,RAYA.CA,2.17,2.19,1.97,2.06,4990000
2024-08-06,RAYA.CA,2.14,2.20,2.09,2.16,3960000
2024-08-07,RAYA.CA,2.19,2.29,2.15,2.25,4420000
2024-08-08,RAYA.CA,2.26,2.28,2.17,2.25,3550000
2024-08-11,RAYA.CA,2.25,2.34,2.25,2.27,2510000
2024-08-12,RAYA.CA,2.30,2.35,2.25,2.26,4030000
2024-08-13,RAYA.CA,2.25,2.30,2.20,2.21,2450000
2024-08-14,RAYA.CA,2.21,2.30,2.20,2.30,3050000
2024-08-15,RAYA.CA,2.32,2.34,2.26,2.28,2150000
2024-08-18,RAYA.CA,2.31,2.31,2.19,2.21,5580000
2024-08-19,RAYA.CA,2.22,2.25,2.20,2.21,2610000
2024-08-20,RAYA.CA,2.23,2.27,2.22,2.25,3020000
2024-08-21,RAYA.CA,2.26,2.37,2.26,2.30,5360000
2024-08-22,RAYA.CA,2.30,2.34,2.23,2.23,3640000
2024-08-25,RAYA.CA,2.24,2.41,2.24,2.36,6910000
2024-08-26,RAYA.CA,2.43,2.47,2.31,2.32,10970000
2024-08-27,RAYA.CA,2.35,2.37,2.31,2.32,2860000
2024-08-28,RAYA.CA,2.34,2.49,2.34,2.45,11020000
2024-08-29,RAYA.CA,2.46,2.64,2.42,2.61,17900000
2024-09-01,RAYA.CA,2.62,2.78,2.62,2.70,24410000
2024-09-02,RAYA.CA,2.72,2.82,2.68,2.78,10780000
2024-09-03,RAYA.CA,2.78,2.90,2.72,2.88,26190000
2024-09-04,RAYA.CA,2.85,2.89,2.74,2.75,6780000
2024-09-05,RAYA.CA,2.76,2.81,2.73,2.75,7420000
2024-09-08,RAYA.CA,2.80,2.94,2.76,2.87,10940000
2024-09-09,RAYA.CA,2.87,2.89,2.76,2.78,3570000
2024-09-10,RAYA.CA,2.84,2.87,2.75,2.78,4540000
2024-09-11,RAYA.CA,2.78,2.84,2.70,2.83,4850000
2024-09-12,RAYA.CA,2.83,2.85,2.74,2.74,3050000
2024-09-16,RAYA.CA,2.76,2.79,2.62,2.64,4120000
2024-09-17,RAYA.CA,2.65,2.67,2.56,2.56,3190000
2024-09-18,RAYA.CA,2.56,2.75,2.52,2.75,7150000
2024-09-19,RAYA.CA,2.75,2.81,2.70,2.75,5730000
2024-09-22,RAYA.CA,2.75,3.04,2.75,2.96,17940000
2024-09-23,RAYA.CA,2.96,2.98,2.84,2.86,6200000
2024-09-24,RAYA.CA,2.86,2.92,2.83,2.85,3560000
2024-09-25,RAYA.CA,2.86,3.05,2.84,2.94,14020000
2024-09-26,RAYA.CA,2.99,3.00,2.87,2.88,7250000
2024-09-29,RAYA.CA,2.88,2.91,2.82,2.83,3310000
2024-09-30,RAYA.CA,2.85,2.85,2.77,2.81,4450000
2024-10-01,RAYA.CA,2.82,2.86,2.79,2.82,4710000
2024-10-02,RAYA.CA,2.82,2.82,2.70,2.72,4590000
2024-10-03,RAYA.CA,2.74,2.76,2.67,2.71,4600000
2024-10-07,RAYA.CA,2.72,2.80,2.70,2.77,4670000
2024-10-08,RAYA.CA,2.76,2.77,2.59,2.68,3410000
2024-10-09,RAYA.CA,2.70,2.70,2.63,2.69,2330000
2024-10-10,RAYA.CA,2.70,3.18,2.70,3.06,41530000
2024-10-13,RAYA.CA,3.11,3.42,3.10,3.22,23910000
2024-10-14,RAYA.CA,3.21,3.22,2.91,2.94,28130000
2024-10-15,RAYA.CA,2.97,3.02,2.85,2.96,18470000
2024-10-16,RAYA.CA,3.01,3.26,2.95,3.05,24780000
2024-10-17,RAYA.CA,3.36,3.66,3.22,3.44,66950000
2024-10-20,RAYA.CA,3.45,3.45,3.12,3.18,30490000
2024-10-21,RAYA.CA,3.19,3.36,3.10,3.29,29830000
2024-10-22,RAYA.CA,3.32,3.33,3.19,3.24,13480000
2024-10-23,RAYA.CA,3.27,3.64,3.27,3.50,68280000
2024-10-24,RAYA.CA,3.49,3.51,3.36,3.38,13230000
2024-10-27,RAYA.CA,3.41,3.58,3.33,3.40,29240000
2024-10-28,RAYA.CA,3.45,3.74,3.34,3.67,57780000
2024-10-29,RAYA.CA,3.67,3.68,3.44,3.45,33540000
2024-10-30,RAYA.CA,3.47,3.47,3.30,3.30,25320000
2024-10-31,RAYA.CA,3.34,3.42,3.31,3.34,13060000
2024-11-03,RAYA.CA,3.39,3.41,3.32,3.34,5800000
2024-11-04,RAYA.CA,3.36,3.40,3.29,3.31,9900000
2024-11-05,RAYA.CA,3.31,3.36,3.27,3.28,8940000
2024-11-06,RAYA.CA,3.32,3.43,3.27,3.39,25770000
2024-11-07,RAYA.CA,3.45,3.46,3.34,3.40,22390000
2024-11-10,RAYA.CA,3.43,3.47,3.38,3.40,15430000
2024-11-11,RAYA.CA,3.41,3.42,3.36,3.37,8000000
2024-11-12,RAYA.CA,3.39,3.40,3.32,3.34,7280000
2024-11-13,RAYA.CA,3.35,3.35,3.26,3.27,6970000
2024-11-14,RAYA.CA,3.30,3.31,3.25,3.27,3360000
2024-11-17,RAYA.CA,3.27,3.30,3.25,3.25,4670000
2024-11-18,RAYA.CA,3.27,3.29,3.18,3.18,3680000
2024-11-19,RAYA.CA,3.20,3.26,3.18,3.19,4610000
2024-11-20,RAYA.CA,3.20,3.23,3.15,3.15,2600000
2024-11-21,RAYA.CA,3.16,3.25,3.15,3.17,3990000
2024-11-24,RAYA.CA,3.20,3.21,3.12,3.12,2060000
2024-11-25,RAYA.CA,3.13,3.15,3.04,3.05,12670000
2024-11-26,RAYA.CA,3.07,3.11,3.01,3.04,7810000
2024-11-27,RAYA.CA,3.08,3.12,3.01,3.03,7610000
2024-11-28,RAYA.CA,3.06,3.06,2.98,2.99,5260000
2024-12-01,RAYA.CA,3.02,3.17,2.99,3.17,29490000
2024-12-02,RAYA.CA,3.18,3.22,3.12,3.16,14390000
2024-12-03,RAYA.CA,3.19,3.20,3.12,3.16,5070000
2024-12-04,RAYA.CA,3.17,3.40,3.16,3.35,22420000
2024-12-05,RAYA.CA,3.35,3.47,3.31,3.35,15100000
2024-12-08,RAYA.CA,3.40,3.50,3.30,3.46,20050000
2024-12-09,RAYA.CA,3.46,3.56,3.35,3.38,19580000
2024-12-10,RAYA.CA,3.41,3.45,3.16,3.30,16280000
