Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,ROTO.CA,36.03,36.79,35.25,35.41,306310
2026-01-05,ROTO.CA,35.41,35.85,33.50,34.29,325270
2026-01-06,ROTO.CA,34.88,36.27,34.10,35.90,614840
2026-01-08,ROTO.CA,36.29,36.44,35.00,35.09,306830
2026-01-11,ROTO.CA,35.13,36.55,34.66,34.94,412340
2026-01-12,ROTO.CA,34.90,35.46,34.01,34.15,316420
2026-01-13,ROTO.CA,34.16,34.55,30.72,31.88,335910
2026-01-14,ROTO.CA,32.01,32.92,30.23,30.96,373970
2026-01-15,ROTO.CA,31.11,32.35,30.63,30.99,817320
2026-01-18,ROTO.CA,31.10,31.85,30.72,31.84,937030
2026-01-19,ROTO.CA,31.89,32.42,31.53,31.73,928970
2026-01-20,ROTO.CA,31.98,32.00,30.91,31.07,336130
2026-01-21,ROTO.CA,31.12,31.78,30.85,31.24,378340
2026-01-22,ROTO.CA,31.40,31.78,31.00,31.37,467030
2026-01-25,ROTO.CA,31.15,31.63,30.88,31.11,319390
2026-01-26,ROTO.CA,31.00,32.10,30.90,31.19,1490000
2026-01-27,ROTO.CA,31.34,31.40,30.89,30.91,271020
2026-01-28,ROTO.CA,30.89,31.00,29.60,30.55,636710
2026-02-01,ROTO.CA,30.60,30.60,29.62,30.34,238360
2026-02-02,ROTO.CA,30.30,31.29,30.20,31.25,343300
2026-02-03,ROTO.CA,31.25,31.42,30.83,30.91,243710
2026-02-04,ROTO.CA,31.25,31.25,30.90,30.93,200250
2026-02-05,ROTO.CA,31.00,31.19,30.53,30.84,117680
2026-02-08,ROTO.CA,31.03,31.60,31.00,31.23,162870
2026-02-09,ROTO.CA,31.25,31.87,31.00,31.30,247110
2026-02-10,ROTO.CA,31.20,31.59,30.95,31.04,135000
2026-02-11,ROTO.CA,31.20,31.94,31.00,31.43,339710
2026-02-12,ROTO.CA,31.23,31.84,30.85,31.08,332050
2026-02-15,ROTO.CA,31.18,31.60,31.00,31.09,203120
2026-02-16,ROTO.CA,31.40,31.50,30.52,30.86,223030
2026-02-17,ROTO.CA,30.77,31.09,30.65,30.74,182800
2026-02-18,ROTO.CA,31.17,32.85,31.00,32.45,771850
2026-02-19,ROTO.CA,32.95,32.95,31.30,31.41,180680
2026-02-22,ROTO.CA,31.43,31.50,29.60,29.90,172170
2026-02-23,ROTO.CA,29.90,30.80,29.90,30.21,85130
2026-02-24,ROTO.CA,30.20,30.50,29.86,29.95,129140
2026-02-25,ROTO.CA,29.99,31.00,29.07,29.39,333080
2026-02-26,ROTO.CA,29.40,30.00,29.21,29.40,150600
2026-03-01,ROTO.CA,27.96,28.18,25.78,28.15,4190000
2026-03-02,ROTO.CA,28.02,28.40,27.75,28.09,154750
2026-03-03,ROTO.CA,28.15,28.95,27.70,28.29,187040
2026-03-04,ROTO.CA,28.06,28.27,27.71,28.01,143090
2026-03-05,ROTO.CA,28.47,28.78,28.04,28.25,94600
2026-03-08,ROTO.CA,28.70,28.90,27.83,28.07,156890
2026-03-09,ROTO.CA,28.05,28.18,27.77,27.80,134250
2026-03-10,ROTO.CA,27.91,28.50,27.91,28.19,84470
2026-03-11,ROTO.CA,28.47,28.48,27.96,27.99,170220
2026-03-12,ROTO.CA,28.02,28.29,27.91,27.96,71000
2026-03-15,ROTO.CA,27.88,28.00,27.50,27.56,50660
2026-03-16,ROTO.CA,27.57,27.89,27.33,27.53,22660
2026-03-17,ROTO.CA,27.55,27.84,27.39,27.53,39670
2026-03-18,ROTO.CA,27.90,30.89,27.52,29.57,302440
2026-03-24,ROTO.CA,31.11,31.65,30.26,31.40,691010
2026-03-25,ROTO.CA,30.81,32.16,30.80,31.58,385380
2026-03-26,ROTO.CA,31.99,31.99,30.61,30.66,166910
2026-03-29,ROTO.CA,30.69,30.71,29.65,30.33,96310
2026-03-30,ROTO.CA,30.00,30.44,29.02,29.60,128290
2026-03-31,ROTO.CA,29.90,30.00,29.33,29.41,72350
2026-04-01,ROTO.CA,29.60,30.00,29.42,29.74,97440
2026-04-02,ROTO.CA,29.70,29.92,29.38,29.49,77940
2026-04-05,ROTO.CA,29.90,29.90,29.35,29.44,55000
2026-04-06,ROTO.CA,29.70,30.49,29.40,30.02,143940
2026-04-07,ROTO.CA,30.30,30.79,29.31,29.37,250830
2026-04-08,ROTO.CA,30.00,30.05,29.51,29.63,143420
2026-04-09,ROTO.CA,29.97,30.40,29.55,29.67,119810
2026-04-12,ROTO.CA,29.63,29.67,29.67,29.67,119810
