Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,RREI.CA,2.950,3.110,2.910,3.070,27550000
2026-01-05,RREI.CA,3.100,3.200,3.000,3.170,19270000
2026-01-06,RREI.CA,3.180,3.200,3.110,3.140,12490000
2026-01-08,RREI.CA,3.180,3.250,3.090,3.120,19280000
2026-01-11,RREI.CA,3.140,3.200,3.060,3.170,16110000
2026-01-12,RREI.CA,3.160,3.180,3.100,3.180,9570000
2026-01-13,RREI.CA,3.200,3.230,3.110,3.140,14190000
2026-01-14,RREI.CA,3.140,3.150,3.010,3.050,6220000
2026-01-15,RREI.CA,3.070,3.090,2.820,2.850,9020000
2026-01-18,RREI.CA,2.880,2.920,2.830,2.860,3420000
2026-01-19,RREI.CA,2.880,2.950,2.870,2.910,6160000
2026-01-20,RREI.CA,2.940,3.000,2.880,3.000,12470000
2026-01-21,RREI.CA,3.050,3.080,2.980,3.020,13420000
2026-01-22,RREI.CA,3.030,3.030,2.950,2.950,5760000
2026-01-25,RREI.CA,2.950,2.970,2.850,2.870,4790000
2026-01-26,RREI.CA,2.880,2.880,2.750,2.760,4420000
2026-01-27,RREI.CA,2.770,2.830,2.720,2.770,4560000
2026-01-28,RREI.CA,2.770,2.790,2.580,2.650,7900000
2026-02-01,RREI.CA,2.680,2.740,2.670,2.740,3620000
2026-02-02,RREI.CA,2.770,2.790,2.600,2.670,7910000
2026-02-03,RREI.CA,2.660,2.750,2.660,2.710,3670000
2026-02-04,RREI.CA,2.750,2.790,2.720,2.740,3460000
2026-02-05,RREI.CA,2.740,2.760,2.680,2.720,2720000
2026-02-08,RREI.CA,2.720,2.850,2.720,2.840,11690000
2026-02-09,RREI.CA,2.850,2.850,2.770,2.800,2770000
2026-02-10,RREI.CA,2.830,2.830,2.730,2.740,3230000
2026-02-11,RREI.CA,2.760,2.770,2.680,2.700,3110000
2026-02-12,RREI.CA,2.700,2.720,2.650,2.680,2030000
2026-02-15,RREI.CA,2.680,2.720,2.660,2.690,1390000
2026-02-16,RREI.CA,2.700,2.700,2.640,2.660,1570000
2026-02-17,RREI.CA,2.680,2.740,2.610,2.730,3690000
2026-02-18,RREI.CA,2.740,2.800,2.720,2.720,4370000
2026-02-19,RREI.CA,2.720,2.740,2.650,2.660,2380000
2026-02-22,RREI.CA,2.660,2.680,2.560,2.570,2190000
2026-02-23,RREI.CA,2.600,2.670,2.540,2.600,4210000
2026-02-24,RREI.CA,2.600,2.600,2.530,2.550,2370000
2026-02-25,RREI.CA,2.550,2.550,2.360,2.400,2980000
2026-02-26,RREI.CA,2.420,2.480,2.400,2.450,1180000
2026-03-01,RREI.CA,2.260,2.360,2.230,2.340,2400000
2026-03-02,RREI.CA,2.330,2.370,2.300,2.310,628970
2026-03-03,RREI.CA,2.310,2.390,2.270,2.330,2810000
2026-03-04,RREI.CA,2.320,2.380,2.280,2.350,2150000
2026-03-05,RREI.CA,2.350,2.390,2.330,2.340,1360000
2026-03-08,RREI.CA,2.350,2.360,2.300,2.310,985750
2026-03-09,RREI.CA,2.340,2.500,2.310,2.470,6160000
2026-03-10,RREI.CA,2.490,2.530,2.450,2.470,3550000
2026-03-11,RREI.CA,2.500,2.510,2.460,2.470,1440000
2026-03-12,RREI.CA,2.470,2.480,2.420,2.430,1600000
2026-03-15,RREI.CA,2.440,2.470,2.360,2.370,2040000
2026-03-16,RREI.CA,2.370,2.390,2.330,2.340,821590
2026-03-17,RREI.CA,2.350,2.400,2.350,2.390,410460
2026-03-18,RREI.CA,2.390,2.450,2.360,2.420,1790000
2026-03-24,RREI.CA,2.450,2.690,2.430,2.610,15020000
2026-03-25,RREI.CA,2.610,2.650,2.570,2.610,5700000
2026-03-26,RREI.CA,2.620,2.640,2.560,2.570,2390000
2026-03-29,RREI.CA,2.570,2.590,2.540,2.560,1260000
2026-03-30,RREI.CA,2.580,2.580,2.460,2.510,1420000
2026-03-31,RREI.CA,2.510,2.550,2.450,2.480,2500000
2026-04-01,RREI.CA,2.490,2.750,2.480,2.680,9370000
2026-04-02,RREI.CA,2.690,2.700,2.650,2.670,1870000
2026-04-05,RREI.CA,2.670,2.730,2.670,2.700,1020000
2026-04-06,RREI.CA,2.720,2.850,2.660,2.800,7180000
2026-04-07,RREI.CA,2.820,3.070,2.800,3.000,22340000
2026-04-08,RREI.CA,3.030,3.050,2.940,3.030,4550000
2026-04-09,RREI.CA,3.030,3.360,3.030,3.270,24230000
2026-04-12,RREI.CA,3.030,3.270,3.270,3.270,24230000
2026-04-14,RREI.CA,3.250,3.250,3.130,3.140,14670000
2026-04-15,RREI.CA,3.190,3.380,3.180,3.220,15830000
2026-04-16,RREI.CA,3.250,3.310,3.190,3.240,7430000
2026-04-19,RREI.CA,3.310,3.490,3.250,3.450,12570000
2026-04-20,RREI.CA,3.480,4.120,3.480,4.010,54430000
2026-04-21,RREI.CA,4.000,4.000,3.690,3.740,46690000
2026-04-22,RREI.CA,3.740,3.890,3.640,3.860,23050000
2026-04-23,RREI.CA,3.910,3.910,3.780,3.860,12680000
2026-04-26,RREI.CA,3.810,3.860,3.750,3.770,10740000
2026-04-27,RREI.CA,3.810,3.830,3.750,3.790,7870000
2026-04-28,RREI.CA,3.830,3.950,3.760,3.760,23420000
2026-04-29,RREI.CA,3.810,3.870,3.740,3.820,10880000
2026-04-30,RREI.CA,3.840,3.860,3.710,3.720,5620000
2026-05-03,RREI.CA,3.750,3.760,3.700,3.730,3980000
2026-05-04,RREI.CA,3.750,3.800,3.720,3.740,6000000
2026-05-05,RREI.CA,3.740,3.760,3.700,3.720,4080000
2026-05-06,RREI.CA,3.750,3.750,3.690,3.700,3690000
2026-05-10,RREI.CA,3.710,3.810,3.700,3.780,6910000
2026-05-11,RREI.CA,3.800,3.850,3.730,3.730,9020000
2026-05-12,RREI.CA,3.740,3.790,3.700,3.720,3770000
2026-05-13,RREI.CA,3.740,3.840,3.710,3.750,10430000
2026-05-14,RREI.CA,3.810,3.820,3.710,3.710,6520000
2026-05-17,RREI.CA,3.740,3.740,3.600,3.600,4990000
2026-05-18,RREI.CA,3.620,3.620,3.400,3.420,5990000
2026-05-19,RREI.CA,3.440,3.540,3.420,3.500,4300000
2026-05-20,RREI.CA,3.520,3.720,3.340,3.400,12690000
2026-05-21,RREI.CA,3.420,3.460,3.320,3.380,5900000
2026-05-24,RREI.CA,3.400,3.500,3.370,3.410,2060000
2026-05-25,RREI.CA,3.420,3.480,3.390,3.400,1970000
2026-06-01,RREI.CA,3.460,3.530,3.410,3.500,4010000
2026-06-02,RREI.CA,3.530,3.660,3.500,3.600,6160000
2026-06-03,RREI.CA,3.660,3.850,3.630,3.730,21140000
2026-06-04,RREI.CA,3.760,3.810,3.690,3.700,6120000
2026-06-07,RREI.CA,3.700,3.710,3.560,3.590,4320000
2026-06-08,RREI.CA,3.590,3.660,3.540,3.570,4900000
2026-06-09,RREI.CA,3.600,3.640,3.480,3.530,5600000
2026-06-10,RREI.CA,3.540,3.550,3.420,3.420,4190000
2026-06-11,RREI.CA,3.420,3.500,3.350,3.390,2390000
2026-06-14,RREI.CA,3.450,3.540,3.440,3.530,2710000
2026-06-15,RREI.CA,3.560,3.620,3.480,3.500,2780000
2026-06-16,RREI.CA,3.530,3.670,3.520,3.650,11240000
2026-06-17,RREI.CA,3.690,3.740,3.650,3.680,6060000
2026-06-21,RREI.CA,3.720,3.740,3.640,3.660,3290000
2026-06-22,RREI.CA,3.670,3.690,3.580,3.610,2290000
2026-06-23,RREI.CA,3.620,3.630,3.520,3.540,1900000
2026-06-24,RREI.CA,3.540,3.560,3.470,3.540,2210000
