Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,RUBX.CA,5.97,6.32,5.97,6.06,99280
2024-01-03,RUBX.CA,6.05,6.21,5.90,6.01,175670
2024-01-04,RUBX.CA,5.94,6.27,5.85,6.25,216440
2024-01-08,RUBX.CA,6.15,6.53,6.14,6.43,454740
2024-01-09,RUBX.CA,6.50,6.54,6.27,6.30,390160
2024-01-10,RUBX.CA,6.30,6.41,6.09,6.18,137310
2024-01-11,RUBX.CA,6.19,6.45,6.06,6.10,186940
2024-01-14,RUBX.CA,6.09,6.26,6.03,6.11,125530
2024-01-15,RUBX.CA,6.10,6.27,6.00,6.04,137200
2024-01-16,RUBX.CA,6.11,6.31,6.07,6.15,350890
2024-01-17,RUBX.CA,6.18,6.23,5.94,6.03,164030
2024-01-18,RUBX.CA,6.15,6.25,6.03,6.20,234080
2024-01-21,RUBX.CA,6.22,6.27,6.07,6.09,249990
2024-01-22,RUBX.CA,6.20,6.21,5.92,5.97,258060
2024-01-23,RUBX.CA,5.97,6.08,5.92,6.00,59740
2024-01-24,RUBX.CA,6.07,6.21,5.97,6.05,234900
2024-01-28,RUBX.CA,6.13,6.34,6.06,6.09,187680
2024-01-29,RUBX.CA,6.16,6.16,5.77,5.82,176880
2024-01-30,RUBX.CA,5.90,6.50,5.90,6.43,424680
2024-01-31,RUBX.CA,6.43,6.76,5.85,6.00,462320
2024-02-01,RUBX.CA,6.00,6.29,5.85,6.13,175890
2024-02-04,RUBX.CA,6.13,6.39,6.12,6.19,215700
2024-02-05,RUBX.CA,6.19,6.43,6.18,6.30,125880
2024-02-06,RUBX.CA,6.30,6.46,6.02,6.12,302010
2024-02-07,RUBX.CA,6.12,6.36,5.94,6.06,129580
2024-02-08,RUBX.CA,6.06,6.26,5.99,6.06,61720
2024-02-11,RUBX.CA,6.06,6.22,6.02,6.13,128290
2024-02-12,RUBX.CA,6.13,6.32,5.99,6.07,184950
2024-02-13,RUBX.CA,6.07,6.26,6.02,6.08,239520
2024-02-14,RUBX.CA,6.08,6.85,6.23,6.80,1150000
2024-02-15,RUBX.CA,6.80,7.16,6.36,6.64,704350
2024-02-18,RUBX.CA,6.64,6.87,6.47,6.58,158500
2024-02-19,RUBX.CA,6.58,6.76,6.41,6.49,357290
2024-02-20,RUBX.CA,6.49,7.10,6.42,6.48,431100
2024-02-21,RUBX.CA,6.48,6.73,6.49,6.51,239200
2024-02-22,RUBX.CA,6.51,6.61,6.10,6.16,185970
2024-02-25,RUBX.CA,6.16,6.36,5.64,6.01,88880
2024-02-26,RUBX.CA,6.01,6.12,5.62,5.95,63160
2024-02-27,RUBX.CA,5.95,6.65,5.85,6.57,327330
2024-02-28,RUBX.CA,6.57,7.21,6.64,7.03,1170000
2024-02-29,RUBX.CA,7.03,7.77,7.02,7.53,798690
2024-03-03,RUBX.CA,7.53,7.86,7.63,7.67,414310
2024-03-04,RUBX.CA,7.67,7.91,7.59,7.83,186980
2024-03-05,RUBX.CA,7.83,8.07,6.76,7.44,428580
2024-03-06,RUBX.CA,7.44,7.67,6.84,7.44,27490
2024-03-07,RUBX.CA,7.44,7.96,6.86,7.66,317120
2024-03-10,RUBX.CA,7.66,8.05,7.63,7.96,544510
2024-03-11,RUBX.CA,7.96,7.91,7.49,7.57,127370
2024-03-12,RUBX.CA,7.57,7.63,7.11,7.41,162350
2024-03-13,RUBX.CA,7.41,7.57,6.92,7.30,62710
2024-03-14,RUBX.CA,7.30,7.46,6.26,7.30,28490
2024-03-17,RUBX.CA,7.30,7.96,6.80,7.90,396240
2024-03-18,RUBX.CA,7.90,7.85,7.12,7.31,145300
2024-03-19,RUBX.CA,7.31,7.29,6.46,6.71,161740
2024-03-20,RUBX.CA,6.71,7.30,6.47,6.55,233080
2024-03-21,RUBX.CA,6.55,6.72,6.16,6.51,143960
2024-03-24,RUBX.CA,6.51,6.55,6.27,6.40,141790
2024-03-25,RUBX.CA,6.40,6.54,6.20,6.41,156450
2024-03-26,RUBX.CA,6.41,6.47,5.80,6.21,169350
2024-03-27,RUBX.CA,6.21,6.31,5.17,5.82,305500
2024-03-28,RUBX.CA,5.82,6.15,5.43,5.72,109680
2024-03-31,RUBX.CA,5.72,5.72,5.01,5.72,56380
2024-04-01,RUBX.CA,5.72,5.62,5.15,5.39,367610
2024-04-02,RUBX.CA,5.39,5.53,5.19,5.25,141300
2024-04-03,RUBX.CA,5.25,5.24,4.80,4.86,296220
2024-04-04,RUBX.CA,4.86,5.30,4.86,5.19,273900
2024-04-07,RUBX.CA,5.19,5.98,5.18,5.56,222400
2024-04-08,RUBX.CA,5.56,5.66,5.43,5.58,72280
2024-04-15,RUBX.CA,5.58,5.89,5.56,5.69,234740
2024-04-16,RUBX.CA,5.69,5.84,5.40,5.47,183460
2024-04-17,RUBX.CA,5.47,5.60,5.19,5.24,263660
2024-04-18,RUBX.CA,5.24,5.41,4.70,4.90,225000
2024-04-21,RUBX.CA,4.90,5.24,4.90,4.90,64310
2024-04-22,RUBX.CA,4.90,4.98,4.82,4.85,116300
2024-04-23,RUBX.CA,4.85,4.91,4.29,4.49,114180
2024-04-24,RUBX.CA,4.49,4.59,4.15,4.35,82560
2024-04-28,RUBX.CA,4.31,4.47,3.65,4.08,77820
2024-04-29,RUBX.CA,3.82,4.31,3.72,4.14,426140
2024-04-30,RUBX.CA,4.17,4.37,3.63,3.73,931110
2024-05-01,RUBX.CA,3.68,4.02,3.46,3.99,311240
2024-05-02,RUBX.CA,4.02,4.34,3.98,4.21,309670
2024-05-07,RUBX.CA,4.21,4.28,3.56,4.10,247780
2024-05-08,RUBX.CA,4.25,4.25,3.98,4.02,95860
2024-05-09,RUBX.CA,3.88,4.08,3.81,4.02,32410
2024-05-12,RUBX.CA,4.02,4.02,3.74,3.84,235080
2024-05-13,RUBX.CA,3.71,3.87,3.57,3.84,48410
2024-05-14,RUBX.CA,3.80,4.02,3.76,3.96,113890
2024-05-15,RUBX.CA,3.96,3.98,3.87,3.96,20240
2024-05-16,RUBX.CA,3.95,4.08,3.91,3.99,93300
2024-05-19,RUBX.CA,4.20,4.26,4.07,4.17,137830
2024-05-20,RUBX.CA,4.08,4.23,4.01,4.19,168550
2024-05-21,RUBX.CA,4.19,4.49,4.15,4.37,292880
2024-05-22,RUBX.CA,4.36,4.41,4.17,4.24,171100
2024-05-23,RUBX.CA,4.26,4.38,4.25,4.31,74730
2024-05-26,RUBX.CA,4.31,4.33,4.21,4.31,28190
2024-05-27,RUBX.CA,4.30,4.36,4.12,4.31,38260
2024-05-28,RUBX.CA,4.26,4.30,4.10,4.31,51780
2024-05-29,RUBX.CA,4.29,4.30,4.04,4.31,51350
2024-05-30,RUBX.CA,4.06,4.28,4.00,4.05,121690
2024-06-02,RUBX.CA,4.13,4.19,3.91,4.00,86660
2024-06-03,RUBX.CA,3.93,3.93,3.80,4.00,16920
2024-06-04,RUBX.CA,3.85,3.90,3.74,3.78,126900
2024-06-05,RUBX.CA,3.83,3.97,3.74,3.87,95300
2024-06-06,RUBX.CA,3.88,3.88,3.74,3.87,20150
2024-06-09,RUBX.CA,3.74,3.84,3.65,3.87,31170
2024-06-10,RUBX.CA,3.73,3.87,3.58,3.87,19310
2024-06-11,RUBX.CA,3.72,3.81,3.61,3.66,97090
2024-06-12,RUBX.CA,3.66,3.80,3.66,3.73,134850
2024-06-13,RUBX.CA,3.73,3.92,3.73,3.80,137180
2024-06-23,RUBX.CA,3.88,4.02,3.81,3.95,102030
2024-06-24,RUBX.CA,3.90,4.15,3.90,4.07,119130
2024-06-25,RUBX.CA,4.10,4.38,4.08,4.31,232320
2024-06-26,RUBX.CA,4.35,4.46,4.17,4.26,70760
2024-06-27,RUBX.CA,4.20,4.25,3.77,4.02,145870
2024-07-01,RUBX.CA,4.02,4.20,4.00,4.02,33650
2024-07-02,RUBX.CA,3.98,4.12,3.89,4.02,41830
2024-07-03,RUBX.CA,4.03,4.25,4.02,4.10,188320
2024-07-04,RUBX.CA,4.10,4.16,4.02,4.12,133590
2024-07-07,RUBX.CA,4.05,4.26,4.05,4.20,110430
2024-07-08,RUBX.CA,4.14,4.21,4.04,4.20,60210
2024-07-09,RUBX.CA,4.11,4.28,4.08,4.24,145940
2024-07-10,RUBX.CA,4.29,4.42,4.24,4.33,176680
2024-07-14,RUBX.CA,4.40,4.48,4.35,4.44,124250
2024-07-15,RUBX.CA,4.42,4.68,4.32,4.47,186170
2024-07-16,RUBX.CA,4.65,4.65,4.37,4.48,81850
2024-07-17,RUBX.CA,4.51,4.64,4.37,4.47,80580
2024-07-18,RUBX.CA,4.44,4.87,4.44,4.77,189530
2024-07-21,RUBX.CA,4.77,4.89,4.70,4.77,49870
2024-07-22,RUBX.CA,4.78,4.95,4.77,4.80,130320
2024-07-23,RUBX.CA,4.73,5.05,4.73,4.97,190540
2024-07-24,RUBX.CA,4.85,5.04,4.80,4.90,92910
2024-07-28,RUBX.CA,4.96,5.15,4.77,5.09,311640
2024-07-29,RUBX.CA,4.97,5.56,4.88,5.33,356410
2024-07-30,RUBX.CA,5.51,5.52,5.16,5.40,359290
2024-07-31,RUBX.CA,5.43,6.48,5.39,6.29,1120000
2024-08-01,RUBX.CA,6.48,6.54,6.01,6.37,478970
2024-08-04,RUBX.CA,6.54,6.70,5.93,6.65,666700
2024-08-05,RUBX.CA,6.55,6.55,5.80,5.95,526730
2024-08-06,RUBX.CA,5.98,6.61,5.94,6.40,622710
2024-08-07,RUBX.CA,6.50,6.67,6.41,6.47,425830
2024-08-08,RUBX.CA,6.53,6.54,6.17,6.23,225530
2024-08-11,RUBX.CA,6.36,6.61,6.11,6.24,72280
2024-08-12,RUBX.CA,6.24,6.36,5.44,6.20,517190
2024-08-13,RUBX.CA,6.16,6.28,5.90,5.98,71810
2024-08-14,RUBX.CA,5.98,6.55,5.98,6.20,372900
2024-08-15,RUBX.CA,6.30,6.38,6.12,6.19,52650
2024-08-18,RUBX.CA,6.27,6.45,6.06,6.28,86120
2024-08-19,RUBX.CA,6.33,7.01,6.24,6.93,646830
2024-08-20,RUBX.CA,7.01,7.99,6.80,7.41,1190000
2024-08-21,RUBX.CA,7.41,7.72,7.09,7.46,901830
2024-08-22,RUBX.CA,7.39,7.65,7.18,7.31,355350
2024-08-25,RUBX.CA,7.47,7.77,7.21,7.59,268430
2024-08-26,RUBX.CA,7.51,7.95,7.50,7.56,506480
2024-08-27,RUBX.CA,7.50,8.16,7.46,7.95,612830
2024-08-28,RUBX.CA,7.96,8.42,7.88,8.11,294740
2024-08-29,RUBX.CA,8.27,8.28,7.91,7.95,137160
2024-09-01,RUBX.CA,8.05,8.32,7.79,7.85,387510
2024-09-02,RUBX.CA,8.09,8.10,7.63,7.74,176170
2024-09-03,RUBX.CA,7.65,8.02,7.65,7.76,166090
2024-09-04,RUBX.CA,7.67,7.84,7.44,7.58,82250
2024-09-05,RUBX.CA,7.74,7.82,7.33,7.58,223400
2024-09-08,RUBX.CA,7.71,7.71,7.39,7.63,115460
2024-09-09,RUBX.CA,7.63,7.63,7.38,7.46,101510
2024-09-10,RUBX.CA,7.55,7.96,6.75,7.46,618160
2024-09-11,RUBX.CA,7.44,7.63,7.19,7.33,164780
2024-09-12,RUBX.CA,7.36,7.42,7.04,7.15,90720
2024-09-16,RUBX.CA,7.21,7.43,6.65,6.69,193200
2024-09-17,RUBX.CA,6.88,6.89,6.46,6.54,325270
2024-09-18,RUBX.CA,6.54,6.76,6.54,6.55,173810
2024-09-19,RUBX.CA,6.57,6.87,6.47,6.53,611380
2024-09-22,RUBX.CA,6.56,6.69,6.50,6.55,235810
2024-09-23,RUBX.CA,6.65,6.65,6.47,6.53,192010
2024-09-24,RUBX.CA,6.50,6.58,6.47,6.48,154310
2024-09-25,RUBX.CA,6.46,6.69,6.43,6.59,124510
