Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-01-05,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-01-06,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-01-08,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-01-11,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-01-12,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-01-13,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-01-14,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-01-15,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-01-17,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-01-18,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-01-19,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-01-20,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-01-21,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-01-22,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-01-25,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-01-26,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-01-27,SAIB.CA,2.53,2.53,2.53,2.11,100
2026-01-28,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-02-01,SAIB.CA,2.53,2.11,2.11,2.11,0
2026-02-02,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-02-03,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-02-04,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-02-05,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-02-08,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-02-09,SAIB.CA,2.53,2.53,2.53,2.11,320
2026-02-10,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-02-11,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-02-12,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-02-15,SAIB.CA,2.53,2.11,2.11,2.11,0
2026-02-16,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-02-17,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-02-18,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-02-19,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-02-22,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-02-23,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-02-24,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-02-25,SAIB.CA,2.53,2.53,2.53,2.11,30
2026-02-26,SAIB.CA,2.11,2.11,2.11,2.11,0
2026-03-01,SAIB.CA,2.11,2.11,2.11,2.11,0
