Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,SCEM.CA,7.93,8.42,7.93,8.47,11300
2024-01-03,SCEM.CA,8.37,8.47,8.18,8.47,15240
2024-01-04,SCEM.CA,8.21,8.42,7.94,8.47,11420
2024-01-08,SCEM.CA,8.03,8.35,7.98,8.47,5660
2024-01-09,SCEM.CA,8.32,8.47,8.10,8.34,41570
2024-01-10,SCEM.CA,8.32,8.32,8.13,8.34,4240
2024-01-11,SCEM.CA,8.13,8.37,8.09,8.34,7640
2024-01-14,SCEM.CA,8.31,9.81,8.00,9.71,167430
2024-01-15,SCEM.CA,9.81,11.64,9.81,11.64,141130
2024-01-16,SCEM.CA,13.97,13.97,13.76,13.97,140060
2024-01-17,SCEM.CA,15.39,16.61,11.78,14.73,294930
2024-01-18,SCEM.CA,14.44,14.96,12.95,13.52,134570
2024-01-21,SCEM.CA,14.16,14.16,12.54,12.88,125900
2024-01-22,SCEM.CA,13.34,13.34,12.51,12.59,67530
2024-01-23,SCEM.CA,12.89,12.98,12.42,12.72,71350
2024-01-24,SCEM.CA,12.65,12.69,12.41,12.54,27130
2024-01-28,SCEM.CA,12.54,12.69,11.59,12.58,65940
2024-01-29,SCEM.CA,12.51,12.70,12.31,12.48,44880
2024-01-30,SCEM.CA,12.32,12.60,12.03,12.15,42580
2024-01-31,SCEM.CA,12.48,12.48,11.64,11.94,40940
2024-02-01,SCEM.CA,11.94,12.03,11.45,11.87,28150
2024-02-04,SCEM.CA,11.87,12.29,11.73,11.87,9060
2024-02-05,SCEM.CA,11.87,12.17,11.77,11.87,23390
2024-02-06,SCEM.CA,11.87,12.14,11.64,11.94,44240
2024-02-07,SCEM.CA,11.94,11.91,11.06,11.94,15010
2024-02-08,SCEM.CA,11.94,11.90,11.65,11.94,23700
2024-02-11,SCEM.CA,11.94,12.60,11.65,12.45,82860
2024-02-12,SCEM.CA,12.45,12.58,11.93,12.48,37120
2024-02-13,SCEM.CA,12.48,12.51,11.74,12.48,22760
2024-02-14,SCEM.CA,12.48,12.46,12.02,12.48,5870
2024-02-15,SCEM.CA,12.48,12.51,12.02,12.08,39220
2024-02-18,SCEM.CA,12.08,13.23,12.03,12.95,59480
2024-02-19,SCEM.CA,12.95,12.96,12.22,12.51,44980
2024-02-20,SCEM.CA,12.51,12.80,12.32,12.51,16970
2024-02-21,SCEM.CA,12.51,12.69,12.33,12.51,21100
2024-02-22,SCEM.CA,12.51,15.01,12.70,14.73,148150
2024-02-25,SCEM.CA,14.73,16.35,12.99,14.52,169850
2024-02-26,SCEM.CA,14.52,14.43,13.66,13.92,41400
2024-02-27,SCEM.CA,13.92,15.39,13.67,14.37,118740
2024-02-28,SCEM.CA,14.37,14.72,13.26,13.89,75740
2024-02-29,SCEM.CA,13.89,13.92,12.92,13.31,27740
2024-03-03,SCEM.CA,13.31,13.84,12.51,13.31,19110
2024-03-04,SCEM.CA,13.31,12.99,12.37,12.54,54550
2024-03-05,SCEM.CA,12.54,12.94,12.42,12.67,31350
2024-03-06,SCEM.CA,12.67,13.46,11.54,12.82,37100
2024-03-07,SCEM.CA,12.82,12.82,12.12,12.38,27040
2024-03-10,SCEM.CA,12.38,12.97,12.12,12.33,36730
2024-03-11,SCEM.CA,12.33,12.41,12.19,12.33,9680
2024-03-12,SCEM.CA,12.33,12.30,11.78,11.97,49540
2024-03-13,SCEM.CA,11.97,12.31,11.64,11.97,12230
2024-03-14,SCEM.CA,11.97,12.31,11.65,11.97,8060
2024-03-17,SCEM.CA,11.97,12.75,9.58,11.97,22010
2024-03-18,SCEM.CA,11.97,11.64,10.20,11.97,1740
2024-03-19,SCEM.CA,11.97,11.45,10.00,11.97,8260
2024-03-20,SCEM.CA,11.97,11.54,10.58,11.97,7700
2024-03-21,SCEM.CA,11.97,11.54,10.58,11.97,13320
2024-03-24,SCEM.CA,11.97,11.91,10.82,11.97,6240
2024-03-25,SCEM.CA,11.97,11.65,11.07,11.97,11880
2024-03-26,SCEM.CA,11.97,11.54,11.26,11.97,8090
2024-03-27,SCEM.CA,11.97,11.53,10.77,11.97,15570
2024-03-28,SCEM.CA,11.97,11.33,10.60,11.97,1080
2024-03-31,SCEM.CA,11.97,11.29,10.58,11.97,1750
2024-04-01,SCEM.CA,11.97,11.29,10.63,11.97,4530
2024-04-02,SCEM.CA,11.97,11.20,10.87,11.97,8210
2024-04-03,SCEM.CA,11.97,11.16,10.74,11.97,1250
2024-04-04,SCEM.CA,11.97,11.16,10.77,11.97,7440
2024-04-07,SCEM.CA,11.97,11.52,10.82,11.97,3180
2024-04-08,SCEM.CA,11.97,11.25,10.87,11.97,1020
2024-04-15,SCEM.CA,11.97,11.52,10.90,11.97,9130
2024-04-16,SCEM.CA,11.97,11.50,11.40,11.97,20310
2024-04-17,SCEM.CA,11.97,11.50,10.92,11.97,24360
2024-04-18,SCEM.CA,11.97,11.43,10.58,10.71,40280
2024-04-21,SCEM.CA,10.71,11.05,9.63,10.63,29190
2024-04-22,SCEM.CA,10.63,11.02,10.29,10.63,6240
2024-04-23,SCEM.CA,10.63,10.52,9.49,9.65,80860
2024-04-24,SCEM.CA,9.65,9.49,8.66,8.84,98960
2024-04-28,SCEM.CA,8.88,9.38,8.88,8.84,16050
2024-04-29,SCEM.CA,9.28,9.52,8.85,8.84,3580
2024-04-30,SCEM.CA,9.57,9.57,8.75,8.84,15140
2024-05-01,SCEM.CA,9.14,9.56,8.96,8.84,14580
