Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,SCTS.CA,294.00,297.85,290.30,291.76,4780
2026-01-05,SCTS.CA,290.90,294.93,288.00,289.60,1980
2026-01-06,SCTS.CA,289.99,293.98,288.40,290.88,1730
2026-01-08,SCTS.CA,290.88,292.50,289.00,290.15,3490
2026-01-11,SCTS.CA,292.43,292.43,288.00,288.51,1830
2026-01-12,SCTS.CA,288.02,290.00,288.00,288.55,1890
2026-01-13,SCTS.CA,289.00,290.00,285.00,285.25,3450
2026-01-14,SCTS.CA,285.00,288.99,270.61,276.41,5170
2026-01-15,SCTS.CA,280.00,280.00,271.00,271.84,5790
2026-01-18,SCTS.CA,275.00,284.00,269.00,274.00,10490
2026-01-19,SCTS.CA,274.06,304.44,274.06,280.44,27770
2026-01-20,SCTS.CA,282.01,288.88,275.21,279.12,11490
2026-01-21,SCTS.CA,283.00,284.80,275.40,276.17,7440
2026-01-22,SCTS.CA,276.17,284.52,276.17,277.73,5570
2026-01-25,SCTS.CA,278.51,281.00,276.18,277.06,3700
2026-01-26,SCTS.CA,276.18,279.00,273.01,274.24,3170
2026-01-27,SCTS.CA,273.02,284.94,272.00,274.48,5430
2026-01-28,SCTS.CA,276.50,276.50,270.25,272.37,2980
2026-02-01,SCTS.CA,271.10,275.99,269.20,269.69,4410
2026-02-02,SCTS.CA,270.21,292.00,270.20,279.73,24580
2026-02-03,SCTS.CA,284.44,284.50,275.00,280.35,14820
2026-02-04,SCTS.CA,282.90,283.00,280.07,281.36,3710
2026-02-05,SCTS.CA,282.00,285.00,278.00,278.42,3040
2026-02-08,SCTS.CA,278.30,284.00,278.00,279.46,3210
2026-02-09,SCTS.CA,282.50,283.00,275.11,278.35,2960
2026-02-10,SCTS.CA,280.00,281.00,276.06,277.80,2710
2026-02-11,SCTS.CA,276.22,280.00,275.07,275.63,2210
2026-02-12,SCTS.CA,275.08,279.70,275.00,275.63,1120
2026-02-15,SCTS.CA,278.89,279.50,270.15,273.42,3500
2026-02-16,SCTS.CA,273.00,277.99,271.90,272.55,2010
2026-02-17,SCTS.CA,272.11,276.88,271.00,272.15,1540
2026-02-18,SCTS.CA,276.00,297.00,275.30,281.30,33560
2026-02-19,SCTS.CA,281.51,286.99,270.03,270.40,8110
2026-02-22,SCTS.CA,271.10,278.00,268.00,269.74,4960
2026-02-23,SCTS.CA,269.74,294.79,268.00,273.10,9920
2026-02-24,SCTS.CA,273.10,284.99,272.22,275.12,3130
2026-02-25,SCTS.CA,275.00,280.00,260.00,261.12,5470
2026-02-26,SCTS.CA,273.99,275.00,266.00,272.16,1560
2026-03-01,SCTS.CA,257.00,266.00,230.10,262.48,5610
2026-03-02,SCTS.CA,267.99,273.00,265.05,267.35,4800
2026-03-03,SCTS.CA,267.49,270.00,232.00,261.03,6800
2026-03-04,SCTS.CA,263.90,270.00,256.59,261.11,7060
2026-03-05,SCTS.CA,260.22,267.96,257.00,265.43,4170
2026-03-08,SCTS.CA,262.42,279.00,260.11,266.35,6480
2026-03-09,SCTS.CA,265.00,268.65,263.60,266.35,1050
2026-03-10,SCTS.CA,264.00,273.01,264.00,270.46,3290
2026-03-11,SCTS.CA,270.00,275.00,266.50,272.33,2580
2026-03-12,SCTS.CA,273.99,273.99,269.01,269.85,1980
2026-03-15,SCTS.CA,273.87,273.87,263.12,264.00,3490
2026-03-16,SCTS.CA,269.98,269.98,261.12,262.97,2080
2026-03-17,SCTS.CA,262.55,266.80,262.55,262.97,770
2026-03-18,SCTS.CA,263.16,269.90,262.21,262.97,900
2026-03-24,SCTS.CA,269.90,270.00,263.01,268.62,2660
2026-03-25,SCTS.CA,268.80,274.98,266.00,266.86,3250
2026-03-26,SCTS.CA,266.50,268.00,265.00,266.86,830
2026-03-29,SCTS.CA,265.00,285.00,265.00,282.00,19290
2026-03-30,SCTS.CA,284.90,285.00,266.30,266.46,4500
2026-03-31,SCTS.CA,273.00,305.00,267.11,303.59,34450
2026-04-01,SCTS.CA,305.00,309.90,280.13,281.62,21510
2026-04-02,SCTS.CA,282.90,298.80,277.10,289.79,37080
2026-04-05,SCTS.CA,285.50,307.00,284.00,292.83,19820
2026-04-06,SCTS.CA,294.00,351.39,294.00,351.39,165660
2026-04-07,SCTS.CA,351.00,357.98,327.11,339.39,105380
2026-04-08,SCTS.CA,342.82,404.89,334.44,372.22,76120
2026-04-09,SCTS.CA,372.22,381.00,357.50,358.68,18310
2026-04-12,SCTS.CA,372.22,358.68,358.68,358.68,18310
2026-04-14,SCTS.CA,355.00,361.50,345.00,349.72,8810
2026-04-15,SCTS.CA,347.99,405.00,347.99,376.66,53090
2026-04-16,SCTS.CA,380.00,390.00,370.01,379.97,14030
2026-04-19,SCTS.CA,380.00,444.48,380.00,425.12,91900
2026-04-20,SCTS.CA,429.05,498.00,426.00,479.88,68880
2026-04-21,SCTS.CA,485.00,575.85,482.00,575.71,94610
2026-04-22,SCTS.CA,605.00,690.85,593.00,690.85,123610
2026-04-23,SCTS.CA,780.00,829.02,560.00,636.00,152530
2026-04-26,SCTS.CA,636.19,653.99,581.00,600.01,66070
2026-04-27,SCTS.CA,613.00,714.95,601.25,685.33,131030
2026-04-28,SCTS.CA,715.00,750.00,666.00,683.03,88780
2026-04-29,SCTS.CA,683.03,687.00,651.11,662.51,38650
2026-04-30,SCTS.CA,669.00,677.93,655.00,659.01,18280
2026-05-03,SCTS.CA,659.00,659.00,631.02,639.28,19520
2026-05-04,SCTS.CA,640.01,644.00,600.25,621.30,20030
2026-05-05,SCTS.CA,621.30,629.00,619.00,619.83,12230
2026-05-06,SCTS.CA,621.00,623.50,605.80,607.66,13220
2026-05-10,SCTS.CA,608.00,640.00,608.00,629.17,29890
2026-05-11,SCTS.CA,639.00,709.00,639.00,662.00,99470
2026-05-12,SCTS.CA,673.00,681.00,651.64,652.11,24860
2026-05-13,SCTS.CA,656.00,690.00,650.00,660.18,32710
2026-05-14,SCTS.CA,664.00,689.99,657.50,664.42,13380
2026-05-17,SCTS.CA,667.00,689.49,655.00,656.98,31280
2026-05-18,SCTS.CA,669.94,670.00,642.00,643.99,7820
2026-05-19,SCTS.CA,646.00,668.98,645.11,652.01,10000
2026-05-20,SCTS.CA,660.00,664.00,643.20,643.95,10840
2026-05-21,SCTS.CA,659.90,660.00,640.00,642.55,7000
2026-05-24,SCTS.CA,644.01,655.00,640.00,640.08,6290
2026-05-25,SCTS.CA,640.00,648.00,590.01,633.56,9270
2026-06-01,SCTS.CA,635.97,638.00,628.00,629.56,6510
2026-06-02,SCTS.CA,632.00,636.60,629.00,629.75,3880
2026-06-03,SCTS.CA,630.00,632.50,620.10,622.90,5180
2026-06-04,SCTS.CA,622.00,624.00,620.10,620.61,3740
2026-06-07,SCTS.CA,621.01,623.00,611.00,617.12,3590
2026-06-08,SCTS.CA,620.00,620.00,606.00,614.35,6050
2026-06-09,SCTS.CA,618.00,645.00,610.00,632.94,14780
2026-06-10,SCTS.CA,629.00,634.00,607.02,610.21,7440
2026-06-11,SCTS.CA,610.00,619.88,603.25,607.26,3460
2026-06-14,SCTS.CA,612.00,615.00,608.00,609.76,3540
2026-06-15,SCTS.CA,609.88,614.99,605.00,605.92,5830
2026-06-16,SCTS.CA,612.00,612.00,565.25,600.65,6500
2026-06-17,SCTS.CA,595.00,610.00,590.00,599.53,4620
2026-06-21,SCTS.CA,600.00,604.90,592.00,598.15,2740
2026-06-22,SCTS.CA,599.00,603.00,593.10,599.81,2450
2026-06-23,SCTS.CA,595.50,602.00,590.00,590.19,4600
2026-06-24,SCTS.CA,591.00,592.20,586.00,590.41,2130
