Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,SDTI.CA,25.80,25.96,24.60,24.73,366990
2026-01-05,SDTI.CA,24.77,24.97,24.06,24.50,621050
2026-01-06,SDTI.CA,24.85,25.45,24.50,25.39,338730
2026-01-08,SDTI.CA,25.89,25.89,25.03,25.50,464520
2026-01-11,SDTI.CA,25.59,26.99,25.59,26.03,1780000
2026-01-12,SDTI.CA,26.35,26.49,25.70,25.81,779690
2026-01-13,SDTI.CA,26.19,26.65,25.87,26.00,1280000
2026-01-14,SDTI.CA,26.00,26.44,25.03,26.00,719930
2026-01-15,SDTI.CA,25.97,26.10,25.15,25.21,402430
2026-01-18,SDTI.CA,25.22,25.89,25.22,25.40,53070
2026-01-19,SDTI.CA,25.78,26.45,25.23,26.19,1060000
2026-01-20,SDTI.CA,26.28,26.50,25.90,26.10,550030
2026-01-21,SDTI.CA,26.00,26.60,25.99,26.22,1060000
2026-01-22,SDTI.CA,26.10,27.00,26.10,26.57,1880000
2026-01-25,SDTI.CA,26.72,27.10,26.50,26.70,1180000
2026-01-26,SDTI.CA,26.90,26.90,26.45,26.47,763700
2026-01-27,SDTI.CA,26.70,26.88,26.36,26.60,627550
2026-01-28,SDTI.CA,26.67,26.79,25.50,26.50,1560000
2026-02-01,SDTI.CA,26.48,27.65,26.03,27.60,1250000
2026-02-02,SDTI.CA,27.60,28.28,27.41,28.08,1490000
2026-02-03,SDTI.CA,28.20,28.70,28.00,28.59,859180
2026-02-04,SDTI.CA,28.68,29.10,28.10,28.42,566870
2026-02-05,SDTI.CA,28.82,28.82,27.82,28.69,501640
2026-02-08,SDTI.CA,28.75,29.00,28.45,28.46,313590
2026-02-09,SDTI.CA,28.89,29.45,28.28,29.39,816910
2026-02-10,SDTI.CA,29.39,29.95,29.04,29.77,606540
2026-02-11,SDTI.CA,29.75,32.25,29.50,32.00,1520000
2026-02-12,SDTI.CA,32.03,33.50,29.53,32.00,1060000
2026-02-15,SDTI.CA,31.50,32.50,31.01,31.96,1240000
2026-02-16,SDTI.CA,32.46,32.46,30.16,30.69,1970000
2026-02-17,SDTI.CA,30.61,32.99,30.20,32.89,2310000
2026-02-18,SDTI.CA,32.94,33.48,32.00,32.57,621770
2026-02-19,SDTI.CA,32.57,32.90,31.50,31.89,188660
2026-02-22,SDTI.CA,32.02,32.50,30.06,32.00,599540
2026-02-23,SDTI.CA,32.00,33.20,31.21,33.00,1200000
2026-02-24,SDTI.CA,32.67,36.00,32.50,35.70,2930000
2026-02-25,SDTI.CA,36.10,39.55,35.31,35.50,3320000
2026-02-26,SDTI.CA,35.79,35.89,34.65,35.00,662870
2026-03-01,SDTI.CA,32.10,35.89,32.10,35.70,833390
2026-03-02,SDTI.CA,35.70,36.40,34.02,34.90,641560
2026-03-03,SDTI.CA,34.60,35.90,34.21,35.70,495610
2026-03-04,SDTI.CA,35.89,36.60,35.00,36.05,458480
2026-03-05,SDTI.CA,36.35,38.72,35.80,38.00,1050000
2026-03-08,SDTI.CA,38.40,38.85,37.65,38.07,862540
2026-03-09,SDTI.CA,38.43,38.79,36.71,36.98,361790
2026-03-10,SDTI.CA,37.40,37.97,36.73,36.81,386870
2026-03-11,SDTI.CA,37.49,38.38,36.85,37.99,413040
2026-03-12,SDTI.CA,37.89,38.70,37.89,38.50,275120
2026-03-15,SDTI.CA,38.38,39.55,38.01,38.35,513840
2026-03-16,SDTI.CA,39.00,39.28,37.60,37.63,631250
2026-03-17,SDTI.CA,38.47,38.47,37.50,38.00,666160
2026-03-18,SDTI.CA,38.00,39.00,38.00,38.50,500620
2026-03-24,SDTI.CA,39.20,39.45,38.51,38.54,393420
2026-03-25,SDTI.CA,38.56,42.19,38.55,41.10,3770000
2026-03-26,SDTI.CA,41.20,41.20,40.01,40.16,384090
2026-03-29,SDTI.CA,40.45,41.99,39.80,40.00,2360000
2026-03-30,SDTI.CA,40.10,41.00,39.85,40.19,720730
2026-03-31,SDTI.CA,40.10,40.45,39.90,40.02,1230000
2026-04-01,SDTI.CA,40.77,41.50,40.12,41.00,1140000
2026-04-02,SDTI.CA,41.34,41.50,40.52,40.66,376190
2026-04-05,SDTI.CA,40.80,41.50,40.80,41.38,341090
2026-04-06,SDTI.CA,41.25,42.15,41.25,41.36,575440
2026-04-07,SDTI.CA,41.60,41.69,41.12,41.19,202550
2026-04-08,SDTI.CA,41.98,41.99,41.45,41.86,212210
2026-04-09,SDTI.CA,41.97,42.58,41.36,41.74,426760
2026-04-12,SDTI.CA,41.86,41.74,41.74,41.74,426760
2026-04-14,SDTI.CA,41.72,42.19,41.20,41.60,356840
2026-04-15,SDTI.CA,41.60,42.15,41.60,41.64,466060
2026-04-16,SDTI.CA,41.70,43.49,41.50,43.25,876840
2026-04-19,SDTI.CA,43.50,43.94,42.44,42.91,1120000
2026-04-20,SDTI.CA,42.91,43.06,42.60,42.66,186550
2026-04-21,SDTI.CA,42.90,43.06,42.41,42.50,426140
2026-04-22,SDTI.CA,42.97,42.97,42.40,42.50,321160
2026-04-23,SDTI.CA,42.50,43.85,42.50,43.59,954820
2026-04-26,SDTI.CA,43.65,43.94,43.00,43.50,884340
2026-04-27,SDTI.CA,43.95,44.00,43.43,43.50,263770
2026-04-28,SDTI.CA,43.51,46.49,43.50,44.67,940710
2026-04-29,SDTI.CA,44.71,44.96,43.93,44.01,654580
2026-04-30,SDTI.CA,44.01,44.70,44.00,44.06,843570
2026-05-03,SDTI.CA,44.20,44.98,44.00,44.30,511880
2026-05-04,SDTI.CA,44.31,44.70,44.00,44.00,523240
2026-05-05,SDTI.CA,44.49,44.70,43.15,44.54,292750
2026-05-06,SDTI.CA,44.54,44.54,43.70,44.07,288900
2026-05-10,SDTI.CA,44.07,44.90,43.95,44.50,916910
2026-05-11,SDTI.CA,44.50,45.25,44.18,44.71,1200000
2026-05-12,SDTI.CA,44.98,45.26,44.38,44.46,381430
2026-05-13,SDTI.CA,44.46,45.45,44.30,45.33,537790
2026-05-14,SDTI.CA,45.50,46.25,44.85,45.88,501060
2026-05-17,SDTI.CA,45.30,45.88,44.86,44.87,697220
2026-05-18,SDTI.CA,44.87,45.60,44.10,44.49,224600
2026-05-19,SDTI.CA,44.11,45.10,44.11,44.50,454000
