Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,SEIG.CA,64.00,64.90,64.00,63.23,1750
2024-01-03,SEIG.CA,64.14,64.99,64.14,63.23,280
2024-01-04,SEIG.CA,64.50,66.00,64.00,63.23,3870
2024-01-08,SEIG.CA,63.30,65.99,63.30,63.23,940
2024-01-09,SEIG.CA,65.79,65.90,64.00,63.23,1490
2024-01-10,SEIG.CA,64.00,65.70,64.00,63.23,1220
2024-01-11,SEIG.CA,64.01,69.50,63.41,67.41,10360
2024-01-14,SEIG.CA,68.64,68.67,66.14,67.41,1630
2024-01-15,SEIG.CA,66.51,68.60,66.51,67.41,2660
2024-01-16,SEIG.CA,68.50,71.37,68.50,67.41,3060
2024-01-17,SEIG.CA,71.50,71.50,67.28,68.61,4750
2024-01-18,SEIG.CA,67.30,70.30,67.00,68.22,9950
2024-01-21,SEIG.CA,68.22,72.59,67.50,70.38,17240
2024-01-22,SEIG.CA,72.00,72.49,69.21,70.38,4140
2024-01-23,SEIG.CA,70.30,71.50,69.60,70.71,4400
2024-01-24,SEIG.CA,71.50,77.00,69.00,72.47,23700
2024-01-28,SEIG.CA,75.89,77.00,73.80,74.76,9990
2024-01-29,SEIG.CA,73.61,75.00,70.00,70.93,7290
2024-01-30,SEIG.CA,72.00,72.00,70.14,70.93,4170
2024-01-31,SEIG.CA,73.00,73.00,66.00,70.93,4250
2024-02-01,SEIG.CA,70.93,70.50,66.00,68.14,4410
2024-02-04,SEIG.CA,68.14,70.49,67.01,68.14,3300
2024-02-05,SEIG.CA,68.14,71.00,67.05,68.14,2920
2024-02-06,SEIG.CA,68.14,71.00,67.80,68.14,3250
2024-02-07,SEIG.CA,68.14,69.98,67.40,68.14,2300
2024-02-08,SEIG.CA,68.14,70.00,68.00,68.14,970
2024-02-11,SEIG.CA,68.14,69.78,68.47,68.14,1950
2024-02-12,SEIG.CA,68.14,69.35,67.00,68.14,2080
2024-02-13,SEIG.CA,68.14,68.80,67.23,68.14,1770
2024-02-14,SEIG.CA,68.14,69.59,68.00,68.14,690
2024-02-15,SEIG.CA,68.14,69.89,68.51,68.14,300
2024-02-18,SEIG.CA,68.14,70.80,67.00,68.14,2180
2024-02-19,SEIG.CA,68.14,70.84,68.84,69.93,4320
2024-02-20,SEIG.CA,69.93,71.00,69.91,70.73,5410
2024-02-21,SEIG.CA,70.73,75.00,70.10,73.80,7700
2024-02-22,SEIG.CA,73.80,73.05,71.12,72.57,5010
2024-02-25,SEIG.CA,72.57,72.00,68.00,72.57,2940
2024-02-26,SEIG.CA,72.57,71.99,67.02,72.57,1410
2024-02-27,SEIG.CA,72.57,71.00,68.01,72.57,2340
2024-02-28,SEIG.CA,72.57,70.93,67.06,72.57,2900
2024-02-29,SEIG.CA,72.57,69.87,67.25,72.57,760
2024-03-03,SEIG.CA,72.57,70.50,67.40,72.57,1880
2024-03-04,SEIG.CA,72.57,69.84,67.02,72.57,2090
2024-03-05,SEIG.CA,72.57,87.08,67.52,72.57,3790
2024-03-06,SEIG.CA,72.57,71.94,66.12,72.57,2280
2024-03-07,SEIG.CA,72.57,69.90,66.58,72.57,530
2024-03-10,SEIG.CA,72.57,71.95,69.00,72.57,490
2024-03-11,SEIG.CA,72.57,70.97,66.20,72.57,260
2024-03-12,SEIG.CA,72.57,68.00,67.00,72.57,1980
2024-03-13,SEIG.CA,72.57,68.00,61.02,72.57,2220
2024-03-14,SEIG.CA,72.57,72.57,72.57,72.57,0
2024-03-17,SEIG.CA,72.57,67.55,63.10,72.57,4100
2024-03-18,SEIG.CA,72.57,65.99,62.00,72.57,2060
2024-03-19,SEIG.CA,72.57,62.62,60.00,72.57,2200
2024-03-20,SEIG.CA,72.57,64.99,60.61,72.57,880
2024-03-21,SEIG.CA,72.57,65.00,60.63,72.57,500
2024-03-24,SEIG.CA,72.57,64.84,61.00,72.57,640
2024-03-25,SEIG.CA,72.57,64.74,61.29,72.57,700
2024-03-26,SEIG.CA,72.57,64.00,61.40,72.57,1930
2024-03-27,SEIG.CA,72.57,63.70,62.00,72.57,1710
2024-03-28,SEIG.CA,72.57,63.45,58.70,72.57,1520
2024-03-31,SEIG.CA,72.57,62.90,59.14,72.57,800
2024-04-01,SEIG.CA,72.57,62.85,59.28,72.57,160
2024-04-02,SEIG.CA,72.57,62.90,59.88,72.57,200
2024-04-03,SEIG.CA,72.57,61.50,59.71,72.57,290
2024-04-04,SEIG.CA,72.57,61.90,60.00,72.57,250
2024-04-07,SEIG.CA,72.57,62.00,60.04,72.57,320
2024-04-08,SEIG.CA,72.57,62.00,60.00,72.57,3670
2024-04-15,SEIG.CA,72.57,70.00,60.00,72.57,4290
2024-04-16,SEIG.CA,72.57,65.99,62.05,72.57,890
2024-04-17,SEIG.CA,72.57,63.99,60.25,62.66,6920
2024-04-18,SEIG.CA,62.66,63.70,62.00,62.66,2370
2024-04-21,SEIG.CA,62.66,63.25,61.00,62.66,1470
2024-04-22,SEIG.CA,62.66,63.99,61.05,62.66,180
2024-04-23,SEIG.CA,62.66,63.43,60.27,62.66,860
2024-04-24,SEIG.CA,62.66,61.00,57.00,58.51,5810
2024-04-28,SEIG.CA,58.99,58.99,53.00,58.51,1310
2024-04-29,SEIG.CA,52.34,57.00,52.34,58.51,300
2024-04-30,SEIG.CA,56.47,56.47,54.00,58.51,1550
2024-05-01,SEIG.CA,53.15,53.15,47.16,58.51,1710
2024-05-02,SEIG.CA,53.83,53.83,51.10,58.51,700
2024-05-07,SEIG.CA,54.90,54.90,51.00,58.51,740
2024-05-08,SEIG.CA,51.42,52.50,51.42,58.51,400
2024-05-09,SEIG.CA,53.01,54.00,52.00,58.51,270
2024-05-12,SEIG.CA,53.00,53.00,51.00,58.51,830
2024-05-13,SEIG.CA,51.31,51.99,50.00,58.51,1120
2024-05-14,SEIG.CA,48.53,51.99,48.53,58.51,1020
2024-05-15,SEIG.CA,49.10,49.10,49.10,58.51,10
2024-05-16,SEIG.CA,49.00,55.45,49.00,58.51,330
2024-05-19,SEIG.CA,58.51,58.51,58.51,58.51,0
2024-05-20,SEIG.CA,53.47,53.75,53.00,58.51,990
2024-05-21,SEIG.CA,50.50,53.80,50.50,58.51,50
2024-05-22,SEIG.CA,51.20,54.47,51.20,58.51,50
