Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,SIPC.CA,3.720,4.090,3.540,4.080,25040000
2026-01-05,SIPC.CA,4.120,4.390,3.900,3.930,34510000
2026-01-06,SIPC.CA,3.950,4.150,3.950,3.980,14650000
2026-01-08,SIPC.CA,4.000,4.030,3.680,3.710,17120000
2026-01-11,SIPC.CA,3.750,3.820,3.610,3.640,13500000
2026-01-12,SIPC.CA,3.680,3.850,3.660,3.720,15380000
2026-01-13,SIPC.CA,3.740,3.770,3.510,3.530,8080000
2026-01-14,SIPC.CA,3.540,3.610,3.350,3.450,9600000
2026-01-15,SIPC.CA,3.480,3.540,3.310,3.340,5150000
2026-01-18,SIPC.CA,3.400,3.460,3.320,3.370,3330000
2026-01-19,SIPC.CA,3.460,3.460,3.390,3.410,3130000
2026-01-20,SIPC.CA,3.430,3.440,3.340,3.350,4010000
2026-01-21,SIPC.CA,3.350,3.980,3.320,3.950,37290000
2026-01-22,SIPC.CA,3.950,3.960,3.770,3.800,21080000
2026-01-25,SIPC.CA,3.860,3.920,3.720,3.720,15820000
2026-01-26,SIPC.CA,3.730,3.780,3.520,3.540,7260000
2026-01-27,SIPC.CA,3.590,3.680,3.540,3.600,9530000
2026-01-28,SIPC.CA,3.620,3.650,3.390,3.590,7030000
2026-02-01,SIPC.CA,3.530,3.770,3.510,3.680,11380000
2026-02-02,SIPC.CA,3.700,3.770,3.620,3.640,6320000
2026-02-03,SIPC.CA,3.670,3.720,3.610,3.660,5740000
2026-02-04,SIPC.CA,3.670,3.850,3.660,3.720,13500000
2026-02-05,SIPC.CA,3.740,3.840,3.640,3.770,8340000
2026-02-08,SIPC.CA,3.800,3.850,3.710,3.710,7130000
2026-02-09,SIPC.CA,3.750,3.750,3.680,3.680,2770000
2026-02-10,SIPC.CA,3.690,3.740,3.660,3.680,2640000
2026-02-11,SIPC.CA,3.680,3.720,3.570,3.610,3960000
2026-02-12,SIPC.CA,3.620,3.670,3.560,3.570,2790000
2026-02-15,SIPC.CA,3.590,3.650,3.580,3.590,1890000
2026-02-16,SIPC.CA,3.590,3.630,3.480,3.500,2700000
2026-02-17,SIPC.CA,3.510,3.600,3.470,3.560,3650000
2026-02-18,SIPC.CA,3.590,3.790,3.580,3.690,12900000
2026-02-19,SIPC.CA,3.700,3.760,3.520,3.520,4110000
2026-02-22,SIPC.CA,3.550,3.620,3.380,3.420,2570000
2026-02-23,SIPC.CA,3.450,3.540,3.430,3.470,3680000
2026-02-24,SIPC.CA,3.480,3.520,3.440,3.450,3050000
2026-02-25,SIPC.CA,3.480,3.490,3.200,3.240,3400000
2026-02-26,SIPC.CA,3.290,3.290,3.130,3.190,3770000
2026-03-01,SIPC.CA,2.910,3.100,2.800,3.100,2760000
2026-03-02,SIPC.CA,3.150,3.200,3.060,3.080,2470000
2026-03-03,SIPC.CA,3.130,3.130,3.020,3.100,1660000
2026-03-04,SIPC.CA,3.110,3.150,3.010,3.080,1830000
2026-03-05,SIPC.CA,3.100,3.360,3.090,3.240,9420000
2026-03-08,SIPC.CA,3.260,3.270,3.200,3.200,2210000
2026-03-09,SIPC.CA,3.220,3.320,3.190,3.230,3730000
2026-03-10,SIPC.CA,3.240,3.340,3.240,3.250,2000000
2026-03-11,SIPC.CA,3.280,3.320,3.270,3.280,1790000
2026-03-12,SIPC.CA,3.300,3.430,3.270,3.320,8070000
2026-03-15,SIPC.CA,3.350,3.390,3.250,3.260,2040000
2026-03-16,SIPC.CA,3.270,3.280,3.180,3.200,919910
2026-03-17,SIPC.CA,3.210,3.270,3.210,3.240,1410000
2026-03-18,SIPC.CA,3.280,3.340,3.240,3.260,2670000
2026-03-24,SIPC.CA,3.270,3.300,3.220,3.230,1990000
2026-03-25,SIPC.CA,3.230,3.370,3.230,3.330,3870000
2026-03-26,SIPC.CA,3.340,3.370,3.250,3.260,3210000
2026-03-29,SIPC.CA,3.250,3.310,3.180,3.200,2720000
2026-03-30,SIPC.CA,3.210,3.230,3.090,3.140,2920000
2026-03-31,SIPC.CA,3.140,3.170,3.090,3.100,1270000
2026-04-01,SIPC.CA,3.120,3.150,3.110,3.120,1520000
2026-04-02,SIPC.CA,3.140,3.250,3.110,3.170,2940000
2026-04-05,SIPC.CA,3.180,3.230,3.150,3.160,2060000
2026-04-06,SIPC.CA,3.170,3.270,3.150,3.160,6590000
2026-04-07,SIPC.CA,3.180,3.220,3.160,3.160,2690000
2026-04-08,SIPC.CA,3.200,3.230,3.180,3.220,2690000
2026-04-09,SIPC.CA,3.240,3.400,3.230,3.340,10290000
2026-04-12,SIPC.CA,3.220,3.340,3.340,3.340,10290000
2026-04-14,SIPC.CA,3.410,3.520,3.390,3.440,10150000
2026-04-15,SIPC.CA,3.480,3.490,3.370,3.390,3770000
2026-04-16,SIPC.CA,3.410,3.500,3.390,3.400,6210000
2026-04-19,SIPC.CA,3.420,3.500,3.410,3.430,2840000
2026-04-20,SIPC.CA,3.440,3.570,3.410,3.570,14160000
2026-04-21,SIPC.CA,3.700,3.700,3.510,3.510,11820000
2026-04-22,SIPC.CA,3.540,3.550,3.460,3.480,3320000
2026-04-23,SIPC.CA,3.490,3.540,3.450,3.460,2810000
2026-04-26,SIPC.CA,3.490,3.500,3.420,3.500,3670000
2026-04-27,SIPC.CA,3.540,3.540,3.470,3.470,2460000
2026-04-28,SIPC.CA,3.470,3.620,3.460,3.540,11670000
2026-04-29,SIPC.CA,3.550,3.570,3.510,3.530,2850000
2026-04-30,SIPC.CA,3.510,3.550,3.440,3.500,3230000
2026-05-03,SIPC.CA,3.500,3.570,3.450,3.510,3740000
2026-05-04,SIPC.CA,3.530,3.570,3.460,3.560,3790000
2026-05-05,SIPC.CA,3.550,3.610,3.490,3.530,4730000
2026-05-06,SIPC.CA,3.550,3.590,3.530,3.590,2630000
2026-05-10,SIPC.CA,3.650,3.740,3.610,3.670,10140000
2026-05-11,SIPC.CA,3.700,3.740,3.640,3.650,5320000
2026-05-12,SIPC.CA,3.670,3.800,3.620,3.710,9450000
2026-05-13,SIPC.CA,3.740,3.750,3.650,3.690,2640000
2026-05-14,SIPC.CA,3.690,3.710,3.640,3.650,3300000
2026-05-17,SIPC.CA,3.660,3.690,3.630,3.640,2950000
2026-05-18,SIPC.CA,3.650,3.660,3.550,3.550,4390000
2026-05-19,SIPC.CA,3.570,3.600,3.550,3.560,1330000
2026-05-20,SIPC.CA,3.590,3.640,3.450,3.460,2350000
2026-05-21,SIPC.CA,3.500,3.520,3.400,3.510,2130000
2026-05-24,SIPC.CA,3.540,3.590,3.500,3.520,1010000
2026-05-25,SIPC.CA,3.550,3.550,3.500,3.520,1090000
2026-06-01,SIPC.CA,3.520,3.640,3.520,3.590,2860000
2026-06-02,SIPC.CA,3.590,3.730,3.590,3.660,9900000
2026-06-03,SIPC.CA,3.680,3.700,3.610,3.620,2840000
2026-06-04,SIPC.CA,3.620,3.700,3.600,3.660,5500000
2026-06-07,SIPC.CA,3.700,3.740,3.650,3.670,6750000
2026-06-08,SIPC.CA,3.650,3.690,3.600,3.630,3800000
2026-06-09,SIPC.CA,3.650,3.720,3.600,3.610,5200000
2026-06-10,SIPC.CA,3.640,3.660,3.530,3.560,5480000
2026-06-11,SIPC.CA,3.560,3.560,3.400,3.420,2070000
2026-06-14,SIPC.CA,3.500,3.520,3.420,3.470,1730000
2026-06-15,SIPC.CA,3.520,3.580,3.470,3.470,1750000
2026-06-16,SIPC.CA,3.470,3.490,3.430,3.460,4380000
2026-06-17,SIPC.CA,3.480,3.540,3.440,3.500,2200000
2026-06-21,SIPC.CA,3.500,3.590,3.500,3.550,1970000
2026-06-22,SIPC.CA,3.600,3.600,3.480,3.490,1800000
2026-06-23,SIPC.CA,3.500,3.530,3.440,3.460,1230000
2026-06-24,SIPC.CA,3.470,3.480,3.420,3.420,996640
