Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,SKPC.CA,15.72,15.78,15.56,15.64,791660
2026-01-05,SKPC.CA,15.64,15.72,15.40,15.46,1170000
2026-01-06,SKPC.CA,15.50,15.58,15.45,15.52,1260000
2026-01-08,SKPC.CA,15.52,15.56,15.36,15.39,1700000
2026-01-11,SKPC.CA,15.44,15.52,15.31,15.42,2160000
2026-01-12,SKPC.CA,15.55,15.55,15.08,15.28,1420000
2026-01-13,SKPC.CA,15.28,15.36,14.80,14.86,2320000
2026-01-14,SKPC.CA,14.86,14.90,14.50,14.65,991440
2026-01-15,SKPC.CA,14.76,14.80,14.20,14.22,2340000
2026-01-18,SKPC.CA,14.30,14.65,14.30,14.40,607560
2026-01-19,SKPC.CA,14.41,14.69,14.36,14.67,888710
2026-01-20,SKPC.CA,14.71,14.81,14.50,14.51,1230000
2026-01-21,SKPC.CA,14.62,14.74,14.37,14.52,1610000
2026-01-22,SKPC.CA,14.54,14.87,14.54,14.75,1660000
2026-01-25,SKPC.CA,14.81,15.77,14.80,15.70,4590000
2026-01-26,SKPC.CA,15.75,15.75,15.31,15.35,1570000
2026-01-27,SKPC.CA,15.39,15.62,15.23,15.49,1380000
2026-01-28,SKPC.CA,15.50,15.74,15.26,15.41,2140000
2026-02-01,SKPC.CA,15.41,15.50,15.08,15.16,1390000
2026-02-02,SKPC.CA,15.20,15.28,15.00,15.25,1240000
2026-02-03,SKPC.CA,15.29,15.36,15.19,15.30,1650000
2026-02-04,SKPC.CA,15.34,15.36,15.23,15.30,934600
2026-02-05,SKPC.CA,15.33,15.40,15.09,15.20,1220000
2026-02-08,SKPC.CA,15.30,15.97,15.11,15.90,5980000
2026-02-09,SKPC.CA,15.98,16.12,15.79,15.79,5320000
2026-02-10,SKPC.CA,15.80,15.90,15.59,15.74,1610000
2026-02-11,SKPC.CA,15.75,15.80,15.52,15.53,991740
2026-02-12,SKPC.CA,15.54,15.69,15.54,15.61,528860
2026-02-15,SKPC.CA,15.70,16.09,15.64,16.00,7500000
2026-02-16,SKPC.CA,16.09,16.35,15.95,16.00,7940000
2026-02-17,SKPC.CA,16.00,16.79,15.76,16.61,9160000
2026-02-18,SKPC.CA,16.75,16.95,16.52,16.55,4220000
2026-02-19,SKPC.CA,16.56,16.98,16.56,16.98,9450000
2026-02-22,SKPC.CA,17.00,17.14,16.70,16.90,10790000
2026-02-23,SKPC.CA,16.90,17.25,16.80,17.10,13690000
2026-02-24,SKPC.CA,17.20,17.20,16.91,17.00,3840000
2026-02-25,SKPC.CA,17.00,17.16,16.06,16.60,5960000
2026-02-26,SKPC.CA,16.60,16.65,16.25,16.65,3700000
2026-03-01,SKPC.CA,15.31,17.00,15.31,16.70,8960000
2026-03-02,SKPC.CA,16.82,16.93,16.28,16.45,3530000
2026-03-03,SKPC.CA,16.40,17.19,16.28,17.11,13930000
2026-03-04,SKPC.CA,17.53,18.17,17.41,17.53,17450000
2026-03-05,SKPC.CA,17.60,17.65,17.21,17.30,4360000
2026-03-08,SKPC.CA,18.00,19.33,17.80,19.25,24910000
2026-03-09,SKPC.CA,19.80,19.94,18.70,18.70,14160000
2026-03-10,SKPC.CA,18.70,18.70,17.80,18.01,5810000
2026-03-11,SKPC.CA,18.10,18.47,18.10,18.35,3770000
2026-03-12,SKPC.CA,18.90,18.90,18.10,18.15,5180000
2026-03-15,SKPC.CA,18.27,18.64,17.96,18.01,4920000
2026-03-16,SKPC.CA,18.10,18.22,17.40,17.51,3920000
2026-03-17,SKPC.CA,17.61,17.64,17.41,17.45,2090000
2026-03-18,SKPC.CA,17.54,17.70,16.90,17.10,7930000
2026-03-24,SKPC.CA,17.25,17.68,17.12,17.58,4900000
2026-03-25,SKPC.CA,17.70,17.74,17.20,17.30,3250000
2026-03-26,SKPC.CA,17.33,17.55,17.17,17.55,4650000
2026-03-29,SKPC.CA,17.80,18.11,17.58,18.04,13890000
2026-03-30,SKPC.CA,18.18,18.32,17.80,17.95,5780000
2026-03-31,SKPC.CA,17.90,18.08,17.52,17.55,3350000
2026-04-01,SKPC.CA,17.62,17.75,17.33,17.70,2640000
2026-04-02,SKPC.CA,17.70,18.20,17.67,17.90,6270000
2026-04-05,SKPC.CA,18.00,18.05,17.64,17.79,2780000
2026-04-06,SKPC.CA,17.80,17.89,17.50,17.54,3160000
2026-04-07,SKPC.CA,17.59,17.96,17.55,17.84,3670000
2026-04-08,SKPC.CA,17.65,17.70,16.85,16.90,13990000
2026-04-09,SKPC.CA,16.93,17.03,16.66,16.70,8050000
2026-04-12,SKPC.CA,16.90,16.70,16.70,16.70,8050000
2026-04-14,SKPC.CA,16.90,17.13,16.85,16.94,5850000
2026-04-15,SKPC.CA,16.96,17.30,16.88,17.19,4460000
2026-04-16,SKPC.CA,17.27,17.28,17.08,17.12,4260000
2026-04-19,SKPC.CA,17.04,17.20,16.87,16.93,3450000
2026-04-20,SKPC.CA,16.99,17.00,16.80,16.85,1130000
2026-04-21,SKPC.CA,16.85,16.97,16.64,16.65,2670000
2026-04-22,SKPC.CA,16.67,16.92,16.67,16.75,3690000
2026-04-23,SKPC.CA,16.82,17.16,16.82,16.93,10910000
2026-04-26,SKPC.CA,17.03,17.50,17.03,17.50,8250000
2026-04-27,SKPC.CA,17.79,18.42,17.79,18.40,24190000
2026-04-28,SKPC.CA,18.52,18.94,18.45,18.53,14750000
