Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,SMFR.CA,45.10,46.00,45.10,45.53,12500
2024-01-03,SMFR.CA,45.90,46.46,45.80,45.98,12980
2024-01-04,SMFR.CA,46.44,49.20,46.11,47.95,62070
2024-01-08,SMFR.CA,49.00,51.81,48.25,49.25,82370
2024-01-09,SMFR.CA,49.25,50.00,48.51,48.96,32990
2024-01-10,SMFR.CA,49.01,54.00,48.70,52.19,262240
2024-01-11,SMFR.CA,52.20,52.94,50.90,51.24,91700
2024-01-14,SMFR.CA,50.95,51.98,49.98,50.18,47670
2024-01-15,SMFR.CA,50.30,51.79,49.50,49.96,35470
2024-01-16,SMFR.CA,50.30,50.30,49.06,49.95,29740
2024-01-17,SMFR.CA,50.50,53.20,50.30,51.79,118200
2024-01-18,SMFR.CA,51.60,52.00,50.50,50.61,20730
2024-01-21,SMFR.CA,50.55,57.50,50.55,53.47,151000
2024-01-22,SMFR.CA,54.99,55.75,52.14,53.44,61600
2024-01-23,SMFR.CA,53.80,54.00,52.00,52.24,29070
2024-01-24,SMFR.CA,52.70,60.99,51.61,56.96,275780
2024-01-28,SMFR.CA,58.95,59.97,55.70,55.90,146320
2024-01-29,SMFR.CA,56.03,57.20,52.80,53.99,71660
2024-01-30,SMFR.CA,55.90,56.00,52.82,53.97,54430
2024-01-31,SMFR.CA,54.51,55.40,52.00,52.82,82770
2024-02-01,SMFR.CA,52.82,55.00,45.05,54.48,60040
2024-02-04,SMFR.CA,54.48,55.50,52.02,53.04,24880
2024-02-05,SMFR.CA,53.04,54.50,48.00,53.22,21300
2024-02-06,SMFR.CA,53.22,59.40,55.00,55.77,106530
2024-02-07,SMFR.CA,55.77,57.00,55.00,55.40,39670
2024-02-08,SMFR.CA,55.40,58.80,55.00,55.12,23380
2024-02-11,SMFR.CA,55.12,56.90,53.01,53.62,34300
2024-02-12,SMFR.CA,53.62,55.25,50.00,53.01,20760
2024-02-13,SMFR.CA,53.01,54.12,52.00,52.34,53350
2024-02-14,SMFR.CA,52.34,52.90,52.00,52.00,48260
2024-02-15,SMFR.CA,52.00,52.60,51.98,52.07,16060
2024-02-18,SMFR.CA,52.07,53.00,51.80,52.27,15850
2024-02-19,SMFR.CA,52.27,52.95,52.12,52.31,9380
2024-02-20,SMFR.CA,52.31,52.90,52.00,52.14,11240
2024-02-21,SMFR.CA,52.14,54.89,52.00,52.86,25250
2024-02-22,SMFR.CA,52.86,53.99,52.50,53.03,9150
2024-02-25,SMFR.CA,53.03,52.88,45.00,49.04,33810
2024-02-26,SMFR.CA,49.04,50.49,48.00,49.04,5440
2024-02-27,SMFR.CA,49.04,50.50,48.03,49.17,9490
2024-02-28,SMFR.CA,49.17,50.40,49.33,49.17,4820
2024-02-29,SMFR.CA,49.17,49.50,45.50,47.40,9380
2024-03-03,SMFR.CA,47.40,48.64,45.10,47.40,4260
2024-03-04,SMFR.CA,47.40,50.50,47.02,49.84,15040
2024-03-05,SMFR.CA,49.84,51.00,49.92,50.10,12710
2024-03-06,SMFR.CA,50.10,52.50,48.56,50.77,17760
2024-03-07,SMFR.CA,50.77,48.91,47.10,50.77,3070
2024-03-10,SMFR.CA,50.77,50.00,48.90,50.77,1590
2024-03-11,SMFR.CA,50.77,50.49,49.15,50.77,4620
2024-03-12,SMFR.CA,50.77,50.28,47.50,50.77,4360
2024-03-13,SMFR.CA,50.77,47.49,45.98,50.77,4390
2024-03-14,SMFR.CA,50.77,50.00,40.62,50.77,5560
2024-03-17,SMFR.CA,50.77,48.90,45.00,50.77,2410
2024-03-18,SMFR.CA,50.77,47.75,42.01,44.91,28040
2024-03-19,SMFR.CA,44.91,47.00,43.01,46.99,14540
2024-03-20,SMFR.CA,46.99,46.02,44.52,46.99,1490
2024-03-21,SMFR.CA,46.99,47.52,45.00,46.99,1570
2024-03-24,SMFR.CA,46.99,47.10,45.35,46.99,1420
2024-03-25,SMFR.CA,46.99,47.47,45.75,46.99,1260
2024-03-26,SMFR.CA,46.99,47.00,45.80,46.99,4900
2024-03-27,SMFR.CA,46.99,46.95,43.50,46.99,1570
2024-03-28,SMFR.CA,46.99,45.90,43.80,46.99,1540
2024-03-31,SMFR.CA,46.99,46.50,43.82,46.99,3660
2024-04-01,SMFR.CA,46.99,45.89,44.13,46.99,1230
2024-04-02,SMFR.CA,46.99,46.50,44.25,46.99,2860
2024-04-03,SMFR.CA,46.99,45.99,44.65,46.99,220
2024-04-04,SMFR.CA,46.99,49.00,45.05,48.38,7850
2024-04-07,SMFR.CA,48.38,49.00,46.06,48.38,5790
2024-04-08,SMFR.CA,48.38,49.49,47.00,48.38,610
2024-04-15,SMFR.CA,48.38,49.90,47.00,48.38,3240
2024-04-16,SMFR.CA,48.38,48.01,47.10,48.38,4820
2024-04-17,SMFR.CA,48.38,47.25,47.25,48.38,690
2024-04-18,SMFR.CA,48.38,47.25,45.50,48.38,3630
2024-04-21,SMFR.CA,48.38,48.18,45.60,48.38,2150
2024-04-22,SMFR.CA,48.38,46.48,45.65,48.38,1250
2024-04-23,SMFR.CA,48.38,46.34,45.15,48.38,1480
2024-04-24,SMFR.CA,48.38,45.00,39.01,48.38,3690
2024-04-28,SMFR.CA,43.00,44.85,39.00,48.38,5800
2024-04-29,SMFR.CA,39.65,43.00,39.01,41.90,12290
2024-04-30,SMFR.CA,41.90,44.00,39.00,41.90,4550
2024-05-01,SMFR.CA,35.20,41.00,33.65,36.84,8700
2024-05-02,SMFR.CA,35.52,38.19,35.52,36.84,1550
2024-05-07,SMFR.CA,37.90,38.35,37.00,36.84,2080
2024-05-08,SMFR.CA,37.02,37.20,36.00,36.84,2250
2024-05-09,SMFR.CA,36.20,37.50,36.20,36.84,5280
2024-05-12,SMFR.CA,37.32,38.99,33.90,36.84,4340
2024-05-13,SMFR.CA,35.00,38.13,31.55,36.84,8310
2024-05-14,SMFR.CA,37.66,39.80,37.00,36.84,3500
2024-05-15,SMFR.CA,37.36,37.55,37.20,36.84,3030
2024-05-16,SMFR.CA,37.43,44.20,37.42,43.90,16810
2024-05-19,SMFR.CA,44.30,52.68,44.30,48.55,34210
2024-05-20,SMFR.CA,48.50,49.49,43.16,44.67,13350
2024-05-21,SMFR.CA,44.99,47.00,44.00,45.80,19040
2024-05-22,SMFR.CA,45.50,45.50,44.01,45.80,3790
2024-05-23,SMFR.CA,44.80,45.50,44.04,45.80,3130
2024-05-26,SMFR.CA,43.40,45.10,43.00,44.16,9340
2024-05-27,SMFR.CA,44.98,44.98,43.57,44.16,5220
2024-05-28,SMFR.CA,44.70,44.99,43.62,44.68,8660
2024-05-29,SMFR.CA,44.81,46.00,44.30,45.22,7910
2024-05-30,SMFR.CA,45.26,46.30,45.22,45.22,3470
2024-06-02,SMFR.CA,45.23,46.29,43.62,45.22,7050
2024-06-03,SMFR.CA,46.10,46.10,44.00,44.43,11680
2024-06-04,SMFR.CA,45.85,46.10,44.50,45.88,11900
2024-06-05,SMFR.CA,45.91,46.99,44.74,46.86,34880
2024-06-06,SMFR.CA,45.43,45.43,40.00,42.61,23280
2024-06-09,SMFR.CA,41.33,42.00,39.01,40.02,10830
2024-06-10,SMFR.CA,39.00,40.77,38.11,39.18,8060
2024-06-11,SMFR.CA,40.80,42.00,40.80,41.37,8700
2024-06-12,SMFR.CA,41.37,43.00,41.01,42.76,12230
