Date,Ticker,Open,High,Low,Close,Volume
2024-01-03,SMPP.CA,93.06,93.06,93.06,93.06,0
2024-01-15,SMPP.CA,103.00,103.00,103.00,103.00,0
2024-01-22,SMPP.CA,103.00,103.00,100.00,100.00,240
2024-01-29,SMPP.CA,101.00,101.00,101.00,101.00,30
2024-01-31,SMPP.CA,101.00,110.00,101.00,110.00,20
2024-02-05,SMPP.CA,110.00,108.00,108.00,108.00,0
2024-02-07,SMPP.CA,110.00,108.00,108.00,108.00,0
2024-02-12,SMPP.CA,110.00,108.00,108.00,108.00,0
2024-02-14,SMPP.CA,108.00,90.05,90.05,90.05,10
2024-02-19,SMPP.CA,108.00,90.05,90.05,90.05,0
2024-02-21,SMPP.CA,108.00,90.05,90.05,90.05,0
2024-02-26,SMPP.CA,90.05,108.00,92.01,108.00,10
2024-02-28,SMPP.CA,108.00,92.02,92.02,92.02,20
2024-03-04,SMPP.CA,92.02,92.10,92.10,92.10,10
2024-03-06,SMPP.CA,92.02,92.10,92.10,92.10,0
2024-04-15,SMPP.CA,92.02,92.10,92.10,92.10,0
2024-04-17,SMPP.CA,92.02,92.10,92.10,92.10,0
2024-04-22,SMPP.CA,92.02,92.10,92.10,92.10,0
2024-04-24,SMPP.CA,92.10,42.42,42.37,42.37,80
2024-04-29,SMPP.CA,92.10,42.37,42.37,42.37,0
2024-05-01,SMPP.CA,92.10,105.00,92.10,105.00,10
2024-05-08,SMPP.CA,105.00,105.00,50.00,50.00,0
2024-05-13,SMPP.CA,105.00,50.00,50.00,50.00,0
2024-05-15,SMPP.CA,105.00,50.00,50.00,50.00,0
2024-05-20,SMPP.CA,105.00,50.00,50.00,50.00,0
2024-05-22,SMPP.CA,105.00,50.00,50.00,50.00,0
2024-05-27,SMPP.CA,105.00,105.00,104.99,105.00,20
2024-05-29,SMPP.CA,105.00,105.00,105.00,105.00,30
2024-06-03,SMPP.CA,105.00,105.00,105.00,105.00,0
2024-06-05,SMPP.CA,105.00,105.00,105.00,105.00,0
