Date,Ticker,Open,High,Low,Close,Volume
2024-01-03,SNFI.CA,5.210,5.210,5.030,5.200,44610
2024-01-08,SNFI.CA,5.390,5.390,5.200,5.300,21510
2024-01-10,SNFI.CA,5.300,5.590,5.300,5.520,58710
2024-01-15,SNFI.CA,5.530,5.650,5.410,5.600,24390
2024-01-17,SNFI.CA,5.120,5.590,5.030,5.260,31470
2024-01-22,SNFI.CA,5.500,5.600,5.310,5.350,37710
2024-01-24,SNFI.CA,5.540,7.000,5.330,5.810,54560
2024-01-29,SNFI.CA,6.990,7.000,5.600,6.620,40550
2024-01-31,SNFI.CA,5.600,7.400,5.600,6.900,124950
2024-02-05,SNFI.CA,6.900,7.490,6.250,6.420,21480
2024-02-07,SNFI.CA,6.420,6.900,6.000,6.220,26240
2024-02-12,SNFI.CA,6.220,6.700,6.010,6.270,10350
2024-02-14,SNFI.CA,6.270,6.150,5.950,5.950,11010
2024-02-19,SNFI.CA,5.950,6.250,5.800,6.000,20810
2024-02-21,SNFI.CA,6.000,6.250,5.730,6.190,23750
2024-02-26,SNFI.CA,6.190,6.170,6.000,6.000,5290
2024-02-28,SNFI.CA,6.000,5.750,5.710,5.750,10460
2024-03-04,SNFI.CA,5.750,5.990,5.410,5.900,5650
2024-03-06,SNFI.CA,5.900,6.280,5.700,5.700,6610
2024-03-11,SNFI.CA,5.700,6.200,5.800,6.000,21240
2024-03-13,SNFI.CA,6.000,6.000,5.700,5.710,12700
2024-03-18,SNFI.CA,5.710,5.700,5.250,5.690,21590
2024-03-20,SNFI.CA,5.690,5.400,4.610,5.290,14710
2024-03-25,SNFI.CA,5.290,5.450,4.900,5.430,32590
2024-03-27,SNFI.CA,5.430,5.430,5.200,5.200,14010
2024-04-01,SNFI.CA,5.200,5.110,4.500,4.750,42310
2024-04-03,SNFI.CA,4.750,4.980,4.750,4.820,31610
2024-04-08,SNFI.CA,4.820,5.270,5.000,5.270,11350
2024-04-15,SNFI.CA,5.270,5.890,5.120,5.120,14070
2024-04-17,SNFI.CA,5.120,5.390,5.140,5.140,5750
2024-04-22,SNFI.CA,5.140,5.260,5.100,5.250,17700
2024-04-24,SNFI.CA,5.250,5.100,4.000,4.440,65100
2024-04-29,SNFI.CA,4.500,4.600,4.400,4.400,7100
2024-05-01,SNFI.CA,4.500,4.500,4.070,4.400,6390
2024-05-08,SNFI.CA,4.540,4.840,4.540,4.840,15180
2024-05-13,SNFI.CA,4.600,4.850,4.500,4.830,5130
2024-05-15,SNFI.CA,4.830,4.830,4.610,4.610,1000
2024-05-20,SNFI.CA,4.610,4.850,4.510,4.510,6500
2024-05-22,SNFI.CA,4.500,5.000,4.500,5.000,22590
2024-05-27,SNFI.CA,5.020,5.500,4.800,5.500,10620
2024-05-29,SNFI.CA,5.450,5.450,4.900,4.970,27200
2024-06-03,SNFI.CA,4.970,4.970,4.700,4.700,13670
2024-06-05,SNFI.CA,4.750,4.750,4.520,4.600,14450
2024-06-10,SNFI.CA,4.600,4.600,4.350,4.350,1450
2024-06-12,SNFI.CA,4.610,4.610,4.410,4.420,26450
2024-06-24,SNFI.CA,4.900,4.900,4.550,4.700,3320
2024-06-26,SNFI.CA,4.890,4.900,4.610,4.610,6000
2024-07-01,SNFI.CA,4.800,4.800,4.800,4.800,1260
2024-07-03,SNFI.CA,4.900,4.950,4.830,4.830,24470
2024-07-08,SNFI.CA,5.000,5.000,4.800,4.810,12110
2024-07-10,SNFI.CA,4.700,4.750,4.700,4.750,2860
2024-07-15,SNFI.CA,4.760,4.990,4.750,4.990,3140
