Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,SUGR.CA,47.26,47.34,46.50,46.84,118880
2026-01-05,SUGR.CA,46.63,46.80,46.30,46.36,85040
2026-01-06,SUGR.CA,46.48,46.79,46.36,46.60,84380
2026-01-08,SUGR.CA,47.28,47.28,46.00,46.11,129870
2026-01-11,SUGR.CA,46.59,46.59,45.80,46.01,208540
2026-01-12,SUGR.CA,46.65,46.65,45.90,45.96,95900
2026-01-13,SUGR.CA,46.24,46.24,45.71,45.75,98530
2026-01-14,SUGR.CA,45.71,45.90,45.10,45.21,141680
2026-01-15,SUGR.CA,45.21,45.50,45.12,45.38,54980
2026-01-18,SUGR.CA,46.00,46.18,45.35,45.55,61550
2026-01-19,SUGR.CA,45.91,45.91,45.40,45.54,61250
2026-01-20,SUGR.CA,46.00,46.08,45.54,45.94,88900
2026-01-21,SUGR.CA,46.00,47.40,45.97,46.50,292350
2026-01-22,SUGR.CA,47.00,51.48,46.80,51.15,2840000
2026-01-25,SUGR.CA,51.75,51.79,50.60,50.60,971170
2026-01-26,SUGR.CA,50.50,51.00,48.51,50.39,608400
2026-01-27,SUGR.CA,50.55,51.10,48.85,49.00,361910
2026-01-28,SUGR.CA,49.05,49.48,47.00,47.12,561040
2026-02-01,SUGR.CA,47.13,48.30,46.35,47.50,423670
2026-02-02,SUGR.CA,48.44,50.00,47.45,48.28,635140
2026-02-03,SUGR.CA,48.79,49.18,48.00,48.52,642100
2026-02-04,SUGR.CA,49.00,50.19,48.88,49.05,1340000
2026-02-05,SUGR.CA,49.44,50.10,48.70,49.10,710530
2026-02-08,SUGR.CA,49.87,49.87,48.50,48.60,656410
2026-02-09,SUGR.CA,48.60,48.60,47.41,47.49,571220
2026-02-10,SUGR.CA,47.69,47.70,47.04,47.09,319160
2026-02-11,SUGR.CA,47.09,47.48,47.09,47.19,139930
2026-02-12,SUGR.CA,47.36,47.44,47.10,47.38,112250
2026-02-15,SUGR.CA,47.51,47.97,47.47,47.61,122420
2026-02-16,SUGR.CA,47.70,48.50,47.53,47.61,221580
2026-02-17,SUGR.CA,47.75,48.38,47.50,47.95,186360
2026-02-18,SUGR.CA,48.37,48.49,47.81,48.01,206040
2026-02-19,SUGR.CA,48.20,48.45,47.11,47.20,190130
2026-02-22,SUGR.CA,47.32,47.65,46.00,46.57,125430
2026-02-23,SUGR.CA,46.60,47.00,46.58,46.91,50350
2026-02-24,SUGR.CA,47.49,48.17,46.65,46.87,80730
2026-02-25,SUGR.CA,47.50,47.60,46.09,46.54,87810
2026-02-26,SUGR.CA,47.01,47.19,46.20,46.49,49360
2026-03-01,SUGR.CA,45.00,45.49,43.50,45.38,205800
2026-03-02,SUGR.CA,45.40,45.90,45.20,45.51,72920
2026-03-03,SUGR.CA,45.51,46.25,45.40,45.77,65130
2026-03-04,SUGR.CA,46.00,47.00,45.60,46.48,108140
2026-03-05,SUGR.CA,46.74,46.74,46.40,46.57,64120
2026-03-08,SUGR.CA,46.50,48.25,46.40,48.25,207300
2026-03-09,SUGR.CA,49.00,49.49,47.60,48.75,488110
2026-03-10,SUGR.CA,49.01,49.98,48.61,48.69,382010
2026-03-11,SUGR.CA,49.00,49.18,48.50,48.52,107610
