Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,SVCE.CA,1.799,1.844,1.771,1.809,927150
2024-01-03,SVCE.CA,1.830,2.140,1.830,2.069,14570000
2024-01-04,SVCE.CA,2.100,2.143,2.020,2.045,4980000
2024-01-08,SVCE.CA,2.110,2.110,2.020,2.030,2920000
2024-01-09,SVCE.CA,2.040,2.060,2.030,2.040,1790000
2024-01-10,SVCE.CA,2.070,2.220,2.040,2.100,6100000
2024-01-11,SVCE.CA,2.150,2.250,2.130,2.150,5110000
2024-01-14,SVCE.CA,2.210,2.400,2.150,2.290,6480000
2024-01-15,SVCE.CA,2.310,2.420,2.300,2.300,3840000
2024-01-16,SVCE.CA,2.350,2.540,2.300,2.380,5660000
2024-01-17,SVCE.CA,2.400,2.440,2.250,2.260,2870000
2024-01-18,SVCE.CA,2.300,2.560,2.270,2.440,6750000
2024-01-21,SVCE.CA,2.490,2.660,2.490,2.510,4930000
2024-01-22,SVCE.CA,2.550,2.570,2.410,2.430,2980000
2024-01-23,SVCE.CA,2.480,2.510,2.410,2.410,1940000
2024-01-24,SVCE.CA,2.410,2.570,2.360,2.430,2630000
2024-01-28,SVCE.CA,2.520,2.520,2.410,2.420,1450000
2024-01-29,SVCE.CA,2.480,2.480,2.300,2.360,2250000
2024-01-30,SVCE.CA,2.370,2.430,2.320,2.330,1300000
2024-01-31,SVCE.CA,2.390,2.400,2.100,2.140,2690000
2024-02-01,SVCE.CA,2.140,2.250,1.900,2.230,1090000
2024-02-04,SVCE.CA,2.230,2.280,2.170,2.200,744220
2024-02-05,SVCE.CA,2.200,2.370,2.240,2.290,643780
2024-02-06,SVCE.CA,2.290,2.350,2.210,2.230,1340000
2024-02-07,SVCE.CA,2.230,2.280,2.180,2.250,831920
2024-02-08,SVCE.CA,2.250,2.320,2.170,2.200,1390000
2024-02-11,SVCE.CA,2.200,2.330,2.210,2.230,1410000
2024-02-12,SVCE.CA,2.230,2.300,2.190,2.240,2060000
2024-02-13,SVCE.CA,2.240,2.450,2.220,2.350,4860000
2024-02-14,SVCE.CA,2.350,2.550,2.400,2.470,7100000
2024-02-15,SVCE.CA,2.470,2.540,2.440,2.460,2850000
2024-02-18,SVCE.CA,2.460,2.590,2.470,2.580,3680000
2024-02-19,SVCE.CA,2.580,2.660,2.520,2.530,4570000
2024-02-20,SVCE.CA,2.530,2.570,2.490,2.510,2750000
2024-02-21,SVCE.CA,2.510,2.560,2.470,2.500,2080000
2024-02-22,SVCE.CA,2.500,2.800,2.550,2.640,9950000
2024-02-25,SVCE.CA,2.640,3.160,2.510,2.900,11400000
