Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,TANM.CA,1.900,2.042,1.900,1.992,292100
2024-01-03,TANM.CA,2.050,2.058,1.925,1.992,216250
2024-01-04,TANM.CA,2.042,2.042,1.958,1.992,59970
2024-01-08,TANM.CA,1.992,2.017,1.967,1.992,59450
2024-01-09,TANM.CA,2.050,2.050,1.942,1.992,80930
2024-01-10,TANM.CA,1.992,2.033,1.958,2.008,426170
2024-01-11,TANM.CA,2.050,2.108,2.008,2.083,320300
2024-01-14,TANM.CA,2.067,2.333,2.033,2.300,845620
2024-01-15,TANM.CA,2.367,2.383,2.283,2.317,244350
2024-01-16,TANM.CA,2.308,2.325,2.192,2.242,277940
2024-01-17,TANM.CA,2.217,2.283,2.150,2.175,223940
2024-01-18,TANM.CA,2.217,2.217,2.133,2.175,45070
2024-01-21,TANM.CA,2.167,2.408,2.167,2.333,405860
2024-01-22,TANM.CA,2.333,2.350,2.208,2.333,84330
2024-01-23,TANM.CA,2.308,2.308,2.167,2.250,161740
2024-01-24,TANM.CA,2.250,2.308,2.183,2.250,60000
2024-01-28,TANM.CA,2.250,2.317,2.183,2.250,75580
2024-01-29,TANM.CA,2.250,2.408,2.208,2.300,284330
2024-01-30,TANM.CA,2.233,2.400,2.233,2.283,214750
2024-01-31,TANM.CA,2.308,2.417,2.167,2.250,221060
2024-02-01,TANM.CA,2.250,2.317,2.092,2.250,116440
2024-02-04,TANM.CA,2.250,2.242,2.142,2.250,47040
2024-02-05,TANM.CA,2.250,2.275,2.175,2.250,55590
2024-02-06,TANM.CA,2.250,2.417,2.250,2.317,294600
2024-02-07,TANM.CA,2.317,2.358,2.258,2.292,138160
2024-02-08,TANM.CA,2.292,2.292,2.208,2.292,78110
2024-02-11,TANM.CA,2.292,2.333,2.258,2.292,50070
2024-02-12,TANM.CA,2.292,2.400,2.292,2.292,115240
2024-02-13,TANM.CA,2.292,2.400,2.333,2.292,106730
2024-02-14,TANM.CA,2.292,2.500,2.350,2.417,189000
2024-02-15,TANM.CA,2.417,2.425,2.358,2.417,120310
2024-02-18,TANM.CA,2.417,2.900,2.417,2.900,2060000
2024-02-19,TANM.CA,2.900,3.283,2.958,3.083,1600000
2024-02-20,TANM.CA,3.083,3.250,2.942,2.992,585600
2024-02-21,TANM.CA,2.992,3.208,2.875,3.025,846150
2024-02-22,TANM.CA,3.025,3.458,3.100,3.167,1600000
2024-02-25,TANM.CA,3.167,3.167,2.858,2.942,737950
2024-02-26,TANM.CA,2.942,3.000,2.792,2.900,635180
2024-02-27,TANM.CA,2.900,3.058,2.817,2.883,418750
2024-02-28,TANM.CA,2.883,2.892,2.600,2.675,343790
2024-02-29,TANM.CA,2.675,2.750,2.525,2.625,200150
2024-03-03,TANM.CA,2.625,2.658,2.433,2.467,463530
2024-03-04,TANM.CA,2.467,2.825,2.475,2.725,2280000
2024-03-05,TANM.CA,2.725,2.842,2.583,2.625,730790
2024-03-06,TANM.CA,2.625,2.708,2.425,2.500,610430
2024-03-07,TANM.CA,2.500,2.600,2.425,2.492,169990
