Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,TAQA.CA,14.49,14.49,13.90,13.90,5310000
2026-01-05,TAQA.CA,13.95,14.02,13.61,13.62,4100000
2026-01-06,TAQA.CA,13.71,13.87,13.62,13.62,3310000
2026-01-08,TAQA.CA,13.72,13.72,13.39,13.41,1710000
2026-01-11,TAQA.CA,13.50,13.56,13.37,13.37,1080000
2026-01-12,TAQA.CA,13.43,13.50,13.10,13.10,1950000
2026-01-13,TAQA.CA,13.20,13.24,12.92,12.99,1240000
2026-01-14,TAQA.CA,13.09,13.09,12.61,12.81,1080000
2026-01-15,TAQA.CA,12.85,12.99,12.40,12.51,1460000
2026-01-18,TAQA.CA,12.66,12.91,12.66,12.77,339200
2026-01-19,TAQA.CA,12.80,12.88,12.70,12.75,707240
2026-01-20,TAQA.CA,12.80,13.04,12.65,12.69,1400000
2026-01-21,TAQA.CA,12.72,12.90,12.65,12.82,1030000
2026-01-22,TAQA.CA,12.85,12.97,12.76,12.79,1060000
2026-01-25,TAQA.CA,12.84,12.95,12.77,12.80,874870
2026-01-26,TAQA.CA,12.86,12.86,12.70,12.70,587380
2026-01-27,TAQA.CA,12.66,12.77,12.66,12.70,486870
2026-01-28,TAQA.CA,12.70,12.95,12.49,12.53,1890000
2026-02-01,TAQA.CA,12.54,12.63,12.15,12.45,1700000
2026-02-02,TAQA.CA,12.50,12.77,12.38,12.74,1730000
2026-02-03,TAQA.CA,12.79,12.88,12.70,12.80,1010000
2026-02-04,TAQA.CA,12.81,12.87,12.66,12.80,1160000
2026-02-05,TAQA.CA,12.80,12.83,12.54,12.63,961990
2026-02-08,TAQA.CA,12.65,12.76,12.65,12.72,531020
2026-02-09,TAQA.CA,12.74,13.05,12.74,12.92,2020000
2026-02-10,TAQA.CA,12.93,13.13,12.90,12.99,1160000
2026-02-11,TAQA.CA,13.04,13.08,12.79,12.80,734670
2026-02-12,TAQA.CA,12.80,13.00,12.78,12.90,818720
2026-02-15,TAQA.CA,12.96,13.17,12.87,13.01,2220000
2026-02-16,TAQA.CA,13.03,13.15,12.83,12.83,733740
2026-02-17,TAQA.CA,12.85,13.04,12.80,12.82,1160000
2026-02-18,TAQA.CA,12.85,12.96,12.84,12.90,395820
2026-02-19,TAQA.CA,12.95,12.99,12.55,12.67,792110
2026-02-22,TAQA.CA,12.68,12.79,12.20,12.47,936770
2026-02-23,TAQA.CA,12.50,12.67,12.47,12.52,1000000
2026-02-24,TAQA.CA,12.56,12.65,12.48,12.53,472470
2026-02-25,TAQA.CA,12.56,12.62,12.26,12.44,673910
2026-02-26,TAQA.CA,12.34,12.63,12.34,12.60,474320
2026-03-01,TAQA.CA,12.00,12.26,11.60,12.20,938110
2026-03-02,TAQA.CA,12.22,12.37,12.15,12.17,412280
2026-03-03,TAQA.CA,12.17,13.13,12.08,12.73,3390000
2026-03-04,TAQA.CA,12.83,13.38,12.74,13.20,3400000
2026-03-05,TAQA.CA,13.26,13.42,13.11,13.13,2180000
2026-03-08,TAQA.CA,13.40,13.67,13.30,13.44,4480000
2026-03-09,TAQA.CA,13.67,13.74,13.40,13.40,2730000
2026-03-10,TAQA.CA,13.60,13.68,13.28,13.28,2180000
2026-03-11,TAQA.CA,13.30,13.39,13.18,13.25,801220
2026-03-12,TAQA.CA,13.39,13.41,13.20,13.23,764740
2026-03-15,TAQA.CA,13.25,13.33,12.95,13.01,1320000
2026-03-16,TAQA.CA,12.98,13.06,12.78,12.88,703740
2026-03-17,TAQA.CA,12.88,12.95,12.85,12.91,303040
2026-03-18,TAQA.CA,12.92,13.13,12.91,12.99,717880
2026-03-24,TAQA.CA,13.05,13.32,12.98,13.21,1840000
2026-03-25,TAQA.CA,13.25,13.35,13.10,13.12,1170000
2026-03-26,TAQA.CA,13.14,13.24,13.02,13.07,356300
2026-03-29,TAQA.CA,13.12,13.24,12.85,13.20,1100000
2026-03-30,TAQA.CA,13.21,13.63,13.10,13.14,6330000
2026-03-31,TAQA.CA,13.15,13.52,13.15,13.33,3300000
2026-04-01,TAQA.CA,13.36,13.43,13.11,13.23,1390000
2026-04-02,TAQA.CA,13.23,13.46,13.17,13.24,1820000
2026-04-05,TAQA.CA,13.33,13.33,13.16,13.17,958320
2026-04-06,TAQA.CA,13.17,13.29,13.13,13.14,605860
2026-04-07,TAQA.CA,13.15,13.22,13.06,13.12,737420
2026-04-08,TAQA.CA,13.15,13.26,13.10,13.13,858320
2026-04-09,TAQA.CA,13.22,13.22,13.00,13.00,1100000
2026-04-12,TAQA.CA,13.13,13.00,13.00,13.00,1100000
2026-04-14,TAQA.CA,13.04,13.12,13.04,13.05,427410
2026-04-15,TAQA.CA,13.07,13.13,12.97,12.97,1620000
2026-04-16,TAQA.CA,13.05,13.30,12.97,13.10,1910000
2026-04-19,TAQA.CA,13.12,13.19,13.04,13.06,938210
2026-04-20,TAQA.CA,13.06,13.12,12.97,12.99,748850
2026-04-21,TAQA.CA,12.99,13.10,12.95,12.97,1030000
2026-04-22,TAQA.CA,13.09,13.40,13.02,13.20,3110000
2026-04-23,TAQA.CA,13.30,13.67,13.23,13.49,5740000
2026-04-26,TAQA.CA,13.68,13.89,13.57,13.64,4790000
2026-04-27,TAQA.CA,13.66,13.71,13.51,13.55,1100000
2026-04-28,TAQA.CA,13.57,13.85,13.54,13.67,2890000
2026-04-29,TAQA.CA,13.79,13.79,13.60,13.70,1460000
2026-04-30,TAQA.CA,13.81,13.88,13.60,13.67,2330000
2026-05-03,TAQA.CA,13.75,14.05,13.70,13.93,4730000
2026-05-04,TAQA.CA,13.95,14.05,13.71,13.85,1840000
2026-05-05,TAQA.CA,13.94,13.94,13.40,13.60,1520000
2026-05-06,TAQA.CA,13.69,13.75,13.46,13.55,1020000
2026-05-10,TAQA.CA,13.57,13.67,13.49,13.55,676360
2026-05-11,TAQA.CA,13.62,13.80,13.61,13.77,1470000
2026-05-12,TAQA.CA,13.80,13.99,13.77,13.77,1810000
2026-05-13,TAQA.CA,13.80,13.90,13.65,13.65,1410000
2026-05-14,TAQA.CA,13.70,14.25,13.70,14.07,6160000
2026-05-17,TAQA.CA,14.31,14.35,14.02,14.02,2600000
2026-05-18,TAQA.CA,14.02,14.07,13.67,13.67,2060000
2026-05-19,TAQA.CA,13.70,13.80,13.50,13.55,1200000
2026-05-20,TAQA.CA,13.55,13.66,13.15,13.22,1170000
2026-05-21,TAQA.CA,13.25,13.50,13.07,13.32,1290000
2026-05-24,TAQA.CA,13.36,13.66,13.20,13.59,985410
2026-05-25,TAQA.CA,13.60,13.69,13.40,13.42,747420
2026-06-01,TAQA.CA,13.45,13.70,13.45,13.60,794840
2026-06-02,TAQA.CA,13.67,13.84,13.60,13.75,1540000
2026-06-03,TAQA.CA,13.83,14.20,13.82,14.02,4040000
2026-06-04,TAQA.CA,14.15,14.72,14.11,14.72,6120000
2026-06-07,TAQA.CA,14.80,14.89,14.46,14.53,3310000
2026-06-08,TAQA.CA,14.48,14.86,14.42,14.50,3120000
2026-06-09,TAQA.CA,14.60,14.70,14.51,14.55,1820000
2026-06-10,TAQA.CA,14.59,16.03,14.43,15.38,16940000
2026-06-11,TAQA.CA,15.66,16.60,15.20,15.65,14980000
2026-06-14,TAQA.CA,16.87,16.99,15.82,15.82,10730000
2026-06-15,TAQA.CA,16.01,16.18,15.51,15.60,5410000
2026-06-16,TAQA.CA,15.69,15.69,15.13,15.30,4440000
2026-06-17,TAQA.CA,15.45,15.96,15.20,15.59,5300000
2026-06-21,TAQA.CA,15.89,15.97,15.40,15.43,2900000
