Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,TMGH.CA,24.43,24.73,24.17,24.33,1790000
2024-01-03,TMGH.CA,24.34,24.65,24.15,24.24,1130000
2024-01-04,TMGH.CA,24.30,24.46,23.77,23.99,1750000
2024-01-08,TMGH.CA,24.00,24.18,23.60,23.65,1200000
2024-01-09,TMGH.CA,23.81,24.15,23.65,23.88,1020000
2024-01-10,TMGH.CA,24.00,24.15,23.75,23.91,792270
2024-01-11,TMGH.CA,23.99,24.06,23.60,23.60,1290000
2024-01-14,TMGH.CA,24.50,25.72,24.25,25.01,4660000
2024-01-15,TMGH.CA,25.32,26.05,25.10,25.32,2610000
2024-01-16,TMGH.CA,25.45,29.75,25.11,28.30,9520000
2024-01-17,TMGH.CA,28.66,29.48,27.80,28.00,4420000
2024-01-18,TMGH.CA,28.39,28.46,27.75,28.10,1020000
2024-01-21,TMGH.CA,28.30,31.48,28.11,31.48,4630000
2024-01-22,TMGH.CA,31.50,33.32,30.80,32.85,4110000
2024-01-23,TMGH.CA,32.98,33.20,31.00,32.05,1550000
2024-01-24,TMGH.CA,32.10,35.20,32.01,34.75,1810000
2024-01-28,TMGH.CA,34.99,36.86,33.81,35.04,6490000
2024-01-29,TMGH.CA,35.43,36.00,33.80,33.99,2920000
2024-01-30,TMGH.CA,34.44,39.00,34.44,38.95,5580000
2024-01-31,TMGH.CA,38.85,39.00,33.00,33.00,9470000
2024-02-01,TMGH.CA,33.00,35.10,32.00,33.90,8360000
2024-02-04,TMGH.CA,33.90,34.90,32.20,34.00,5390000
2024-02-05,TMGH.CA,34.00,39.20,34.07,37.50,8500000
2024-02-06,TMGH.CA,37.50,45.00,36.40,44.60,10720000
2024-02-07,TMGH.CA,44.60,48.25,43.03,46.00,15440000
2024-02-08,TMGH.CA,46.00,46.90,42.01,43.00,9210000
2024-02-11,TMGH.CA,43.00,45.75,42.81,43.25,6490000
2024-02-12,TMGH.CA,43.25,46.40,42.00,45.20,9590000
2024-02-13,TMGH.CA,45.20,48.00,44.82,45.55,6620000
2024-02-14,TMGH.CA,45.55,46.20,44.31,44.42,2390000
2024-02-15,TMGH.CA,44.42,46.65,44.50,45.26,8040000
2024-02-18,TMGH.CA,45.26,46.19,45.00,45.25,2450000
2024-02-19,TMGH.CA,45.25,49.55,45.04,48.31,11980000
2024-02-20,TMGH.CA,48.31,50.39,47.80,48.00,8090000
2024-02-21,TMGH.CA,48.00,49.50,48.00,48.06,2290000
2024-02-22,TMGH.CA,48.06,48.55,47.10,47.10,1910000
2024-02-25,TMGH.CA,47.10,56.52,46.80,56.52,10730000
2024-02-26,TMGH.CA,56.52,67.82,54.20,62.26,17170000
2024-02-27,TMGH.CA,62.26,73.49,62.10,64.50,13150000
2024-02-28,TMGH.CA,64.50,69.50,62.80,66.00,8170000
2024-02-29,TMGH.CA,66.00,66.90,63.52,66.90,3340000
2024-03-03,TMGH.CA,66.90,73.99,66.99,72.80,8680000
2024-03-04,TMGH.CA,72.80,86.50,73.33,84.03,12050000
2024-03-05,TMGH.CA,84.03,91.40,76.70,79.99,19830000
2024-03-06,TMGH.CA,79.99,82.80,71.51,71.51,13180000
2024-03-07,TMGH.CA,71.51,75.70,67.00,75.70,11390000
2024-03-10,TMGH.CA,75.70,82.00,77.01,77.11,7630000
2024-03-11,TMGH.CA,77.11,79.20,73.56,73.85,5910000
2024-03-12,TMGH.CA,73.85,78.20,70.51,78.00,5460000
2024-03-13,TMGH.CA,78.00,81.00,74.01,77.98,8380000
2024-03-14,TMGH.CA,77.98,80.00,74.00,77.03,6090000
2024-03-17,TMGH.CA,77.03,78.60,75.65,76.00,3200000
2024-03-18,TMGH.CA,76.00,76.90,68.30,68.39,7430000
2024-03-19,TMGH.CA,68.39,67.99,61.30,64.11,9190000
2024-03-20,TMGH.CA,64.11,67.00,64.12,64.55,5070000
2024-03-21,TMGH.CA,64.55,66.26,60.32,62.40,8530000
2024-03-24,TMGH.CA,62.40,63.60,57.00,59.80,9050000
2024-03-25,TMGH.CA,59.80,61.00,58.03,60.95,6460000
2024-03-26,TMGH.CA,60.95,61.90,59.00,60.38,5690000
2024-03-27,TMGH.CA,60.38,60.90,58.05,58.98,2950000
2024-03-28,TMGH.CA,58.98,60.60,55.59,58.49,6420000
2024-03-31,TMGH.CA,58.49,62.00,55.90,61.50,4800000
2024-04-01,TMGH.CA,61.50,66.28,59.63,65.21,11960000
2024-04-02,TMGH.CA,65.21,67.49,64.00,64.00,6570000
2024-04-03,TMGH.CA,64.00,64.80,63.10,64.60,2970000
2024-04-04,TMGH.CA,64.60,68.00,64.40,68.00,5020000
2024-04-07,TMGH.CA,68.00,69.00,63.00,63.50,2180000
2024-04-08,TMGH.CA,63.50,65.99,63.06,65.09,1950000
2024-04-15,TMGH.CA,65.09,70.40,65.05,68.62,6270000
2024-04-16,TMGH.CA,68.62,69.85,66.53,66.87,3370000
2024-04-17,TMGH.CA,66.87,69.48,66.80,68.57,10350000
2024-04-18,TMGH.CA,68.57,69.75,61.10,65.05,10870000
2024-04-21,TMGH.CA,65.05,66.40,64.16,64.16,3510000
2024-04-22,TMGH.CA,64.16,65.50,62.20,62.50,4410000
2024-04-23,TMGH.CA,62.50,62.99,58.50,58.50,5670000
2024-04-24,TMGH.CA,58.50,58.98,53.50,56.49,7040000
2024-04-28,TMGH.CA,57.08,57.50,51.00,51.00,3350000
2024-04-29,TMGH.CA,52.03,58.00,52.03,58.00,7910000
2024-04-30,TMGH.CA,58.50,58.87,51.00,51.02,8810000
2024-05-01,TMGH.CA,52.90,55.99,52.01,55.06,4930000
2024-05-02,TMGH.CA,55.10,59.00,54.20,59.00,5570000
2024-05-07,TMGH.CA,58.85,59.77,56.60,58.02,4550000
2024-05-08,TMGH.CA,63.50,65.30,61.58,62.35,20010000
2024-05-09,TMGH.CA,62.50,62.50,60.21,61.51,9630000
2024-05-12,TMGH.CA,62.49,62.90,56.00,57.66,7280000
2024-05-13,TMGH.CA,58.12,59.85,55.80,59.50,5380000
2024-05-14,TMGH.CA,59.69,60.98,57.70,59.65,9120000
2024-05-15,TMGH.CA,60.80,60.80,58.53,58.85,7920000
2024-05-16,TMGH.CA,59.03,60.00,58.90,59.65,7130000
2024-05-19,TMGH.CA,60.10,61.50,60.05,60.90,10780000
2024-05-20,TMGH.CA,61.99,63.90,61.50,62.70,14530000
2024-05-21,TMGH.CA,63.00,63.69,61.01,61.05,9940000
2024-05-22,TMGH.CA,61.29,62.00,60.50,60.61,7080000
2024-05-23,TMGH.CA,60.90,61.30,59.40,59.50,8930000
2024-05-26,TMGH.CA,59.95,60.30,59.50,59.89,6190000
2024-05-27,TMGH.CA,60.39,60.39,57.70,58.39,8040000
2024-05-28,TMGH.CA,58.00,58.00,56.00,57.30,7750000
2024-05-29,TMGH.CA,57.98,58.00,56.02,56.76,5630000
2024-05-30,TMGH.CA,57.90,60.00,53.19,54.08,65630000
2024-06-02,TMGH.CA,55.00,55.10,51.53,52.97,7790000
2024-06-03,TMGH.CA,53.10,54.80,53.10,53.91,4340000
2024-06-04,TMGH.CA,54.00,54.39,53.25,53.50,9190000
2024-06-05,TMGH.CA,53.88,53.88,50.00,53.00,13560000
2024-06-06,TMGH.CA,52.50,53.00,51.64,51.85,2070000
2024-06-09,TMGH.CA,52.33,52.50,49.33,49.80,7250000
2024-06-10,TMGH.CA,49.80,50.24,47.40,50.24,11160000
2024-06-11,TMGH.CA,50.50,53.50,50.03,52.40,6880000
2024-06-12,TMGH.CA,52.40,53.40,51.80,53.40,2900000
2024-06-13,TMGH.CA,53.00,54.90,53.00,54.50,5750000
2024-06-23,TMGH.CA,54.66,55.99,54.11,55.65,4090000
2024-06-24,TMGH.CA,55.75,56.50,55.30,55.36,4400000
2024-06-25,TMGH.CA,55.30,58.00,54.35,57.75,6050000
2024-06-26,TMGH.CA,57.75,60.00,57.05,57.06,10920000
2024-06-27,TMGH.CA,57.20,58.00,56.61,56.89,7090000
2024-07-01,TMGH.CA,57.02,58.05,56.45,57.12,5050000
2024-07-02,TMGH.CA,57.70,59.85,57.52,59.00,10480000
2024-07-03,TMGH.CA,59.79,60.94,59.25,60.21,11240000
2024-07-04,TMGH.CA,60.43,60.84,59.91,60.20,3710000
2024-07-07,TMGH.CA,60.50,61.90,60.25,61.21,4200000
2024-07-08,TMGH.CA,61.50,61.79,60.32,60.61,3930000
2024-07-09,TMGH.CA,60.70,62.20,60.50,61.99,5210000
2024-07-10,TMGH.CA,61.99,62.60,60.70,61.00,4370000
2024-07-14,TMGH.CA,61.05,61.47,58.28,58.60,3400000
2024-07-15,TMGH.CA,58.60,59.58,58.32,58.80,2930000
2024-07-16,TMGH.CA,59.00,59.19,57.73,58.03,3020000
2024-07-17,TMGH.CA,58.06,59.40,57.90,59.05,4450000
2024-07-18,TMGH.CA,59.25,59.90,58.58,59.65,3620000
2024-07-21,TMGH.CA,59.68,59.69,58.66,58.68,3200000
2024-07-22,TMGH.CA,58.70,59.37,57.75,58.68,3390000
2024-07-23,TMGH.CA,58.80,58.85,58.00,58.00,2910000
2024-07-24,TMGH.CA,58.10,58.60,57.60,58.14,2870000
2024-07-28,TMGH.CA,58.17,58.36,56.60,56.60,1930000
2024-07-29,TMGH.CA,57.29,57.29,55.11,55.11,3680000
2024-07-30,TMGH.CA,55.31,56.49,55.31,56.03,3280000
2024-07-31,TMGH.CA,56.26,56.49,56.06,56.25,1810000
2024-08-01,TMGH.CA,56.26,56.70,55.51,55.52,1120000
2024-08-04,TMGH.CA,54.96,54.96,53.05,53.66,1880000
2024-08-05,TMGH.CA,53.00,53.44,51.20,52.51,5330000
2024-08-06,TMGH.CA,52.50,54.24,52.50,54.20,1560000
2024-08-07,TMGH.CA,54.20,57.10,54.00,56.35,6070000
2024-08-08,TMGH.CA,56.47,56.95,55.35,56.38,2760000
2024-08-11,TMGH.CA,56.49,60.04,56.49,58.91,8730000
2024-08-12,TMGH.CA,59.39,61.00,58.26,59.65,12560000
2024-08-13,TMGH.CA,59.70,60.78,58.81,59.00,7530000
2024-08-14,TMGH.CA,59.01,59.36,57.81,58.05,3130000
2024-08-15,TMGH.CA,58.25,58.72,57.33,57.70,2550000
2024-08-18,TMGH.CA,58.00,58.35,56.36,56.86,4530000
2024-08-19,TMGH.CA,56.90,57.35,55.62,55.88,4340000
2024-08-20,TMGH.CA,56.10,56.97,55.60,56.80,5440000
2024-08-21,TMGH.CA,57.00,57.18,55.84,55.92,5800000
