Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,UNIP.CA,0.303,0.310,0.297,0.298,143340000
2026-01-05,UNIP.CA,0.301,0.304,0.283,0.294,120900000
2026-01-06,UNIP.CA,0.296,0.304,0.295,0.300,79530000
2026-01-08,UNIP.CA,0.304,0.308,0.299,0.308,113350000
2026-01-11,UNIP.CA,0.316,0.323,0.314,0.319,222360000
2026-01-12,UNIP.CA,0.323,0.326,0.309,0.311,164700000
2026-01-13,UNIP.CA,0.311,0.311,0.290,0.295,160410000
2026-01-14,UNIP.CA,0.296,0.297,0.282,0.286,90650000
2026-01-15,UNIP.CA,0.287,0.292,0.279,0.281,76500000
2026-01-18,UNIP.CA,0.285,0.293,0.284,0.290,82400000
2026-01-19,UNIP.CA,0.292,0.294,0.288,0.293,82560000
2026-01-20,UNIP.CA,0.294,0.297,0.289,0.290,63420000
2026-01-21,UNIP.CA,0.289,0.290,0.284,0.289,39830000
2026-01-22,UNIP.CA,0.291,0.293,0.287,0.287,68440000
2026-01-25,UNIP.CA,0.288,0.289,0.283,0.284,41270000
2026-01-26,UNIP.CA,0.284,0.285,0.279,0.279,72890000
2026-01-27,UNIP.CA,0.280,0.281,0.273,0.274,38930000
2026-01-28,UNIP.CA,0.275,0.278,0.269,0.275,77980000
2026-02-01,UNIP.CA,0.274,0.285,0.270,0.285,33400000
2026-02-02,UNIP.CA,0.286,0.287,0.280,0.285,21870000
2026-02-03,UNIP.CA,0.286,0.293,0.282,0.292,52520000
2026-02-04,UNIP.CA,0.291,0.293,0.287,0.289,33670000
2026-02-05,UNIP.CA,0.290,0.292,0.281,0.286,35960000
2026-02-08,UNIP.CA,0.286,0.298,0.285,0.292,98280000
2026-02-09,UNIP.CA,0.295,0.298,0.291,0.296,75350000
2026-02-10,UNIP.CA,0.297,0.299,0.292,0.292,35580000
2026-02-11,UNIP.CA,0.294,0.308,0.290,0.299,153150000
2026-02-12,UNIP.CA,0.301,0.302,0.295,0.297,45140000
2026-02-15,UNIP.CA,0.299,0.299,0.296,0.297,37360000
2026-02-16,UNIP.CA,0.297,0.299,0.282,0.288,55730000
2026-02-17,UNIP.CA,0.290,0.290,0.283,0.286,29770000
2026-02-18,UNIP.CA,0.288,0.302,0.286,0.296,80440000
2026-02-19,UNIP.CA,0.297,0.299,0.288,0.288,34350000
2026-02-22,UNIP.CA,0.288,0.288,0.280,0.284,30360000
2026-02-23,UNIP.CA,0.283,0.287,0.279,0.283,21650000
2026-02-24,UNIP.CA,0.285,0.285,0.280,0.281,19520000
2026-02-25,UNIP.CA,0.281,0.281,0.272,0.272,30370000
2026-02-26,UNIP.CA,0.273,0.275,0.267,0.272,35690000
2026-03-01,UNIP.CA,0.252,0.264,0.242,0.263,22680000
2026-03-02,UNIP.CA,0.264,0.269,0.260,0.261,23990000
2026-03-03,UNIP.CA,0.265,0.265,0.257,0.260,26170000
2026-03-04,UNIP.CA,0.260,0.263,0.257,0.260,48520000
2026-03-05,UNIP.CA,0.262,0.265,0.261,0.262,26750000
2026-03-08,UNIP.CA,0.263,0.266,0.259,0.263,41050000
2026-03-09,UNIP.CA,0.265,0.269,0.263,0.264,28380000
2026-03-10,UNIP.CA,0.268,0.275,0.268,0.275,44300000
2026-03-11,UNIP.CA,0.276,0.277,0.272,0.276,21650000
2026-03-12,UNIP.CA,0.275,0.276,0.271,0.272,15230000
2026-03-15,UNIP.CA,0.272,0.275,0.267,0.268,13550000
2026-03-16,UNIP.CA,0.270,0.270,0.265,0.266,11840000
2026-03-17,UNIP.CA,0.266,0.269,0.265,0.267,6460000
2026-03-18,UNIP.CA,0.268,0.273,0.266,0.271,16080000
2026-03-24,UNIP.CA,0.272,0.273,0.270,0.271,10780000
2026-03-25,UNIP.CA,0.271,0.274,0.270,0.272,11360000
2026-03-26,UNIP.CA,0.272,0.272,0.268,0.269,21010000
2026-03-29,UNIP.CA,0.269,0.269,0.266,0.267,7720000
2026-03-30,UNIP.CA,0.268,0.269,0.258,0.260,43180000
2026-03-31,UNIP.CA,0.260,0.262,0.257,0.258,11990000
2026-04-01,UNIP.CA,0.260,0.278,0.260,0.275,68070000
2026-04-02,UNIP.CA,0.275,0.276,0.270,0.272,26720000
2026-04-05,UNIP.CA,0.273,0.275,0.269,0.272,46860000
2026-04-06,UNIP.CA,0.274,0.276,0.272,0.276,18690000
2026-04-07,UNIP.CA,0.275,0.276,0.271,0.271,21330000
2026-04-08,UNIP.CA,0.275,0.276,0.273,0.273,18760000
2026-04-09,UNIP.CA,0.274,0.275,0.271,0.275,15010000
2026-04-12,UNIP.CA,0.273,0.275,0.275,0.275,15010000
2026-04-14,UNIP.CA,0.276,0.281,0.273,0.277,28030000
2026-04-15,UNIP.CA,0.277,0.283,0.277,0.281,92700000
2026-04-16,UNIP.CA,0.283,0.284,0.278,0.279,61910000
2026-04-19,UNIP.CA,0.281,0.283,0.279,0.283,27040000
2026-04-20,UNIP.CA,0.284,0.284,0.279,0.281,16320000
2026-04-21,UNIP.CA,0.281,0.285,0.280,0.280,29290000
2026-04-22,UNIP.CA,0.281,0.283,0.279,0.281,25510000
2026-04-23,UNIP.CA,0.281,0.291,0.280,0.286,84000000
2026-04-26,UNIP.CA,0.288,0.295,0.287,0.294,53320000
2026-04-27,UNIP.CA,0.296,0.296,0.291,0.293,24470000
2026-04-28,UNIP.CA,0.294,0.294,0.288,0.289,39960000
2026-04-29,UNIP.CA,0.289,0.293,0.287,0.290,27440000
2026-04-30,UNIP.CA,0.291,0.291,0.287,0.287,28880000
2026-05-03,UNIP.CA,0.287,0.289,0.286,0.287,9770000
2026-05-04,UNIP.CA,0.288,0.291,0.283,0.291,37200000
2026-05-05,UNIP.CA,0.290,0.290,0.286,0.287,14580000
2026-05-06,UNIP.CA,0.288,0.289,0.285,0.285,15450000
2026-05-10,UNIP.CA,0.285,0.288,0.285,0.287,11390000
2026-05-11,UNIP.CA,0.287,0.288,0.285,0.287,13080000
2026-05-12,UNIP.CA,0.287,0.290,0.287,0.288,22440000
2026-05-13,UNIP.CA,0.289,0.293,0.288,0.291,33240000
2026-05-14,UNIP.CA,0.291,0.292,0.288,0.288,23220000
2026-05-17,UNIP.CA,0.288,0.294,0.287,0.289,40630000
2026-05-18,UNIP.CA,0.290,0.300,0.286,0.296,148310000
2026-05-19,UNIP.CA,0.298,0.299,0.288,0.292,33140000
2026-05-20,UNIP.CA,0.292,0.294,0.282,0.282,29100000
2026-05-21,UNIP.CA,0.282,0.286,0.282,0.285,14290000
2026-05-24,UNIP.CA,0.285,0.288,0.283,0.285,9830000
2026-05-25,UNIP.CA,0.286,0.288,0.283,0.285,10860000
2026-06-01,UNIP.CA,0.288,0.289,0.285,0.289,14810000
2026-06-02,UNIP.CA,0.290,0.291,0.288,0.290,16970000
2026-06-03,UNIP.CA,0.290,0.294,0.289,0.291,28640000
2026-06-04,UNIP.CA,0.293,0.319,0.291,0.310,299460000
2026-06-07,UNIP.CA,0.315,0.334,0.312,0.326,201590000
2026-06-08,UNIP.CA,0.327,0.327,0.315,0.319,50780000
2026-06-09,UNIP.CA,0.320,0.325,0.308,0.319,51810000
2026-06-10,UNIP.CA,0.319,0.338,0.316,0.317,180120000
2026-06-11,UNIP.CA,0.318,0.325,0.316,0.316,51830000
2026-06-14,UNIP.CA,0.324,0.328,0.319,0.320,53530000
2026-06-15,UNIP.CA,0.323,0.326,0.319,0.322,23370000
2026-06-16,UNIP.CA,0.337,0.349,0.334,0.336,232790000
2026-06-17,UNIP.CA,0.339,0.341,0.332,0.332,62330000
2026-06-21,UNIP.CA,0.335,0.340,0.333,0.338,33600000
2026-06-22,UNIP.CA,0.338,0.338,0.327,0.330,33920000
2026-06-23,UNIP.CA,0.330,0.333,0.287,0.324,74280000
2026-06-24,UNIP.CA,0.316,0.319,0.302,0.317,26470000
