Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,UNIT.CA,10.76,11.00,10.61,10.95,84930
2026-01-05,UNIT.CA,10.96,11.00,10.76,10.96,130860
2026-01-06,UNIT.CA,10.87,11.13,10.67,10.80,155370
2026-01-08,UNIT.CA,10.86,10.95,10.61,10.70,233800
2026-01-11,UNIT.CA,10.93,10.93,10.41,10.70,23270
2026-01-12,UNIT.CA,10.79,10.93,10.60,10.70,67970
2026-01-13,UNIT.CA,10.85,10.85,10.60,10.68,65920
2026-01-14,UNIT.CA,10.75,10.75,10.11,10.39,78970
2026-01-15,UNIT.CA,10.63,10.63,10.18,10.39,27270
2026-01-18,UNIT.CA,10.60,10.64,10.22,10.56,42210
2026-01-19,UNIT.CA,10.56,10.68,10.44,10.56,28560
2026-01-20,UNIT.CA,10.47,10.56,10.37,10.44,35750
2026-01-21,UNIT.CA,10.26,10.44,10.26,10.44,12160
2026-01-22,UNIT.CA,10.43,10.44,10.20,10.29,42160
2026-01-25,UNIT.CA,10.43,10.43,10.24,10.29,12650
2026-01-26,UNIT.CA,10.24,10.24,10.00,10.29,19240
2026-01-27,UNIT.CA,10.26,10.26,9.20,9.20,446050
2026-01-28,UNIT.CA,9.22,9.43,8.22,8.36,606910
2026-02-01,UNIT.CA,8.94,10.03,8.65,10.03,1300000
2026-02-02,UNIT.CA,10.18,10.39,9.41,9.42,1770000
2026-02-03,UNIT.CA,9.63,9.98,9.43,9.54,713630
2026-02-04,UNIT.CA,9.88,9.90,9.55,9.61,356750
2026-02-05,UNIT.CA,9.61,9.74,9.22,9.37,192330
2026-02-08,UNIT.CA,9.50,9.68,9.42,9.65,224820
2026-02-09,UNIT.CA,9.59,9.84,9.55,9.82,208230
2026-02-10,UNIT.CA,9.80,11.45,9.80,10.71,2160000
2026-02-11,UNIT.CA,10.84,10.85,10.28,10.33,396520
2026-02-12,UNIT.CA,10.31,10.50,10.22,10.38,257780
2026-02-15,UNIT.CA,10.45,10.59,10.36,10.45,103450
2026-02-16,UNIT.CA,10.50,10.50,10.15,10.21,66400
2026-02-17,UNIT.CA,10.15,10.50,10.02,10.22,95140
2026-02-18,UNIT.CA,10.12,10.37,10.01,10.14,57200
2026-02-19,UNIT.CA,10.25,10.34,10.00,10.02,61440
2026-02-22,UNIT.CA,9.80,10.15,9.79,9.81,142810
2026-02-23,UNIT.CA,9.95,10.11,9.53,9.98,107710
2026-02-24,UNIT.CA,10.00,10.38,9.80,10.09,275810
2026-02-25,UNIT.CA,10.13,10.20,9.70,9.89,41140
2026-02-26,UNIT.CA,9.80,9.95,9.23,9.54,68550
2026-03-01,UNIT.CA,8.98,9.26,8.63,9.08,89190
2026-03-02,UNIT.CA,9.01,9.30,9.01,9.08,48540
2026-03-03,UNIT.CA,9.08,9.46,8.90,8.99,56750
2026-03-04,UNIT.CA,9.00,9.27,8.93,8.99,28840
2026-03-05,UNIT.CA,9.24,10.30,9.11,10.06,456570
2026-03-08,UNIT.CA,10.15,10.70,9.99,10.09,343450
2026-03-09,UNIT.CA,10.05,10.05,9.80,9.85,69700
2026-03-10,UNIT.CA,9.85,10.10,9.81,9.85,24920
2026-03-11,UNIT.CA,9.86,10.00,9.86,9.85,14060
2026-03-12,UNIT.CA,9.90,10.18,9.86,9.85,17020
2026-03-15,UNIT.CA,9.90,10.14,9.82,9.89,37090
2026-03-16,UNIT.CA,9.82,10.00,9.80,9.89,7570
2026-03-17,UNIT.CA,9.98,9.98,9.50,9.89,19980
2026-03-18,UNIT.CA,9.65,9.89,9.42,9.89,20600
2026-03-24,UNIT.CA,9.90,9.90,9.63,9.89,8760
2026-03-25,UNIT.CA,9.76,9.88,9.66,9.73,41500
2026-03-26,UNIT.CA,9.73,9.73,9.55,9.60,36600
2026-03-29,UNIT.CA,9.55,9.70,9.45,9.60,9950
2026-03-30,UNIT.CA,9.70,9.70,9.22,9.39,67310
2026-03-31,UNIT.CA,9.20,9.60,9.15,9.35,81140
2026-04-01,UNIT.CA,9.48,10.40,9.27,9.80,234860
2026-04-02,UNIT.CA,9.70,9.90,9.56,9.73,115730
2026-04-05,UNIT.CA,9.63,9.96,9.63,9.81,81540
2026-04-06,UNIT.CA,9.65,10.40,9.65,9.88,251190
2026-04-07,UNIT.CA,9.99,10.32,9.90,10.17,210440
2026-04-08,UNIT.CA,10.05,10.23,10.00,10.04,49060
2026-04-09,UNIT.CA,9.99,10.03,9.75,9.96,32250
2026-04-12,UNIT.CA,10.04,9.96,9.96,9.96,32250
2026-04-14,UNIT.CA,9.96,10.14,9.85,10.02,46990
2026-04-15,UNIT.CA,10.00,10.12,9.90,10.00,81960
2026-04-16,UNIT.CA,10.00,10.22,9.10,10.14,161330
2026-04-19,UNIT.CA,10.04,10.94,10.04,10.48,350030
2026-04-20,UNIT.CA,10.19,10.60,10.19,10.31,34940
2026-04-21,UNIT.CA,10.27,10.85,10.27,10.54,155340
2026-04-22,UNIT.CA,10.65,10.65,10.31,10.49,50840
2026-04-23,UNIT.CA,10.30,10.58,10.30,10.49,32230
2026-04-26,UNIT.CA,10.50,10.83,10.39,10.44,135580
2026-04-27,UNIT.CA,10.60,10.60,10.41,10.44,4130
2026-04-28,UNIT.CA,10.50,10.59,10.02,10.19,147120
2026-04-29,UNIT.CA,10.15,10.45,10.15,10.33,63790
2026-04-30,UNIT.CA,10.17,10.46,10.17,10.41,43260
2026-05-03,UNIT.CA,10.41,10.58,10.31,10.38,50380
2026-05-04,UNIT.CA,10.38,10.70,10.38,10.51,73470
2026-05-05,UNIT.CA,10.45,11.35,10.44,11.10,646690
2026-05-06,UNIT.CA,11.11,11.47,11.08,11.13,216610
2026-05-10,UNIT.CA,11.20,11.59,10.95,11.51,260460
2026-05-11,UNIT.CA,11.31,11.83,11.01,11.51,162060
2026-05-12,UNIT.CA,11.46,13.81,11.28,13.38,4460000
2026-05-13,UNIT.CA,13.34,13.34,12.84,13.06,400780
2026-05-14,UNIT.CA,13.16,14.09,13.10,13.13,939950
2026-05-17,UNIT.CA,13.21,13.52,12.50,12.56,182540
2026-05-18,UNIT.CA,12.60,12.75,12.07,12.61,302590
2026-05-19,UNIT.CA,12.25,14.40,12.25,13.29,826090
2026-05-20,UNIT.CA,13.50,13.78,12.33,12.54,224100
2026-05-21,UNIT.CA,12.50,13.99,12.50,12.79,479120
2026-05-24,UNIT.CA,12.85,13.19,12.62,12.78,64400
2026-05-25,UNIT.CA,12.95,13.47,12.50,12.92,187750
2026-06-01,UNIT.CA,13.47,14.30,13.17,13.53,604490
2026-06-02,UNIT.CA,13.84,15.30,13.35,14.72,1780000
2026-06-03,UNIT.CA,14.86,15.80,14.25,14.29,2150000
2026-06-04,UNIT.CA,14.47,14.88,13.80,13.83,543110
2026-06-07,UNIT.CA,13.84,14.70,13.56,13.75,565610
2026-06-08,UNIT.CA,13.75,14.48,13.54,14.19,752730
2026-06-09,UNIT.CA,14.30,14.47,13.80,13.88,616420
2026-06-10,UNIT.CA,13.82,14.95,13.61,13.85,631240
2026-06-11,UNIT.CA,13.88,13.98,13.30,13.68,131390
2026-06-14,UNIT.CA,13.90,14.19,13.73,13.82,90240
2026-06-15,UNIT.CA,13.94,14.00,13.40,13.48,97240
2026-06-16,UNIT.CA,13.67,13.86,13.30,13.64,185210
2026-06-17,UNIT.CA,13.55,13.89,13.43,13.82,195030
2026-06-21,UNIT.CA,13.88,13.98,13.60,13.70,56170
2026-06-22,UNIT.CA,13.77,13.78,13.11,13.32,57760
2026-06-23,UNIT.CA,13.56,13.59,13.12,13.26,47930
2026-06-24,UNIT.CA,13.37,13.37,13.01,13.09,154860
