Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,WKOL.CA,314.00,318.00,313.00,313.80,3580
2026-01-05,WKOL.CA,316.00,316.00,305.00,305.61,12240
2026-01-06,WKOL.CA,306.01,315.99,306.00,307.29,7260
2026-01-08,WKOL.CA,306.57,313.00,301.01,303.92,5880
2026-01-11,WKOL.CA,311.75,311.75,302.00,302.66,3340
2026-01-12,WKOL.CA,302.66,309.85,302.03,303.00,4900
2026-01-13,WKOL.CA,303.11,304.00,290.66,291.64,7170
2026-01-14,WKOL.CA,290.90,291.00,265.02,276.51,8040
2026-01-15,WKOL.CA,281.01,287.00,275.00,276.51,15000
2026-01-18,WKOL.CA,280.00,282.00,277.00,277.21,2580
2026-01-19,WKOL.CA,277.21,281.75,276.02,278.04,1610
2026-01-20,WKOL.CA,279.50,281.50,272.30,273.29,6610
2026-01-21,WKOL.CA,275.00,276.00,270.00,271.23,5400
2026-01-22,WKOL.CA,273.00,299.50,270.06,285.13,51460
2026-01-25,WKOL.CA,285.16,295.00,280.06,281.78,8910
2026-01-26,WKOL.CA,287.90,287.90,278.00,280.66,5770
2026-01-27,WKOL.CA,280.00,281.90,276.21,278.10,1720
2026-01-28,WKOL.CA,279.79,280.00,260.15,268.75,7840
2026-02-01,WKOL.CA,269.89,279.96,268.75,274.18,1330
2026-02-02,WKOL.CA,272.10,282.00,271.02,273.30,15670
2026-02-03,WKOL.CA,278.90,287.99,273.61,279.90,21610
2026-02-04,WKOL.CA,284.00,289.00,282.00,283.46,7780
2026-02-05,WKOL.CA,284.42,284.42,277.00,277.47,6090
2026-02-08,WKOL.CA,277.02,283.99,276.00,278.69,2990
2026-02-09,WKOL.CA,276.51,280.90,275.00,276.43,2580
2026-02-10,WKOL.CA,279.00,279.50,274.68,275.12,4020
2026-02-11,WKOL.CA,276.85,277.00,274.67,274.90,2510
2026-02-12,WKOL.CA,273.00,285.00,273.00,276.41,3460
2026-02-15,WKOL.CA,280.00,280.00,274.00,274.61,4390
2026-02-16,WKOL.CA,275.23,277.20,268.00,268.97,6360
2026-02-17,WKOL.CA,272.99,272.99,265.00,265.45,6140
2026-02-18,WKOL.CA,266.00,279.22,265.00,273.04,25330
2026-02-19,WKOL.CA,273.04,276.99,265.31,266.08,4510
2026-02-22,WKOL.CA,269.21,270.00,262.31,263.49,5220
2026-02-23,WKOL.CA,262.32,272.00,261.01,262.04,8010
2026-02-24,WKOL.CA,262.40,268.74,261.15,261.51,4390
2026-02-25,WKOL.CA,266.99,266.99,253.00,254.96,5410
2026-02-26,WKOL.CA,253.05,254.59,246.00,247.40,3590
2026-03-01,WKOL.CA,245.00,245.00,226.00,232.75,3800
2026-03-02,WKOL.CA,235.00,264.98,235.00,251.98,22300
2026-03-03,WKOL.CA,255.49,259.79,248.00,251.17,2490
2026-03-04,WKOL.CA,251.17,255.00,248.00,248.89,2700
2026-03-05,WKOL.CA,249.00,262.00,248.10,252.58,3900
2026-03-08,WKOL.CA,252.16,253.97,250.00,250.72,1750
2026-03-09,WKOL.CA,250.03,276.00,250.00,260.99,33340
2026-03-10,WKOL.CA,258.28,270.00,258.28,259.91,4290
2026-03-11,WKOL.CA,259.91,284.70,259.91,282.54,46410
2026-03-12,WKOL.CA,286.30,309.00,286.30,287.86,66320
2026-03-15,WKOL.CA,288.00,298.49,284.01,286.04,22220
2026-03-16,WKOL.CA,285.00,287.00,279.50,279.84,8120
2026-03-17,WKOL.CA,279.50,297.25,279.50,289.66,18160
2026-03-18,WKOL.CA,290.99,292.80,285.20,287.51,3890
2026-03-24,WKOL.CA,290.00,290.00,285.00,285.32,1530
2026-03-25,WKOL.CA,287.00,310.00,285.00,294.57,25600
2026-03-26,WKOL.CA,294.57,301.00,287.81,289.02,9920
2026-03-29,WKOL.CA,292.00,304.40,288.68,288.97,12050
2026-03-30,WKOL.CA,298.65,298.65,285.00,287.08,2470
2026-03-31,WKOL.CA,285.16,295.00,285.00,285.10,2330
2026-04-01,WKOL.CA,290.99,290.99,275.00,283.00,5490
2026-04-02,WKOL.CA,288.94,288.94,281.22,283.00,880
2026-04-05,WKOL.CA,283.00,287.00,281.22,283.60,5570
2026-04-06,WKOL.CA,284.99,296.00,281.23,281.88,10830
2026-04-07,WKOL.CA,282.35,289.50,281.88,283.11,5550
2026-04-08,WKOL.CA,288.00,288.00,282.65,283.17,3280
2026-04-09,WKOL.CA,285.96,285.96,281.00,281.12,4200
2026-04-12,WKOL.CA,283.17,281.12,281.12,281.12,4200
2026-04-14,WKOL.CA,281.70,284.95,240.00,281.04,27990
2026-04-15,WKOL.CA,281.40,286.00,278.20,279.03,18100
2026-04-16,WKOL.CA,280.10,287.00,278.00,279.09,19230
2026-04-19,WKOL.CA,282.00,285.00,279.12,280.46,6230
2026-04-20,WKOL.CA,280.51,283.00,278.61,279.11,10430
2026-04-21,WKOL.CA,280.40,281.00,277.00,277.00,9910
2026-04-22,WKOL.CA,280.00,280.00,274.02,274.66,13150
2026-04-23,WKOL.CA,278.80,285.00,273.12,275.52,39150
2026-04-26,WKOL.CA,276.99,282.00,274.51,274.97,16920
2026-04-27,WKOL.CA,275.01,293.99,275.00,282.28,44900
2026-04-28,WKOL.CA,282.28,285.10,278.00,279.17,21720
2026-04-29,WKOL.CA,282.15,282.15,279.25,279.96,12900
2026-04-30,WKOL.CA,280.00,335.89,279.70,330.00,296750
2026-05-03,WKOL.CA,347.90,364.60,316.51,317.10,262760
2026-05-04,WKOL.CA,318.00,333.00,302.02,314.97,87910
2026-05-05,WKOL.CA,314.97,329.00,302.25,312.67,46090
2026-05-06,WKOL.CA,319.00,349.97,317.00,318.11,140070
2026-05-10,WKOL.CA,319.56,323.00,315.00,315.96,21600
2026-05-11,WKOL.CA,339.99,339.99,312.00,314.33,12020
2026-05-12,WKOL.CA,315.99,318.50,310.10,317.54,16550
2026-05-13,WKOL.CA,321.50,324.00,310.00,314.99,38130
2026-05-14,WKOL.CA,316.00,319.60,310.00,311.00,19070
2026-05-17,WKOL.CA,310.00,315.00,307.00,307.19,13270
2026-05-18,WKOL.CA,310.94,310.94,300.13,301.65,8750
2026-05-19,WKOL.CA,309.00,309.00,302.25,303.66,6120
2026-05-20,WKOL.CA,303.05,307.90,292.00,292.76,12880
2026-05-21,WKOL.CA,295.01,299.90,292.00,292.06,9370
2026-05-24,WKOL.CA,294.99,298.00,293.20,295.62,4690
2026-05-25,WKOL.CA,293.70,310.00,290.00,293.01,13640
2026-06-01,WKOL.CA,295.00,303.99,293.03,296.18,3330
2026-06-02,WKOL.CA,296.18,302.96,294.17,297.61,6540
2026-06-03,WKOL.CA,300.00,302.80,296.00,296.19,14740
2026-06-04,WKOL.CA,296.20,300.00,294.00,295.83,8300
2026-06-07,WKOL.CA,296.20,296.20,293.00,294.60,2820
2026-06-08,WKOL.CA,291.00,294.99,290.00,292.31,5240
2026-06-09,WKOL.CA,292.31,312.00,291.10,302.82,47660
2026-06-10,WKOL.CA,302.82,307.99,296.00,297.99,14610
2026-06-11,WKOL.CA,296.10,300.00,291.13,291.98,6470
2026-06-14,WKOL.CA,292.99,301.87,290.00,292.50,13910
2026-06-15,WKOL.CA,297.94,297.94,289.50,290.50,8460
2026-06-16,WKOL.CA,294.00,295.00,289.00,289.05,6950
2026-06-17,WKOL.CA,291.00,294.00,285.00,287.66,8030
2026-06-21,WKOL.CA,288.00,292.35,287.66,288.93,1820
2026-06-22,WKOL.CA,291.00,299.89,288.00,289.51,12740
2026-06-23,WKOL.CA,289.10,293.98,288.00,288.18,5910
2026-06-24,WKOL.CA,291.40,291.40,287.20,287.75,1390
