Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,ZMID.CA,3.87,4.10,3.87,4.09,9270000
2024-01-03,ZMID.CA,4.12,4.14,4.05,4.07,7160000
2024-01-04,ZMID.CA,4.11,4.26,4.11,4.17,15780000
2024-01-08,ZMID.CA,4.21,4.25,4.13,4.17,6920000
2024-01-09,ZMID.CA,4.20,4.21,4.13,4.17,5410000
2024-01-10,ZMID.CA,4.18,4.19,4.11,4.12,4510000
2024-01-11,ZMID.CA,4.12,4.19,4.10,4.12,7950000
2024-01-14,ZMID.CA,4.16,4.25,4.16,4.19,8270000
2024-01-15,ZMID.CA,4.21,4.25,4.16,4.17,8910000
2024-01-16,ZMID.CA,4.19,4.20,4.13,4.14,8890000
2024-01-17,ZMID.CA,4.17,4.18,4.01,4.02,9680000
2024-01-18,ZMID.CA,4.04,4.09,4.02,4.04,4630000
2024-01-21,ZMID.CA,4.07,4.13,4.04,4.07,9730000
2024-01-22,ZMID.CA,4.11,4.39,4.10,4.33,47790000
2024-01-23,ZMID.CA,4.41,4.44,4.25,4.26,29010000
2024-01-24,ZMID.CA,4.28,4.31,4.17,4.20,10260000
2024-01-28,ZMID.CA,4.25,4.28,4.18,4.18,9690000
2024-01-29,ZMID.CA,4.20,4.26,4.11,4.17,9200000
2024-01-30,ZMID.CA,4.17,4.28,4.14,4.28,10620000
2024-01-31,ZMID.CA,4.38,4.50,3.99,4.08,44740000
2024-02-01,ZMID.CA,4.08,4.22,3.88,4.22,11440000
2024-02-04,ZMID.CA,4.22,4.54,4.17,4.52,30210000
2024-02-05,ZMID.CA,4.52,4.70,4.42,4.60,48070000
2024-02-06,ZMID.CA,4.60,4.61,4.41,4.44,20500000
2024-02-07,ZMID.CA,4.44,4.60,4.33,4.39,27990000
2024-02-08,ZMID.CA,4.39,4.59,4.41,4.49,15860000
2024-02-11,ZMID.CA,4.49,4.59,4.33,4.38,15470000
2024-02-12,ZMID.CA,4.38,4.44,4.30,4.36,11170000
2024-02-13,ZMID.CA,4.36,4.51,4.36,4.44,16090000
2024-02-14,ZMID.CA,4.44,4.62,4.46,4.62,24660000
2024-02-15,ZMID.CA,4.62,4.68,4.54,4.56,22990000
2024-02-18,ZMID.CA,4.56,4.83,4.61,4.72,38760000
2024-02-19,ZMID.CA,4.72,4.87,4.70,4.77,30690000
2024-02-20,ZMID.CA,4.77,4.88,4.76,4.78,18430000
2024-02-21,ZMID.CA,4.78,4.82,4.69,4.74,14550000
2024-02-22,ZMID.CA,4.74,4.76,4.66,4.67,10500000
2024-02-25,ZMID.CA,4.67,4.66,4.45,4.45,20440000
2024-02-26,ZMID.CA,4.45,4.58,4.41,4.42,12040000
2024-02-27,ZMID.CA,4.42,4.73,4.45,4.51,16810000
2024-02-28,ZMID.CA,4.51,4.68,4.49,4.49,17240000
2024-02-29,ZMID.CA,4.49,4.54,4.40,4.45,7150000
2024-03-03,ZMID.CA,4.45,4.49,4.36,4.37,4590000
2024-03-04,ZMID.CA,4.37,4.61,4.38,4.58,13960000
2024-03-05,ZMID.CA,4.58,4.68,4.51,4.53,10940000
2024-03-06,ZMID.CA,4.53,4.53,4.31,4.31,9240000
2024-03-07,ZMID.CA,4.31,4.40,4.14,4.23,5350000
2024-03-10,ZMID.CA,4.23,4.38,4.25,4.32,8900000
2024-03-11,ZMID.CA,4.32,4.36,4.14,4.15,5960000
2024-03-12,ZMID.CA,4.15,4.19,4.02,4.04,2790000
2024-03-13,ZMID.CA,4.04,4.12,3.82,3.82,3400000
2024-03-14,ZMID.CA,3.82,3.93,3.76,3.93,2710000
2024-03-17,ZMID.CA,3.93,4.03,3.86,3.89,2580000
2024-03-18,ZMID.CA,3.89,3.90,3.54,3.55,4440000
2024-03-19,ZMID.CA,3.55,3.69,3.41,3.54,4330000
2024-03-20,ZMID.CA,3.54,3.67,3.55,3.59,3470000
2024-03-21,ZMID.CA,3.59,3.75,3.56,3.75,3290000
2024-03-24,ZMID.CA,3.75,3.80,3.65,3.66,3730000
2024-03-25,ZMID.CA,3.66,3.80,3.65,3.79,2960000
2024-03-26,ZMID.CA,3.79,3.83,3.72,3.72,2710000
2024-03-27,ZMID.CA,3.72,3.74,3.57,3.61,2420000
2024-03-28,ZMID.CA,3.61,3.61,3.47,3.51,2940000
2024-03-31,ZMID.CA,3.51,3.57,3.20,3.29,2430000
2024-04-01,ZMID.CA,3.29,3.51,3.32,3.48,2710000
2024-04-02,ZMID.CA,3.48,3.51,3.41,3.43,2530000
2024-04-03,ZMID.CA,3.43,3.48,3.38,3.44,2150000
2024-04-04,ZMID.CA,3.44,3.59,3.47,3.59,4370000
2024-04-07,ZMID.CA,3.59,3.72,3.60,3.64,4410000
2024-04-08,ZMID.CA,3.64,3.66,3.57,3.65,2100000
2024-04-15,ZMID.CA,3.65,3.85,3.61,3.85,8260000
2024-04-16,ZMID.CA,3.85,3.93,3.82,3.85,5180000
2024-04-17,ZMID.CA,3.85,3.92,3.81,3.84,5690000
2024-04-18,ZMID.CA,3.84,3.90,3.54,3.69,5710000
2024-04-21,ZMID.CA,3.69,3.83,3.62,3.79,6860000
2024-04-22,ZMID.CA,3.79,4.06,3.85,3.99,12350000
2024-04-23,ZMID.CA,3.99,4.02,3.70,3.70,9940000
2024-04-24,ZMID.CA,3.70,3.80,3.54,3.66,5550000
2024-04-28,ZMID.CA,3.70,3.70,3.44,3.46,3480000
2024-04-29,ZMID.CA,3.44,3.57,3.44,3.57,3720000
2024-04-30,ZMID.CA,3.58,3.59,3.17,3.17,5400000
2024-05-01,ZMID.CA,3.19,3.40,3.09,3.35,5450000
2024-05-02,ZMID.CA,3.35,3.48,3.27,3.38,3540000
2024-05-07,ZMID.CA,3.38,3.43,3.22,3.43,2270000
2024-05-08,ZMID.CA,3.46,3.48,3.30,3.33,2320000
2024-05-09,ZMID.CA,3.34,3.36,3.27,3.34,2310000
2024-05-12,ZMID.CA,3.35,3.36,3.19,3.20,1740000
2024-05-13,ZMID.CA,3.19,3.23,2.65,3.19,10360000
2024-05-14,ZMID.CA,3.18,3.22,3.06,3.11,4290000
2024-05-15,ZMID.CA,3.12,3.22,3.07,3.12,5110000
2024-05-16,ZMID.CA,3.15,3.20,3.10,3.19,4680000
2024-05-19,ZMID.CA,3.21,3.29,3.21,3.29,5540000
2024-05-20,ZMID.CA,3.33,3.34,3.25,3.29,4710000
2024-05-21,ZMID.CA,3.29,3.32,3.26,3.26,4240000
2024-05-22,ZMID.CA,3.27,3.27,3.22,3.26,5150000
2024-05-23,ZMID.CA,3.26,3.31,3.25,3.27,2970000
2024-05-26,ZMID.CA,3.27,3.34,3.27,3.32,2060000
2024-05-27,ZMID.CA,3.34,3.38,3.26,3.27,5890000
2024-05-28,ZMID.CA,3.20,3.25,3.19,3.23,2940000
2024-05-29,ZMID.CA,3.23,3.26,3.21,3.22,2530000
2024-05-30,ZMID.CA,3.23,3.24,3.19,3.21,2250000
2024-06-02,ZMID.CA,3.22,3.25,3.17,3.21,2970000
2024-06-03,ZMID.CA,3.22,3.25,3.16,3.17,2450000
2024-06-04,ZMID.CA,3.19,3.22,3.17,3.17,2230000
2024-06-05,ZMID.CA,3.18,3.19,3.08,3.13,2490000
2024-06-06,ZMID.CA,3.13,3.15,3.09,3.09,1280000
2024-06-09,ZMID.CA,3.12,3.17,3.03,3.04,1780000
2024-06-10,ZMID.CA,3.05,3.06,2.99,3.00,1610000
2024-06-11,ZMID.CA,3.03,3.25,3.01,3.20,10970000
2024-06-12,ZMID.CA,3.22,3.35,3.22,3.27,13490000
2024-06-13,ZMID.CA,3.32,3.33,3.27,3.33,5400000
2024-06-23,ZMID.CA,3.36,3.43,3.35,3.41,4070000
2024-06-24,ZMID.CA,3.43,3.44,3.34,3.36,5230000
2024-06-25,ZMID.CA,3.36,3.38,3.32,3.38,2750000
2024-06-26,ZMID.CA,3.39,3.46,3.38,3.38,5860000
2024-06-27,ZMID.CA,3.40,3.42,3.38,3.38,4050000
2024-07-01,ZMID.CA,3.41,3.46,3.41,3.43,3640000
2024-07-02,ZMID.CA,3.43,3.48,3.42,3.44,5340000
2024-07-03,ZMID.CA,3.44,3.56,3.43,3.54,14750000
2024-07-04,ZMID.CA,3.56,3.57,3.49,3.51,4130000
2024-07-07,ZMID.CA,3.52,3.55,3.44,3.46,3810000
2024-07-08,ZMID.CA,3.46,3.51,3.42,3.50,6820000
2024-07-09,ZMID.CA,3.51,3.60,3.51,3.54,8800000
2024-07-10,ZMID.CA,3.57,3.57,3.47,3.50,3110000
2024-07-14,ZMID.CA,3.52,3.78,3.50,3.70,21150000
2024-07-15,ZMID.CA,3.72,3.91,3.70,3.89,29620000
2024-07-16,ZMID.CA,3.91,4.00,3.84,3.89,17300000
2024-07-17,ZMID.CA,3.91,3.91,3.81,3.88,8160000
2024-07-18,ZMID.CA,3.91,4.10,3.89,4.04,24550000
2024-07-21,ZMID.CA,4.07,4.09,3.94,3.96,7310000
2024-07-22,ZMID.CA,3.97,4.08,3.95,4.02,6600000
2024-07-23,ZMID.CA,3.99,4.07,3.97,3.99,5290000
2024-07-24,ZMID.CA,3.99,4.05,3.91,3.93,3870000
2024-07-28,ZMID.CA,3.94,3.94,3.85,3.88,2920000
2024-07-29,ZMID.CA,3.90,4.08,3.88,4.02,9500000
2024-07-30,ZMID.CA,4.06,4.06,3.99,4.00,4320000
2024-07-31,ZMID.CA,4.00,4.03,3.96,3.97,4440000
2024-08-01,ZMID.CA,3.98,4.02,3.90,3.91,2960000
2024-08-04,ZMID.CA,3.88,3.88,3.64,3.66,5960000
2024-08-05,ZMID.CA,3.61,3.61,3.20,3.36,9030000
2024-08-06,ZMID.CA,3.46,3.48,3.36,3.43,3030000
2024-08-07,ZMID.CA,3.48,3.52,3.42,3.50,3870000
2024-08-08,ZMID.CA,3.51,3.59,3.47,3.50,5920000
2024-08-11,ZMID.CA,3.58,3.65,3.54,3.62,4260000
2024-08-12,ZMID.CA,3.64,3.66,3.51,3.51,3910000
2024-08-13,ZMID.CA,3.52,3.53,3.43,3.45,4830000
2024-08-14,ZMID.CA,3.50,3.52,3.44,3.46,2770000
2024-08-15,ZMID.CA,3.49,3.53,3.47,3.53,2690000
2024-08-18,ZMID.CA,3.54,3.59,3.53,3.53,3120000
2024-08-19,ZMID.CA,3.56,3.59,3.52,3.59,2230000
2024-08-20,ZMID.CA,3.59,3.64,3.59,3.61,2710000
2024-08-21,ZMID.CA,3.63,3.65,3.59,3.61,3830000
2024-08-22,ZMID.CA,3.61,3.72,3.59,3.67,7100000
2024-08-25,ZMID.CA,3.72,3.74,3.64,3.64,6470000
2024-08-26,ZMID.CA,3.67,3.67,3.54,3.60,7230000
2024-08-27,ZMID.CA,3.60,3.66,3.59,3.60,4650000
2024-08-28,ZMID.CA,3.61,3.67,3.61,3.62,3120000
2024-08-29,ZMID.CA,3.65,3.67,3.61,3.62,2930000
2024-09-01,ZMID.CA,3.64,3.84,3.64,3.79,20060000
2024-09-02,ZMID.CA,3.83,3.88,3.74,3.74,11580000
2024-09-03,ZMID.CA,3.78,3.80,3.72,3.73,2720000
2024-09-04,ZMID.CA,3.72,3.79,3.64,3.75,4620000
2024-09-05,ZMID.CA,3.78,3.89,3.76,3.83,9990000
2024-09-08,ZMID.CA,3.86,3.86,3.75,3.76,6580000
2024-09-09,ZMID.CA,3.80,3.81,3.75,3.76,3130000
2024-09-10,ZMID.CA,3.79,3.79,3.71,3.72,3440000
2024-09-11,ZMID.CA,3.72,3.75,3.67,3.73,2380000
2024-09-12,ZMID.CA,3.75,3.76,3.70,3.73,2780000
2024-09-16,ZMID.CA,3.75,3.80,3.72,3.72,3240000
2024-09-17,ZMID.CA,3.73,3.75,3.66,3.67,1580000
2024-09-18,ZMID.CA,3.67,3.71,3.65,3.65,1700000
2024-09-19,ZMID.CA,3.69,3.82,3.67,3.75,7770000
2024-09-22,ZMID.CA,3.77,3.82,3.76,3.78,4170000
2024-09-23,ZMID.CA,3.80,3.81,3.76,3.76,2930000
2024-09-24,ZMID.CA,3.80,3.90,3.79,3.84,18080000
2024-09-25,ZMID.CA,3.88,3.92,3.86,3.91,11240000
2024-09-26,ZMID.CA,3.93,3.96,3.88,3.89,7370000
2024-09-29,ZMID.CA,3.89,4.00,3.84,3.97,14750000
2024-09-30,ZMID.CA,4.01,4.06,4.00,4.02,10750000
2024-10-01,ZMID.CA,4.03,4.14,4.03,4.08,11990000
2024-10-02,ZMID.CA,4.06,4.06,3.88,3.89,6950000
2024-10-03,ZMID.CA,3.92,4.08,3.89,4.05,12020000
2024-10-07,ZMID.CA,4.11,4.25,4.09,4.09,16470000
2024-10-08,ZMID.CA,4.08,4.12,3.83,3.88,5850000
2024-10-09,ZMID.CA,3.89,4.01,3.85,4.01,4290000
2024-10-10,ZMID.CA,3.99,4.05,3.91,3.91,4160000
2024-10-13,ZMID.CA,3.98,3.99,3.90,3.93,7020000
2024-10-14,ZMID.CA,3.93,4.00,3.82,3.95,4490000
2024-10-15,ZMID.CA,3.96,4.05,3.94,3.96,3130000
2024-10-16,ZMID.CA,3.99,4.02,3.89,3.89,3160000
2024-10-17,ZMID.CA,3.89,3.91,3.83,3.84,3260000
2024-10-20,ZMID.CA,3.84,3.86,3.66,3.66,4110000
2024-10-21,ZMID.CA,3.70,3.76,3.66,3.75,3640000
2024-10-22,ZMID.CA,3.76,3.96,3.75,3.95,4940000
2024-10-23,ZMID.CA,4.06,4.21,3.98,3.99,19400000
