Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,.EGBASC,3829.25,3873.06,3814.97,3824.04,0
2026-01-05,.EGBASC,3824.04,3839.29,3758.98,3786.23,0
2026-01-06,.EGBASC,3786.23,3874.60,3786.23,3872.88,0
2026-01-08,.EGBASC,3872.88,3909.31,3867.01,3873.30,0
2026-01-11,.EGBASC,3873.30,3934.69,3873.30,3919.60,0
2026-01-12,.EGBASC,3919.60,3953.09,3852.10,3880.89,0
2026-01-13,.EGBASC,3880.89,3892.43,3791.40,3791.40,0
2026-01-14,.EGBASC,3791.40,3791.40,3694.23,3729.97,0
2026-01-15,.EGBASC,3729.97,3765.62,3671.58,3693.57,0
2026-01-17,.EGBASC,3729.97,3693.57,3693.57,3693.57,0
2026-01-18,.EGBASC,3693.57,3789.22,3693.57,3784.35,0
2026-01-19,.EGBASC,3784.35,3858.13,3784.35,3850.30,0
2026-01-20,.EGBASC,3850.30,3875.26,3803.25,3835.01,0
2026-01-21,.EGBASC,3835.01,3901.34,3801.67,3890.56,0
2026-01-22,.EGBASC,3890.56,4012.24,3890.56,3997.16,0
2026-01-25,.EGBASC,3997.16,4126.00,3997.16,4050.37,0
2026-01-26,.EGBASC,4050.37,4083.53,4018.71,4031.33,0
2026-01-27,.EGBASC,4031.33,4134.23,4017.58,4134.23,0
2026-01-28,.EGBASC,4134.23,4224.41,4100.59,4127.37,0
2026-02-01,.EGBASC,4127.37,4160.31,4081.46,4159.65,0
2026-02-02,.EGBASC,4159.65,4175.07,4104.21,4175.07,0
2026-02-03,.EGBASC,4175.07,4231.73,4174.46,4203.19,0
2026-02-04,.EGBASC,4203.19,4227.17,4151.67,4188.87,0
2026-02-05,.EGBASC,4188.87,4201.95,4145.45,4151.42,0
2026-02-08,.EGBASC,4151.42,4310.12,4151.42,4303.61,0
2026-02-09,.EGBASC,4303.61,4339.61,4262.48,4277.56,0
2026-02-10,.EGBASC,4277.56,4306.53,4259.63,4276.37,0
2026-02-11,.EGBASC,4276.37,4324.60,4258.47,4261.67,0
2026-02-12,.EGBASC,4261.67,4299.88,4106.98,4276.24,0
2026-02-15,.EGBASC,4276.24,4366.97,4276.24,4366.97,0
2026-02-16,.EGBASC,4366.97,4415.74,4321.40,4329.81,0
2026-02-17,.EGBASC,4329.81,4436.73,4329.81,4395.11,0
2026-02-18,.EGBASC,4395.11,4448.34,4333.41,4382.20,0
2026-02-19,.EGBASC,4382.20,4391.91,4312.69,4321.53,0
2026-02-22,.EGBASC,4321.53,4335.24,4209.39,4278.39,0
2026-02-23,.EGBASC,4278.39,4439.55,4278.39,4418.15,0
2026-02-24,.EGBASC,4418.15,4435.64,4356.44,4356.44,0
2026-02-25,.EGBASC,4356.44,4380.08,4263.27,4288.36,0
2026-02-26,.EGBASC,4288.36,4378.44,4266.13,4369.35,0
