Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,.EGEDUS,7116.86,7130.21,7107.16,7114.12,0
2026-01-05,.EGEDUS,7114.12,7117.17,7064.65,7113.33,0
2026-01-06,.EGEDUS,7113.33,7134.13,7098.28,7101.02,0
2026-01-08,.EGEDUS,7101.02,7112.73,7083.45,7089.63,0
2026-01-11,.EGEDUS,7089.63,7092.31,7059.13,7059.13,0
2026-01-12,.EGEDUS,7059.13,7157.82,7059.13,7079.57,0
2026-01-13,.EGEDUS,7079.57,7101.18,6999.46,7012.23,0
2026-01-14,.EGEDUS,7012.23,7012.23,6771.16,6791.01,0
2026-01-15,.EGEDUS,6791.01,6832.29,6724.35,6737.60,0
2026-01-17,.EGEDUS,6791.01,6737.60,6737.60,6737.60,0
2026-01-18,.EGEDUS,6737.60,6862.79,6737.60,6765.12,0
2026-01-19,.EGEDUS,6765.12,7103.62,6765.12,6868.67,0
2026-01-20,.EGEDUS,6868.67,6955.28,6868.67,6927.50,0
2026-01-21,.EGEDUS,6927.50,6940.01,6872.73,6877.78,0
2026-01-22,.EGEDUS,6877.78,6954.15,6846.13,6846.13,0
2026-01-25,.EGEDUS,6846.13,6916.28,6846.13,6856.86,0
2026-01-26,.EGEDUS,6856.86,6856.86,6802.98,6802.98,0
2026-01-27,.EGEDUS,6802.98,7235.91,6801.31,6877.72,0
2026-01-28,.EGEDUS,6877.72,6903.09,6737.60,6816.57,0
2026-02-01,.EGEDUS,6816.57,6820.29,6764.18,6819.48,0
2026-02-02,.EGEDUS,6819.48,7024.85,6819.48,6928.40,0
2026-02-03,.EGEDUS,6928.40,7089.92,6902.32,7077.62,0
2026-02-04,.EGEDUS,7077.62,7079.56,6953.99,6977.67,0
2026-02-05,.EGEDUS,6977.67,6977.67,6896.27,6903.25,0
2026-02-08,.EGEDUS,6903.25,7018.50,6903.25,7016.28,0
2026-02-09,.EGEDUS,7016.28,7017.10,6912.71,6912.71,0
2026-02-10,.EGEDUS,6912.71,6973.21,6912.07,6914.80,0
2026-02-11,.EGEDUS,6914.80,6985.24,6888.73,6896.99,0
2026-02-12,.EGEDUS,6896.99,6958.70,6896.99,6924.68,0
2026-02-15,.EGEDUS,6924.68,7204.89,6865.34,6865.54,0
2026-02-16,.EGEDUS,6865.54,6865.54,6805.81,6832.46,0
2026-02-17,.EGEDUS,6832.46,6832.46,6789.88,6805.17,0
2026-02-18,.EGEDUS,6805.17,7030.82,6805.17,6919.34,0
2026-02-19,.EGEDUS,6919.34,6969.73,6816.26,6824.47,0
2026-02-22,.EGEDUS,6824.47,6845.88,6719.85,6735.90,0
2026-02-23,.EGEDUS,6735.90,6975.20,6735.90,6856.68,0
2026-02-24,.EGEDUS,6856.68,6930.60,6826.91,6827.22,0
2026-02-25,.EGEDUS,6827.22,6827.41,6643.24,6654.33,0
2026-02-26,.EGEDUS,6654.33,6757.47,6649.32,6739.68,0
2026-03-01,.EGEDUS,6739.68,6739.68,6133.49,6506.06,0
2026-03-02,.EGEDUS,6506.06,6605.92,6506.06,6574.66,0
2026-03-03,.EGEDUS,6574.66,6574.66,6279.99,6515.63,0
2026-03-04,.EGEDUS,6515.63,6569.42,6475.04,6518.54,0
2026-03-05,.EGEDUS,6518.54,6599.51,6512.71,6598.70,0
2026-03-08,.EGEDUS,6598.70,6635.20,6538.15,6580.33,0
2026-03-09,.EGEDUS,6580.33,6588.76,6546.03,6560.08,0
2026-03-10,.EGEDUS,6560.08,6666.32,6556.84,6663.54,0
2026-03-11,.EGEDUS,6663.54,6734.75,6663.54,6723.10,0
2026-03-12,.EGEDUS,6723.10,6773.66,6710.40,6726.05,0
2026-03-15,.EGEDUS,6726.05,6726.05,6593.05,6597.18,0
2026-03-16,.EGEDUS,6597.18,6614.00,6590.59,6606.83,0
2026-03-17,.EGEDUS,6606.83,6617.59,6606.02,6612.71,0
2026-03-18,.EGEDUS,6612.71,6718.87,6604.42,6718.87,0
2026-03-24,.EGEDUS,6718.87,6718.87,6637.21,6686.09,0
2026-03-25,.EGEDUS,6686.09,6691.72,6606.24,6606.24,0
2026-03-26,.EGEDUS,6606.24,6615.76,6573.77,6580.92,0
2026-03-29,.EGEDUS,6580.92,6728.58,6569.34,6708.45,0
2026-03-30,.EGEDUS,6708.45,6708.45,6526.72,6532.49,0
2026-03-31,.EGEDUS,6532.49,6831.10,6532.49,6828.66,0
2026-04-01,.EGEDUS,6828.66,6849.51,6688.70,6702.96,0
2026-04-02,.EGEDUS,6702.96,6939.10,6702.96,6844.22,0
2026-04-05,.EGEDUS,6844.22,7030.10,6844.22,6893.01,0
2026-04-06,.EGEDUS,6893.01,7457.36,6893.01,7435.56,0
2026-04-07,.EGEDUS,7435.56,7467.56,7242.22,7306.37,0
2026-04-08,.EGEDUS,7306.37,7864.64,7304.94,7637.82,0
2026-04-09,.EGEDUS,7637.82,7685.53,7492.11,7496.05,0
2026-04-12,.EGEDUS,7637.82,7496.05,7496.05,7496.05,0
2026-04-14,.EGEDUS,7496.05,7527.68,7430.46,7449.09,0
2026-04-15,.EGEDUS,7449.09,7940.97,7449.09,7737.52,0
2026-04-16,.EGEDUS,7737.52,7866.20,7731.01,7744.59,0
2026-04-19,.EGEDUS,7744.59,8359.83,7744.59,8147.55,0
2026-04-20,.EGEDUS,8147.55,8787.29,8147.55,8607.64,0
2026-04-21,.EGEDUS,8607.64,9543.56,8607.64,9504.40,0
2026-04-22,.EGEDUS,9504.40,10503.84,9504.40,10488.91,0
2026-04-23,.EGEDUS,10488.91,11311.07,9345.02,10027.85,0
