Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,.EGIMCS,2079.91,2123.03,2079.91,2123.03,0
2024-01-03,.EGIMCS,2123.03,2135.32,2118.36,2135.32,0
2024-01-04,.EGIMCS,2135.32,2136.42,2107.65,2109.82,0
2024-01-08,.EGIMCS,2109.82,2118.52,2101.23,2102.91,0
2024-01-09,.EGIMCS,2102.91,2136.31,2102.91,2130.64,0
2024-01-10,.EGIMCS,2130.64,2145.73,2125.63,2125.63,0
2024-01-11,.EGIMCS,2125.63,2136.73,2120.81,2134.65,0
2024-01-14,.EGIMCS,2134.65,2144.41,2129.77,2143.81,0
2024-01-15,.EGIMCS,2143.81,2177.43,2142.36,2147.26,0
2024-01-16,.EGIMCS,2147.26,2180.01,2147.26,2170.74,0
2024-01-17,.EGIMCS,2170.74,2209.90,2170.46,2176.47,0
2024-01-18,.EGIMCS,2176.47,2199.84,2147.76,2157.63,0
2024-01-21,.EGIMCS,2157.63,2176.65,2157.54,2176.65,0
2024-01-22,.EGIMCS,2176.65,2200.54,2145.54,2146.48,0
2024-01-23,.EGIMCS,2146.48,2162.66,2101.85,2108.82,0
2024-01-24,.EGIMCS,2108.82,2118.45,2095.43,2109.91,0
2024-01-28,.EGIMCS,2109.91,2139.97,2101.79,2119.98,0
2024-01-29,.EGIMCS,2119.98,2140.40,2108.11,2133.13,0
2024-01-30,.EGIMCS,2133.13,2141.90,2110.96,2131.82,0
2024-01-31,.EGIMCS,2131.82,2152.01,1965.09,2020.43,0
2024-02-01,.EGIMCS,2020.43,2052.79,1932.80,2047.63,0
2024-02-04,.EGIMCS,2047.63,2050.54,2006.54,2032.17,0
2024-02-05,.EGIMCS,2032.17,2094.64,2032.17,2074.54,0
2024-02-06,.EGIMCS,2074.54,2106.65,2069.04,2096.47,0
2024-02-07,.EGIMCS,2096.47,2152.47,2096.47,2127.73,0
2024-02-08,.EGIMCS,2127.73,2191.05,2127.73,2174.40,0
2024-02-11,.EGIMCS,2174.40,2179.11,2121.01,2121.21,0
2024-02-12,.EGIMCS,2121.21,2124.82,2081.92,2113.12,0
2024-02-13,.EGIMCS,2113.12,2169.52,2113.12,2165.17,0
2024-02-14,.EGIMCS,2165.17,2214.99,2158.57,2189.55,0
2024-02-15,.EGIMCS,2189.55,2209.61,2179.68,2206.46,0
2024-02-18,.EGIMCS,2206.46,2223.17,2190.33,2201.79,0
2024-02-19,.EGIMCS,2201.79,2214.62,2185.37,2203.94,0
2024-02-20,.EGIMCS,2203.94,2233.13,2203.94,2214.58,0
2024-02-21,.EGIMCS,2214.58,2217.97,2183.76,2189.88,0
2024-02-22,.EGIMCS,2189.88,2201.51,2174.49,2181.41,0
2024-02-25,.EGIMCS,2181.41,2181.41,2071.66,2129.93,0
2024-02-26,.EGIMCS,2129.93,2398.50,2121.02,2375.58,0
2024-02-27,.EGIMCS,2375.58,2483.01,2375.58,2446.85,0
2024-02-28,.EGIMCS,2446.85,2654.23,2411.03,2492.83,0
2024-02-29,.EGIMCS,2492.83,2546.23,2417.37,2423.25,0
2024-03-03,.EGIMCS,2423.25,2581.93,2414.85,2543.40,0
2024-03-04,.EGIMCS,2543.40,2593.93,2512.33,2515.24,0
2024-03-05,.EGIMCS,2515.24,2571.93,2453.49,2519.04,0
2024-03-06,.EGIMCS,2519.04,2549.85,2356.10,2356.10,0
2024-03-07,.EGIMCS,2356.10,2428.80,2300.64,2411.09,0
2024-03-10,.EGIMCS,2411.09,2720.75,2411.09,2715.23,0
2024-03-11,.EGIMCS,2715.23,2965.52,2715.23,2882.88,0
2024-03-12,.EGIMCS,2882.88,2978.66,2750.77,2776.40,0
2024-03-13,.EGIMCS,2776.40,2809.66,2570.36,2648.13,0
2024-03-14,.EGIMCS,2648.13,2684.97,2550.94,2661.53,0
2024-03-17,.EGIMCS,2661.53,2770.51,2645.19,2645.19,0
2024-03-18,.EGIMCS,2645.19,2656.75,2426.81,2445.17,0
