Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,.EGSHTS,4079.62,4079.62,3983.72,3993.87,0
2026-01-05,.EGSHTS,3993.87,3997.83,3838.51,3846.91,0
2026-01-06,.EGSHTS,3846.91,3961.36,3846.91,3922.78,0
2026-01-08,.EGSHTS,3922.78,3944.43,3870.62,3887.70,0
2026-01-11,.EGSHTS,3887.70,3902.43,3810.13,3841.32,0
2026-01-12,.EGSHTS,3841.32,3856.60,3763.81,3779.95,0
2026-01-13,.EGSHTS,3779.95,3846.03,3723.53,3775.23,0
2026-01-14,.EGSHTS,3775.23,3791.41,3666.36,3725.49,0
2026-01-15,.EGSHTS,3725.49,3737.27,3581.02,3581.59,0
2026-01-17,.EGSHTS,3725.49,3581.59,3581.59,3581.59,0
2026-01-18,.EGSHTS,3581.59,3741.44,3581.59,3699.98,0
2026-01-19,.EGSHTS,3699.98,3759.16,3683.91,3697.42,0
2026-01-20,.EGSHTS,3697.42,3715.56,3682.51,3693.74,0
2026-01-21,.EGSHTS,3693.74,3840.50,3675.68,3780.89,0
2026-01-22,.EGSHTS,3780.89,3938.68,3780.89,3898.73,0
2026-01-25,.EGSHTS,3898.73,3999.87,3890.08,3903.81,0
2026-01-26,.EGSHTS,3903.81,3906.95,3858.96,3893.63,0
2026-01-27,.EGSHTS,3893.63,4009.34,3851.95,3956.07,0
2026-01-28,.EGSHTS,3956.07,4015.05,3855.62,3855.62,0
2026-02-01,.EGSHTS,3855.62,3910.02,3854.32,3902.63,0
2026-02-02,.EGSHTS,3902.63,3971.88,3902.63,3969.80,0
2026-02-03,.EGSHTS,3969.80,4066.02,3969.80,4014.80,0
2026-02-04,.EGSHTS,4014.80,4127.70,4014.80,4042.58,0
2026-02-05,.EGSHTS,4042.58,4061.15,3972.88,4000.78,0
2026-02-08,.EGSHTS,4000.78,4042.28,3989.86,4001.80,0
2026-02-09,.EGSHTS,4001.80,4038.97,3994.79,4001.43,0
2026-02-10,.EGSHTS,4001.43,4025.23,3978.20,3995.94,0
2026-02-11,.EGSHTS,3995.94,4047.18,3949.32,3949.86,0
2026-02-12,.EGSHTS,3949.86,4046.81,3949.32,3981.96,0
2026-02-15,.EGSHTS,3981.96,4099.44,3981.96,4043.39,0
2026-02-16,.EGSHTS,4043.39,4093.56,3942.61,3946.47,0
2026-02-17,.EGSHTS,3946.47,3960.77,3899.01,3899.01,0
2026-02-18,.EGSHTS,3899.01,3984.18,3896.27,3936.11,0
2026-02-19,.EGSHTS,3936.11,3947.92,3747.56,3759.73,0
2026-02-22,.EGSHTS,3759.73,3789.12,3657.00,3671.00,0
2026-02-23,.EGSHTS,3671.00,3784.13,3671.00,3765.39,0
2026-02-24,.EGSHTS,3765.39,3835.27,3736.10,3744.92,0
2026-02-25,.EGSHTS,3744.92,3762.84,3642.09,3643.69,0
2026-02-26,.EGSHTS,3643.69,3675.61,3634.69,3675.47,0
2026-03-01,.EGSHTS,3675.47,3675.47,3342.31,3607.26,0
2026-03-02,.EGSHTS,3607.26,3634.05,3566.14,3634.05,0
2026-03-03,.EGSHTS,3634.05,3660.53,3557.96,3595.01,0
2026-03-04,.EGSHTS,3595.01,3711.94,3580.58,3593.20,0
2026-03-05,.EGSHTS,3593.20,3724.51,3593.20,3696.48,0
2026-03-08,.EGSHTS,3696.48,4026.56,3696.48,3994.24,0
2026-03-09,.EGSHTS,3994.24,4232.05,3994.24,4208.58,0
2026-03-10,.EGSHTS,4208.58,4215.24,4007.46,4017.32,0
2026-03-11,.EGSHTS,4017.32,4228.71,4016.72,4155.96,0
2026-03-12,.EGSHTS,4155.96,4306.82,4155.96,4175.98,0
2026-03-15,.EGSHTS,4175.98,4324.78,4169.71,4169.71,0
2026-03-16,.EGSHTS,4169.71,4204.80,4060.35,4096.76,0
2026-03-17,.EGSHTS,4096.76,4131.33,4055.55,4063.54,0
2026-03-18,.EGSHTS,4063.54,4066.45,4007.73,4043.38,0
2026-03-24,.EGSHTS,4043.38,4271.20,4043.38,4213.61,0
2026-03-25,.EGSHTS,4213.61,4245.70,4150.90,4173.27,0
2026-03-26,.EGSHTS,4173.27,4187.44,4055.81,4055.81,0
2026-03-29,.EGSHTS,4055.81,4158.67,4020.26,4138.47,0
2026-03-30,.EGSHTS,4138.47,4239.41,4135.23,4154.09,0
2026-03-31,.EGSHTS,4154.09,4241.56,4139.08,4194.84,0
2026-04-01,.EGSHTS,4194.84,4228.21,4157.77,4171.25,0
2026-04-02,.EGSHTS,4171.25,4317.25,4165.40,4263.19,0
2026-04-05,.EGSHTS,4263.19,4314.82,4252.70,4258.18,0
2026-04-06,.EGSHTS,4258.18,4374.35,4234.97,4235.10,0
2026-04-07,.EGSHTS,4235.10,4262.69,4165.29,4172.86,0
2026-04-08,.EGSHTS,4172.86,4305.23,4172.86,4200.85,0
2026-04-09,.EGSHTS,4200.85,4253.67,4130.28,4155.14,0
2026-04-12,.EGSHTS,4200.85,4155.14,4155.14,4155.14,0
2026-04-14,.EGSHTS,4155.14,4174.58,4112.34,4133.03,0
2026-04-15,.EGSHTS,4133.03,4277.83,4133.03,4226.03,0
2026-04-16,.EGSHTS,4226.03,4293.10,4178.99,4190.47,0
2026-04-19,.EGSHTS,4190.47,4200.75,4104.40,4132.60,0
2026-04-20,.EGSHTS,4132.60,4150.52,4029.75,4034.86,0
2026-04-21,.EGSHTS,4034.86,4078.34,4014.57,4016.55,0
2026-04-22,.EGSHTS,4016.55,4129.28,4014.91,4102.02,0
2026-04-23,.EGSHTS,4102.02,4141.81,4080.04,4115.95,0
2026-04-26,.EGSHTS,4115.95,4166.46,4115.95,4143.21,0
2026-04-27,.EGSHTS,4143.21,4193.19,4136.02,4153.66,0
2026-04-28,.EGSHTS,4153.66,4198.77,4148.60,4148.60,0
2026-04-29,.EGSHTS,4148.60,4178.24,4143.67,4166.50,0
2026-04-30,.EGSHTS,4166.50,4203.26,4166.50,4188.64,0
2026-05-03,.EGSHTS,4188.64,4255.39,4188.64,4246.03,0
2026-05-04,.EGSHTS,4246.03,4276.04,4171.73,4194.37,0
2026-05-05,.EGSHTS,4194.37,4194.37,4129.06,4164.38,0
2026-05-06,.EGSHTS,4164.38,4217.26,4142.34,4204.15,0
2026-05-10,.EGSHTS,4204.15,4277.42,4204.15,4272.02,0
2026-05-11,.EGSHTS,4272.02,4287.19,4239.11,4277.97,0
2026-05-12,.EGSHTS,4277.97,4277.97,4215.31,4233.83,0
2026-05-13,.EGSHTS,4233.83,4288.87,4231.65,4254.08,0
2026-05-14,.EGSHTS,4254.08,4321.89,4254.08,4294.84,0
2026-05-17,.EGSHTS,4294.84,4323.08,4236.93,4236.93,0
2026-05-18,.EGSHTS,4254.60,4236.93,4166.18,4180.50,0
2026-05-19,.EGSHTS,4188.67,4204.32,4166.96,4182.33,0
2026-05-20,.EGSHTS,4182.33,4188.70,4072.28,4072.28,0
2026-05-21,.EGSHTS,4072.28,4100.32,4069.70,4091.74,0
2026-05-24,.EGSHTS,4091.74,4179.69,4091.74,4155.17,0
2026-05-25,.EGSHTS,4155.17,4231.78,4146.83,4221.88,0
2026-06-01,.EGSHTS,4221.88,4397.08,4221.88,4363.41,0
2026-06-02,.EGSHTS,4363.41,4428.90,4355.51,4385.09,0
2026-06-03,.EGSHTS,4385.09,4436.89,4358.04,4430.71,0
2026-06-04,.EGSHTS,4430.71,4558.88,4418.72,4525.71,0
2026-06-07,.EGSHTS,4525.71,4559.34,4449.08,4465.09,0
2026-06-08,.EGSHTS,4465.09,4465.09,4355.37,4370.76,0
2026-06-09,.EGSHTS,4370.76,4523.71,4370.76,4442.67,0
2026-06-10,.EGSHTS,4442.67,4543.73,4393.04,4402.71,0
2026-06-11,.EGSHTS,4402.71,4455.82,4279.50,4291.69,0
2026-06-14,.EGSHTS,4291.69,4552.91,4291.69,4552.91,0
2026-06-15,.EGSHTS,4552.91,4685.87,4552.91,4605.66,0
2026-06-16,.EGSHTS,4605.66,4622.55,4541.39,4568.11,0
2026-06-17,.EGSHTS,4568.11,4700.73,4537.32,4626.04,0
2026-06-19,.EGSHTS,4568.11,4626.04,4626.04,4626.04,0
2026-06-21,.EGSHTS,4626.04,4805.61,4626.04,4736.91,0
2026-06-22,.EGSHTS,4736.91,4744.50,4634.57,4642.01,0
2026-06-23,.EGSHTS,4642.01,4681.99,4566.09,4603.69,0
2026-06-24,.EGSHTS,4603.69,4628.41,4578.42,4584.70,0
