Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,.EGTRVL,4559.57,4580.65,4559.57,4574.33,0
2026-01-05,.EGTRVL,4574.33,4574.33,4506.67,4506.67,0
2026-01-06,.EGTRVL,4506.67,4562.44,4488.55,4557.20,0
2026-01-08,.EGTRVL,4557.20,4593.69,4554.04,4554.68,0
2026-01-11,.EGTRVL,4554.68,4628.46,4554.68,4567.51,0
2026-01-12,.EGTRVL,4567.51,4573.24,4494.90,4498.72,0
2026-01-13,.EGTRVL,4498.72,4498.72,4429.65,4429.65,0
2026-01-14,.EGTRVL,4429.65,4429.65,4314.27,4331.98,0
2026-01-15,.EGTRVL,4331.98,4348.84,4325.98,4333.34,0
2026-01-17,.EGTRVL,4331.98,4333.34,4333.34,4333.34,0
2026-01-18,.EGTRVL,4333.34,4361.98,4320.30,4333.95,0
2026-01-19,.EGTRVL,4333.95,4409.69,4333.95,4401.07,0
2026-01-20,.EGTRVL,4401.07,4419.13,4396.93,4413.59,0
2026-01-21,.EGTRVL,4413.59,4445.92,4408.56,4413.49,0
2026-01-22,.EGTRVL,4413.49,4463.12,4410.54,4425.82,0
2026-01-25,.EGTRVL,4425.82,4466.06,4416.27,4436.69,0
2026-01-26,.EGTRVL,4436.69,4436.69,4382.78,4382.78,0
2026-01-27,.EGTRVL,4382.78,4398.62,4380.93,4380.93,0
2026-01-28,.EGTRVL,4380.93,4380.93,4282.34,4341.67,0
2026-02-01,.EGTRVL,4341.67,4349.41,4266.10,4327.99,0
2026-02-02,.EGTRVL,4327.99,4356.62,4319.31,4344.59,0
2026-02-03,.EGTRVL,4344.59,4437.58,4344.59,4431.39,0
2026-02-04,.EGTRVL,4431.39,4528.29,4431.39,4494.59,0
2026-02-05,.EGTRVL,4494.59,4514.32,4461.86,4480.11,0
2026-02-08,.EGTRVL,4480.11,4513.64,4470.10,4470.10,0
2026-02-09,.EGTRVL,4470.10,4490.03,4455.94,4487.35,0
2026-02-10,.EGTRVL,4487.35,4583.27,4481.42,4520.70,0
2026-02-11,.EGTRVL,4520.70,4580.50,4514.76,4562.97,0
2026-02-12,.EGTRVL,4562.97,4620.60,4510.94,4564.18,0
2026-02-15,.EGTRVL,4564.18,4602.25,4541.28,4569.87,0
2026-02-16,.EGTRVL,4569.87,4613.99,4550.10,4568.33,0
2026-02-17,.EGTRVL,4568.33,4629.28,4557.38,4609.45,0
2026-02-18,.EGTRVL,4609.45,4643.73,4606.08,4630.11,0
2026-02-19,.EGTRVL,4630.11,4630.96,4545.34,4545.34,0
2026-02-22,.EGTRVL,4545.34,4573.10,4476.41,4532.15,0
2026-02-23,.EGTRVL,4532.15,4579.94,4477.55,4564.62,0
2026-02-24,.EGTRVL,4564.62,4638.13,4533.18,4608.99,0
2026-02-25,.EGTRVL,4608.99,4712.99,4591.60,4596.41,0
2026-02-26,.EGTRVL,4596.41,4596.69,4552.30,4552.30,0
2026-03-01,.EGTRVL,4552.30,4552.30,4351.50,4488.16,0
2026-03-02,.EGTRVL,4488.16,4568.87,4468.10,4516.12,0
2026-03-03,.EGTRVL,4516.12,4537.85,4481.30,4521.98,0
2026-03-04,.EGTRVL,4521.98,4566.56,4489.73,4556.31,0
2026-03-05,.EGTRVL,4556.31,4659.72,4556.31,4609.63,0
2026-03-08,.EGTRVL,4609.63,4633.62,4576.56,4576.56,0
2026-03-09,.EGTRVL,4576.56,4583.22,4530.60,4538.65,0
